network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.805581,False
ContA-ContC,0.633744,False
ContA-DefaultA,1.550461,False
ContA-DefaultB,4.879433,False
ContA-DefaultC,0.673688,False
ContA-DorsAttnA,2.713778,False
ContA-DorsAttnB,0.270243,False
ContA-LimbicA,17.804733,False
ContA-LimbicB,6.574031,False
ContA-SalVentAttnA,1.13377,False
ContA-SalVentAttnB,2.910815,False
ContA-SomMotA,2.16622,False
ContA-SomMotB,4.185929,False
ContA-TempPar,1.389239,False
ContA-VisCent,2.749187,False
ContA-VisPeri,4.257057,False
ContB-ContA,10.650183,False
ContB-ContB,0.0,True
ContB-ContC,3.811358,False
ContB-DefaultA,3.05248,False
ContB-DefaultB,3.945387,False
ContB-DefaultC,0.170006,False
ContB-DorsAttnA,1.149708,False
ContB-DorsAttnB,1.551629,False
ContB-LimbicA,8.910475,False
ContB-LimbicB,2.609837,False
ContB-SalVentAttnA,1.568431,False
ContB-SalVentAttnB,0.890052,False
ContB-SomMotA,1.451934,False
ContB-SomMotB,5.222661,False
ContB-TempPar,1.048954,False
ContB-VisCent,1.4891,False
ContB-VisPeri,4.400107,False
ContC-ContA,0.262717,False
ContC-ContB,1.022372,False
ContC-ContC,0.0,True
ContC-DefaultA,3.553283,False
ContC-DefaultB,0.610972,False
ContC-DefaultC,0.789021,False
ContC-DorsAttnA,0.538625,False
ContC-DorsAttnB,1.718848,False
ContC-LimbicA,0.970846,False
ContC-LimbicB,5.380662,False
ContC-SalVentAttnA,4.863075,False
ContC-SalVentAttnB,1.539625,False
ContC-SomMotA,1.077709,False
ContC-SomMotB,1.745874,False
ContC-TempPar,0.081452,False
ContC-VisCent,0.875875,False
ContC-VisPeri,1.470278,False
DefaultA-ContA,0.077092,False
DefaultA-ContB,3.708769,False
DefaultA-ContC,22.230048,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,2.205934,False
DefaultA-DefaultC,0.710365,False
DefaultA-DorsAttnA,0.525939,False
DefaultA-DorsAttnB,0.314843,False
DefaultA-LimbicA,3.485077,False
DefaultA-LimbicB,9.810535,False
DefaultA-SalVentAttnA,1.782979,False
DefaultA-SalVentAttnB,4.973548,False
DefaultA-SomMotA,0.271529,False
DefaultA-SomMotB,0.251621,False
DefaultA-TempPar,0.55972,False
DefaultA-VisCent,1.694701,False
DefaultA-VisPeri,3.193602,False
DefaultB-ContA,1.917603,False
DefaultB-ContB,0.419227,False
DefaultB-ContC,2.806028,False
DefaultB-DefaultA,1.955799,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.126111,False
DefaultB-DorsAttnA,4.356408,False
DefaultB-DorsAttnB,4.263243,False
DefaultB-LimbicA,1.716992,False
DefaultB-LimbicB,3.95101,False
DefaultB-SalVentAttnA,3.23046,False
DefaultB-SalVentAttnB,0.646545,False
DefaultB-SomMotA,1.806701,False
DefaultB-SomMotB,1.258439,False
DefaultB-TempPar,1.223996,False
DefaultB-VisCent,0.368713,False
DefaultB-VisPeri,1.194726,False
DefaultC-ContA,0.517047,False
DefaultC-ContB,1.303602,False
DefaultC-ContC,4.110406,False
DefaultC-DefaultA,7.985918,False
DefaultC-DefaultB,7.793152,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,5.625969,False
DefaultC-DorsAttnB,1.928866,False
DefaultC-LimbicA,1.775335,False
DefaultC-LimbicB,0.940319,False
DefaultC-SalVentAttnA,2.574658,False
DefaultC-SalVentAttnB,0.284465,False
DefaultC-SomMotA,2.447687,False
DefaultC-SomMotB,2.907164,False
DefaultC-TempPar,1.511114,False
DefaultC-VisCent,0.106049,False
DefaultC-VisPeri,0.052945,False
DorsAttnA-ContA,1.827405,False
DorsAttnA-ContB,2.54537,False
DorsAttnA-ContC,0.126871,False
DorsAttnA-DefaultA,0.194319,False
DorsAttnA-DefaultB,4.180201,False
DorsAttnA-DefaultC,11.409005,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,5.693571,False
DorsAttnA-LimbicA,1.663022,False
DorsAttnA-LimbicB,0.46376,False
DorsAttnA-SalVentAttnA,2.27364,False
DorsAttnA-SalVentAttnB,0.30747,False
DorsAttnA-SomMotA,2.914706,False
DorsAttnA-SomMotB,0.223157,False
DorsAttnA-TempPar,1.955929,False
DorsAttnA-VisCent,0.550061,False
DorsAttnA-VisPeri,0.836263,False
DorsAttnB-ContA,1.301641,False
DorsAttnB-ContB,0.113369,False
DorsAttnB-ContC,2.812721,False
DorsAttnB-DefaultA,0.336406,False
DorsAttnB-DefaultB,1.808345,False
DorsAttnB-DefaultC,1.739372,False
DorsAttnB-DorsAttnA,1.74829,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.755616,False
DorsAttnB-LimbicB,4.032213,False
DorsAttnB-SalVentAttnA,0.67159,False
DorsAttnB-SalVentAttnB,2.64082,False
DorsAttnB-SomMotA,0.157492,False
DorsAttnB-SomMotB,2.205852,False
DorsAttnB-TempPar,1.991189,False
DorsAttnB-VisCent,0.453505,False
DorsAttnB-VisPeri,0.571537,False
LimbicA-ContA,8.027651,False
LimbicA-ContB,0.872667,False
LimbicA-ContC,1.772748,False
LimbicA-DefaultA,0.45858,False
LimbicA-DefaultB,3.635948,False
LimbicA-DefaultC,1.142253,False
LimbicA-DorsAttnA,1.454963,False
LimbicA-DorsAttnB,0.020382,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,6.379483,False
LimbicA-SalVentAttnA,1.060683,False
LimbicA-SalVentAttnB,6.544708,False
LimbicA-SomMotA,2.283265,False
LimbicA-SomMotB,1.278552,False
LimbicA-TempPar,1.206537,False
LimbicA-VisCent,1.008104,False
LimbicA-VisPeri,5.256469,False
LimbicB-ContA,1.884832,False
LimbicB-ContB,0.761099,False
LimbicB-ContC,2.993805,False
LimbicB-DefaultA,0.818772,False
LimbicB-DefaultB,2.555603,False
LimbicB-DefaultC,0.29035,False
LimbicB-DorsAttnA,0.122987,False
LimbicB-DorsAttnB,0.778004,False
