network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.234495,False
ContA-ContC,1.89058,False
ContA-DefaultA,3.893127,False
ContA-DefaultB,3.793702,False
ContA-DefaultC,3.199366,False
ContA-DorsAttnA,1.306882,False
ContA-DorsAttnB,0.118206,False
ContA-LimbicA,12.273645,False
ContA-LimbicB,7.501475,False
ContA-SalVentAttnA,0.410994,False
ContA-SalVentAttnB,6.875626,False
ContA-SomMotA,9.945723,False
ContA-SomMotB,0.103502,False
ContA-TempPar,1.260471,False
ContA-VisCent,0.938987,False
ContA-VisPeri,7.037829,False
ContB-ContA,0.346762,False
ContB-ContB,0.0,True
ContB-ContC,1.831979,False
ContB-DefaultA,1.625497,False
ContB-DefaultB,3.000305,False
ContB-DefaultC,5.085982,False
ContB-DorsAttnA,0.528872,False
ContB-DorsAttnB,1.722786,False
ContB-LimbicA,1.22128,False
ContB-LimbicB,0.144979,False
ContB-SalVentAttnA,0.05788,False
ContB-SalVentAttnB,0.875516,False
ContB-SomMotA,0.549983,False
ContB-SomMotB,0.210101,False
ContB-TempPar,6.749388,False
ContB-VisCent,3.974751,False
ContB-VisPeri,0.137307,False
ContC-ContA,0.250088,False
ContC-ContB,3.925431,False
ContC-ContC,0.0,True
ContC-DefaultA,9.474262,False
ContC-DefaultB,4.384862,False
ContC-DefaultC,4.654198,False
ContC-DorsAttnA,0.30309,False
ContC-DorsAttnB,1.204743,False
ContC-LimbicA,7.488025,False
ContC-LimbicB,12.618817,False
ContC-SalVentAttnA,2.637331,False
ContC-SalVentAttnB,3.170675,False
ContC-SomMotA,1.411583,False
ContC-SomMotB,1.636301,False
ContC-TempPar,3.61248,False
ContC-VisCent,0.704165,False
ContC-VisPeri,4.584176,False
DefaultA-ContA,1.768895,False
DefaultA-ContB,7.427679,False
DefaultA-ContC,7.824214,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,2.349521,False
DefaultA-DefaultC,6.41421,False
DefaultA-DorsAttnA,0.617711,False
DefaultA-DorsAttnB,1.093745,False
DefaultA-LimbicA,0.221971,False
DefaultA-LimbicB,14.304583,False
DefaultA-SalVentAttnA,1.746545,False
DefaultA-SalVentAttnB,1.51605,False
DefaultA-SomMotA,1.338032,False
DefaultA-SomMotB,1.26212,False
DefaultA-TempPar,4.008045,False
DefaultA-VisCent,0.522446,False
DefaultA-VisPeri,1.125368,False
DefaultB-ContA,1.861464,False
DefaultB-ContB,3.278476,False
DefaultB-ContC,0.027883,False
DefaultB-DefaultA,1.821996,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,13.749247,False
DefaultB-DorsAttnA,3.536117,False
DefaultB-DorsAttnB,0.104713,False
DefaultB-LimbicA,0.366278,False
DefaultB-LimbicB,1.963359,False
DefaultB-SalVentAttnA,1.156994,False
DefaultB-SalVentAttnB,0.056982,False
DefaultB-SomMotA,0.390853,False
DefaultB-SomMotB,1.152143,False
DefaultB-TempPar,7.167375,False
DefaultB-VisCent,0.424454,False
DefaultB-VisPeri,0.75892,False
DefaultC-ContA,4.775319,False
DefaultC-ContB,1.556987,False
DefaultC-ContC,3.012519,False
DefaultC-DefaultA,3.401605,False
DefaultC-DefaultB,1.958585,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,5.912317,False
DefaultC-DorsAttnB,3.432938,False
DefaultC-LimbicA,4.178935,False
DefaultC-LimbicB,3.777036,False
DefaultC-SalVentAttnA,1.367944,False
DefaultC-SalVentAttnB,10.311617,False
DefaultC-SomMotA,6.919091,False
DefaultC-SomMotB,2.185309,False
DefaultC-TempPar,2.741034,False
DefaultC-VisCent,0.426122,False
DefaultC-VisPeri,4.577581,False
DorsAttnA-ContA,1.415769,False
DorsAttnA-ContB,0.199088,False
DorsAttnA-ContC,0.350937,False
DorsAttnA-DefaultA,0.028442,False
DorsAttnA-DefaultB,1.195099,False
DorsAttnA-DefaultC,0.886837,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,3.012699,False
DorsAttnA-LimbicA,0.66493,False
DorsAttnA-LimbicB,2.012934,False
DorsAttnA-SalVentAttnA,12.392719,False
DorsAttnA-SalVentAttnB,2.48268,False
DorsAttnA-SomMotA,2.038023,False
DorsAttnA-SomMotB,2.969018,False
DorsAttnA-TempPar,4.992114,False
DorsAttnA-VisCent,0.365944,False
DorsAttnA-VisPeri,0.911513,False
DorsAttnB-ContA,4.284783,False
