network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,8.54709,False
ContA-ContC,0.923392,False
ContA-DefaultA,1.429227,False
ContA-DefaultB,4.248068,False
ContA-DefaultC,3.515842,False
ContA-DorsAttnA,1.932633,False
ContA-DorsAttnB,2.448277,False
ContA-LimbicA,11.38421,False
ContA-LimbicB,10.111979,False
ContA-SalVentAttnA,1.985876,False
ContA-SalVentAttnB,0.583185,False
ContA-SomMotA,2.200236,False
ContA-SomMotB,3.322106,False
ContA-TempPar,4.909782,False
ContA-VisCent,2.095582,False
ContA-VisPeri,3.239305,False
ContB-ContA,4.59219,False
ContB-ContB,0.0,True
ContB-ContC,7.924532,False
ContB-DefaultA,8.639148,False
ContB-DefaultB,8.094171,False
ContB-DefaultC,12.985844,False
ContB-DorsAttnA,1.412034,False
ContB-DorsAttnB,1.810248,False
ContB-LimbicA,0.801359,False
ContB-LimbicB,7.068643,False
ContB-SalVentAttnA,3.339235,False
ContB-SalVentAttnB,0.616899,False
ContB-SomMotA,6.444776,False
ContB-SomMotB,12.1773,False
ContB-TempPar,3.191018,False
ContB-VisCent,2.692193,False
ContB-VisPeri,8.987657,False
ContC-ContA,1.627347,False
ContC-ContB,1.292375,False
ContC-ContC,0.0,True
ContC-DefaultA,20.2548,False
ContC-DefaultB,8.273803,False
ContC-DefaultC,8.231355,False
ContC-DorsAttnA,2.034253,False
ContC-DorsAttnB,0.540391,False
ContC-LimbicA,0.726734,False
ContC-LimbicB,4.553477,False
ContC-SalVentAttnA,2.258104,False
ContC-SalVentAttnB,0.228804,False
ContC-SomMotA,6.854887,False
ContC-SomMotB,8.553758,False
ContC-TempPar,2.219965,False
ContC-VisCent,3.448206,False
ContC-VisPeri,6.220803,False
DefaultA-ContA,2.193315,False
DefaultA-ContB,3.138724,False
DefaultA-ContC,24.351872,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,7.072883,False
DefaultA-DefaultC,5.260125,False
DefaultA-DorsAttnA,1.931118,False
DefaultA-DorsAttnB,1.439229,False
DefaultA-LimbicA,0.677036,False
DefaultA-LimbicB,7.542214,False
DefaultA-SalVentAttnA,1.626317,False
DefaultA-SalVentAttnB,1.918372,False
DefaultA-SomMotA,10.153504,False
DefaultA-SomMotB,2.967585,False
DefaultA-TempPar,1.046137,False
DefaultA-VisCent,2.523382,False
DefaultA-VisPeri,8.688745,False
DefaultB-ContA,1.053471,False
DefaultB-ContB,21.55989,False
DefaultB-ContC,9.483677,False
DefaultB-DefaultA,11.615861,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,31.442117,False
DefaultB-DorsAttnA,0.486584,False
DefaultB-DorsAttnB,6.760588,False
DefaultB-LimbicA,0.510183,False
DefaultB-LimbicB,0.957389,False
DefaultB-SalVentAttnA,4.950424,False
DefaultB-SalVentAttnB,0.8084,False
DefaultB-SomMotA,14.827098,False
DefaultB-SomMotB,6.064741,False
DefaultB-TempPar,15.864887,False
DefaultB-VisCent,5.110915,False
DefaultB-VisPeri,5.847125,False
DefaultC-ContA,1.093483,False
DefaultC-ContB,3.840511,False
DefaultC-ContC,5.362006,False
DefaultC-DefaultA,2.480631,False
DefaultC-DefaultB,5.545167,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.218922,False
DefaultC-DorsAttnB,1.562666,False
DefaultC-LimbicA,0.401415,False
DefaultC-LimbicB,1.412145,False
DefaultC-SalVentAttnA,4.172568,False
DefaultC-SalVentAttnB,0.072527,False
DefaultC-SomMotA,3.266193,False
DefaultC-SomMotB,3.08909,False
DefaultC-TempPar,3.551674,False
DefaultC-VisCent,0.371403,False
DefaultC-VisPeri,1.326127,False
DorsAttnA-ContA,0.741722,False
DorsAttnA-ContB,0.575966,False
DorsAttnA-ContC,0.750875,False
DorsAttnA-DefaultA,0.582563,False
DorsAttnA-DefaultB,2.026498,False
DorsAttnA-DefaultC,6.606964,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,5.382532,False
DorsAttnA-LimbicA,0.592041,False
DorsAttnA-LimbicB,1.034173,False
DorsAttnA-SalVentAttnA,2.756427,False
DorsAttnA-SalVentAttnB,2.325235,False
DorsAttnA-SomMotA,1.18344,False
DorsAttnA-SomMotB,5.885821,False
DorsAttnA-TempPar,13.67893,False
DorsAttnA-VisCent,0.496768,False
DorsAttnA-VisPeri,1.917546,False
DorsAttnB-ContA,2.626349,False
DorsAttnB-ContB,1.477178,False
DorsAttnB-ContC,0.822128,False
DorsAttnB-DefaultA,0.334674,False
DorsAttnB-DefaultB,2.931753,False
DorsAttnB-DefaultC,4.462781,False
DorsAttnB-DorsAttnA,1.995992,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,3.322725,False
DorsAttnB-LimbicB,3.667099,False
DorsAttnB-SalVentAttnA,0.841183,False
DorsAttnB-SalVentAttnB,2.97916,False
DorsAttnB-SomMotA,2.944079,False
DorsAttnB-SomMotB,1.389637,False
DorsAttnB-TempPar,1.95108,False
DorsAttnB-VisCent,0.102873,False
DorsAttnB-VisPeri,1.57614,False
LimbicA-ContA,16.263292,False
LimbicA-ContB,4.383969,False
LimbicA-ContC,0.900261,False
LimbicA-DefaultA,0.822005,False
LimbicA-DefaultB,1.907198,False
LimbicA-DefaultC,1.943363,False
LimbicA-DorsAttnA,0.588101,False
LimbicA-DorsAttnB,0.396053,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,10.308998,False
LimbicA-SalVentAttnA,0.052053,False
LimbicA-SalVentAttnB,6.778409,False
LimbicA-SomMotA,7.561229,False
LimbicA-SomMotB,1.929477,False
LimbicA-TempPar,3.926806,False
LimbicA-VisCent,1.08848,False
LimbicA-VisPeri,0.436807,False
LimbicB-ContA,6.946823,False
LimbicB-ContB,3.030337,False
LimbicB-ContC,1.615808,False
LimbicB-DefaultA,4.355894,False
LimbicB-DefaultB,5.541434,False
LimbicB-DefaultC,4.439736,False
LimbicB-DorsAttnA,4.283452,False
LimbicB-DorsAttnB,0.034649,False
LimbicB-LimbicA,4.582906,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,1.703121,False
LimbicB-SalVentAttnB,5.703205,False
LimbicB-SomMotA,3.936603,False
LimbicB-SomMotB,4.574053,False
LimbicB-TempPar,5.015139,False
LimbicB-VisCent,0.681765,False
LimbicB-VisPeri,1.480997,False
SalVentAttnA-ContA,0.01124,False
SalVentAttnA-ContB,2.360621,False
SalVentAttnA-ContC,2.427455,False
SalVentAttnA-DefaultA,2.379894,False
SalVentAttnA-DefaultB,1.824796,False
SalVentAttnA-DefaultC,3.216535,False
SalVentAttnA-DorsAttnA,1.852067,False
SalVentAttnA-DorsAttnB,0.606901,False
SalVentAttnA-LimbicA,0.802861,False
SalVentAttnA-LimbicB,1.352058,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,1.425032,False
SalVentAttnA-SomMotA,2.308671,False
SalVentAttnA-SomMotB,4.214766,False
SalVentAttnA-TempPar,0.177362,False
SalVentAttnA-VisCent,1.394599,False
SalVentAttnA-VisPeri,0.961087,False
SalVentAttnB-ContA,4.132034,False
SalVentAttnB-ContB,1.250657,False
SalVentAttnB-ContC,0.481875,False
SalVentAttnB-DefaultA,0.141916,False
SalVentAttnB-DefaultB,1.784487,False
SalVentAttnB-DefaultC,2.180263,False
SalVentAttnB-DorsAttnA,4.179059,False
