network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.213087,False
ContA-ContC,1.079934,False
ContA-DefaultA,2.108016,False
ContA-DefaultB,2.455816,False
ContA-DefaultC,0.179822,False
ContA-DorsAttnA,5.100744,False
ContA-DorsAttnB,0.14129,False
ContA-LimbicA,15.688256,False
ContA-LimbicB,9.641731,False
ContA-SalVentAttnA,3.198202,False
ContA-SalVentAttnB,4.609234,False
ContA-SomMotA,3.688093,False
ContA-SomMotB,4.406639,False
ContA-TempPar,0.176939,False
ContA-VisCent,0.247086,False
ContA-VisPeri,2.227931,False
ContB-ContA,8.014782,False
ContB-ContB,0.0,True
ContB-ContC,3.214774,False
ContB-DefaultA,7.181294,False
ContB-DefaultB,11.916867,False
ContB-DefaultC,8.914861,False
ContB-DorsAttnA,7.102329,False
ContB-DorsAttnB,4.654022,False
ContB-LimbicA,6.122951,False
ContB-LimbicB,6.230877,False
ContB-SalVentAttnA,0.615924,False
ContB-SalVentAttnB,1.215844,False
ContB-SomMotA,13.857167,False
ContB-SomMotB,9.352257,False
ContB-TempPar,1.1494,False
ContB-VisCent,3.251029,False
ContB-VisPeri,3.997662,False
ContC-ContA,1.714262,False
ContC-ContB,0.526795,False
ContC-ContC,0.0,True
ContC-DefaultA,4.430997,False
ContC-DefaultB,1.541277,False
ContC-DefaultC,1.415187,False
ContC-DorsAttnA,5.326265,False
ContC-DorsAttnB,3.133181,False
ContC-LimbicA,0.341118,False
ContC-LimbicB,2.229323,False
ContC-SalVentAttnA,2.090674,False
ContC-SalVentAttnB,0.008799,False
ContC-SomMotA,7.645508,False
ContC-SomMotB,9.164013,False
ContC-TempPar,0.133976,False
ContC-VisCent,2.734183,False
ContC-VisPeri,2.656255,False
DefaultA-ContA,8.75937,False
DefaultA-ContB,2.543367,False
DefaultA-ContC,9.11675,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,8.177295,False
DefaultA-DefaultC,1.417548,False
DefaultA-DorsAttnA,8.322272,False
DefaultA-DorsAttnB,0.835856,False
DefaultA-LimbicA,4.133758,False
DefaultA-LimbicB,10.655571,False
DefaultA-SalVentAttnA,1.584839,False
