network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.464225,False
ContA-ContC,2.139848,False
ContA-DefaultA,6.684827,False
ContA-DefaultB,6.427484,False
ContA-DefaultC,1.131678,False
ContA-DorsAttnA,0.505273,False
ContA-DorsAttnB,1.804253,False
ContA-LimbicA,16.892111,False
ContA-LimbicB,5.103349,False
ContA-SalVentAttnA,3.625366,False
ContA-SalVentAttnB,4.594141,False
ContA-SomMotA,9.738895,False
ContA-SomMotB,0.323319,False
ContA-TempPar,6.726227,False
ContA-VisCent,1.000607,False
ContA-VisPeri,14.719939,False
ContB-ContA,2.571229,False
ContB-ContB,0.0,True
ContB-ContC,0.011792,False
ContB-DefaultA,0.651032,False
ContB-DefaultB,1.667391,False
ContB-DefaultC,0.412644,False
ContB-DorsAttnA,2.902794,False
ContB-DorsAttnB,1.425049,False
ContB-LimbicA,0.573583,False
ContB-LimbicB,0.225187,False
ContB-SalVentAttnA,2.268964,False
ContB-SalVentAttnB,1.883455,False
ContB-SomMotA,8.55543,False
ContB-SomMotB,3.658701,False
ContB-TempPar,1.110764,False
ContB-VisCent,1.75432,False
ContB-VisPeri,7.168275,False
ContC-ContA,3.56052,False
ContC-ContB,3.106863,False
ContC-ContC,0.0,True
ContC-DefaultA,4.699024,False
ContC-DefaultB,7.877588,False
ContC-DefaultC,0.723054,False
ContC-DorsAttnA,0.186876,False
ContC-DorsAttnB,0.734563,False
ContC-LimbicA,2.293373,False
ContC-LimbicB,8.859396,False
ContC-SalVentAttnA,0.741,False
ContC-SalVentAttnB,2.04802,False
ContC-SomMotA,3.808927,False
ContC-SomMotB,1.651173,False
ContC-TempPar,0.533286,False
ContC-VisCent,0.099111,False
ContC-VisPeri,5.140086,False
DefaultA-ContA,9.824197,False
DefaultA-ContB,0.600296,False
DefaultA-ContC,16.382373,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,6.645816,False
DefaultA-DefaultC,0.261702,False
DefaultA-DorsAttnA,1.392357,False
DefaultA-DorsAttnB,0.700222,False
DefaultA-LimbicA,11.828034,False
DefaultA-LimbicB,20.333459,False
DefaultA-SalVentAttnA,2.445504,False
DefaultA-SalVentAttnB,10.41119,False
DefaultA-SomMotA,7.66001,False
DefaultA-SomMotB,0.210977,False
DefaultA-TempPar,3.294141,False
DefaultA-VisCent,2.151551,False
DefaultA-VisPeri,9.244543,False
DefaultB-ContA,0.924496,False
DefaultB-ContB,4.574859,False
DefaultB-ContC,1.235736,False
DefaultB-DefaultA,2.543834,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.30637,False
DefaultB-DorsAttnA,7.787339,False
DefaultB-DorsAttnB,0.290819,False
DefaultB-LimbicA,0.26655,False
DefaultB-LimbicB,3.162137,False
DefaultB-SalVentAttnA,2.854006,False
DefaultB-SalVentAttnB,0.893528,False
DefaultB-SomMotA,6.205371,False
DefaultB-SomMotB,3.120324,False
DefaultB-TempPar,1.380618,False
DefaultB-VisCent,0.671524,False
DefaultB-VisPeri,5.081651,False
DefaultC-ContA,0.546312,False
DefaultC-ContB,1.742222,False
DefaultC-ContC,0.30641,False
DefaultC-DefaultA,1.325447,False
DefaultC-DefaultB,2.243255,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,12.673562,False
DefaultC-DorsAttnB,1.109532,False
DefaultC-LimbicA,2.983533,False
DefaultC-LimbicB,3.697117,False
DefaultC-SalVentAttnA,0.431987,False
DefaultC-SalVentAttnB,2.315381,False
DefaultC-SomMotA,5.306261,False
DefaultC-SomMotB,9.36384,False
DefaultC-TempPar,0.960699,False
DefaultC-VisCent,0.252437,False
DefaultC-VisPeri,2.465961,False
DorsAttnA-ContA,1.041669,False
DorsAttnA-ContB,5.25593,False
DorsAttnA-ContC,1.049843,False
DorsAttnA-DefaultA,0.213596,False
DorsAttnA-DefaultB,2.515242,False
DorsAttnA-DefaultC,7.191362,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,4.418255,False
DorsAttnA-LimbicA,0.462276,False
DorsAttnA-LimbicB,0.222301,False
DorsAttnA-SalVentAttnA,3.324937,False
DorsAttnA-SalVentAttnB,0.262473,False
DorsAttnA-SomMotA,0.270189,False
DorsAttnA-SomMotB,0.741861,False
DorsAttnA-TempPar,4.769367,False
DorsAttnA-VisCent,0.56551,False
DorsAttnA-VisPeri,0.654736,False
DorsAttnB-ContA,0.490912,False
DorsAttnB-ContB,3.48861,False
DorsAttnB-ContC,1.269643,False
DorsAttnB-DefaultA,0.126856,False
DorsAttnB-DefaultB,3.351849,False
DorsAttnB-DefaultC,1.534557,False
DorsAttnB-DorsAttnA,4.355927,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,1.553832,False
DorsAttnB-LimbicB,0.043468,False
DorsAttnB-SalVentAttnA,4.348443,False
DorsAttnB-SalVentAttnB,0.027904,False
DorsAttnB-SomMotA,0.744533,False
DorsAttnB-SomMotB,0.301776,False
DorsAttnB-TempPar,2.27382,False
DorsAttnB-VisCent,0.914536,False
DorsAttnB-VisPeri,1.070131,False
LimbicA-ContA,5.522503,False
LimbicA-ContB,0.540363,False
LimbicA-ContC,3.85956,False
LimbicA-DefaultA,4.604045,False
LimbicA-DefaultB,0.988314,False
LimbicA-DefaultC,0.2736,False
LimbicA-DorsAttnA,1.158369,False
LimbicA-DorsAttnB,1.077798,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,16.324196,False
LimbicA-SalVentAttnA,5.670915,False
LimbicA-SalVentAttnB,3.774167,False
LimbicA-SomMotA,1.785675,False
LimbicA-SomMotB,1.475776,False
LimbicA-TempPar,2.690482,False
LimbicA-VisCent,0.531546,False
LimbicA-VisPeri,2.805447,False
LimbicB-ContA,4.73432,False
LimbicB-ContB,2.036144,False
LimbicB-ContC,6.858086,False
LimbicB-DefaultA,13.227523,False
LimbicB-DefaultB,6.662589,False
LimbicB-DefaultC,0.649925,False
LimbicB-DorsAttnA,0.959826,False
LimbicB-DorsAttnB,0.271649,False
LimbicB-LimbicA,5.621772,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,4.83201,False
LimbicB-SalVentAttnB,6.845878,False
LimbicB-SomMotA,3.575537,False
LimbicB-SomMotB,0.248644,False
LimbicB-TempPar,1.384831,False
LimbicB-VisCent,1.225857,False
