network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,15.664316,False
ContA-ContC,2.61098,False
ContA-DefaultA,10.571329,False
ContA-DefaultB,14.36968,False
ContA-DefaultC,1.843012,False
ContA-DorsAttnA,1.469441,False
ContA-DorsAttnB,3.230751,False
ContA-LimbicA,29.685575,False
ContA-LimbicB,12.019665,False
ContA-SalVentAttnA,0.14659,False
ContA-SalVentAttnB,5.062073,False
ContA-SomMotA,12.434883,False
ContA-SomMotB,11.441277,False
ContA-TempPar,0.850441,False
ContA-VisCent,3.004896,False
ContA-VisPeri,10.813069,False
ContB-ContA,5.108472,False
ContB-ContB,0.0,True
ContB-ContC,5.476451,False
ContB-DefaultA,13.425914,False
ContB-DefaultB,16.71459,False
ContB-DefaultC,4.978737,False
ContB-DorsAttnA,5.427617,False
ContB-DorsAttnB,8.873508,False
ContB-LimbicA,10.144908,False
ContB-LimbicB,16.058296,False
ContB-SalVentAttnA,1.093179,False
ContB-SalVentAttnB,8.506524,False
ContB-SomMotA,22.033811,False
ContB-SomMotB,14.313226,False
ContB-TempPar,0.836842,False
ContB-VisCent,6.560603,False
ContB-VisPeri,10.31064,False
ContC-ContA,2.203785,False
ContC-ContB,4.267951,False
ContC-ContC,0.0,True
ContC-DefaultA,18.361652,False
ContC-DefaultB,11.189087,False
ContC-DefaultC,0.7147,False
ContC-DorsAttnA,5.279795,False
ContC-DorsAttnB,2.306449,False
ContC-LimbicA,10.131272,False
ContC-LimbicB,10.76725,False
ContC-SalVentAttnA,0.908464,False
ContC-SalVentAttnB,8.772142,False
ContC-SomMotA,11.769465,False
ContC-SomMotB,16.121278,False
ContC-TempPar,0.657647,False
ContC-VisCent,1.827308,False
ContC-VisPeri,3.439558,False
DefaultA-ContA,9.092568,False
DefaultA-ContB,8.339233,False
DefaultA-ContC,9.697683,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,21.386989,False
DefaultA-DefaultC,2.157601,False
DefaultA-DorsAttnA,6.087606,False
DefaultA-DorsAttnB,1.791859,False
DefaultA-LimbicA,7.789036,False
DefaultA-LimbicB,25.467661,False
DefaultA-SalVentAttnA,2.879852,False
DefaultA-SalVentAttnB,12.944935,False
DefaultA-SomMotA,18.377769,False
DefaultA-SomMotB,12.274565,False
DefaultA-TempPar,1.162607,False
DefaultA-VisCent,7.560787,False
DefaultA-VisPeri,8.251313,False
DefaultB-ContA,7.146928,False
DefaultB-ContB,21.542895,False
DefaultB-ContC,9.817397,False
DefaultB-DefaultA,8.093322,False
