network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.785358,False
ContA-ContC,4.534918,False
ContA-DefaultA,2.56544,False
ContA-DefaultB,0.152005,False
ContA-DefaultC,1.472241,False
ContA-DorsAttnA,6.560709,False
ContA-DorsAttnB,0.107699,False
ContA-LimbicA,25.284987,False
ContA-LimbicB,1.81548,False
ContA-SalVentAttnA,3.851897,False
ContA-SalVentAttnB,2.727507,False
ContA-SomMotA,11.645021,False
ContA-SomMotB,0.910885,False
ContA-TempPar,1.069984,False
ContA-VisCent,5.855923,False
ContA-VisPeri,10.678656,False
ContB-ContA,3.55596,False
ContB-ContB,0.0,True
ContB-ContC,1.728086,False
ContB-DefaultA,0.252206,False
ContB-DefaultB,1.222587,False
ContB-DefaultC,1.299619,False
ContB-DorsAttnA,4.022145,False
ContB-DorsAttnB,2.26192,False
ContB-LimbicA,2.001171,False
ContB-LimbicB,2.201098,False
ContB-SalVentAttnA,0.686865,False
ContB-SalVentAttnB,0.460853,False
ContB-SomMotA,4.430241,False
ContB-SomMotB,1.660713,False
ContB-TempPar,2.423812,False
ContB-VisCent,5.097128,False
ContB-VisPeri,9.211468,False
ContC-ContA,1.105322,False
ContC-ContB,1.078727,False
ContC-ContC,0.0,True
ContC-DefaultA,6.268342,False
ContC-DefaultB,0.498865,False
ContC-DefaultC,0.236729,False
ContC-DorsAttnA,5.458852,False
ContC-DorsAttnB,0.926865,False
ContC-LimbicA,0.832058,False
ContC-LimbicB,1.740585,False
ContC-SalVentAttnA,8.380685,False
ContC-SalVentAttnB,4.771925,False
ContC-SomMotA,0.67509,False
ContC-SomMotB,2.362492,False
ContC-TempPar,0.501714,False
ContC-VisCent,1.333822,False
ContC-VisPeri,0.611884,False
DefaultA-ContA,5.17428,False
DefaultA-ContB,2.388233,False
DefaultA-ContC,28.334977,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,3.319813,False
DefaultA-DefaultC,0.38141,False
DefaultA-DorsAttnA,7.705862,False
DefaultA-DorsAttnB,0.269753,False
DefaultA-LimbicA,3.033417,False
DefaultA-LimbicB,7.278424,False
DefaultA-SalVentAttnA,9.861353,False
DefaultA-SalVentAttnB,8.739185,False
DefaultA-SomMotA,0.575029,False
DefaultA-SomMotB,5.388037,False
DefaultA-TempPar,0.283498,False
DefaultA-VisCent,2.437477,False
DefaultA-VisPeri,0.849126,False
DefaultB-ContA,1.093905,False
DefaultB-ContB,0.485568,False
DefaultB-ContC,9.126127,False
DefaultB-DefaultA,4.888001,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.382871,False
DefaultB-DorsAttnA,20.112683,False
DefaultB-DorsAttnB,1.661612,False
DefaultB-LimbicA,2.050048,False
DefaultB-LimbicB,13.825561,False
DefaultB-SalVentAttnA,15.780523,False
DefaultB-SalVentAttnB,5.53992,False
DefaultB-SomMotA,0.402822,False
DefaultB-SomMotB,4.354787,False
DefaultB-TempPar,2.883924,False
DefaultB-VisCent,3.019051,False
DefaultB-VisPeri,0.38256,False
DefaultC-ContA,1.532443,False
DefaultC-ContB,3.486873,False
DefaultC-ContC,2.308741,False
DefaultC-DefaultA,0.003154,False
DefaultC-DefaultB,7.34793,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,9.377956,False
DefaultC-DorsAttnB,0.478695,False
DefaultC-LimbicA,1.428326,False
DefaultC-LimbicB,2.682509,False
DefaultC-SalVentAttnA,2.298932,False
DefaultC-SalVentAttnB,0.864714,False
DefaultC-SomMotA,1.03929,False
DefaultC-SomMotB,1.819645,False
DefaultC-TempPar,16.923595,False
DefaultC-VisCent,4.915917,False
DefaultC-VisPeri,1.086477,False
DorsAttnA-ContA,13.690324,False
DorsAttnA-ContB,2.694126,False
DorsAttnA-ContC,6.238473,False
DorsAttnA-DefaultA,8.305364,False
DorsAttnA-DefaultB,16.475929,False
DorsAttnA-DefaultC,6.281328,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,0.944435,False
DorsAttnA-LimbicA,4.945528,False
DorsAttnA-LimbicB,15.016019,False
DorsAttnA-SalVentAttnA,13.26171,False
DorsAttnA-SalVentAttnB,15.129256,False
DorsAttnA-SomMotA,1.184678,False
DorsAttnA-SomMotB,0.693311,False
DorsAttnA-TempPar,1.66493,False
DorsAttnA-VisCent,2.641701,False
DorsAttnA-VisPeri,0.115223,False
DorsAttnB-ContA,0.027766,False
DorsAttnB-ContB,0.359647,False
DorsAttnB-ContC,1.003713,False
DorsAttnB-DefaultA,0.2717,False
DorsAttnB-DefaultB,1.284048,False
DorsAttnB-DefaultC,1.361938,False
DorsAttnB-DorsAttnA,0.361339,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.043215,False
DorsAttnB-LimbicB,2.990885,False
DorsAttnB-SalVentAttnA,0.183003,False
DorsAttnB-SalVentAttnB,1.394545,False
DorsAttnB-SomMotA,2.253852,False
DorsAttnB-SomMotB,1.073648,False
DorsAttnB-TempPar,0.116597,False
DorsAttnB-VisCent,0.912427,False
DorsAttnB-VisPeri,0.454366,False
LimbicA-ContA,10.279025,False
LimbicA-ContB,1.080191,False
LimbicA-ContC,4.71135,False
LimbicA-DefaultA,2.887135,False
LimbicA-DefaultB,0.443176,False
LimbicA-DefaultC,0.138298,False
LimbicA-DorsAttnA,3.390416,False
LimbicA-DorsAttnB,1.453443,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,2.338203,False
LimbicA-SalVentAttnA,4.585995,False
LimbicA-SalVentAttnB,5.143037,False
LimbicA-SomMotA,0.674936,False
LimbicA-SomMotB,1.598064,False
LimbicA-TempPar,0.0216,False
LimbicA-VisCent,3.415829,False
LimbicA-VisPeri,5.220927,False
LimbicB-ContA,3.439185,False
LimbicB-ContB,1.766904,False
LimbicB-ContC,19.87568,False
LimbicB-DefaultA,7.098586,False
LimbicB-DefaultB,3.521087,False
LimbicB-DefaultC,2.166152,False
LimbicB-DorsAttnA,1.43266,False
LimbicB-DorsAttnB,1.352767,False
LimbicB-LimbicA,5.764758,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,11.92611,False
LimbicB-SalVentAttnB,20.629254,False
LimbicB-SomMotA,2.617082,False
LimbicB-SomMotB,0.622602,False
LimbicB-TempPar,1.319696,False
LimbicB-VisCent,5.36395,False
LimbicB-VisPeri,0.990048,False
SalVentAttnA-ContA,0.297599,False
SalVentAttnA-ContB,0.293624,False
SalVentAttnA-ContC,0.012012,False
SalVentAttnA-DefaultA,0.260171,False
SalVentAttnA-DefaultB,1.356589,False
SalVentAttnA-DefaultC,0.963523,False
SalVentAttnA-DorsAttnA,1.580056,False
SalVentAttnA-DorsAttnB,0.293217,False
