network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.345646,False
ContA-ContC,2.570277,False
ContA-DefaultA,0.175376,False
ContA-DefaultB,4.486159,False
ContA-DefaultC,5.88891,False
ContA-DorsAttnA,1.202013,False
ContA-DorsAttnB,1.031153,False
ContA-LimbicA,0.012441,False
ContA-LimbicB,0.176386,False
ContA-SalVentAttnA,0.570879,False
ContA-SalVentAttnB,1.730109,False
ContA-SomMotA,0.021688,False
ContA-SomMotB,0.67188,False
ContA-TempPar,9.247618,False
ContA-VisCent,4.307337,False
ContA-VisPeri,1.460474,False
ContB-ContA,1.848922,False
ContB-ContB,0.0,True
ContB-ContC,0.536937,False
ContB-DefaultA,4.210297,False
ContB-DefaultB,0.777573,False
ContB-DefaultC,0.884631,False
ContB-DorsAttnA,0.981066,False
ContB-DorsAttnB,0.983321,False
ContB-LimbicA,3.227625,False
ContB-LimbicB,3.215083,False
ContB-SalVentAttnA,4.935155,False
ContB-SalVentAttnB,1.382687,False
ContB-SomMotA,2.103214,False
ContB-SomMotB,3.541711,False
ContB-TempPar,6.517695,False
ContB-VisCent,0.325869,False
ContB-VisPeri,0.718053,False
ContC-ContA,1.120127,False
ContC-ContB,1.128909,False
ContC-ContC,0.0,True
ContC-DefaultA,2.726587,False
ContC-DefaultB,5.228377,False
ContC-DefaultC,0.708662,False
ContC-DorsAttnA,0.748626,False
ContC-DorsAttnB,0.828806,False
ContC-LimbicA,6.462513,False
ContC-LimbicB,4.326549,False
ContC-SalVentAttnA,3.185826,False
ContC-SalVentAttnB,2.986516,False
ContC-SomMotA,5.085035,False
ContC-SomMotB,1.867008,False
ContC-TempPar,1.532095,False
ContC-VisCent,3.623486,False
ContC-VisPeri,4.201369,False
DefaultA-ContA,0.148657,False
DefaultA-ContB,1.989074,False
DefaultA-ContC,7.600286,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,0.158667,False
DefaultA-DefaultC,0.372987,False
DefaultA-DorsAttnA,0.29052,False
DefaultA-DorsAttnB,0.389286,False
DefaultA-LimbicA,2.674118,False
DefaultA-LimbicB,0.746788,False
DefaultA-SalVentAttnA,2.003895,False
DefaultA-SalVentAttnB,14.144393,False
DefaultA-SomMotA,3.945494,False
DefaultA-SomMotB,0.865298,False
DefaultA-TempPar,1.97716,False
DefaultA-VisCent,1.925233,False
DefaultA-VisPeri,1.466885,False
DefaultB-ContA,2.941091,False
DefaultB-ContB,4.314402,False
DefaultB-ContC,3.198374,False
DefaultB-DefaultA,0.781007,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,4.602278,False
DefaultB-DorsAttnA,0.629734,False
DefaultB-DorsAttnB,0.872321,False
DefaultB-LimbicA,9.490547,False
DefaultB-LimbicB,0.213082,False
DefaultB-SalVentAttnA,1.307013,False
DefaultB-SalVentAttnB,2.060343,False
DefaultB-SomMotA,2.988423,False
DefaultB-SomMotB,1.252841,False
DefaultB-TempPar,18.611816,False
DefaultB-VisCent,0.332544,False
DefaultB-VisPeri,0.726214,False
DefaultC-ContA,3.857188,False
DefaultC-ContB,2.142188,False
DefaultC-ContC,0.272045,False
DefaultC-DefaultA,1.804243,False
DefaultC-DefaultB,5.311593,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.314643,False
DefaultC-DorsAttnB,0.322992,False
DefaultC-LimbicA,11.878962,False
DefaultC-LimbicB,1.603461,False
DefaultC-SalVentAttnA,3.12481,False
DefaultC-SalVentAttnB,1.368713,False
DefaultC-SomMotA,2.461372,False
DefaultC-SomMotB,0.283483,False
DefaultC-TempPar,27.491192,False
DefaultC-VisCent,4.04239,False
DefaultC-VisPeri,0.880348,False
DorsAttnA-ContA,2.609365,False
DorsAttnA-ContB,0.156134,False
DorsAttnA-ContC,0.984001,False
DorsAttnA-DefaultA,6.151026,False
DorsAttnA-DefaultB,6.183394,False
DorsAttnA-DefaultC,0.578219,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,8.032149,False
DorsAttnA-LimbicA,1.031154,False
DorsAttnA-LimbicB,3.349286,False
DorsAttnA-SalVentAttnA,0.558816,False
DorsAttnA-SalVentAttnB,4.008656,False
DorsAttnA-SomMotA,2.014335,False
DorsAttnA-SomMotB,0.000591,False
DorsAttnA-TempPar,1.20762,False
DorsAttnA-VisCent,2.965341,False
DorsAttnA-VisPeri,0.858644,False
DorsAttnB-ContA,0.425006,False
DorsAttnB-ContB,5.045741,False
DorsAttnB-ContC,2.498559,False
DorsAttnB-DefaultA,2.165174,False
DorsAttnB-DefaultB,5.549561,False
DorsAttnB-DefaultC,3.539429,False
DorsAttnB-DorsAttnA,3.406039,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.156163,False
DorsAttnB-LimbicB,3.865813,False
DorsAttnB-SalVentAttnA,0.162027,False
DorsAttnB-SalVentAttnB,3.633987,False
DorsAttnB-SomMotA,0.724291,False
DorsAttnB-SomMotB,2.910032,False
DorsAttnB-TempPar,0.058888,False
DorsAttnB-VisCent,1.27597,False
DorsAttnB-VisPeri,6.293465,False
LimbicA-ContA,7.005044,False
LimbicA-ContB,1.430332,False
LimbicA-ContC,6.174103,False
LimbicA-DefaultA,2.111723,False
LimbicA-DefaultB,5.083729,False
LimbicA-DefaultC,5.877425,False
LimbicA-DorsAttnA,0.637753,False
LimbicA-DorsAttnB,2.469228,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,1.415738,False
LimbicA-SalVentAttnA,2.733329,False
LimbicA-SalVentAttnB,2.566925,False
LimbicA-SomMotA,0.23318,False
LimbicA-SomMotB,0.015925,False
LimbicA-TempPar,1.460386,False
LimbicA-VisCent,9.828978,False
LimbicA-VisPeri,1.60594,False
LimbicB-ContA,3.641247,False
LimbicB-ContB,0.647468,False
LimbicB-ContC,4.04383,False
LimbicB-DefaultA,3.677903,False
LimbicB-DefaultB,8.532329,False
LimbicB-DefaultC,3.750833,False
LimbicB-DorsAttnA,0.194476,False
LimbicB-DorsAttnB,2.220437,False
LimbicB-LimbicA,3.767283,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,0.290858,False
LimbicB-SalVentAttnB,4.918691,False
LimbicB-SomMotA,0.832761,False
LimbicB-SomMotB,1.076474,False
LimbicB-TempPar,2.159658,False
LimbicB-VisCent,1.812645,False
LimbicB-VisPeri,1.925118,False
SalVentAttnA-ContA,0.688396,False
SalVentAttnA-ContB,1.963136,False
SalVentAttnA-ContC,6.742061,False
SalVentAttnA-DefaultA,2.87994,False
SalVentAttnA-DefaultB,2.268229,False
SalVentAttnA-DefaultC,0.30497,False
SalVentAttnA-DorsAttnA,10.107288,False
SalVentAttnA-DorsAttnB,10.739685,False
SalVentAttnA-LimbicA,0.000812,False
SalVentAttnA-LimbicB,2.633594,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,4.083997,False
SalVentAttnA-SomMotA,4.587461,False
SalVentAttnA-SomMotB,10.435876,False
SalVentAttnA-TempPar,1.691605,False
SalVentAttnA-VisCent,6.754515,False
SalVentAttnA-VisPeri,2.226571,False
SalVentAttnB-ContA,2.585081,False
SalVentAttnB-ContB,2.446705,False
SalVentAttnB-ContC,11.618317,False
SalVentAttnB-DefaultA,2.688511,False
SalVentAttnB-DefaultB,1.209424,False
SalVentAttnB-DefaultC,0.030063,False
SalVentAttnB-DorsAttnA,1.246921,False
SalVentAttnB-DorsAttnB,1.415448,False
SalVentAttnB-LimbicA,8.428312,False
SalVentAttnB-LimbicB,0.220513,False
SalVentAttnB-SalVentAttnA,1.496151,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,2.789747,False
SalVentAttnB-SomMotB,2.381934,False
SalVentAttnB-TempPar,2.264641,False
SalVentAttnB-VisCent,3.017604,False
SalVentAttnB-VisPeri,1.669198,False
SomMotA-ContA,0.151434,False
SomMotA-ContB,0.200382,False
SomMotA-ContC,1.232618,False
SomMotA-DefaultA,0.374473,False
SomMotA-DefaultB,1.514536,False
SomMotA-DefaultC,0.208754,False
SomMotA-DorsAttnA,3.817555,False
SomMotA-DorsAttnB,3.649715,False
SomMotA-LimbicA,0.705266,False
SomMotA-LimbicB,6.21518,False
SomMotA-SalVentAttnA,2.042381,False
SomMotA-SalVentAttnB,0.524307,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,3.3843,False
SomMotA-TempPar,0.331949,False
SomMotA-VisCent,5.221215,False
SomMotA-VisPeri,5.492458,False
SomMotB-ContA,2.244438,False
SomMotB-ContB,0.939035,False
SomMotB-ContC,4.47082,False
SomMotB-DefaultA,2.47587,False
SomMotB-DefaultB,3.838432,False
SomMotB-DefaultC,0.712229,False
SomMotB-DorsAttnA,8.124337,False
SomMotB-DorsAttnB,5.975588,False
SomMotB-LimbicA,1.416018,False
SomMotB-LimbicB,7.42126,False
SomMotB-SalVentAttnA,6.08773,False
SomMotB-SalVentAttnB,1.997737,False
SomMotB-SomMotA,5.520596,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,1.147407,False
SomMotB-VisCent,0.780208,False
SomMotB-VisPeri,4.186148,False
TempPar-ContA,3.20832,False
TempPar-ContB,0.859609,False
TempPar-ContC,2.265248,False
TempPar-DefaultA,2.776095,False
TempPar-DefaultB,4.147125,False
TempPar-DefaultC,7.355085,False
TempPar-DorsAttnA,2.371026,False
TempPar-DorsAttnB,0.223058,False
TempPar-LimbicA,7.097877,False
TempPar-LimbicB,2.272068,False
TempPar-SalVentAttnA,3.860611,False
TempPar-SalVentAttnB,2.221713,False
TempPar-SomMotA,4.699149,False
TempPar-SomMotB,4.316555,False
TempPar-TempPar,0.0,True
TempPar-VisCent,6.518272,False
TempPar-VisPeri,1.612641,False
VisCent-ContA,0.12811,False
VisCent-ContB,0.848386,False
VisCent-ContC,5.31464,False
VisCent-DefaultA,0.680696,False
VisCent-DefaultB,3.796823,False
VisCent-DefaultC,3.939675,False
VisCent-DorsAttnA,1.551149,False
VisCent-DorsAttnB,0.886718,False
VisCent-LimbicA,0.820745,False
VisCent-LimbicB,2.462618,False
VisCent-SalVentAttnA,1.110967,False
VisCent-SalVentAttnB,0.707106,False
VisCent-SomMotA,1.439581,False
VisCent-SomMotB,0.474046,False
VisCent-TempPar,1.739815,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,0.140017,False
VisPeri-ContA,3.297667,False
VisPeri-ContB,1.645535,False
VisPeri-ContC,0.567707,False
VisPeri-DefaultA,0.175724,False
VisPeri-DefaultB,2.138947,False
VisPeri-DefaultC,1.31366,False
VisPeri-DorsAttnA,3.514289,False
VisPeri-DorsAttnB,5.400622,False
VisPeri-LimbicA,4.690586,False
VisPeri-LimbicB,1.254141,False
VisPeri-SalVentAttnA,2.592496,False
VisPeri-SalVentAttnB,0.622531,False
VisPeri-SomMotA,1.961682,False
VisPeri-SomMotB,0.473092,False
VisPeri-TempPar,2.119553,False
VisPeri-VisCent,2.939788,False
VisPeri-VisPeri,0.0,True
