network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.935562,False
ContA-ContC,1.050661,False
ContA-DefaultA,4.026864,False
ContA-DefaultB,0.146269,False
ContA-DefaultC,1.19044,False
ContA-DorsAttnA,0.740016,False
ContA-DorsAttnB,1.925413,False
ContA-LimbicA,26.707747,False
ContA-LimbicB,2.676384,False
ContA-SalVentAttnA,1.444234,False
ContA-SalVentAttnB,3.098729,False
ContA-SomMotA,2.403228,False
ContA-SomMotB,0.157357,False
ContA-TempPar,4.615192,False
ContA-VisCent,4.228049,False
ContA-VisPeri,4.194389,False
ContB-ContA,0.225315,False
ContB-ContB,0.0,True
ContB-ContC,0.881705,False
ContB-DefaultA,1.074782,False
ContB-DefaultB,1.195849,False
ContB-DefaultC,0.038354,False
ContB-DorsAttnA,0.540534,False
ContB-DorsAttnB,2.981723,False
ContB-LimbicA,0.732052,False
ContB-LimbicB,0.706962,False
ContB-SalVentAttnA,3.762171,False
ContB-SalVentAttnB,0.07203,False
ContB-SomMotA,2.698134,False
ContB-SomMotB,1.49252,False
ContB-TempPar,0.659835,False
ContB-VisCent,4.530601,False
ContB-VisPeri,3.586878,False
ContC-ContA,0.005376,False
ContC-ContB,1.030226,False
ContC-ContC,0.0,True
ContC-DefaultA,3.709422,False
ContC-DefaultB,5.994036,False
ContC-DefaultC,0.060277,False
ContC-DorsAttnA,3.031935,False
ContC-DorsAttnB,1.147708,False
ContC-LimbicA,1.153824,False
ContC-LimbicB,4.150392,False
ContC-SalVentAttnA,3.170944,False
ContC-SalVentAttnB,0.554968,False
ContC-SomMotA,2.161786,False
ContC-SomMotB,0.894741,False
ContC-TempPar,0.686067,False
ContC-VisCent,2.361913,False
ContC-VisPeri,0.962442,False
DefaultA-ContA,0.587186,False
DefaultA-ContB,2.82329,False
DefaultA-ContC,16.500754,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,6.625469,False
DefaultA-DefaultC,2.305994,False
DefaultA-DorsAttnA,5.192815,False
DefaultA-DorsAttnB,1.300525,False
DefaultA-LimbicA,0.055077,False
DefaultA-LimbicB,6.997079,False
DefaultA-SalVentAttnA,3.685761,False
DefaultA-SalVentAttnB,3.383525,False
DefaultA-SomMotA,2.378546,False
DefaultA-SomMotB,0.987472,False
DefaultA-TempPar,1.4422,False
DefaultA-VisCent,3.846908,False
DefaultA-VisPeri,0.456357,False
DefaultB-ContA,0.338156,False
DefaultB-ContB,1.817356,False
DefaultB-ContC,1.228304,False
DefaultB-DefaultA,2.659233,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.025023,False
DefaultB-DorsAttnA,1.599251,False
DefaultB-DorsAttnB,0.529027,False
DefaultB-LimbicA,0.791986,False
DefaultB-LimbicB,3.613835,False
DefaultB-SalVentAttnA,0.232681,False
DefaultB-SalVentAttnB,1.711015,False
DefaultB-SomMotA,0.099725,False
DefaultB-SomMotB,2.419087,False
DefaultB-TempPar,1.542751,False
DefaultB-VisCent,2.931584,False
DefaultB-VisPeri,0.449195,False
DefaultC-ContA,0.187887,False
DefaultC-ContB,10.992895,False
DefaultC-ContC,1.42806,False
DefaultC-DefaultA,5.557497,False
DefaultC-DefaultB,5.780368,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.787703,False
DefaultC-DorsAttnB,0.124534,False
DefaultC-LimbicA,1.423,False
DefaultC-LimbicB,1.032985,False
DefaultC-SalVentAttnA,2.332449,False
DefaultC-SalVentAttnB,1.105615,False
DefaultC-SomMotA,3.475556,False
DefaultC-SomMotB,0.621377,False
DefaultC-TempPar,3.322089,False
DefaultC-VisCent,2.100689,False
DefaultC-VisPeri,2.644546,False
DorsAttnA-ContA,1.461887,False
DorsAttnA-ContB,2.841836,False
DorsAttnA-ContC,15.549266,False
DorsAttnA-DefaultA,3.863309,False
DorsAttnA-DefaultB,5.962242,False
DorsAttnA-DefaultC,0.067042,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,4.640317,False
DorsAttnA-LimbicA,0.275139,False
DorsAttnA-LimbicB,7.063546,False
DorsAttnA-SalVentAttnA,1.292961,False
DorsAttnA-SalVentAttnB,0.661396,False
DorsAttnA-SomMotA,2.499609,False
DorsAttnA-SomMotB,6.101587,False
DorsAttnA-TempPar,0.136332,False
DorsAttnA-VisCent,0.087441,False
DorsAttnA-VisPeri,1.354834,False
DorsAttnB-ContA,1.268827,False
DorsAttnB-ContB,7.015868,False
DorsAttnB-ContC,2.747968,False
DorsAttnB-DefaultA,0.870346,False
DorsAttnB-DefaultB,1.472816,False
DorsAttnB-DefaultC,4.796817,False
DorsAttnB-DorsAttnA,1.923172,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.772631,False
DorsAttnB-LimbicB,0.341953,False
DorsAttnB-SalVentAttnA,0.698905,False
DorsAttnB-SalVentAttnB,0.395556,False
DorsAttnB-SomMotA,11.195913,False
DorsAttnB-SomMotB,0.397321,False
DorsAttnB-TempPar,2.412068,False
DorsAttnB-VisCent,1.34906,False
DorsAttnB-VisPeri,7.625483,False
LimbicA-ContA,6.551905,False
LimbicA-ContB,0.0289,False
LimbicA-ContC,1.33807,False
LimbicA-DefaultA,0.843754,False
LimbicA-DefaultB,0.907231,False
LimbicA-DefaultC,0.497176,False
LimbicA-DorsAttnA,0.30032,False
LimbicA-DorsAttnB,2.71964,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,7.039345,False
LimbicA-SalVentAttnA,2.9394,False
LimbicA-SalVentAttnB,7.77488,False
LimbicA-SomMotA,1.959152,False
LimbicA-SomMotB,0.018409,False
LimbicA-TempPar,2.502142,False
LimbicA-VisCent,2.176933,False
LimbicA-VisPeri,7.797514,False
LimbicB-ContA,0.308216,False
LimbicB-ContB,2.101109,False
LimbicB-ContC,0.512054,False
LimbicB-DefaultA,4.8845,False
LimbicB-DefaultB,6.994607,False
LimbicB-DefaultC,0.899362,False
LimbicB-DorsAttnA,0.577401,False
LimbicB-DorsAttnB,1.154386,False
LimbicB-LimbicA,0.196053,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,9.036047,False
LimbicB-SalVentAttnB,6.31509,False
LimbicB-SomMotA,1.953305,False
LimbicB-SomMotB,0.225291,False
LimbicB-TempPar,0.522665,False
LimbicB-VisCent,1.454077,False
