network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,1.341837,False
ContA-ContC,1.804743,False
ContA-DefaultA,0.660806,False
ContA-DefaultB,0.114621,False
ContA-DefaultC,0.052501,False
ContA-DorsAttnA,0.506444,False
ContA-DorsAttnB,3.92643,False
ContA-LimbicA,12.073624,False
ContA-LimbicB,0.485545,False
ContA-SalVentAttnA,0.603457,False
ContA-SalVentAttnB,0.791401,False
ContA-SomMotA,0.319792,False
ContA-SomMotB,0.157152,False
ContA-TempPar,2.168532,False
ContA-VisCent,0.841681,False
ContA-VisPeri,1.600198,False
ContB-ContA,1.139507,False
ContB-ContB,0.0,True
ContB-ContC,6.057033,False
ContB-DefaultA,1.802806,False
ContB-DefaultB,3.900258,False
ContB-DefaultC,0.408426,False
ContB-DorsAttnA,0.978207,False
ContB-DorsAttnB,1.280341,False
ContB-LimbicA,1.405019,False
ContB-LimbicB,0.13769,False
ContB-SalVentAttnA,0.08016,False
ContB-SalVentAttnB,0.827411,False
ContB-SomMotA,2.883989,False
ContB-SomMotB,2.324083,False
ContB-TempPar,1.724313,False
ContB-VisCent,4.802072,False
ContB-VisPeri,2.228078,False
ContC-ContA,4.942361,False
ContC-ContB,0.106032,False
ContC-ContC,0.0,True
ContC-DefaultA,5.202701,False
ContC-DefaultB,0.941066,False
ContC-DefaultC,1.662156,False
ContC-DorsAttnA,0.531284,False
ContC-DorsAttnB,0.701187,False
ContC-LimbicA,0.857312,False
ContC-LimbicB,3.707834,False
ContC-SalVentAttnA,0.387253,False
ContC-SalVentAttnB,0.889391,False
ContC-SomMotA,0.410956,False
ContC-SomMotB,0.210739,False
ContC-TempPar,0.714218,False
ContC-VisCent,1.272686,False
ContC-VisPeri,0.533972,False
DefaultA-ContA,2.403365,False
DefaultA-ContB,0.404324,False
DefaultA-ContC,6.44535,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,4.58449,False
DefaultA-DefaultC,0.704875,False
DefaultA-DorsAttnA,0.271686,False
DefaultA-DorsAttnB,0.059012,False
DefaultA-LimbicA,0.326353,False
DefaultA-LimbicB,8.234533,False
DefaultA-SalVentAttnA,0.818792,False
DefaultA-SalVentAttnB,0.979917,False
DefaultA-SomMotA,0.915604,False
DefaultA-SomMotB,1.448385,False
DefaultA-TempPar,1.185938,False
DefaultA-VisCent,0.033821,False
DefaultA-VisPeri,0.259296,False
DefaultB-ContA,5.823047,False
DefaultB-ContB,0.159196,False
DefaultB-ContC,2.833553,False
DefaultB-DefaultA,6.741772,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.375249,False
DefaultB-DorsAttnA,0.788599,False
DefaultB-DorsAttnB,4.085654,False
DefaultB-LimbicA,2.099156,False
DefaultB-LimbicB,2.614963,False
DefaultB-SalVentAttnA,0.619298,False
DefaultB-SalVentAttnB,0.637069,False
DefaultB-SomMotA,1.813045,False
DefaultB-SomMotB,1.429881,False
DefaultB-TempPar,1.712531,False
DefaultB-VisCent,0.200182,False
DefaultB-VisPeri,1.357383,False
DefaultC-ContA,8.980399,False
DefaultC-ContB,4.142784,False
DefaultC-ContC,3.622628,False
DefaultC-DefaultA,2.038429,False
DefaultC-DefaultB,8.687491,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.631845,False
DefaultC-DorsAttnB,3.222142,False
DefaultC-LimbicA,8.332624,False
DefaultC-LimbicB,0.003596,False
DefaultC-SalVentAttnA,0.520116,False
DefaultC-SalVentAttnB,0.537536,False
DefaultC-SomMotA,2.364571,False
DefaultC-SomMotB,0.007194,False
DefaultC-TempPar,4.455289,False
DefaultC-VisCent,2.568367,False
DefaultC-VisPeri,2.620137,False
DorsAttnA-ContA,2.249119,False
DorsAttnA-ContB,2.378306,False
DorsAttnA-ContC,1.336897,False
DorsAttnA-DefaultA,4.233744,False
DorsAttnA-DefaultB,4.317126,False
DorsAttnA-DefaultC,0.50382,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,0.253862,False
DorsAttnA-LimbicA,2.722315,False
DorsAttnA-LimbicB,11.159043,False
DorsAttnA-SalVentAttnA,8.726844,False
DorsAttnA-SalVentAttnB,4.639103,False
DorsAttnA-SomMotA,0.025522,False
DorsAttnA-SomMotB,1.726404,False
DorsAttnA-TempPar,0.221038,False
DorsAttnA-VisCent,3.399693,False
DorsAttnA-VisPeri,0.072727,False
DorsAttnB-ContA,1.178251,False
DorsAttnB-ContB,2.232543,False
DorsAttnB-ContC,0.232955,False
DorsAttnB-DefaultA,2.03768,False
DorsAttnB-DefaultB,2.961565,False
DorsAttnB-DefaultC,1.092033,False
DorsAttnB-DorsAttnA,0.071847,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.514095,False
DorsAttnB-LimbicB,0.120445,False
DorsAttnB-SalVentAttnA,2.576101,False
DorsAttnB-SalVentAttnB,0.057848,False
DorsAttnB-SomMotA,1.372449,False
DorsAttnB-SomMotB,1.924374,False
DorsAttnB-TempPar,3.755232,False
DorsAttnB-VisCent,0.437159,False
DorsAttnB-VisPeri,0.379255,False
LimbicA-ContA,1.7091,False
LimbicA-ContB,2.89622,False
LimbicA-ContC,3.339426,False
LimbicA-DefaultA,0.28063,False
LimbicA-DefaultB,3.561186,False
LimbicA-DefaultC,0.136337,False
LimbicA-DorsAttnA,1.055044,False
LimbicA-DorsAttnB,1.000347,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,0.821882,False
LimbicA-SalVentAttnA,0.861905,False
LimbicA-SalVentAttnB,0.92577,False
LimbicA-SomMotA,1.069084,False
LimbicA-SomMotB,0.237644,False
LimbicA-TempPar,0.978827,False
LimbicA-VisCent,0.792797,False
LimbicA-VisPeri,1.415016,False
LimbicB-ContA,0.167606,False
LimbicB-ContB,1.121168,False
LimbicB-ContC,1.552609,False
LimbicB-DefaultA,4.209892,False
LimbicB-DefaultB,0.908925,False
LimbicB-DefaultC,2.002375,False
LimbicB-DorsAttnA,0.136425,False
LimbicB-DorsAttnB,0.087784,False
LimbicB-LimbicA,3.811578,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,0.244794,False
LimbicB-SalVentAttnB,5.541079,False
LimbicB-SomMotA,0.105626,False
LimbicB-SomMotB,0.387831,False
LimbicB-TempPar,0.783434,False
LimbicB-VisCent,0.847103,False
LimbicB-VisPeri,1.300537,False
SalVentAttnA-ContA,0.017921,False
SalVentAttnA-ContB,3.95355,False
SalVentAttnA-ContC,0.453414,False
SalVentAttnA-DefaultA,1.014246,False
SalVentAttnA-DefaultB,1.181611,False
SalVentAttnA-DefaultC,2.599976,False
SalVentAttnA-DorsAttnA,2.308688,False
SalVentAttnA-DorsAttnB,1.32444,False
SalVentAttnA-LimbicA,0.062526,False
SalVentAttnA-LimbicB,0.263871,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.157615,False
SalVentAttnA-SomMotA,1.855463,False
SalVentAttnA-SomMotB,3.057622,False
