network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.638587,False
ContA-ContC,0.493998,False
ContA-DefaultA,7.080938,False
ContA-DefaultB,7.079404,False
ContA-DefaultC,2.463426,False
ContA-DorsAttnA,4.348497,False
ContA-DorsAttnB,3.779683,False
ContA-LimbicA,23.681541,False
ContA-LimbicB,9.238018,False
ContA-SalVentAttnA,6.079453,False
ContA-SalVentAttnB,2.422417,False
ContA-SomMotA,11.043043,False
ContA-SomMotB,1.199817,False
ContA-TempPar,0.290824,False
ContA-VisCent,1.031997,False
ContA-VisPeri,5.718007,False
ContB-ContA,2.13918,False
ContB-ContB,0.0,True
ContB-ContC,1.03492,False
ContB-DefaultA,0.559754,False
ContB-DefaultB,9.297332,False
ContB-DefaultC,7.526508,False
ContB-DorsAttnA,4.490697,False
ContB-DorsAttnB,1.38617,False
ContB-LimbicA,3.282273,False
ContB-LimbicB,2.103334,False
ContB-SalVentAttnA,1.747028,False
ContB-SalVentAttnB,1.206085,False
ContB-SomMotA,11.590294,False
ContB-SomMotB,8.726437,False
ContB-TempPar,2.741612,False
ContB-VisCent,1.921604,False
ContB-VisPeri,5.166036,False
ContC-ContA,1.161499,False
ContC-ContB,1.450446,False
ContC-ContC,0.0,True
ContC-DefaultA,17.431614,False
ContC-DefaultB,3.078701,False
ContC-DefaultC,0.023252,False
ContC-DorsAttnA,7.060695,False
ContC-DorsAttnB,0.923576,False
ContC-LimbicA,1.070746,False
ContC-LimbicB,8.396645,False
ContC-SalVentAttnA,3.14784,False
ContC-SalVentAttnB,1.456116,False
ContC-SomMotA,0.498652,False
ContC-SomMotB,4.671414,False
ContC-TempPar,2.215109,False
ContC-VisCent,0.158473,False
ContC-VisPeri,2.661606,False
DefaultA-ContA,0.065714,False
DefaultA-ContB,2.701224,False
DefaultA-ContC,22.841606,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,5.804537,False
DefaultA-DefaultC,0.192489,False
DefaultA-DorsAttnA,1.97852,False
DefaultA-DorsAttnB,1.207371,False
DefaultA-LimbicA,0.767439,False
DefaultA-LimbicB,4.103965,False
DefaultA-SalVentAttnA,6.943547,False
DefaultA-SalVentAttnB,4.500222,False
DefaultA-SomMotA,7.032575,False
DefaultA-SomMotB,2.638467,False
DefaultA-TempPar,0.081712,False
DefaultA-VisCent,0.532877,False
DefaultA-VisPeri,8.616433,False
DefaultB-ContA,0.467359,False
DefaultB-ContB,4.932768,False
DefaultB-ContC,0.624676,False
DefaultB-DefaultA,3.087311,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,6.051115,False
DefaultB-DorsAttnA,10.332332,False
DefaultB-DorsAttnB,2.899691,False
DefaultB-LimbicA,0.125941,False
DefaultB-LimbicB,6.962332,False
DefaultB-SalVentAttnA,4.996838,False
DefaultB-SalVentAttnB,2.434915,False
DefaultB-SomMotA,7.280962,False
DefaultB-SomMotB,2.484751,False
DefaultB-TempPar,2.543137,False
DefaultB-VisCent,2.659807,False
DefaultB-VisPeri,9.908527,False
DefaultC-ContA,0.034136,False
DefaultC-ContB,4.715086,False
DefaultC-ContC,1.463316,False
DefaultC-DefaultA,0.368568,False
DefaultC-DefaultB,22.697501,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,9.456952,False
DefaultC-DorsAttnB,1.255818,False
DefaultC-LimbicA,0.314943,False
DefaultC-LimbicB,2.47785,False
DefaultC-SalVentAttnA,3.207687,False
DefaultC-SalVentAttnB,1.407585,False
DefaultC-SomMotA,9.287343,False
DefaultC-SomMotB,8.030065,False
DefaultC-TempPar,1.008623,False
DefaultC-VisCent,7.033028,False
DefaultC-VisPeri,4.747391,False
DorsAttnA-ContA,4.473799,False
DorsAttnA-ContB,2.203384,False
DorsAttnA-ContC,2.65057,False
DorsAttnA-DefaultA,10.916238,False
DorsAttnA-DefaultB,8.05273,False
DorsAttnA-DefaultC,5.138338,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,12.184289,False
DorsAttnA-LimbicA,0.337905,False
DorsAttnA-LimbicB,5.10719,False
DorsAttnA-SalVentAttnA,2.157157,False
DorsAttnA-SalVentAttnB,0.316024,False
DorsAttnA-SomMotA,1.876972,False
DorsAttnA-SomMotB,0.51059,False
DorsAttnA-TempPar,3.118163,False
DorsAttnA-VisCent,1.308136,False
DorsAttnA-VisPeri,0.526273,False
DorsAttnB-ContA,5.859726,False
DorsAttnB-ContB,0.840346,False
DorsAttnB-ContC,0.669401,False
DorsAttnB-DefaultA,2.597757,False
DorsAttnB-DefaultB,2.146106,False
DorsAttnB-DefaultC,0.826458,False
DorsAttnB-DorsAttnA,2.131551,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.876142,False
DorsAttnB-LimbicB,1.019888,False
DorsAttnB-SalVentAttnA,2.336216,False
DorsAttnB-SalVentAttnB,1.05961,False
DorsAttnB-SomMotA,0.817906,False
DorsAttnB-SomMotB,4.536317,False
DorsAttnB-TempPar,1.371678,False
DorsAttnB-VisCent,1.384807,False
DorsAttnB-VisPeri,3.862747,False
LimbicA-ContA,29.134356,False
LimbicA-ContB,2.900889,False
LimbicA-ContC,6.640828,False
LimbicA-DefaultA,5.473629,False
LimbicA-DefaultB,5.333816,False
LimbicA-DefaultC,0.687857,False
LimbicA-DorsAttnA,0.196014,False
LimbicA-DorsAttnB,2.116362,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,7.592227,False
LimbicA-SalVentAttnA,5.160327,False
LimbicA-SalVentAttnB,6.012122,False
LimbicA-SomMotA,4.408447,False
LimbicA-SomMotB,5.37569,False
LimbicA-TempPar,0.564876,False
LimbicA-VisCent,2.345368,False
LimbicA-VisPeri,4.622038,False
LimbicB-ContA,9.789953,False
LimbicB-ContB,5.620753,False
LimbicB-ContC,8.349254,False
LimbicB-DefaultA,9.399523,False
LimbicB-DefaultB,10.172487,False
LimbicB-DefaultC,1.992238,False
LimbicB-DorsAttnA,2.149913,False
LimbicB-DorsAttnB,1.968782,False
LimbicB-LimbicA,15.057953,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,6.949538,False
LimbicB-SalVentAttnB,13.590821,False
LimbicB-SomMotA,7.34083,False
LimbicB-SomMotB,8.664829,False
LimbicB-TempPar,0.143423,False
LimbicB-VisCent,0.117247,False
LimbicB-VisPeri,3.215223,False
SalVentAttnA-ContA,2.639635,False
SalVentAttnA-ContB,1.46578,False
