network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,7.510749,False
ContA-ContC,1.115393,False
ContA-DefaultA,1.481718,False
ContA-DefaultB,12.473249,False
ContA-DefaultC,6.220435,False
ContA-DorsAttnA,4.137536,False
ContA-DorsAttnB,0.453296,False
ContA-LimbicA,17.886551,False
ContA-LimbicB,11.590116,False
ContA-SalVentAttnA,1.232354,False
ContA-SalVentAttnB,6.060038,False
ContA-SomMotA,3.793036,False
ContA-SomMotB,0.546959,False
ContA-TempPar,1.475476,False
ContA-VisCent,1.605514,False
ContA-VisPeri,3.918441,False
ContB-ContA,12.337638,False
ContB-ContB,0.0,True
ContB-ContC,0.600447,False
ContB-DefaultA,0.214024,False
ContB-DefaultB,12.207861,False
ContB-DefaultC,6.461009,False
ContB-DorsAttnA,1.146571,False
ContB-DorsAttnB,0.866229,False
ContB-LimbicA,9.037579,False
ContB-LimbicB,2.428938,False
ContB-SalVentAttnA,2.808494,False
ContB-SalVentAttnB,1.478851,False
ContB-SomMotA,5.914502,False
ContB-SomMotB,2.948086,False
ContB-TempPar,2.814128,False
ContB-VisCent,1.181131,False
ContB-VisPeri,1.480756,False
ContC-ContA,0.280291,False
ContC-ContB,0.041999,False
ContC-ContC,0.0,True
ContC-DefaultA,6.936984,False
ContC-DefaultB,0.024905,False
ContC-DefaultC,4.488106,False
ContC-DorsAttnA,0.307131,False
ContC-DorsAttnB,1.539184,False
ContC-LimbicA,6.173851,False
ContC-LimbicB,9.391286,False
ContC-SalVentAttnA,0.844914,False
ContC-SalVentAttnB,2.535649,False
ContC-SomMotA,0.562257,False
ContC-SomMotB,0.530486,False
ContC-TempPar,3.286824,False
ContC-VisCent,0.454566,False
ContC-VisPeri,0.618203,False
DefaultA-ContA,1.399242,False
DefaultA-ContB,0.381338,False
DefaultA-ContC,33.740631,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,0.406528,False
DefaultA-DefaultC,2.025514,False
DefaultA-DorsAttnA,1.045991,False
DefaultA-DorsAttnB,2.794202,False
DefaultA-LimbicA,6.851896,False
DefaultA-LimbicB,12.888878,False
DefaultA-SalVentAttnA,2.115338,False
DefaultA-SalVentAttnB,11.649397,False
DefaultA-SomMotA,3.874089,False
DefaultA-SomMotB,0.709081,False
DefaultA-TempPar,4.451719,False
DefaultA-VisCent,0.029036,False
DefaultA-VisPeri,1.351405,False
DefaultB-ContA,6.206535,False
DefaultB-ContB,8.266448,False
DefaultB-ContC,0.724512,False
DefaultB-DefaultA,0.363858,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,11.56196,False
DefaultB-DorsAttnA,2.423301,False
DefaultB-DorsAttnB,0.074077,False
DefaultB-LimbicA,5.675361,False
DefaultB-LimbicB,3.056555,False
DefaultB-SalVentAttnA,2.271425,False
DefaultB-SalVentAttnB,3.050882,False
DefaultB-SomMotA,8.69557,False
DefaultB-SomMotB,1.189832,False
DefaultB-TempPar,4.183769,False
DefaultB-VisCent,2.327023,False
DefaultB-VisPeri,2.641353,False
DefaultC-ContA,2.849839,False
DefaultC-ContB,6.807635,False
DefaultC-ContC,0.574616,False
DefaultC-DefaultA,0.015798,False
DefaultC-DefaultB,19.988734,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.667666,False
DefaultC-DorsAttnB,1.593712,False
DefaultC-LimbicA,2.879674,False
DefaultC-LimbicB,1.484115,False
DefaultC-SalVentAttnA,0.791037,False
DefaultC-SalVentAttnB,2.235888,False
DefaultC-SomMotA,3.04401,False
DefaultC-SomMotB,2.266202,False
DefaultC-TempPar,1.950569,False
DefaultC-VisCent,1.564622,False
DefaultC-VisPeri,2.289179,False
DorsAttnA-ContA,7.55252,False
DorsAttnA-ContB,5.025129,False
DorsAttnA-ContC,2.112988,False
DorsAttnA-DefaultA,7.833097,False
DorsAttnA-DefaultB,18.043003,False
DorsAttnA-DefaultC,12.595838,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,3.34118,False
DorsAttnA-LimbicA,2.215488,False
DorsAttnA-LimbicB,1.372216,False
DorsAttnA-SalVentAttnA,3.241517,False
DorsAttnA-SalVentAttnB,0.111819,False
DorsAttnA-SomMotA,2.423509,False
DorsAttnA-SomMotB,10.741257,False
DorsAttnA-TempPar,10.045694,False
DorsAttnA-VisCent,1.608912,False
DorsAttnA-VisPeri,2.350862,False
DorsAttnB-ContA,0.860857,False
DorsAttnB-ContB,0.738349,False
DorsAttnB-ContC,1.305175,False
DorsAttnB-DefaultA,0.560687,False
DorsAttnB-DefaultB,2.435647,False
DorsAttnB-DefaultC,4.859975,False
DorsAttnB-DorsAttnA,4.305296,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.154817,False
DorsAttnB-LimbicB,2.546102,False
DorsAttnB-SalVentAttnA,1.09548,False
DorsAttnB-SalVentAttnB,2.501838,False
DorsAttnB-SomMotA,6.913816,False
DorsAttnB-SomMotB,6.362898,False
DorsAttnB-TempPar,2.964373,False
DorsAttnB-VisCent,2.049868,False
DorsAttnB-VisPeri,10.764646,False
LimbicA-ContA,16.133131,False
LimbicA-ContB,7.781335,False
LimbicA-ContC,5.17252,False
LimbicA-DefaultA,1.752319,False
LimbicA-DefaultB,9.779329,False
LimbicA-DefaultC,5.017424,False
LimbicA-DorsAttnA,1.843404,False
LimbicA-DorsAttnB,3.394157,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,8.299565,False
LimbicA-SalVentAttnA,0.952366,False
LimbicA-SalVentAttnB,12.883415,False
LimbicA-SomMotA,7.883168,False
LimbicA-SomMotB,1.747803,False
LimbicA-TempPar,2.126288,False
LimbicA-VisCent,0.619076,False
LimbicA-VisPeri,4.142335,False
LimbicB-ContA,6.347566,False
LimbicB-ContB,0.993183,False
LimbicB-ContC,7.417361,False
LimbicB-DefaultA,5.311862,False
LimbicB-DefaultB,3.08526,False
LimbicB-DefaultC,0.271342,False
LimbicB-DorsAttnA,2.302551,False
LimbicB-DorsAttnB,0.727692,False
LimbicB-LimbicA,5.392079,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,1.437691,False
LimbicB-SalVentAttnB,17.248227,False
LimbicB-SomMotA,7.833721,False
LimbicB-SomMotB,0.039663,False
LimbicB-TempPar,2.417956,False
LimbicB-VisCent,0.28623,False
LimbicB-VisPeri,4.426271,False
SalVentAttnA-ContA,1.415827,False
SalVentAttnA-ContB,2.444533,False
SalVentAttnA-ContC,1.844158,False
SalVentAttnA-DefaultA,0.376036,False
SalVentAttnA-DefaultB,2.450097,False
SalVentAttnA-DefaultC,1.949604,False
SalVentAttnA-DorsAttnA,0.883625,False
SalVentAttnA-DorsAttnB,0.982502,False
SalVentAttnA-LimbicA,1.87148,False
SalVentAttnA-LimbicB,2.878982,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,3.35602,False
SalVentAttnA-SomMotA,0.273073,False
SalVentAttnA-SomMotB,1.332298,False
SalVentAttnA-TempPar,0.411824,False
SalVentAttnA-VisCent,2.256025,False
SalVentAttnA-VisPeri,0.051706,False
SalVentAttnB-ContA,0.20756,False
SalVentAttnB-ContB,1.096958,False
SalVentAttnB-ContC,7.640564,False
SalVentAttnB-DefaultA,1.80179,False
SalVentAttnB-DefaultB,0.188081,False
SalVentAttnB-DefaultC,1.093744,False
SalVentAttnB-DorsAttnA,4.60536,False
SalVentAttnB-DorsAttnB,4.74665,False
SalVentAttnB-LimbicA,4.012256,False
SalVentAttnB-LimbicB,25.706461,False
SalVentAttnB-SalVentAttnA,4.033969,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,6.399807,False
SalVentAttnB-SomMotB,0.345855,False
SalVentAttnB-TempPar,0.977633,False
SalVentAttnB-VisCent,0.283288,False
SalVentAttnB-VisPeri,2.175787,False
SomMotA-ContA,3.79431,False
SomMotA-ContB,7.72009,False
SomMotA-ContC,0.995996,False
SomMotA-DefaultA,1.089099,False
SomMotA-DefaultB,7.16839,False
SomMotA-DefaultC,3.255946,False
SomMotA-DorsAttnA,7.218581,False
SomMotA-DorsAttnB,3.598297,False
SomMotA-LimbicA,8.907404,False
SomMotA-LimbicB,4.485113,False
SomMotA-SalVentAttnA,0.260072,False
SomMotA-SalVentAttnB,11.825957,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,8.624998,False
