network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,10.484892,False
ContA-ContC,13.627793,False
ContA-DefaultA,12.621577,False
ContA-DefaultB,7.484942,False
ContA-DefaultC,6.663137,False
ContA-DorsAttnA,0.813018,False
ContA-DorsAttnB,0.907147,False
ContA-LimbicA,11.02214,False
ContA-LimbicB,5.563215,False
ContA-SalVentAttnA,10.411387,False
ContA-SalVentAttnB,6.984897,False
ContA-SomMotA,3.925972,False
ContA-SomMotB,1.702048,False
ContA-TempPar,2.343945,False
ContA-VisCent,2.716846,False
ContA-VisPeri,0.727634,False
ContB-ContA,1.731697,False
ContB-ContB,0.0,True
ContB-ContC,10.405539,False
ContB-DefaultA,6.338004,False
ContB-DefaultB,9.651306,False
ContB-DefaultC,7.624859,False
ContB-DorsAttnA,1.057857,False
ContB-DorsAttnB,0.277726,False
ContB-LimbicA,13.242653,False
ContB-LimbicB,5.212946,False
ContB-SalVentAttnA,5.888927,False
ContB-SalVentAttnB,2.123388,False
ContB-SomMotA,2.261951,False
ContB-SomMotB,4.848288,False
ContB-TempPar,3.262168,False
ContB-VisCent,4.859384,False
ContB-VisPeri,0.247423,False
ContC-ContA,6.591668,False
ContC-ContB,3.443681,False
ContC-ContC,0.0,True
ContC-DefaultA,5.286796,False
ContC-DefaultB,3.464925,False
ContC-DefaultC,3.308428,False
ContC-DorsAttnA,2.888458,False
ContC-DorsAttnB,0.524088,False
ContC-LimbicA,0.45856,False
ContC-LimbicB,0.456699,False
ContC-SalVentAttnA,1.82103,False
ContC-SalVentAttnB,1.215679,False
ContC-SomMotA,2.622112,False
ContC-SomMotB,0.584216,False
ContC-TempPar,4.097481,False
ContC-VisCent,2.642918,False
ContC-VisPeri,2.768019,False
DefaultA-ContA,0.787523,False
DefaultA-ContB,0.830488,False
DefaultA-ContC,21.131994,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,1.729515,False
DefaultA-DefaultC,1.796096,False
DefaultA-DorsAttnA,0.797374,False
DefaultA-DorsAttnB,5.885375,False
DefaultA-LimbicA,0.607731,False
DefaultA-LimbicB,3.988207,False
DefaultA-SalVentAttnA,1.327854,False
DefaultA-SalVentAttnB,0.769877,False
DefaultA-SomMotA,0.571588,False
DefaultA-SomMotB,0.802022,False
DefaultA-TempPar,2.860266,False
DefaultA-VisCent,3.52815,False
DefaultA-VisPeri,2.862152,False
DefaultB-ContA,0.561872,False
DefaultB-ContB,0.139104,False
DefaultB-ContC,21.821317,False
DefaultB-DefaultA,7.896344,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,11.464559,False
DefaultB-DorsAttnA,7.515289,False
DefaultB-DorsAttnB,2.54635,False
DefaultB-LimbicA,2.218483,False
DefaultB-LimbicB,2.551478,False
DefaultB-SalVentAttnA,3.993325,False
DefaultB-SalVentAttnB,0.106456,False
DefaultB-SomMotA,1.654705,False
DefaultB-SomMotB,2.810446,False
DefaultB-TempPar,5.267726,False
DefaultB-VisCent,3.65958,False
DefaultB-VisPeri,0.454176,False
DefaultC-ContA,0.353079,False
DefaultC-ContB,2.307719,False
DefaultC-ContC,8.93878,False
DefaultC-DefaultA,6.772853,False
DefaultC-DefaultB,26.082456,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,7.610016,False
DefaultC-DorsAttnB,1.444507,False
