network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,8.984895,False
ContA-ContC,0.76616,False
ContA-DefaultA,4.926978,False
ContA-DefaultB,5.941844,False
ContA-DefaultC,3.332162,False
ContA-DorsAttnA,1.610527,False
ContA-DorsAttnB,5.908679,False
ContA-LimbicA,40.787781,False
ContA-LimbicB,10.886297,False
ContA-SalVentAttnA,4.886574,False
ContA-SalVentAttnB,8.432126,False
ContA-SomMotA,12.200523,False
ContA-SomMotB,0.820429,False
ContA-TempPar,1.324343,False
ContA-VisCent,1.169746,False
ContA-VisPeri,2.751171,False
ContB-ContA,9.573706,False
ContB-ContB,0.0,True
ContB-ContC,0.74707,False
ContB-DefaultA,1.838989,False
ContB-DefaultB,3.625201,False
ContB-DefaultC,2.770272,False
ContB-DorsAttnA,1.715693,False
ContB-DorsAttnB,1.541348,False
ContB-LimbicA,8.952709,False
ContB-LimbicB,2.716438,False
ContB-SalVentAttnA,2.055357,False
ContB-SalVentAttnB,1.460954,False
ContB-SomMotA,5.912705,False
ContB-SomMotB,0.681121,False
ContB-TempPar,1.545536,False
ContB-VisCent,0.301828,False
ContB-VisPeri,8.215535,False
ContC-ContA,5.574639,False
ContC-ContB,1.412228,False
ContC-ContC,0.0,True
ContC-DefaultA,18.115957,False
ContC-DefaultB,5.590549,False
ContC-DefaultC,0.161421,False
ContC-DorsAttnA,2.248098,False
ContC-DorsAttnB,2.831141,False
ContC-LimbicA,4.480168,False
ContC-LimbicB,5.287923,False
ContC-SalVentAttnA,3.079199,False
ContC-SalVentAttnB,6.233606,False
ContC-SomMotA,1.027136,False
ContC-SomMotB,1.079235,False
ContC-TempPar,0.529391,False
ContC-VisCent,0.469371,False
ContC-VisPeri,0.104039,False
DefaultA-ContA,0.86098,False
DefaultA-ContB,0.157163,False
DefaultA-ContC,11.683103,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,11.465974,False
DefaultA-DefaultC,1.68598,False
DefaultA-DorsAttnA,2.026665,False
DefaultA-DorsAttnB,0.747095,False
DefaultA-LimbicA,1.071552,False
DefaultA-LimbicB,3.8117,False
DefaultA-SalVentAttnA,1.106393,False
DefaultA-SalVentAttnB,1.445549,False
DefaultA-SomMotA,1.403785,False
DefaultA-SomMotB,1.473075,False
DefaultA-TempPar,1.381113,False
DefaultA-VisCent,0.379121,False
DefaultA-VisPeri,0.117927,False
DefaultB-ContA,3.06156,False
DefaultB-ContB,1.123492,False
DefaultB-ContC,3.19325,False
DefaultB-DefaultA,5.096563,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.40058,False
DefaultB-DorsAttnA,4.222322,False
DefaultB-DorsAttnB,1.505601,False
DefaultB-LimbicA,2.324839,False
DefaultB-LimbicB,5.545847,False
DefaultB-SalVentAttnA,3.61316,False
DefaultB-SalVentAttnB,5.004544,False
DefaultB-SomMotA,1.033444,False
DefaultB-SomMotB,0.691761,False
DefaultB-TempPar,3.665328,False
DefaultB-VisCent,0.01667,False
DefaultB-VisPeri,1.158907,False
DefaultC-ContA,0.715835,False
DefaultC-ContB,6.011242,False
DefaultC-ContC,0.623166,False
DefaultC-DefaultA,1.330018,False
DefaultC-DefaultB,24.117927,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.830836,False
DefaultC-DorsAttnB,1.495645,False
DefaultC-LimbicA,0.731309,False
DefaultC-LimbicB,1.466405,False
DefaultC-SalVentAttnA,1.398882,False
DefaultC-SalVentAttnB,0.711678,False
DefaultC-SomMotA,1.736339,False
DefaultC-SomMotB,0.864697,False
DefaultC-TempPar,8.083952,False
DefaultC-VisCent,0.457552,False
DefaultC-VisPeri,0.97718,False
DorsAttnA-ContA,1.659016,False
DorsAttnA-ContB,2.02774,False
DorsAttnA-ContC,1.830163,False
DorsAttnA-DefaultA,6.641983,False
DorsAttnA-DefaultB,8.101718,False
DorsAttnA-DefaultC,2.337198,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,12.103888,False
DorsAttnA-LimbicA,0.573041,False
DorsAttnA-LimbicB,2.182318,False
DorsAttnA-SalVentAttnA,0.650571,False
DorsAttnA-SalVentAttnB,0.301489,False
DorsAttnA-SomMotA,5.498951,False
DorsAttnA-SomMotB,0.298996,False
DorsAttnA-TempPar,6.781295,False
DorsAttnA-VisCent,1.113804,False
DorsAttnA-VisPeri,11.712239,False
DorsAttnB-ContA,4.145153,False
DorsAttnB-ContB,6.675587,False
DorsAttnB-ContC,0.205784,False
DorsAttnB-DefaultA,1.443011,False
DorsAttnB-DefaultB,2.009107,False
DorsAttnB-DefaultC,0.807689,False
DorsAttnB-DorsAttnA,3.171856,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,8.282059,False
DorsAttnB-LimbicB,1.296889,False
DorsAttnB-SalVentAttnA,4.022735,False
DorsAttnB-SalVentAttnB,1.829779,False
DorsAttnB-SomMotA,2.188991,False
DorsAttnB-SomMotB,0.416668,False
DorsAttnB-TempPar,1.950667,False
DorsAttnB-VisCent,0.512486,False
DorsAttnB-VisPeri,3.303008,False
LimbicA-ContA,24.16165,False
LimbicA-ContB,5.243671,False
LimbicA-ContC,5.178396,False
LimbicA-DefaultA,2.611547,False
LimbicA-DefaultB,6.720528,False
LimbicA-DefaultC,1.404586,False
LimbicA-DorsAttnA,0.670308,False
LimbicA-DorsAttnB,7.362901,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,14.955415,False
LimbicA-SalVentAttnA,5.909105,False
LimbicA-SalVentAttnB,6.415652,False
LimbicA-SomMotA,2.960798,False
LimbicA-SomMotB,0.309538,False
LimbicA-TempPar,0.455706,False
LimbicA-VisCent,0.898921,False
LimbicA-VisPeri,1.086029,False
LimbicB-ContA,8.219003,False
LimbicB-ContB,2.546347,False
LimbicB-ContC,8.016475,False
LimbicB-DefaultA,9.767803,False
LimbicB-DefaultB,9.987373,False
LimbicB-DefaultC,1.073361,False
LimbicB-DorsAttnA,4.005354,False
LimbicB-DorsAttnB,4.374002,False
LimbicB-LimbicA,20.298684,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,11.976068,False
LimbicB-SalVentAttnB,12.371196,False
LimbicB-SomMotA,5.402214,False
LimbicB-SomMotB,1.36702,False
LimbicB-TempPar,1.914552,False
LimbicB-VisCent,0.750243,False
