network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,23.200241,False
ContA-ContC,5.063846,False
ContA-DefaultA,5.954689,False
ContA-DefaultB,4.613824,False
ContA-DefaultC,0.321582,False
ContA-DorsAttnA,0.219716,False
ContA-DorsAttnB,0.238224,False
ContA-LimbicA,23.709058,False
ContA-LimbicB,16.906266,False
ContA-SalVentAttnA,2.32222,False
ContA-SalVentAttnB,12.295668,False
ContA-SomMotA,7.263489,False
ContA-SomMotB,3.449667,False
ContA-TempPar,0.310681,False
ContA-VisCent,0.432041,False
ContA-VisPeri,6.068744,False
ContB-ContA,3.335852,False
ContB-ContB,0.0,True
ContB-ContC,3.627348,False
ContB-DefaultA,0.925518,False
ContB-DefaultB,1.775444,False
ContB-DefaultC,0.066478,False
ContB-DorsAttnA,0.144493,False
ContB-DorsAttnB,0.562374,False
ContB-LimbicA,5.851719,False
ContB-LimbicB,1.534279,False
ContB-SalVentAttnA,0.462322,False
ContB-SalVentAttnB,0.829926,False
ContB-SomMotA,3.906861,False
ContB-SomMotB,1.32342,False
ContB-TempPar,0.104369,False
ContB-VisCent,0.638859,False
ContB-VisPeri,2.261079,False
ContC-ContA,1.423804,False
ContC-ContB,0.732476,False
ContC-ContC,0.0,True
ContC-DefaultA,6.908714,False
ContC-DefaultB,1.381932,False
ContC-DefaultC,1.873665,False
ContC-DorsAttnA,0.702682,False
ContC-DorsAttnB,0.606519,False
ContC-LimbicA,0.541246,False
ContC-LimbicB,2.989388,False
ContC-SalVentAttnA,0.122103,False
ContC-SalVentAttnB,4.13559,False
ContC-SomMotA,0.223866,False
ContC-SomMotB,0.887498,False
ContC-TempPar,0.400081,False
ContC-VisCent,0.259079,False
ContC-VisPeri,1.13693,False
DefaultA-ContA,1.884596,False
DefaultA-ContB,3.906521,False
DefaultA-ContC,25.349562,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,3.169582,False
DefaultA-DefaultC,0.730113,False
DefaultA-DorsAttnA,1.649521,False
DefaultA-DorsAttnB,0.035034,False
DefaultA-LimbicA,0.26427,False
DefaultA-LimbicB,1.405873,False
DefaultA-SalVentAttnA,0.229002,False
DefaultA-SalVentAttnB,1.708834,False
DefaultA-SomMotA,3.485107,False
DefaultA-SomMotB,0.125783,False
DefaultA-TempPar,0.159036,False
DefaultA-VisCent,0.840944,False
DefaultA-VisPeri,1.363362,False
DefaultB-ContA,0.037566,False
DefaultB-ContB,2.254669,False
DefaultB-ContC,11.391261,False
DefaultB-DefaultA,8.149503,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.957429,False
DefaultB-DorsAttnA,1.454766,False
DefaultB-DorsAttnB,0.122369,False
DefaultB-LimbicA,0.927588,False
DefaultB-LimbicB,0.538632,False
DefaultB-SalVentAttnA,6.946825,False
DefaultB-SalVentAttnB,1.34941,False
DefaultB-SomMotA,0.632545,False
DefaultB-SomMotB,0.164755,False
DefaultB-TempPar,1.127388,False
DefaultB-VisCent,0.043013,False
DefaultB-VisPeri,0.935591,False
DefaultC-ContA,1.351233,False
DefaultC-ContB,3.104734,False
DefaultC-ContC,1.779968,False
DefaultC-DefaultA,0.875122,False
DefaultC-DefaultB,14.543621,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.357464,False
DefaultC-DorsAttnB,2.9012,False
DefaultC-LimbicA,1.568873,False
DefaultC-LimbicB,0.333466,False
DefaultC-SalVentAttnA,4.644489,False
DefaultC-SalVentAttnB,0.204585,False
DefaultC-SomMotA,1.518684,False
DefaultC-SomMotB,0.704972,False
DefaultC-TempPar,1.697595,False
DefaultC-VisCent,0.207309,False
DefaultC-VisPeri,2.332798,False
DorsAttnA-ContA,7.274884,False
DorsAttnA-ContB,0.746989,False
DorsAttnA-ContC,1.453656,False
DorsAttnA-DefaultA,2.804132,False
DorsAttnA-DefaultB,1.996161,False
DorsAttnA-DefaultC,1.435054,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,2.140458,False
DorsAttnA-LimbicA,0.387381,False
DorsAttnA-LimbicB,1.512898,False
DorsAttnA-SalVentAttnA,1.780141,False
DorsAttnA-SalVentAttnB,1.192691,False
DorsAttnA-SomMotA,0.844256,False
DorsAttnA-SomMotB,0.4261,False
DorsAttnA-TempPar,4.650504,False
DorsAttnA-VisCent,2.037282,False
DorsAttnA-VisPeri,1.744407,False
DorsAttnB-ContA,2.464026,False
DorsAttnB-ContB,8.990654,False
DorsAttnB-ContC,0.447687,False
DorsAttnB-DefaultA,1.609259,False
DorsAttnB-DefaultB,1.108368,False
DorsAttnB-DefaultC,0.479259,False
DorsAttnB-DorsAttnA,3.145432,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.763909,False
DorsAttnB-LimbicB,1.225256,False
DorsAttnB-SalVentAttnA,0.54332,False
DorsAttnB-SalVentAttnB,0.409396,False
DorsAttnB-SomMotA,1.150678,False
DorsAttnB-SomMotB,8.162851,False
DorsAttnB-TempPar,0.874182,False
DorsAttnB-VisCent,3.42407,False
DorsAttnB-VisPeri,2.573742,False
LimbicA-ContA,14.838452,False
LimbicA-ContB,19.717065,False
LimbicA-ContC,7.527879,False
LimbicA-DefaultA,19.074799,False
LimbicA-DefaultB,2.047672,False
LimbicA-DefaultC,0.613455,False
LimbicA-DorsAttnA,0.956483,False
LimbicA-DorsAttnB,0.628844,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,23.665503,False
LimbicA-SalVentAttnA,5.43301,False
LimbicA-SalVentAttnB,13.61104,False
LimbicA-SomMotA,7.628412,False
LimbicA-SomMotB,1.208987,False
LimbicA-TempPar,0.142258,False
LimbicA-VisCent,0.026862,False
LimbicA-VisPeri,4.972813,False
LimbicB-ContA,6.27989,False
LimbicB-ContB,9.532044,False
LimbicB-ContC,0.986427,False
LimbicB-DefaultA,7.580065,False
LimbicB-DefaultB,4.091462,False
LimbicB-DefaultC,0.96642,False
LimbicB-DorsAttnA,0.072573,False
LimbicB-DorsAttnB,1.054223,False
LimbicB-LimbicA,8.597739,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,4.069905,False
LimbicB-SalVentAttnB,18.146091,False
LimbicB-SomMotA,5.498231,False
LimbicB-SomMotB,0.249326,False
LimbicB-TempPar,2.269503,False
LimbicB-VisCent,0.047588,False
LimbicB-VisPeri,3.847599,False
SalVentAttnA-ContA,0.731028,False
SalVentAttnA-ContB,0.540006,False
SalVentAttnA-ContC,0.640471,False
SalVentAttnA-DefaultA,0.534475,False
SalVentAttnA-DefaultB,2.821902,False
SalVentAttnA-DefaultC,0.110175,False
SalVentAttnA-DorsAttnA,1.465603,False
SalVentAttnA-DorsAttnB,1.142793,False
SalVentAttnA-LimbicA,0.598929,False
SalVentAttnA-LimbicB,1.098752,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.001676,False
SalVentAttnA-SomMotA,2.082869,False
SalVentAttnA-SomMotB,2.449005,False
SalVentAttnA-TempPar,4.374472,False
SalVentAttnA-VisCent,0.267755,False
SalVentAttnA-VisPeri,3.404592,False
SalVentAttnB-ContA,13.978013,False
SalVentAttnB-ContB,18.785837,False
SalVentAttnB-ContC,7.260358,False
SalVentAttnB-DefaultA,14.977578,False
SalVentAttnB-DefaultB,2.896407,False
SalVentAttnB-DefaultC,0.795321,False
SalVentAttnB-DorsAttnA,0.14212,False
SalVentAttnB-DorsAttnB,1.592494,False
SalVentAttnB-LimbicA,14.447364,False
SalVentAttnB-LimbicB,34.907402,False
SalVentAttnB-SalVentAttnA,9.68367,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,7.716451,False
SalVentAttnB-SomMotB,4.422165,False
SalVentAttnB-TempPar,1.966655,False
SalVentAttnB-VisCent,0.005274,False
SalVentAttnB-VisPeri,9.191358,False
SomMotA-ContA,9.476016,False
SomMotA-ContB,18.702754,False
SomMotA-ContC,5.644096,False
SomMotA-DefaultA,8.680094,False
SomMotA-DefaultB,6.181705,False
SomMotA-DefaultC,0.203655,False
SomMotA-DorsAttnA,3.183495,False
SomMotA-DorsAttnB,7.249327,False
SomMotA-LimbicA,13.608824,False
SomMotA-LimbicB,20.086304,False
SomMotA-SalVentAttnA,7.108044,False
SomMotA-SalVentAttnB,15.564977,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,2.80969,False
SomMotA-TempPar,1.984634,False
SomMotA-VisCent,0.52726,False
SomMotA-VisPeri,11.549149,False
SomMotB-ContA,0.990915,False
SomMotB-ContB,0.396076,False
SomMotB-ContC,2.640031,False
SomMotB-DefaultA,0.741992,False
SomMotB-DefaultB,0.44522,False
SomMotB-DefaultC,0.536899,False
SomMotB-DorsAttnA,5.757171,False
SomMotB-DorsAttnB,3.558989,False
SomMotB-LimbicA,0.649885,False
SomMotB-LimbicB,0.628643,False
SomMotB-SalVentAttnA,0.718751,False
SomMotB-SalVentAttnB,2.560922,False
SomMotB-SomMotA,1.081592,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,0.506362,False
SomMotB-VisCent,0.680945,False
SomMotB-VisPeri,2.249744,False
TempPar-ContA,5.345072,False
TempPar-ContB,3.246598,False
TempPar-ContC,0.200995,False
TempPar-DefaultA,1.210201,False
TempPar-DefaultB,1.576681,False
TempPar-DefaultC,2.252454,False
TempPar-DorsAttnA,0.207479,False
TempPar-DorsAttnB,2.13914,False
TempPar-LimbicA,4.186728,False
TempPar-LimbicB,3.438206,False
TempPar-SalVentAttnA,6.218976,False
TempPar-SalVentAttnB,1.612974,False
TempPar-SomMotA,2.384013,False
TempPar-SomMotB,2.101055,False
TempPar-TempPar,0.0,True
TempPar-VisCent,4.427127,False
