network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,5.340959,False
ContA-ContC,2.375823,False
ContA-DefaultA,2.664278,False
ContA-DefaultB,1.211637,False
ContA-DefaultC,2.501472,False
ContA-DorsAttnA,1.446911,False
ContA-DorsAttnB,0.10274,False
ContA-LimbicA,8.51089,False
ContA-LimbicB,6.541437,False
ContA-SalVentAttnA,1.216916,False
ContA-SalVentAttnB,3.906209,False
ContA-SomMotA,6.644731,False
ContA-SomMotB,1.342691,False
ContA-TempPar,1.013704,False
ContA-VisCent,4.082777,False
ContA-VisPeri,4.471535,False
ContB-ContA,1.252534,False
ContB-ContB,0.0,True
ContB-ContC,0.642751,False
ContB-DefaultA,1.33539,False
ContB-DefaultB,1.182393,False
ContB-DefaultC,1.995632,False
ContB-DorsAttnA,3.50543,False
ContB-DorsAttnB,0.582084,False
ContB-LimbicA,0.468015,False
ContB-LimbicB,4.296054,False
ContB-SalVentAttnA,0.510629,False
ContB-SalVentAttnB,0.037796,False
ContB-SomMotA,4.772895,False
ContB-SomMotB,4.146659,False
ContB-TempPar,0.03552,False
ContB-VisCent,0.981755,False
ContB-VisPeri,2.667679,False
ContC-ContA,1.237223,False
ContC-ContB,1.296114,False
ContC-ContC,0.0,True
ContC-DefaultA,20.993215,False
ContC-DefaultB,14.963704,False
ContC-DefaultC,0.886839,False
ContC-DorsAttnA,3.439879,False
ContC-DorsAttnB,3.177784,False
ContC-LimbicA,0.979823,False
ContC-LimbicB,7.167469,False
ContC-SalVentAttnA,0.662136,False
ContC-SalVentAttnB,6.877434,False
ContC-SomMotA,0.973111,False
ContC-SomMotB,0.884148,False
ContC-TempPar,0.277145,False
ContC-VisCent,0.513519,False
ContC-VisPeri,2.376675,False
DefaultA-ContA,0.222779,False
DefaultA-ContB,1.458098,False
DefaultA-ContC,12.222254,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,18.840294,False
DefaultA-DefaultC,1.999877,False
DefaultA-DorsAttnA,5.033038,False
DefaultA-DorsAttnB,1.40635,False
DefaultA-LimbicA,0.457149,False
DefaultA-LimbicB,5.061511,False
DefaultA-SalVentAttnA,1.830284,False
DefaultA-SalVentAttnB,5.50026,False
DefaultA-SomMotA,11.151918,False
DefaultA-SomMotB,9.009852,False
DefaultA-TempPar,0.372407,False
DefaultA-VisCent,3.57058,False
DefaultA-VisPeri,4.140201,False
DefaultB-ContA,0.414115,False
DefaultB-ContB,3.769513,False
DefaultB-ContC,1.368465,False
DefaultB-DefaultA,9.181802,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,7.130541,False
DefaultB-DorsAttnA,12.785211,False
DefaultB-DorsAttnB,2.321436,False
DefaultB-LimbicA,0.864996,False
DefaultB-LimbicB,3.102656,False
DefaultB-SalVentAttnA,2.52898,False
DefaultB-SalVentAttnB,0.865416,False
DefaultB-SomMotA,3.693427,False
DefaultB-SomMotB,3.19149,False
DefaultB-TempPar,2.524681,False
DefaultB-VisCent,1.267379,False
DefaultB-VisPeri,1.990942,False
DefaultC-ContA,0.968013,False
DefaultC-ContB,4.118855,False
DefaultC-ContC,4.146612,False
DefaultC-DefaultA,5.864993,False
DefaultC-DefaultB,14.275375,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,8.540415,False
DefaultC-DorsAttnB,8.762353,False
DefaultC-LimbicA,1.28155,False
DefaultC-LimbicB,0.006823,False
DefaultC-SalVentAttnA,0.000468,False
DefaultC-SalVentAttnB,1.885817,False
DefaultC-SomMotA,0.940243,False
DefaultC-SomMotB,1.93591,False
DefaultC-TempPar,5.160438,False
DefaultC-VisCent,1.77563,False
DefaultC-VisPeri,0.365368,False
DorsAttnA-ContA,0.552361,False
DorsAttnA-ContB,0.780262,False
DorsAttnA-ContC,2.044591,False
DorsAttnA-DefaultA,3.203469,False
DorsAttnA-DefaultB,15.672965,False
DorsAttnA-DefaultC,10.106607,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,15.417799,False
DorsAttnA-LimbicA,0.143753,False
