network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.049963,False
ContA-ContC,0.776602,False
ContA-DefaultA,0.734698,False
ContA-DefaultB,1.389983,False
ContA-DefaultC,0.661136,False
ContA-DorsAttnA,0.891756,False
ContA-DorsAttnB,1.386432,False
ContA-LimbicA,10.246164,False
ContA-LimbicB,2.775646,False
ContA-SalVentAttnA,1.178166,False
ContA-SalVentAttnB,1.021183,False
ContA-SomMotA,8.820958,False
ContA-SomMotB,2.492826,False
ContA-TempPar,3.94558,False
ContA-VisCent,5.392034,False
ContA-VisPeri,5.325682,False
ContB-ContA,1.244521,False
ContB-ContB,0.0,True
ContB-ContC,0.229672,False
ContB-DefaultA,0.342271,False
ContB-DefaultB,0.298059,False
ContB-DefaultC,0.540098,False
ContB-DorsAttnA,1.478083,False
ContB-DorsAttnB,1.194602,False
ContB-LimbicA,1.819077,False
ContB-LimbicB,2.500005,False
ContB-SalVentAttnA,1.783277,False
ContB-SalVentAttnB,0.413366,False
ContB-SomMotA,2.135602,False
ContB-SomMotB,4.551311,False
ContB-TempPar,2.3443,False
ContB-VisCent,2.096553,False
ContB-VisPeri,1.467734,False
ContC-ContA,0.304743,False
ContC-ContB,0.094312,False
ContC-ContC,0.0,True
ContC-DefaultA,2.780298,False
ContC-DefaultB,0.545527,False
ContC-DefaultC,1.812948,False
ContC-DorsAttnA,3.941457,False
ContC-DorsAttnB,2.275008,False
ContC-LimbicA,2.642891,False
ContC-LimbicB,4.697458,False
ContC-SalVentAttnA,1.595047,False
ContC-SalVentAttnB,0.702511,False
ContC-SomMotA,2.210578,False
ContC-SomMotB,2.273802,False
ContC-TempPar,1.473201,False
ContC-VisCent,2.371142,False
ContC-VisPeri,2.896504,False
DefaultA-ContA,1.287298,False
DefaultA-ContB,2.202936,False
DefaultA-ContC,13.598381,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,2.06941,False
DefaultA-DefaultC,2.726384,False
DefaultA-DorsAttnA,4.666332,False
DefaultA-DorsAttnB,4.328126,False
DefaultA-LimbicA,1.700225,False
DefaultA-LimbicB,3.685163,False
DefaultA-SalVentAttnA,3.219342,False
DefaultA-SalVentAttnB,1.173024,False
DefaultA-SomMotA,3.089028,False
DefaultA-SomMotB,3.315126,False
DefaultA-TempPar,2.906114,False
DefaultA-VisCent,2.347235,False
DefaultA-VisPeri,0.993512,False
DefaultB-ContA,5.935045,False
DefaultB-ContB,4.392193,False
DefaultB-ContC,2.453631,False
DefaultB-DefaultA,4.709496,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,5.525941,False
DefaultB-DorsAttnA,4.329924,False
DefaultB-DorsAttnB,8.201714,False
DefaultB-LimbicA,5.55461,False
DefaultB-LimbicB,2.404701,False
DefaultB-SalVentAttnA,2.874306,False
DefaultB-SalVentAttnB,1.636644,False
DefaultB-SomMotA,7.497795,False
DefaultB-SomMotB,2.655753,False
DefaultB-TempPar,7.375086,False
DefaultB-VisCent,1.455383,False
DefaultB-VisPeri,3.842529,False
DefaultC-ContA,11.569096,False
DefaultC-ContB,4.126181,False
DefaultC-ContC,0.989733,False
DefaultC-DefaultA,1.64776,False
DefaultC-DefaultB,15.985796,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,4.265915,False
DefaultC-DorsAttnB,7.590389,False
DefaultC-LimbicA,7.691654,False
DefaultC-LimbicB,1.346182,False
DefaultC-SalVentAttnA,1.061387,False
DefaultC-SalVentAttnB,6.735731,False
DefaultC-SomMotA,8.468006,False
DefaultC-SomMotB,2.164306,False
DefaultC-TempPar,8.975574,False
DefaultC-VisCent,3.042357,False
DefaultC-VisPeri,4.873191,False
DorsAttnA-ContA,4.279133,False
DorsAttnA-ContB,1.452074,False
DorsAttnA-ContC,1.759827,False
DorsAttnA-DefaultA,3.912841,False
DorsAttnA-DefaultB,4.528596,False
DorsAttnA-DefaultC,3.820261,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,6.919068,False
DorsAttnA-LimbicA,2.521694,False
DorsAttnA-LimbicB,1.915741,False
DorsAttnA-SalVentAttnA,11.626725,False
DorsAttnA-SalVentAttnB,3.058904,False
DorsAttnA-SomMotA,1.709847,False
DorsAttnA-SomMotB,9.55813,False
DorsAttnA-TempPar,6.766705,False
DorsAttnA-VisCent,1.464279,False
DorsAttnA-VisPeri,1.147614,False
DorsAttnB-ContA,0.649391,False
DorsAttnB-ContB,0.541534,False
DorsAttnB-ContC,2.473024,False
DorsAttnB-DefaultA,3.61386,False
DorsAttnB-DefaultB,2.713615,False
DorsAttnB-DefaultC,2.647895,False
DorsAttnB-DorsAttnA,0.341856,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.849951,False
DorsAttnB-LimbicB,2.856347,False
DorsAttnB-SalVentAttnA,0.458297,False
DorsAttnB-SalVentAttnB,0.969238,False
DorsAttnB-SomMotA,3.345767,False
DorsAttnB-SomMotB,0.637028,False
DorsAttnB-TempPar,3.839916,False
DorsAttnB-VisCent,2.447572,False
DorsAttnB-VisPeri,3.326646,False
LimbicA-ContA,13.620096,False
LimbicA-ContB,2.526528,False
LimbicA-ContC,3.832484,False
LimbicA-DefaultA,0.571471,False
LimbicA-DefaultB,1.660769,False
LimbicA-DefaultC,1.710884,False
LimbicA-DorsAttnA,0.858422,False
LimbicA-DorsAttnB,0.393674,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,5.459741,False
LimbicA-SalVentAttnA,0.837384,False
LimbicA-SalVentAttnB,6.170258,False
LimbicA-SomMotA,6.650534,False
