network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,5.551523,False
ContA-ContC,5.412674,False
ContA-DefaultA,3.31933,False
ContA-DefaultB,9.866315,False
ContA-DefaultC,1.665622,False
ContA-DorsAttnA,2.133526,False
ContA-DorsAttnB,1.889927,False
ContA-LimbicA,36.315693,False
ContA-LimbicB,10.847183,False
ContA-SalVentAttnA,4.286495,False
ContA-SalVentAttnB,4.748329,False
ContA-SomMotA,5.146403,False
ContA-SomMotB,0.519642,False
ContA-TempPar,0.240811,False
ContA-VisCent,3.959826,False
ContA-VisPeri,3.591141,False
ContB-ContA,1.755527,False
ContB-ContB,0.0,True
ContB-ContC,0.424167,False
ContB-DefaultA,0.106354,False
ContB-DefaultB,3.335931,False
ContB-DefaultC,0.640175,False
ContB-DorsAttnA,2.630718,False
ContB-DorsAttnB,0.910213,False
ContB-LimbicA,6.026224,False
ContB-LimbicB,2.870078,False
ContB-SalVentAttnA,10.748702,False
ContB-SalVentAttnB,0.762333,False
ContB-SomMotA,5.122862,False
ContB-SomMotB,0.265695,False
ContB-TempPar,1.675031,False
ContB-VisCent,0.448088,False
ContB-VisPeri,0.740684,False
ContC-ContA,5.932249,False
ContC-ContB,0.02509,False
ContC-ContC,0.0,True
ContC-DefaultA,2.275224,False
ContC-DefaultB,1.596042,False
ContC-DefaultC,0.251052,False
ContC-DorsAttnA,1.480398,False
ContC-DorsAttnB,0.360208,False
ContC-LimbicA,4.637931,False
ContC-LimbicB,1.421583,False
ContC-SalVentAttnA,1.675689,False
ContC-SalVentAttnB,1.147362,False
ContC-SomMotA,3.8898,False
ContC-SomMotB,0.828664,False
ContC-TempPar,4.492574,False
ContC-VisCent,1.226455,False
ContC-VisPeri,2.461974,False
DefaultA-ContA,0.082636,False
DefaultA-ContB,1.141462,False
DefaultA-ContC,1.86082,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,1.238108,False
DefaultA-DefaultC,2.450675,False
DefaultA-DorsAttnA,3.815633,False
DefaultA-DorsAttnB,0.733813,False
DefaultA-LimbicA,1.300686,False
DefaultA-LimbicB,2.479131,False
DefaultA-SalVentAttnA,1.563476,False
DefaultA-SalVentAttnB,0.32318,False
DefaultA-SomMotA,0.90207,False
DefaultA-SomMotB,0.928042,False
DefaultA-TempPar,0.803712,False
DefaultA-VisCent,1.541467,False
DefaultA-VisPeri,0.200345,False
DefaultB-ContA,6.470943,False
DefaultB-ContB,2.52334,False
DefaultB-ContC,1.793418,False
DefaultB-DefaultA,4.524992,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,7.442552,False
DefaultB-DorsAttnA,7.859557,False
DefaultB-DorsAttnB,1.151721,False
DefaultB-LimbicA,1.369512,False
DefaultB-LimbicB,5.115027,False
DefaultB-SalVentAttnA,3.475441,False
DefaultB-SalVentAttnB,2.055227,False
DefaultB-SomMotA,9.554173,False
DefaultB-SomMotB,6.205321,False
DefaultB-TempPar,7.186981,False
