network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,15.211304,False
ContA-ContC,1.342393,False
ContA-DefaultA,0.312129,False
ContA-DefaultB,2.123192,False
ContA-DefaultC,4.549157,False
ContA-DorsAttnA,0.133981,False
ContA-DorsAttnB,0.570906,False
ContA-LimbicA,14.624283,False
ContA-LimbicB,9.958718,False
ContA-SalVentAttnA,1.260617,False
ContA-SalVentAttnB,3.756139,False
ContA-SomMotA,11.203743,False
ContA-SomMotB,9.072316,False
ContA-TempPar,1.105136,False
ContA-VisCent,3.423993,False
ContA-VisPeri,4.894694,False
ContB-ContA,3.821456,False
ContB-ContB,0.0,True
ContB-ContC,0.75929,False
ContB-DefaultA,1.006946,False
ContB-DefaultB,4.471018,False
ContB-DefaultC,9.332543,False
ContB-DorsAttnA,1.256057,False
ContB-DorsAttnB,1.288233,False
ContB-LimbicA,6.916702,False
ContB-LimbicB,3.011648,False
ContB-SalVentAttnA,0.56636,False
ContB-SalVentAttnB,0.815582,False
ContB-SomMotA,4.833914,False
ContB-SomMotB,7.599328,False
ContB-TempPar,4.350819,False
ContB-VisCent,5.315155,False
ContB-VisPeri,6.040967,False
ContC-ContA,4.94319,False
ContC-ContB,1.292359,False
ContC-ContC,0.0,True
ContC-DefaultA,3.323462,False
ContC-DefaultB,4.054509,False
ContC-DefaultC,8.445612,False
ContC-DorsAttnA,0.522455,False
ContC-DorsAttnB,0.285179,False
ContC-LimbicA,2.123975,False
ContC-LimbicB,2.141383,False
ContC-SalVentAttnA,1.611032,False
ContC-SalVentAttnB,0.518902,False
ContC-SomMotA,2.045252,False
ContC-SomMotB,1.752159,False
ContC-TempPar,1.295211,False
ContC-VisCent,6.43811,False
ContC-VisPeri,0.807279,False
DefaultA-ContA,6.154229,False
DefaultA-ContB,1.032632,False
DefaultA-ContC,24.891188,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,8.005526,False
DefaultA-DefaultC,9.11364,False
DefaultA-DorsAttnA,1.682649,False
DefaultA-DorsAttnB,0.368985,False
DefaultA-LimbicA,4.208205,False
DefaultA-LimbicB,11.268485,False
DefaultA-SalVentAttnA,2.513902,False
DefaultA-SalVentAttnB,5.814059,False
DefaultA-SomMotA,8.813743,False
DefaultA-SomMotB,3.968575,False
DefaultA-TempPar,2.276284,False
DefaultA-VisCent,1.989655,False
DefaultA-VisPeri,17.74811,False
DefaultB-ContA,4.561814,False
DefaultB-ContB,1.314264,False
DefaultB-ContC,0.836805,False
DefaultB-DefaultA,0.968951,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,16.160875,False
DefaultB-DorsAttnA,0.47242,False
DefaultB-DorsAttnB,0.53184,False
DefaultB-LimbicA,3.250077,False
DefaultB-LimbicB,12.224684,False
DefaultB-SalVentAttnA,2.276589,False
DefaultB-SalVentAttnB,5.676182,False
DefaultB-SomMotA,7.719936,False
DefaultB-SomMotB,3.347339,False
DefaultB-TempPar,6.630341,False
DefaultB-VisCent,0.10817,False
DefaultB-VisPeri,1.681869,False
DefaultC-ContA,2.85793,False
DefaultC-ContB,2.794811,False
DefaultC-ContC,2.285778,False
DefaultC-DefaultA,3.079889,False
DefaultC-DefaultB,0.512745,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.826551,False
DefaultC-DorsAttnB,1.435535,False
DefaultC-LimbicA,6.365168,False
DefaultC-LimbicB,1.269753,False
DefaultC-SalVentAttnA,0.23407,False
DefaultC-SalVentAttnB,1.406735,False
DefaultC-SomMotA,1.232539,False
DefaultC-SomMotB,3.572445,False
DefaultC-TempPar,1.207878,False
DefaultC-VisCent,0.209879,False
DefaultC-VisPeri,1.532612,False
DorsAttnA-ContA,0.132516,False
DorsAttnA-ContB,1.164316,False
DorsAttnA-ContC,2.169917,False
DorsAttnA-DefaultA,2.186494,False
DorsAttnA-DefaultB,3.613662,False
DorsAttnA-DefaultC,4.952485,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,4.594039,False
DorsAttnA-LimbicA,3.140772,False
DorsAttnA-LimbicB,0.187097,False
DorsAttnA-SalVentAttnA,0.611876,False
DorsAttnA-SalVentAttnB,1.720139,False
DorsAttnA-SomMotA,9.158083,False
DorsAttnA-SomMotB,6.485819,False
DorsAttnA-TempPar,8.449132,False
DorsAttnA-VisCent,6.236171,False
DorsAttnA-VisPeri,9.822703,False
DorsAttnB-ContA,5.638608,False
DorsAttnB-ContB,2.214025,False
DorsAttnB-ContC,0.241088,False
DorsAttnB-DefaultA,7.799484,False
DorsAttnB-DefaultB,0.716168,False
DorsAttnB-DefaultC,2.009812,False
DorsAttnB-DorsAttnA,4.476796,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,7.78959,False
DorsAttnB-LimbicB,9.078265,False
DorsAttnB-SalVentAttnA,1.173596,False
DorsAttnB-SalVentAttnB,0.914014,False
DorsAttnB-SomMotA,9.414956,False
DorsAttnB-SomMotB,12.946389,False
DorsAttnB-TempPar,8.137229,False
DorsAttnB-VisCent,2.024204,False
DorsAttnB-VisPeri,6.375162,False
LimbicA-ContA,23.601894,False
LimbicA-ContB,13.35539,False
LimbicA-ContC,5.800353,False
LimbicA-DefaultA,4.615827,False
LimbicA-DefaultB,2.502853,False
LimbicA-DefaultC,1.28241,False
LimbicA-DorsAttnA,1.129107,False
LimbicA-DorsAttnB,1.601935,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,19.651287,False
LimbicA-SalVentAttnA,1.895874,False
LimbicA-SalVentAttnB,16.122284,False
LimbicA-SomMotA,6.568727,False
LimbicA-SomMotB,7.259717,False
LimbicA-TempPar,4.126556,False
LimbicA-VisCent,2.279186,False
LimbicA-VisPeri,4.99107,False
LimbicB-ContA,2.538468,False
LimbicB-ContB,0.586071,False
LimbicB-ContC,4.19583,False
LimbicB-DefaultA,3.162565,False
LimbicB-DefaultB,6.848817,False
LimbicB-DefaultC,3.081261,False
LimbicB-DorsAttnA,0.57488,False
LimbicB-DorsAttnB,3.172711,False
LimbicB-LimbicA,4.965955,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,5.262556,False
LimbicB-SalVentAttnB,1.940041,False
LimbicB-SomMotA,7.35049,False
LimbicB-SomMotB,1.874176,False
LimbicB-TempPar,5.794037,False
LimbicB-VisCent,2.846566,False
LimbicB-VisPeri,5.228829,False
SalVentAttnA-ContA,0.340969,False
SalVentAttnA-ContB,0.90172,False
SalVentAttnA-ContC,1.258211,False
SalVentAttnA-DefaultA,0.236802,False
SalVentAttnA-DefaultB,1.722306,False
SalVentAttnA-DefaultC,2.253429,False
SalVentAttnA-DorsAttnA,9.329741,False
SalVentAttnA-DorsAttnB,3.432196,False
SalVentAttnA-LimbicA,0.338735,False
SalVentAttnA-LimbicB,2.885479,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.617159,False
SalVentAttnA-SomMotA,2.560072,False
SalVentAttnA-SomMotB,3.068591,False
SalVentAttnA-TempPar,0.239081,False
SalVentAttnA-VisCent,2.372286,False
SalVentAttnA-VisPeri,1.795655,False
SalVentAttnB-ContA,18.623115,False
SalVentAttnB-ContB,6.56123,False
SalVentAttnB-ContC,1.524439,False
SalVentAttnB-DefaultA,5.373159,False
SalVentAttnB-DefaultB,7.23265,False
SalVentAttnB-DefaultC,0.809868,False
SalVentAttnB-DorsAttnA,2.157538,False
SalVentAttnB-DorsAttnB,7.203539,False
SalVentAttnB-LimbicA,15.716506,False
SalVentAttnB-LimbicB,46.965443,False
SalVentAttnB-SalVentAttnA,3.73348,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,23.260862,False
SalVentAttnB-SomMotB,5.316962,False
SalVentAttnB-TempPar,5.369544,False
SalVentAttnB-VisCent,3.398964,False
SalVentAttnB-VisPeri,10.772795,False
SomMotA-ContA,8.697955,False
SomMotA-ContB,15.651673,False
SomMotA-ContC,0.252269,False
SomMotA-DefaultA,3.236774,False
SomMotA-DefaultB,3.325452,False
SomMotA-DefaultC,1.034742,False
SomMotA-DorsAttnA,1.665815,False
SomMotA-DorsAttnB,3.158794,False
SomMotA-LimbicA,3.290154,False
SomMotA-LimbicB,13.320231,False
SomMotA-SalVentAttnA,3.134427,False
SomMotA-SalVentAttnB,14.782502,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,9.484662,False
SomMotA-TempPar,4.015771,False
SomMotA-VisCent,10.631914,False
SomMotA-VisPeri,8.345285,False
SomMotB-ContA,7.966196,False
SomMotB-ContB,11.755979,False
SomMotB-ContC,0.177471,False
SomMotB-DefaultA,1.372286,False
SomMotB-DefaultB,5.088125,False
SomMotB-DefaultC,2.481199,False
SomMotB-DorsAttnA,0.520999,False
SomMotB-DorsAttnB,10.6669,False
SomMotB-LimbicA,5.20818,False
SomMotB-LimbicB,1.872255,False
SomMotB-SalVentAttnA,1.427815,False
SomMotB-SalVentAttnB,4.382717,False
SomMotB-SomMotA,6.292758,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,0.686419,False
SomMotB-VisCent,1.590231,False
SomMotB-VisPeri,2.937002,False
TempPar-ContA,3.344245,False
TempPar-ContB,1.908451,False
TempPar-ContC,1.275082,False
TempPar-DefaultA,1.064267,False
TempPar-DefaultB,0.090678,False
TempPar-DefaultC,3.608241,False
TempPar-DorsAttnA,0.011093,False
TempPar-DorsAttnB,6.234685,False
TempPar-LimbicA,4.617462,False
TempPar-LimbicB,5.656394,False
TempPar-SalVentAttnA,4.444006,False
TempPar-SalVentAttnB,2.97027,False
TempPar-SomMotA,4.740552,False
TempPar-SomMotB,8.519469,False
TempPar-TempPar,0.0,True
TempPar-VisCent,0.048087,False
TempPar-VisPeri,2.130808,False
VisCent-ContA,6.561067,False
VisCent-ContB,9.53237,False
VisCent-ContC,1.519006,False
VisCent-DefaultA,0.034355,False
VisCent-DefaultB,0.52287,False
VisCent-DefaultC,2.752584,False
VisCent-DorsAttnA,6.47954,False
