network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,5.573209,False
ContA-ContC,1.972406,False
ContA-DefaultA,0.071604,False
ContA-DefaultB,0.727438,False
ContA-DefaultC,0.741443,False
ContA-DorsAttnA,0.503974,False
ContA-DorsAttnB,0.501573,False
ContA-LimbicA,19.359495,False
ContA-LimbicB,5.927603,False
ContA-SalVentAttnA,1.386268,False
ContA-SalVentAttnB,2.518428,False
ContA-SomMotA,5.163025,False
ContA-SomMotB,2.190923,False
ContA-TempPar,3.49464,False
ContA-VisCent,0.073294,False
ContA-VisPeri,5.465127,False
ContB-ContA,2.723104,False
ContB-ContB,0.0,True
ContB-ContC,5.554745,False
ContB-DefaultA,4.555064,False
ContB-DefaultB,1.270338,False
ContB-DefaultC,2.925621,False
ContB-DorsAttnA,4.740014,False
ContB-DorsAttnB,3.382504,False
ContB-LimbicA,7.743191,False
ContB-LimbicB,10.093007,False
ContB-SalVentAttnA,2.931641,False
ContB-SalVentAttnB,3.254681,False
ContB-SomMotA,10.303589,False
ContB-SomMotB,4.372094,False
ContB-TempPar,2.527286,False
ContB-VisCent,0.420067,False
ContB-VisPeri,4.894849,False
ContC-ContA,0.147318,False
ContC-ContB,0.639652,False
ContC-ContC,0.0,True
ContC-DefaultA,30.685381,False
ContC-DefaultB,6.970247,False
ContC-DefaultC,0.10442,False
ContC-DorsAttnA,1.896979,False
ContC-DorsAttnB,0.750998,False
ContC-LimbicA,4.689029,False
ContC-LimbicB,15.00504,False
ContC-SalVentAttnA,1.333158,False
ContC-SalVentAttnB,2.87024,False
ContC-SomMotA,2.096101,False
ContC-SomMotB,1.518486,False
ContC-TempPar,1.088278,False
ContC-VisCent,2.155939,False
ContC-VisPeri,1.239043,False
DefaultA-ContA,1.199032,False
DefaultA-ContB,3.543976,False
DefaultA-ContC,46.31276,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,4.720022,False
DefaultA-DefaultC,3.953254,False
DefaultA-DorsAttnA,7.977676,False
DefaultA-DorsAttnB,1.519709,False
DefaultA-LimbicA,6.477028,False
DefaultA-LimbicB,19.511024,False
DefaultA-SalVentAttnA,2.134941,False
DefaultA-SalVentAttnB,9.034447,False
DefaultA-SomMotA,1.001251,False
DefaultA-SomMotB,3.311607,False
DefaultA-TempPar,10.800493,False
DefaultA-VisCent,1.324944,False
DefaultA-VisPeri,0.600769,False
DefaultB-ContA,0.077438,False
DefaultB-ContB,2.780791,False
DefaultB-ContC,33.525837,False
DefaultB-DefaultA,16.007326,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.878767,False
DefaultB-DorsAttnA,12.76653,False
DefaultB-DorsAttnB,1.534526,False
DefaultB-LimbicA,6.259207,False
DefaultB-LimbicB,12.441696,False
DefaultB-SalVentAttnA,4.719329,False
DefaultB-SalVentAttnB,1.505732,False
DefaultB-SomMotA,1.167187,False
DefaultB-SomMotB,13.242832,False
DefaultB-TempPar,3.91906,False
DefaultB-VisCent,2.622285,False
DefaultB-VisPeri,0.445963,False
DefaultC-ContA,0.908662,False
DefaultC-ContB,4.038448,False
DefaultC-ContC,2.129095,False
DefaultC-DefaultA,1.363756,False
DefaultC-DefaultB,6.124674,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,22.661584,False
DefaultC-DorsAttnB,3.415487,False
DefaultC-LimbicA,3.413864,False
DefaultC-LimbicB,2.187059,False
DefaultC-SalVentAttnA,10.002212,False
DefaultC-SalVentAttnB,0.805304,False
DefaultC-SomMotA,1.933074,False
DefaultC-SomMotB,18.545475,False
DefaultC-TempPar,0.296123,False
DefaultC-VisCent,1.071997,False
DefaultC-VisPeri,1.466496,False
DorsAttnA-ContA,8.289337,False
DorsAttnA-ContB,8.159355,False
DorsAttnA-ContC,3.590121,False
DorsAttnA-DefaultA,12.840295,False
DorsAttnA-DefaultB,23.137644,False
DorsAttnA-DefaultC,31.789319,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,8.20389,False
DorsAttnA-LimbicA,2.469209,False
DorsAttnA-LimbicB,4.39448,False
DorsAttnA-SalVentAttnA,10.101572,False
DorsAttnA-SalVentAttnB,0.204056,False
DorsAttnA-SomMotA,4.576186,False
DorsAttnA-SomMotB,5.094404,False
DorsAttnA-TempPar,14.785787,False
DorsAttnA-VisCent,3.082257,False
DorsAttnA-VisPeri,0.790265,False
DorsAttnB-ContA,3.618715,False
DorsAttnB-ContB,1.855599,False
DorsAttnB-ContC,1.666911,False
DorsAttnB-DefaultA,2.028309,False
DorsAttnB-DefaultB,6.132559,False
DorsAttnB-DefaultC,7.561501,False
DorsAttnB-DorsAttnA,3.325662,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.938921,False
DorsAttnB-LimbicB,3.077834,False
DorsAttnB-SalVentAttnA,6.548274,False
DorsAttnB-SalVentAttnB,1.724035,False
DorsAttnB-SomMotA,0.454824,False
DorsAttnB-SomMotB,0.246298,False
DorsAttnB-TempPar,5.696985,False
DorsAttnB-VisCent,0.978215,False
DorsAttnB-VisPeri,0.185008,False
LimbicA-ContA,1.370726,False
LimbicA-ContB,7.020108,False
LimbicA-ContC,6.168658,False
LimbicA-DefaultA,1.079951,False
LimbicA-DefaultB,5.56458,False
LimbicA-DefaultC,4.51929,False
LimbicA-DorsAttnA,1.764525,False
LimbicA-DorsAttnB,0.725157,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,14.976017,False
LimbicA-SalVentAttnA,6.35519,False
LimbicA-SalVentAttnB,10.449586,False
LimbicA-SomMotA,2.790956,False
LimbicA-SomMotB,2.383446,False
LimbicA-TempPar,5.777929,False
LimbicA-VisCent,0.533086,False
LimbicA-VisPeri,1.70708,False
LimbicB-ContA,3.815398,False
LimbicB-ContB,7.947403,False
LimbicB-ContC,14.839264,False
LimbicB-DefaultA,5.653089,False
LimbicB-DefaultB,7.513265,False
LimbicB-DefaultC,1.971673,False
LimbicB-DorsAttnA,2.935504,False
LimbicB-DorsAttnB,1.255949,False
LimbicB-LimbicA,14.712753,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,9.056292,False
LimbicB-SalVentAttnB,17.31564,False
LimbicB-SomMotA,3.112019,False
LimbicB-SomMotB,2.23565,False
LimbicB-TempPar,6.339634,False
LimbicB-VisCent,2.159982,False
LimbicB-VisPeri,3.815124,False
SalVentAttnA-ContA,5.728179,False
SalVentAttnA-ContB,6.217191,False
SalVentAttnA-ContC,6.974065,False
SalVentAttnA-DefaultA,6.428997,False
SalVentAttnA-DefaultB,2.318675,False
SalVentAttnA-DefaultC,1.279489,False
SalVentAttnA-DorsAttnA,0.873649,False
SalVentAttnA-DorsAttnB,1.494593,False
SalVentAttnA-LimbicA,1.346701,False
SalVentAttnA-LimbicB,1.758737,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,6.541902,False
SalVentAttnA-SomMotA,3.055139,False
SalVentAttnA-SomMotB,2.328379,False
SalVentAttnA-TempPar,2.520304,False
SalVentAttnA-VisCent,2.979131,False
SalVentAttnA-VisPeri,1.171876,False
SalVentAttnB-ContA,1.086343,False
SalVentAttnB-ContB,8.596675,False
SalVentAttnB-ContC,14.936331,False
SalVentAttnB-DefaultA,13.96066,False
SalVentAttnB-DefaultB,12.898553,False
SalVentAttnB-DefaultC,4.71272,False
SalVentAttnB-DorsAttnA,0.987351,False
SalVentAttnB-DorsAttnB,2.16668,False
SalVentAttnB-LimbicA,15.562898,False
SalVentAttnB-LimbicB,21.148804,False
SalVentAttnB-SalVentAttnA,17.075363,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,2.58182,False
SalVentAttnB-SomMotB,2.244179,False
SalVentAttnB-TempPar,7.104097,False
SalVentAttnB-VisCent,5.549443,False
SalVentAttnB-VisPeri,5.681173,False
SomMotA-ContA,8.022299,False
SomMotA-ContB,9.445747,False
SomMotA-ContC,0.302266,False
SomMotA-DefaultA,0.280306,False
SomMotA-DefaultB,3.645808,False
SomMotA-DefaultC,9.074514,False
SomMotA-DorsAttnA,1.304293,False
SomMotA-DorsAttnB,0.647267,False
SomMotA-LimbicA,4.13018,False
SomMotA-LimbicB,3.640117,False
SomMotA-SalVentAttnA,0.342801,False
SomMotA-SalVentAttnB,2.50099,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,4.337395,False
SomMotA-TempPar,2.87865,False
SomMotA-VisCent,8.009604,False
SomMotA-VisPeri,9.51839,False
SomMotB-ContA,6.109462,False
SomMotB-ContB,6.860693,False
SomMotB-ContC,5.483526,False
SomMotB-DefaultA,10.607617,False
SomMotB-DefaultB,20.830515,False
SomMotB-DefaultC,9.877628,False
SomMotB-DorsAttnA,1.170213,False
SomMotB-DorsAttnB,2.562147,False
SomMotB-LimbicA,2.601196,False
SomMotB-LimbicB,4.38089,False
SomMotB-SalVentAttnA,2.894177,False
SomMotB-SalVentAttnB,0.024294,False
SomMotB-SomMotA,0.120814,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,3.267528,False
SomMotB-VisCent,1.84687,False
SomMotB-VisPeri,1.08719,False
TempPar-ContA,2.111776,False
TempPar-ContB,9.015609,False
TempPar-ContC,3.602307,False
TempPar-DefaultA,4.581761,False
TempPar-DefaultB,3.634831,False
TempPar-DefaultC,4.996227,False
TempPar-DorsAttnA,16.057081,False
TempPar-DorsAttnB,4.179494,False
TempPar-LimbicA,8.905631,False
TempPar-LimbicB,7.822876,False
TempPar-SalVentAttnA,9.893261,False
TempPar-SalVentAttnB,5.13974,False
TempPar-SomMotA,0.902949,False
TempPar-SomMotB,11.612898,False
TempPar-TempPar,0.0,True
TempPar-VisCent,0.864332,False
