network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,27.496554,False
ContA-ContC,2.154917,False
ContA-DefaultA,7.815099,False
ContA-DefaultB,12.073825,False
ContA-DefaultC,2.10527,False
ContA-DorsAttnA,0.265728,False
ContA-DorsAttnB,3.704661,False
ContA-LimbicA,26.319306,False
ContA-LimbicB,18.518536,False
ContA-SalVentAttnA,0.4252,False
ContA-SalVentAttnB,7.347448,False
ContA-SomMotA,14.173314,False
ContA-SomMotB,1.037518,False
ContA-TempPar,2.234138,False
ContA-VisCent,1.565088,False
ContA-VisPeri,13.172786,False
ContB-ContA,3.328887,False
ContB-ContB,0.0,True
ContB-ContC,0.499266,False
ContB-DefaultA,2.134958,False
ContB-DefaultB,1.005694,False
ContB-DefaultC,3.617939,False
ContB-DorsAttnA,0.617519,False
ContB-DorsAttnB,9.709777,False
ContB-LimbicA,10.229428,False
ContB-LimbicB,7.294554,False
ContB-SalVentAttnA,0.083013,False
ContB-SalVentAttnB,2.028868,False
ContB-SomMotA,5.051768,False
ContB-SomMotB,0.331488,False
ContB-TempPar,2.809019,False
ContB-VisCent,0.849241,False
ContB-VisPeri,0.996136,False
ContC-ContA,3.33888,False
ContC-ContB,5.496206,False
ContC-ContC,0.0,True
ContC-DefaultA,2.873861,False
ContC-DefaultB,15.488168,False
ContC-DefaultC,3.358127,False
ContC-DorsAttnA,4.27473,False
ContC-DorsAttnB,2.392919,False
ContC-LimbicA,3.140402,False
ContC-LimbicB,7.587144,False
ContC-SalVentAttnA,8.675458,False
ContC-SalVentAttnB,1.995096,False
ContC-SomMotA,4.592712,False
ContC-SomMotB,7.017934,False
ContC-TempPar,4.312168,False
ContC-VisCent,0.077291,False
ContC-VisPeri,1.94941,False
DefaultA-ContA,5.676899,False
DefaultA-ContB,10.942953,False
DefaultA-ContC,30.667674,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,38.483406,False
DefaultA-DefaultC,2.140523,False
DefaultA-DorsAttnA,2.16596,False
DefaultA-DorsAttnB,2.761286,False
DefaultA-LimbicA,8.737326,False
DefaultA-LimbicB,10.80358,False
DefaultA-SalVentAttnA,4.026512,False
DefaultA-SalVentAttnB,3.537761,False
DefaultA-SomMotA,4.494687,False
DefaultA-SomMotB,5.01424,False
DefaultA-TempPar,4.876589,False
DefaultA-VisCent,0.728658,False
DefaultA-VisPeri,6.205891,False
DefaultB-ContA,0.937479,False
DefaultB-ContB,4.709784,False
DefaultB-ContC,2.361315,False
DefaultB-DefaultA,6.555283,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,4.939616,False
DefaultB-DorsAttnA,0.944561,False
DefaultB-DorsAttnB,5.771087,False
DefaultB-LimbicA,2.231668,False
DefaultB-LimbicB,8.261767,False
DefaultB-SalVentAttnA,4.701056,False
DefaultB-SalVentAttnB,4.642742,False
DefaultB-SomMotA,6.542135,False
DefaultB-SomMotB,2.035076,False
DefaultB-TempPar,0.91493,False
DefaultB-VisCent,0.459612,False
DefaultB-VisPeri,3.217976,False
DefaultC-ContA,3.629026,False
DefaultC-ContB,3.539172,False
DefaultC-ContC,15.678838,False
DefaultC-DefaultA,19.906922,False
DefaultC-DefaultB,22.330622,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,5.797357,False
DefaultC-DorsAttnB,8.552186,False
DefaultC-LimbicA,4.219709,False
DefaultC-LimbicB,5.757615,False
DefaultC-SalVentAttnA,0.252472,False
DefaultC-SalVentAttnB,2.49538,False
DefaultC-SomMotA,4.675058,False
DefaultC-SomMotB,0.79962,False
DefaultC-TempPar,24.771144,False
DefaultC-VisCent,1.814331,False
DefaultC-VisPeri,3.278192,False
DorsAttnA-ContA,0.770669,False
DorsAttnA-ContB,0.708227,False
DorsAttnA-ContC,5.556122,False
DorsAttnA-DefaultA,2.36052,False
DorsAttnA-DefaultB,6.709299,False
DorsAttnA-DefaultC,3.935161,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,0.3348,False
DorsAttnA-LimbicA,0.98328,False
DorsAttnA-LimbicB,1.685452,False
DorsAttnA-SalVentAttnA,20.239741,False
DorsAttnA-SalVentAttnB,1.640705,False
DorsAttnA-SomMotA,4.883391,False
DorsAttnA-SomMotB,1.195181,False
DorsAttnA-TempPar,6.153837,False
DorsAttnA-VisCent,5.67862,False
DorsAttnA-VisPeri,1.760419,False
DorsAttnB-ContA,0.099612,False
DorsAttnB-ContB,0.415251,False
DorsAttnB-ContC,2.125197,False
DorsAttnB-DefaultA,2.199102,False
DorsAttnB-DefaultB,2.759977,False
DorsAttnB-DefaultC,0.927318,False
DorsAttnB-DorsAttnA,4.098692,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.52637,False
DorsAttnB-LimbicB,1.595489,False
DorsAttnB-SalVentAttnA,2.122438,False
DorsAttnB-SalVentAttnB,0.319004,False
DorsAttnB-SomMotA,11.825083,False
DorsAttnB-SomMotB,0.186079,False
DorsAttnB-TempPar,1.552123,False
DorsAttnB-VisCent,0.54068,False
DorsAttnB-VisPeri,4.447555,False
LimbicA-ContA,26.736484,False
LimbicA-ContB,20.341697,False
LimbicA-ContC,2.542812,False
LimbicA-DefaultA,5.645642,False
LimbicA-DefaultB,4.570955,False
LimbicA-DefaultC,1.690112,False
LimbicA-DorsAttnA,0.205799,False
LimbicA-DorsAttnB,4.670655,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,29.656746,False
LimbicA-SalVentAttnA,0.262711,False
LimbicA-SalVentAttnB,9.086439,False
LimbicA-SomMotA,22.726834,False
LimbicA-SomMotB,0.177958,False
LimbicA-TempPar,0.901506,False
LimbicA-VisCent,2.083176,False
LimbicA-VisPeri,14.109915,False
LimbicB-ContA,9.033454,False
LimbicB-ContB,11.985621,False
LimbicB-ContC,5.081907,False
LimbicB-DefaultA,11.036947,False
LimbicB-DefaultB,4.474425,False
LimbicB-DefaultC,2.536478,False
LimbicB-DorsAttnA,1.054607,False
LimbicB-DorsAttnB,11.030862,False
LimbicB-LimbicA,6.153216,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,1.437372,False
LimbicB-SalVentAttnB,6.75829,False
LimbicB-SomMotA,21.318045,False
LimbicB-SomMotB,0.141596,False
LimbicB-TempPar,0.844702,False
LimbicB-VisCent,2.002093,False
LimbicB-VisPeri,12.36598,False
SalVentAttnA-ContA,1.684601,False
SalVentAttnA-ContB,0.619085,False
SalVentAttnA-ContC,3.700699,False
SalVentAttnA-DefaultA,2.433417,False
SalVentAttnA-DefaultB,1.032765,False
SalVentAttnA-DefaultC,0.107194,False
SalVentAttnA-DorsAttnA,1.891237,False
SalVentAttnA-DorsAttnB,1.142665,False
SalVentAttnA-LimbicA,6.586177,False
SalVentAttnA-LimbicB,0.237888,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,4.927453,False
SalVentAttnA-SomMotA,5.224319,False
SalVentAttnA-SomMotB,4.097614,False
SalVentAttnA-TempPar,0.135954,False
SalVentAttnA-VisCent,4.189829,False
SalVentAttnA-VisPeri,1.936041,False
