network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,14.285469,False
ContA-ContC,3.573728,False
ContA-DefaultA,2.82579,False
ContA-DefaultB,7.742098,False
ContA-DefaultC,2.461164,False
ContA-DorsAttnA,3.151172,False
ContA-DorsAttnB,1.047999,False
ContA-LimbicA,11.125262,False
ContA-LimbicB,3.134272,False
ContA-SalVentAttnA,0.880756,False
ContA-SalVentAttnB,6.898555,False
ContA-SomMotA,12.78701,False
ContA-SomMotB,8.303232,False
ContA-TempPar,2.700642,False
ContA-VisCent,1.180841,False
ContA-VisPeri,1.119215,False
ContB-ContA,5.240278,False
ContB-ContB,0.0,True
ContB-ContC,1.745083,False
ContB-DefaultA,0.517339,False
ContB-DefaultB,3.232555,False
ContB-DefaultC,3.615418,False
ContB-DorsAttnA,2.986917,False
ContB-DorsAttnB,2.808216,False
ContB-LimbicA,1.019429,False
ContB-LimbicB,3.224965,False
ContB-SalVentAttnA,2.756011,False
ContB-SalVentAttnB,1.40472,False
ContB-SomMotA,2.706742,False
ContB-SomMotB,7.917259,False
ContB-TempPar,0.708381,False
ContB-VisCent,1.259651,False
ContB-VisPeri,0.179031,False
ContC-ContA,6.907924,False
ContC-ContB,0.963721,False
ContC-ContC,0.0,True
ContC-DefaultA,15.163175,False
ContC-DefaultB,13.265742,False
ContC-DefaultC,2.349505,False
ContC-DorsAttnA,0.92453,False
ContC-DorsAttnB,3.255894,False
ContC-LimbicA,11.999776,False
ContC-LimbicB,16.515572,False
ContC-SalVentAttnA,7.345004,False
ContC-SalVentAttnB,18.406714,False
ContC-SomMotA,0.651905,False
ContC-SomMotB,3.095663,False
ContC-TempPar,7.770209,False
ContC-VisCent,5.337264,False
ContC-VisPeri,3.862623,False
DefaultA-ContA,15.277384,False
DefaultA-ContB,3.119334,False
DefaultA-ContC,54.642011,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,15.03562,False
DefaultA-DefaultC,3.234132,False
DefaultA-DorsAttnA,2.224809,False
DefaultA-DorsAttnB,8.065293,False
DefaultA-LimbicA,36.052798,False
DefaultA-LimbicB,35.105554,False
DefaultA-SalVentAttnA,16.588024,False
DefaultA-SalVentAttnB,33.522994,False
DefaultA-SomMotA,2.319414,False
DefaultA-SomMotB,8.205508,False
DefaultA-TempPar,23.005301,False
DefaultA-VisCent,9.63176,False
DefaultA-VisPeri,1.512566,False
DefaultB-ContA,9.323108,False
DefaultB-ContB,3.773247,False
DefaultB-ContC,13.989489,False
DefaultB-DefaultA,4.268389,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.409136,False
DefaultB-DorsAttnA,2.763805,False
DefaultB-DorsAttnB,1.367167,False
DefaultB-LimbicA,11.16916,False
DefaultB-LimbicB,7.907445,False
DefaultB-SalVentAttnA,4.367902,False
DefaultB-SalVentAttnB,16.6124,False
DefaultB-SomMotA,3.736902,False
DefaultB-SomMotB,8.719323,False
DefaultB-TempPar,3.768974,False
DefaultB-VisCent,2.526584,False
DefaultB-VisPeri,0.458919,False
DefaultC-ContA,2.914315,False
DefaultC-ContB,4.107451,False
DefaultC-ContC,0.782834,False
DefaultC-DefaultA,0.557029,False
DefaultC-DefaultB,0.33703,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.463318,False
DefaultC-DorsAttnB,0.917449,False
DefaultC-LimbicA,1.379734,False
DefaultC-LimbicB,0.937168,False
DefaultC-SalVentAttnA,0.938417,False
DefaultC-SalVentAttnB,0.098604,False
DefaultC-SomMotA,4.567049,False
DefaultC-SomMotB,2.444385,False
DefaultC-TempPar,0.9526,False
DefaultC-VisCent,4.862725,False
DefaultC-VisPeri,3.413625,False
DorsAttnA-ContA,5.458046,False
DorsAttnA-ContB,0.792396,False
DorsAttnA-ContC,1.197481,False
DorsAttnA-DefaultA,1.01961,False
DorsAttnA-DefaultB,1.777345,False
DorsAttnA-DefaultC,2.890211,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,1.775956,False
DorsAttnA-LimbicA,0.098658,False
DorsAttnA-LimbicB,2.243586,False
DorsAttnA-SalVentAttnA,6.291722,False
