network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.20389,False
ContA-ContC,0.847774,False
ContA-DefaultA,4.49403,False
ContA-DefaultB,4.10307,False
ContA-DefaultC,0.453841,False
ContA-DorsAttnA,7.054122,False
ContA-DorsAttnB,2.091782,False
ContA-LimbicA,28.344111,False
ContA-LimbicB,5.704503,False
ContA-SalVentAttnA,1.247645,False
ContA-SalVentAttnB,3.740053,False
ContA-SomMotA,9.385277,False
ContA-SomMotB,1.228404,False
ContA-TempPar,3.398893,False
ContA-VisCent,1.850248,False
ContA-VisPeri,2.174577,False
ContB-ContA,0.817593,False
ContB-ContB,0.0,True
ContB-ContC,3.59775,False
ContB-DefaultA,0.278315,False
ContB-DefaultB,5.470768,False
ContB-DefaultC,1.587562,False
ContB-DorsAttnA,3.386822,False
ContB-DorsAttnB,0.637961,False
ContB-LimbicA,3.389637,False
ContB-LimbicB,1.910823,False
ContB-SalVentAttnA,0.584378,False
ContB-SalVentAttnB,0.0605,False
ContB-SomMotA,5.162349,False
ContB-SomMotB,4.013089,False
ContB-TempPar,4.33799,False
ContB-VisCent,0.738846,False
ContB-VisPeri,1.202158,False
ContC-ContA,1.165983,False
ContC-ContB,1.712516,False
ContC-ContC,0.0,True
ContC-DefaultA,6.689063,False
ContC-DefaultB,6.09744,False
ContC-DefaultC,8.024798,False
ContC-DorsAttnA,6.233307,False
ContC-DorsAttnB,0.535072,False
ContC-LimbicA,1.632877,False
ContC-LimbicB,2.560429,False
ContC-SalVentAttnA,0.26313,False
ContC-SalVentAttnB,3.897807,False
ContC-SomMotA,3.15392,False
ContC-SomMotB,2.326739,False
ContC-TempPar,0.328453,False
ContC-VisCent,0.30645,False
ContC-VisPeri,2.958731,False
DefaultA-ContA,0.414996,False
DefaultA-ContB,0.188542,False
DefaultA-ContC,10.780544,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,10.952682,False
DefaultA-DefaultC,2.96957,False
DefaultA-DorsAttnA,5.797407,False
DefaultA-DorsAttnB,5.47617,False
DefaultA-LimbicA,3.781799,False
DefaultA-LimbicB,10.213122,False
DefaultA-SalVentAttnA,1.271475,False
DefaultA-SalVentAttnB,8.086406,False
DefaultA-SomMotA,5.443918,False
DefaultA-SomMotB,1.234235,False
DefaultA-TempPar,0.120891,False
DefaultA-VisCent,0.151173,False
DefaultA-VisPeri,5.903264,False
DefaultB-ContA,0.316002,False
DefaultB-ContB,1.035633,False
DefaultB-ContC,2.404454,False
DefaultB-DefaultA,2.564861,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,4.045103,False
DefaultB-DorsAttnA,3.538922,False
DefaultB-DorsAttnB,0.473101,False
DefaultB-LimbicA,0.161242,False
DefaultB-LimbicB,0.975255,False
DefaultB-SalVentAttnA,4.121162,False
DefaultB-SalVentAttnB,1.364284,False
DefaultB-SomMotA,4.759677,False
DefaultB-SomMotB,2.367311,False
DefaultB-TempPar,0.017017,False
DefaultB-VisCent,2.968858,False
DefaultB-VisPeri,0.80218,False
DefaultC-ContA,5.103115,False
DefaultC-ContB,1.741725,False
DefaultC-ContC,2.943179,False
DefaultC-DefaultA,8.543749,False
DefaultC-DefaultB,17.569771,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.440621,False
DefaultC-DorsAttnB,0.128264,False
DefaultC-LimbicA,1.149605,False
DefaultC-LimbicB,0.224169,False
DefaultC-SalVentAttnA,1.682062,False
DefaultC-SalVentAttnB,1.872365,False
DefaultC-SomMotA,2.939154,False
DefaultC-SomMotB,10.820655,False
DefaultC-TempPar,0.23918,False
DefaultC-VisCent,2.39945,False
DefaultC-VisPeri,0.037204,False
DorsAttnA-ContA,4.336568,False
DorsAttnA-ContB,0.66386,False
DorsAttnA-ContC,4.105004,False
DorsAttnA-DefaultA,9.530074,False
DorsAttnA-DefaultB,9.310884,False
DorsAttnA-DefaultC,2.93409,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,8.861729,False
DorsAttnA-LimbicA,4.446648,False
DorsAttnA-LimbicB,1.466965,False
DorsAttnA-SalVentAttnA,4.498267,False
DorsAttnA-SalVentAttnB,1.579693,False
DorsAttnA-SomMotA,0.101496,False
DorsAttnA-SomMotB,1.990176,False
DorsAttnA-TempPar,2.103275,False
DorsAttnA-VisCent,1.626393,False
DorsAttnA-VisPeri,0.845351,False
DorsAttnB-ContA,0.738455,False
DorsAttnB-ContB,1.180626,False
DorsAttnB-ContC,0.180954,False
DorsAttnB-DefaultA,0.098979,False
DorsAttnB-DefaultB,0.416636,False
DorsAttnB-DefaultC,0.542109,False
DorsAttnB-DorsAttnA,1.818033,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,1.432079,False
DorsAttnB-LimbicB,0.217118,False
DorsAttnB-SalVentAttnA,1.168378,False
DorsAttnB-SalVentAttnB,0.420501,False
DorsAttnB-SomMotA,1.635197,False
DorsAttnB-SomMotB,3.017255,False
DorsAttnB-TempPar,0.087485,False
DorsAttnB-VisCent,4.737077,False
DorsAttnB-VisPeri,5.650611,False
LimbicA-ContA,5.645104,False
LimbicA-ContB,3.998217,False
LimbicA-ContC,2.386519,False
LimbicA-DefaultA,4.865158,False
LimbicA-DefaultB,1.889358,False
LimbicA-DefaultC,0.284904,False
LimbicA-DorsAttnA,3.801128,False
LimbicA-DorsAttnB,3.399081,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,11.13343,False
LimbicA-SalVentAttnA,2.681129,False
LimbicA-SalVentAttnB,3.12034,False
LimbicA-SomMotA,6.636553,False
LimbicA-SomMotB,0.46809,False
LimbicA-TempPar,0.472666,False
LimbicA-VisCent,0.081562,False
LimbicA-VisPeri,2.282388,False
LimbicB-ContA,0.144866,False
LimbicB-ContB,1.112062,False
LimbicB-ContC,4.302412,False
LimbicB-DefaultA,6.206492,False
LimbicB-DefaultB,9.988772,False
LimbicB-DefaultC,1.761874,False
LimbicB-DorsAttnA,3.382014,False
LimbicB-DorsAttnB,2.174623,False
LimbicB-LimbicA,6.652743,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,6.852762,False
LimbicB-SalVentAttnB,5.725293,False
LimbicB-SomMotA,4.750344,False
LimbicB-SomMotB,0.125573,False
LimbicB-TempPar,0.461916,False
LimbicB-VisCent,1.817159,False
LimbicB-VisPeri,9.727322,False
SalVentAttnA-ContA,4.175258,False
SalVentAttnA-ContB,1.340408,False
SalVentAttnA-ContC,0.379983,False
SalVentAttnA-DefaultA,0.153874,False
SalVentAttnA-DefaultB,0.045241,False
SalVentAttnA-DefaultC,0.338823,False
SalVentAttnA-DorsAttnA,1.124813,False
SalVentAttnA-DorsAttnB,0.642874,False
SalVentAttnA-LimbicA,0.369845,False
SalVentAttnA-LimbicB,2.877527,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,4.319031,False
SalVentAttnA-SomMotA,2.035047,False
SalVentAttnA-SomMotB,0.172406,False
SalVentAttnA-TempPar,0.647957,False
SalVentAttnA-VisCent,0.416122,False
SalVentAttnA-VisPeri,0.847509,False
SalVentAttnB-ContA,0.427586,False
SalVentAttnB-ContB,0.233991,False
SalVentAttnB-ContC,3.503419,False
SalVentAttnB-DefaultA,2.154608,False
SalVentAttnB-DefaultB,2.997222,False
SalVentAttnB-DefaultC,0.887485,False
SalVentAttnB-DorsAttnA,5.170729,False
SalVentAttnB-DorsAttnB,1.029965,False
SalVentAttnB-LimbicA,8.471165,False
SalVentAttnB-LimbicB,26.996661,False
SalVentAttnB-SalVentAttnA,15.445014,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,6.521215,False
SalVentAttnB-SomMotB,1.399894,False
SalVentAttnB-TempPar,1.987559,False
SalVentAttnB-VisCent,1.054939,False
SalVentAttnB-VisPeri,4.942995,False
SomMotA-ContA,5.062003,False
SomMotA-ContB,5.568823,False
SomMotA-ContC,8.360256,False
SomMotA-DefaultA,7.569842,False
SomMotA-DefaultB,14.340937,False
SomMotA-DefaultC,0.894732,False
SomMotA-DorsAttnA,0.321466,False
SomMotA-DorsAttnB,1.897101,False
SomMotA-LimbicA,11.70542,False
SomMotA-LimbicB,12.115485,False
SomMotA-SalVentAttnA,2.003677,False
SomMotA-SalVentAttnB,8.6796,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,5.540213,False
SomMotA-TempPar,2.297254,False
SomMotA-VisCent,8.193703,False
SomMotA-VisPeri,11.98528,False
SomMotB-ContA,5.652904,False
SomMotB-ContB,9.809145,False
SomMotB-ContC,0.915138,False
SomMotB-DefaultA,0.367989,False
SomMotB-DefaultB,4.038729,False
SomMotB-DefaultC,3.646225,False
SomMotB-DorsAttnA,1.368717,False
SomMotB-DorsAttnB,1.448042,False
SomMotB-LimbicA,0.712325,False
SomMotB-LimbicB,2.76834,False
SomMotB-SalVentAttnA,6.003661,False
SomMotB-SalVentAttnB,3.790486,False
SomMotB-SomMotA,7.125321,False
SomMotB-SomMotB,0.0,True
