network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.068429,False
ContA-ContC,6.622019,False
ContA-DefaultA,5.022096,False
ContA-DefaultB,1.526116,False
ContA-DefaultC,4.906283,False
ContA-DorsAttnA,0.320726,False
ContA-DorsAttnB,1.794744,False
ContA-LimbicA,4.434393,False
ContA-LimbicB,1.823606,False
ContA-SalVentAttnA,5.205823,False
ContA-SalVentAttnB,1.382047,False
ContA-SomMotA,0.389302,False
ContA-SomMotB,5.645532,False
ContA-TempPar,2.721751,False
ContA-VisCent,2.54904,False
ContA-VisPeri,0.255469,False
ContB-ContA,0.412413,False
ContB-ContB,0.0,True
ContB-ContC,0.072209,False
ContB-DefaultA,3.824773,False
ContB-DefaultB,1.632762,False
ContB-DefaultC,2.873971,False
ContB-DorsAttnA,0.29485,False
ContB-DorsAttnB,3.682142,False
ContB-LimbicA,0.945702,False
ContB-LimbicB,1.702035,False
ContB-SalVentAttnA,2.532286,False
ContB-SalVentAttnB,4.961009,False
ContB-SomMotA,0.87715,False
ContB-SomMotB,6.118931,False
ContB-TempPar,4.072785,False
ContB-VisCent,2.323644,False
ContB-VisPeri,0.745988,False
ContC-ContA,0.049296,False
ContC-ContB,0.182129,False
ContC-ContC,0.0,True
ContC-DefaultA,2.465701,False
ContC-DefaultB,1.734395,False
ContC-DefaultC,6.831416,False
ContC-DorsAttnA,0.764805,False
ContC-DorsAttnB,7.626729,False
ContC-LimbicA,2.652732,False
ContC-LimbicB,3.379931,False
ContC-SalVentAttnA,0.572097,False
ContC-SalVentAttnB,0.378262,False
ContC-SomMotA,0.510789,False
ContC-SomMotB,4.419943,False
ContC-TempPar,0.557759,False
ContC-VisCent,1.725743,False
ContC-VisPeri,0.369972,False
DefaultA-ContA,0.758523,False
DefaultA-ContB,0.182179,False
DefaultA-ContC,6.325024,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,1.436396,False
DefaultA-DefaultC,10.895036,False
DefaultA-DorsAttnA,0.504846,False
DefaultA-DorsAttnB,4.361932,False
DefaultA-LimbicA,3.94635,False
DefaultA-LimbicB,7.289059,False
DefaultA-SalVentAttnA,0.578822,False
DefaultA-SalVentAttnB,2.279493,False
DefaultA-SomMotA,0.480793,False
DefaultA-SomMotB,7.181555,False
DefaultA-TempPar,5.03346,False
DefaultA-VisCent,1.809601,False
DefaultA-VisPeri,1.343577,False
DefaultB-ContA,1.899428,False
DefaultB-ContB,0.114097,False
DefaultB-ContC,0.354615,False
DefaultB-DefaultA,0.31371,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.070335,False
DefaultB-DorsAttnA,0.829125,False
DefaultB-DorsAttnB,4.248471,False
DefaultB-LimbicA,3.001462,False
DefaultB-LimbicB,5.864001,False
DefaultB-SalVentAttnA,1.047646,False
