network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,13.900284,False
ContA-ContC,9.988709,False
ContA-DefaultA,1.323016,False
ContA-DefaultB,11.099335,False
ContA-DefaultC,1.620722,False
ContA-DorsAttnA,2.98178,False
ContA-DorsAttnB,1.416261,False
ContA-LimbicA,33.183123,False
ContA-LimbicB,34.279952,False
ContA-SalVentAttnA,0.170488,False
ContA-SalVentAttnB,6.379416,False
ContA-SomMotA,14.655552,False
ContA-SomMotB,25.67221,False
ContA-TempPar,0.738124,False
ContA-VisCent,2.581395,False
ContA-VisPeri,5.9267,False
ContB-ContA,12.517086,False
ContB-ContB,0.0,True
ContB-ContC,8.786278,False
ContB-DefaultA,1.344816,False
ContB-DefaultB,5.432479,False
ContB-DefaultC,10.851591,False
ContB-DorsAttnA,3.456759,False
ContB-DorsAttnB,1.574312,False
ContB-LimbicA,21.982484,False
ContB-LimbicB,19.109736,False
ContB-SalVentAttnA,1.580991,False
ContB-SalVentAttnB,2.579558,False
ContB-SomMotA,15.880839,False
ContB-SomMotB,23.337863,False
ContB-TempPar,3.378075,False
ContB-VisCent,4.02764,False
ContB-VisPeri,3.670508,False
ContC-ContA,19.039808,False
ContC-ContB,26.207813,False
ContC-ContC,0.0,True
ContC-DefaultA,8.874066,False
ContC-DefaultB,18.667687,False
ContC-DefaultC,3.849614,False
ContC-DorsAttnA,5.59503,False
ContC-DorsAttnB,2.158645,False
ContC-LimbicA,21.293678,False
ContC-LimbicB,20.575366,False
ContC-SalVentAttnA,2.371851,False
ContC-SalVentAttnB,3.196255,False
ContC-SomMotA,8.588966,False
ContC-SomMotB,40.265946,False
ContC-TempPar,4.059108,False
ContC-VisCent,2.98838,False
ContC-VisPeri,1.41402,False
DefaultA-ContA,26.8842,False
DefaultA-ContB,30.690268,False
DefaultA-ContC,23.894584,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,36.693913,False
DefaultA-DefaultC,8.243424,False
DefaultA-DorsAttnA,7.333689,False
DefaultA-DorsAttnB,3.298636,False
DefaultA-LimbicA,27.100526,False
DefaultA-LimbicB,31.22526,False
DefaultA-SalVentAttnA,2.501389,False
DefaultA-SalVentAttnB,5.571451,False
DefaultA-SomMotA,9.635885,False
DefaultA-SomMotB,33.184604,False
DefaultA-TempPar,4.315072,False
DefaultA-VisCent,1.383016,False
DefaultA-VisPeri,1.766696,False
DefaultB-ContA,10.820089,False
DefaultB-ContB,14.948331,False
DefaultB-ContC,9.702821,False
DefaultB-DefaultA,1.930822,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.079155,False
DefaultB-DorsAttnA,4.179257,False
DefaultB-DorsAttnB,5.359417,False
DefaultB-LimbicA,25.330847,False
DefaultB-LimbicB,33.338353,False
DefaultB-SalVentAttnA,1.307562,False
DefaultB-SalVentAttnB,5.303638,False
DefaultB-SomMotA,9.943253,False
DefaultB-SomMotB,18.831269,False
DefaultB-TempPar,4.365347,False
DefaultB-VisCent,1.891652,False
