network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,1.849502,False
ContA-ContC,1.853768,False
ContA-DefaultA,0.982201,False
ContA-DefaultB,0.735701,False
ContA-DefaultC,2.370818,False
ContA-DorsAttnA,9.470456,False
ContA-DorsAttnB,0.061263,False
ContA-LimbicA,19.870842,False
ContA-LimbicB,5.199685,False
ContA-SalVentAttnA,8.856539,False
ContA-SalVentAttnB,1.521188,False
ContA-SomMotA,6.807467,False
ContA-SomMotB,13.370957,False
ContA-TempPar,0.389665,False
ContA-VisCent,0.613365,False
ContA-VisPeri,1.127147,False
ContB-ContA,0.913169,False
ContB-ContB,0.0,True
ContB-ContC,1.272981,False
ContB-DefaultA,0.257913,False
ContB-DefaultB,1.641028,False
ContB-DefaultC,1.711952,False
ContB-DorsAttnA,5.8731,False
ContB-DorsAttnB,0.512011,False
ContB-LimbicA,4.040806,False
ContB-LimbicB,1.489939,False
ContB-SalVentAttnA,6.937809,False
ContB-SalVentAttnB,0.831794,False
ContB-SomMotA,4.36629,False
ContB-SomMotB,3.71067,False
ContB-TempPar,0.040926,False
ContB-VisCent,2.679354,False
ContB-VisPeri,2.140652,False
ContC-ContA,1.661416,False
ContC-ContB,1.1917,False
ContC-ContC,0.0,True
ContC-DefaultA,0.252555,False
ContC-DefaultB,0.518929,False
ContC-DefaultC,1.411414,False
ContC-DorsAttnA,1.860155,False
ContC-DorsAttnB,1.040856,False
ContC-LimbicA,1.754549,False
ContC-LimbicB,4.346147,False
ContC-SalVentAttnA,0.433735,False
ContC-SalVentAttnB,0.322881,False
ContC-SomMotA,4.058052,False
ContC-SomMotB,2.326563,False
ContC-TempPar,2.147477,False
ContC-VisCent,3.117936,False
ContC-VisPeri,3.551979,False
DefaultA-ContA,0.833884,False
DefaultA-ContB,1.072303,False
DefaultA-ContC,0.121314,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,1.758933,False
DefaultA-DefaultC,2.581918,False
DefaultA-DorsAttnA,11.238024,False
DefaultA-DorsAttnB,1.141727,False
DefaultA-LimbicA,1.981926,False
DefaultA-LimbicB,18.459601,False
DefaultA-SalVentAttnA,4.716006,False
DefaultA-SalVentAttnB,1.026669,False
DefaultA-SomMotA,8.984898,False
DefaultA-SomMotB,7.69813,False
DefaultA-TempPar,1.70842,False
DefaultA-VisCent,0.359648,False
DefaultA-VisPeri,4.546027,False
DefaultB-ContA,0.179882,False
DefaultB-ContB,7.29228,False
DefaultB-ContC,3.737444,False
DefaultB-DefaultA,3.109416,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.253679,False
DefaultB-DorsAttnA,10.161248,False
DefaultB-DorsAttnB,0.744761,False
DefaultB-LimbicA,1.552914,False
DefaultB-LimbicB,5.364167,False
DefaultB-SalVentAttnA,11.159725,False
DefaultB-SalVentAttnB,2.667696,False
DefaultB-SomMotA,10.982661,False
DefaultB-SomMotB,18.921672,False
DefaultB-TempPar,4.451831,False
DefaultB-VisCent,2.864664,False
DefaultB-VisPeri,5.950551,False
DefaultC-ContA,1.616575,False
DefaultC-ContB,7.937037,False
DefaultC-ContC,4.327381,False
DefaultC-DefaultA,2.15229,False
DefaultC-DefaultB,0.382123,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.010008,False
DefaultC-DorsAttnB,1.299502,False
DefaultC-LimbicA,1.876263,False
DefaultC-LimbicB,1.097998,False
DefaultC-SalVentAttnA,1.918779,False
DefaultC-SalVentAttnB,1.187802,False
DefaultC-SomMotA,1.331185,False
DefaultC-SomMotB,2.823403,False
DefaultC-TempPar,15.017139,False
DefaultC-VisCent,3.283117,False
DefaultC-VisPeri,4.009347,False
