network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,14.454305,False
ContA-ContC,4.054298,False
ContA-DefaultA,11.266932,False
ContA-DefaultB,3.98337,False
ContA-DefaultC,2.020851,False
ContA-DorsAttnA,1.228335,False
ContA-DorsAttnB,0.241059,False
ContA-LimbicA,47.631393,False
ContA-LimbicB,22.747874,False
ContA-SalVentAttnA,0.675004,False
ContA-SalVentAttnB,15.519492,False
ContA-SomMotA,17.186853,False
ContA-SomMotB,1.939334,False
ContA-TempPar,0.379281,False
ContA-VisCent,1.582408,False
ContA-VisPeri,7.537922,False
ContB-ContA,20.5385,False
ContB-ContB,0.0,True
ContB-ContC,2.409373,False
ContB-DefaultA,2.719381,False
ContB-DefaultB,2.461272,False
ContB-DefaultC,1.30223,False
ContB-DorsAttnA,1.851198,False
ContB-DorsAttnB,5.409392,False
ContB-LimbicA,22.698532,False
ContB-LimbicB,10.367518,False
ContB-SalVentAttnA,1.345397,False
ContB-SalVentAttnB,6.392308,False
ContB-SomMotA,15.83942,False
ContB-SomMotB,3.935874,False
ContB-TempPar,0.534011,False
ContB-VisCent,2.59388,False
ContB-VisPeri,18.477635,False
ContC-ContA,1.33956,False
ContC-ContB,1.069199,False
ContC-ContC,0.0,True
ContC-DefaultA,8.105799,False
ContC-DefaultB,5.787901,False
ContC-DefaultC,6.193704,False
ContC-DorsAttnA,0.112018,False
ContC-DorsAttnB,0.970057,False
ContC-LimbicA,0.74561,False
ContC-LimbicB,4.036095,False
ContC-SalVentAttnA,0.8916,False
ContC-SalVentAttnB,1.258644,False
ContC-SomMotA,0.145197,False
ContC-SomMotB,0.126198,False
ContC-TempPar,5.381317,False
ContC-VisCent,1.278005,False
ContC-VisPeri,0.983015,False
DefaultA-ContA,2.031218,False
DefaultA-ContB,5.152248,False
DefaultA-ContC,22.29017,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,25.373615,False
DefaultA-DefaultC,4.140745,False
DefaultA-DorsAttnA,1.902276,False
DefaultA-DorsAttnB,1.406768,False
DefaultA-LimbicA,5.09864,False
DefaultA-LimbicB,5.796564,False
DefaultA-SalVentAttnA,0.1498,False
DefaultA-SalVentAttnB,1.522527,False
DefaultA-SomMotA,6.320791,False
DefaultA-SomMotB,0.156993,False
DefaultA-TempPar,5.814791,False
DefaultA-VisCent,2.003966,False
DefaultA-VisPeri,1.593006,False
DefaultB-ContA,4.077406,False
DefaultB-ContB,3.134492,False
DefaultB-ContC,11.274502,False
DefaultB-DefaultA,5.336843,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,8.969786,False
DefaultB-DorsAttnA,1.127221,False
DefaultB-DorsAttnB,1.510201,False
DefaultB-LimbicA,2.681276,False
DefaultB-LimbicB,2.082115,False
DefaultB-SalVentAttnA,0.075255,False
DefaultB-SalVentAttnB,1.984526,False
DefaultB-SomMotA,2.035813,False
DefaultB-SomMotB,1.076913,False
DefaultB-TempPar,4.943269,False
DefaultB-VisCent,0.931396,False
DefaultB-VisPeri,3.568726,False
DefaultC-ContA,0.581314,False
DefaultC-ContB,2.018088,False
DefaultC-ContC,1.172013,False
DefaultC-DefaultA,0.2162,False
DefaultC-DefaultB,4.459807,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.4044,False
DefaultC-DorsAttnB,0.25367,False
DefaultC-LimbicA,0.656409,False
DefaultC-LimbicB,0.721005,False
DefaultC-SalVentAttnA,2.080268,False
DefaultC-SalVentAttnB,1.345749,False
DefaultC-SomMotA,0.165395,False
