network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,25.012525,False
ContA-ContC,14.756034,False
ContA-DefaultA,19.23584,False
ContA-DefaultB,14.515862,False
ContA-DefaultC,5.257632,False
ContA-DorsAttnA,2.258503,False
ContA-DorsAttnB,3.003655,False
ContA-LimbicA,51.331929,False
ContA-LimbicB,17.162797,False
ContA-SalVentAttnA,5.387926,False
ContA-SalVentAttnB,6.732161,False
ContA-SomMotA,14.974085,False
ContA-SomMotB,8.632717,False
ContA-TempPar,0.449577,False
ContA-VisCent,1.397709,False
ContA-VisPeri,5.621004,False
ContB-ContA,5.48098,False
ContB-ContB,0.0,True
ContB-ContC,14.125527,False
ContB-DefaultA,11.720117,False
ContB-DefaultB,12.670067,False
ContB-DefaultC,2.249065,False
ContB-DorsAttnA,2.934625,False
ContB-DorsAttnB,2.770813,False
ContB-LimbicA,13.791159,False
ContB-LimbicB,12.207392,False
ContB-SalVentAttnA,5.717551,False
ContB-SalVentAttnB,1.446529,False
ContB-SomMotA,12.14281,False
ContB-SomMotB,7.830065,False
ContB-TempPar,4.496432,False
ContB-VisCent,1.448263,False
ContB-VisPeri,7.792778,False
ContC-ContA,0.462438,False
ContC-ContB,2.603805,False
ContC-ContC,0.0,True
ContC-DefaultA,6.15276,False
ContC-DefaultB,2.468328,False
ContC-DefaultC,2.715315,False
ContC-DorsAttnA,1.043885,False
ContC-DorsAttnB,0.646654,False
ContC-LimbicA,2.551818,False
ContC-LimbicB,5.891923,False
ContC-SalVentAttnA,3.989632,False
ContC-SalVentAttnB,1.510722,False
ContC-SomMotA,4.001296,False
ContC-SomMotB,2.781701,False
ContC-TempPar,2.59732,False
ContC-VisCent,2.287183,False
ContC-VisPeri,2.636139,False
DefaultA-ContA,4.913468,False
DefaultA-ContB,11.6443,False
DefaultA-ContC,32.028585,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,24.588687,False
DefaultA-DefaultC,0.894448,False
DefaultA-DorsAttnA,5.020024,False
DefaultA-DorsAttnB,1.989581,False
DefaultA-LimbicA,4.775003,False
DefaultA-LimbicB,11.578436,False
DefaultA-SalVentAttnA,0.764134,False
DefaultA-SalVentAttnB,1.734718,False
DefaultA-SomMotA,8.420997,False
DefaultA-SomMotB,12.134187,False
DefaultA-TempPar,0.326318,False
DefaultA-VisCent,1.856571,False
DefaultA-VisPeri,4.48834,False
DefaultB-ContA,0.79804,False
DefaultB-ContB,5.832605,False
DefaultB-ContC,22.013487,False
DefaultB-DefaultA,20.782131,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.355045,False
DefaultB-DorsAttnA,12.86732,False
DefaultB-DorsAttnB,0.542487,False
DefaultB-LimbicA,0.282913,False
DefaultB-LimbicB,8.473403,False
DefaultB-SalVentAttnA,5.872734,False
DefaultB-SalVentAttnB,1.783843,False
DefaultB-SomMotA,7.580357,False
DefaultB-SomMotB,18.49632,False
