network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,1.135275,False
ContA-ContC,0.528894,False
ContA-DefaultA,0.16939,False
ContA-DefaultB,2.548544,False
ContA-DefaultC,0.311494,False
ContA-DorsAttnA,4.473577,False
ContA-DorsAttnB,0.718219,False
ContA-LimbicA,11.664612,False
ContA-LimbicB,2.941208,False
ContA-SalVentAttnA,0.699269,False
ContA-SalVentAttnB,1.751724,False
ContA-SomMotA,5.393723,False
ContA-SomMotB,1.073335,False
ContA-TempPar,3.072886,False
ContA-VisCent,5.476946,False
ContA-VisPeri,11.258857,False
ContB-ContA,1.016458,False
ContB-ContB,0.0,True
ContB-ContC,0.667195,False
ContB-DefaultA,1.874106,False
ContB-DefaultB,2.359643,False
ContB-DefaultC,0.239679,False
ContB-DorsAttnA,1.906043,False
ContB-DorsAttnB,1.870752,False
ContB-LimbicA,0.008595,False
ContB-LimbicB,0.564118,False
ContB-SalVentAttnA,2.047207,False
ContB-SalVentAttnB,0.154809,False
ContB-SomMotA,7.760056,False
ContB-SomMotB,1.765115,False
ContB-TempPar,3.551264,False
ContB-VisCent,6.339254,False
ContB-VisPeri,9.517859,False
ContC-ContA,0.690932,False
ContC-ContB,0.057957,False
ContC-ContC,0.0,True
ContC-DefaultA,6.048262,False
ContC-DefaultB,2.689315,False
ContC-DefaultC,0.30763,False
ContC-DorsAttnA,2.616514,False
ContC-DorsAttnB,0.189169,False
ContC-LimbicA,2.526265,False
ContC-LimbicB,4.367012,False
ContC-SalVentAttnA,1.009777,False
ContC-SalVentAttnB,0.837461,False
ContC-SomMotA,5.070597,False
ContC-SomMotB,1.350404,False
ContC-TempPar,0.61346,False
ContC-VisCent,1.798158,False
ContC-VisPeri,6.571536,False
DefaultA-ContA,0.501514,False
DefaultA-ContB,2.076342,False
DefaultA-ContC,20.871994,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,6.537374,False
DefaultA-DefaultC,2.438384,False
DefaultA-DorsAttnA,10.779469,False
DefaultA-DorsAttnB,0.542821,False
DefaultA-LimbicA,8.723641,False
DefaultA-LimbicB,12.826,False
DefaultA-SalVentAttnA,1.169419,False
DefaultA-SalVentAttnB,0.494394,False
DefaultA-SomMotA,6.740605,False
DefaultA-SomMotB,2.534494,False
DefaultA-TempPar,15.149049,False
DefaultA-VisCent,1.833847,False
DefaultA-VisPeri,15.384615,False
DefaultB-ContA,1.001353,False
DefaultB-ContB,2.073153,False
DefaultB-ContC,2.305003,False
DefaultB-DefaultA,2.201574,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.096144,False
DefaultB-DorsAttnA,11.143424,False
DefaultB-DorsAttnB,2.436575,False
DefaultB-LimbicA,0.550173,False
DefaultB-LimbicB,5.144066,False
DefaultB-SalVentAttnA,2.067541,False
DefaultB-SalVentAttnB,0.60755,False
DefaultB-SomMotA,4.22134,False
DefaultB-SomMotB,0.218835,False
DefaultB-TempPar,11.984664,False
DefaultB-VisCent,0.776483,False
DefaultB-VisPeri,10.030537,False
DefaultC-ContA,2.308781,False
DefaultC-ContB,2.892768,False
DefaultC-ContC,1.927522,False
DefaultC-DefaultA,5.37655,False
DefaultC-DefaultB,1.389101,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,5.58084,False
DefaultC-DorsAttnB,2.597949,False
DefaultC-LimbicA,3.026842,False
DefaultC-LimbicB,2.204506,False
DefaultC-SalVentAttnA,5.765833,False
DefaultC-SalVentAttnB,3.215511,False
DefaultC-SomMotA,14.109756,False
DefaultC-SomMotB,0.593447,False
DefaultC-TempPar,2.109216,False
DefaultC-VisCent,1.931748,False
DefaultC-VisPeri,9.951797,False
DorsAttnA-ContA,0.346289,False
DorsAttnA-ContB,2.396352,False
DorsAttnA-ContC,0.053226,False
DorsAttnA-DefaultA,1.430549,False
DorsAttnA-DefaultB,3.035243,False
DorsAttnA-DefaultC,0.572855,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,10.054944,False
DorsAttnA-LimbicA,0.62251,False
DorsAttnA-LimbicB,0.191753,False
DorsAttnA-SalVentAttnA,0.004355,False
DorsAttnA-SalVentAttnB,2.234428,False
DorsAttnA-SomMotA,1.351505,False
DorsAttnA-SomMotB,0.428709,False
DorsAttnA-TempPar,1.298221,False
DorsAttnA-VisCent,3.321409,False
DorsAttnA-VisPeri,7.685318,False
DorsAttnB-ContA,0.976174,False
DorsAttnB-ContB,2.622196,False
DorsAttnB-ContC,1.333905,False
DorsAttnB-DefaultA,0.412317,False
DorsAttnB-DefaultB,1.822071,False
DorsAttnB-DefaultC,2.77262,False
DorsAttnB-DorsAttnA,2.852954,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.190839,False
DorsAttnB-LimbicB,1.826513,False
DorsAttnB-SalVentAttnA,0.559683,False
DorsAttnB-SalVentAttnB,6.996761,False
DorsAttnB-SomMotA,1.526204,False
DorsAttnB-SomMotB,1.244886,False
DorsAttnB-TempPar,1.095017,False
DorsAttnB-VisCent,1.749555,False
DorsAttnB-VisPeri,1.23017,False
LimbicA-ContA,0.27834,False
LimbicA-ContB,0.354101,False
LimbicA-ContC,0.586696,False
LimbicA-DefaultA,1.812003,False
LimbicA-DefaultB,3.482899,False
LimbicA-DefaultC,2.561174,False
LimbicA-DorsAttnA,0.399839,False
LimbicA-DorsAttnB,1.352623,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,2.965101,False
LimbicA-SalVentAttnA,2.30491,False
LimbicA-SalVentAttnB,1.62572,False
LimbicA-SomMotA,4.454165,False
LimbicA-SomMotB,0.978099,False
LimbicA-TempPar,6.559764,False
LimbicA-VisCent,6.869237,False
LimbicA-VisPeri,14.51665,False
LimbicB-ContA,0.548683,False
LimbicB-ContB,0.956601,False
LimbicB-ContC,3.747906,False
LimbicB-DefaultA,0.841367,False
LimbicB-DefaultB,2.126742,False
LimbicB-DefaultC,0.955263,False
LimbicB-DorsAttnA,0.230095,False
LimbicB-DorsAttnB,1.187615,False
LimbicB-LimbicA,10.776951,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,3.671475,False
LimbicB-SalVentAttnB,7.671999,False
LimbicB-SomMotA,4.125143,False
LimbicB-SomMotB,1.315306,False
LimbicB-TempPar,6.662873,False
LimbicB-VisCent,3.019739,False
LimbicB-VisPeri,8.469755,False
SalVentAttnA-ContA,1.005109,False
SalVentAttnA-ContB,2.199173,False
SalVentAttnA-ContC,1.165918,False
SalVentAttnA-DefaultA,0.460598,False
