network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.190874,False
ContA-ContC,5.737455,False
ContA-DefaultA,8.696246,False
ContA-DefaultB,3.544257,False
ContA-DefaultC,1.000392,False
ContA-DorsAttnA,3.600925,False
ContA-DorsAttnB,3.150599,False
ContA-LimbicA,15.712594,False
ContA-LimbicB,3.519713,False
ContA-SalVentAttnA,0.696055,False
ContA-SalVentAttnB,2.721263,False
ContA-SomMotA,3.803774,False
ContA-SomMotB,4.205798,False
ContA-TempPar,2.380284,False
ContA-VisCent,0.247271,False
ContA-VisPeri,0.430941,False
ContB-ContA,2.917997,False
ContB-ContB,0.0,True
ContB-ContC,2.325888,False
ContB-DefaultA,6.128694,False
ContB-DefaultB,4.28519,False
ContB-DefaultC,0.098496,False
ContB-DorsAttnA,9.328702,False
ContB-DorsAttnB,1.78809,False
ContB-LimbicA,1.170146,False
ContB-LimbicB,4.657699,False
ContB-SalVentAttnA,20.484204,False
ContB-SalVentAttnB,6.061645,False
ContB-SomMotA,4.425105,False
ContB-SomMotB,13.059794,False
ContB-TempPar,2.795097,False
ContB-VisCent,0.495478,False
ContB-VisPeri,1.517185,False
ContC-ContA,1.142567,False
ContC-ContB,0.174882,False
ContC-ContC,0.0,True
ContC-DefaultA,21.411485,False
ContC-DefaultB,6.507312,False
ContC-DefaultC,0.72881,False
ContC-DorsAttnA,1.587406,False
ContC-DorsAttnB,0.825726,False
ContC-LimbicA,2.853478,False
ContC-LimbicB,8.62301,False
ContC-SalVentAttnA,1.179549,False
ContC-SalVentAttnB,5.164461,False
ContC-SomMotA,1.667528,False
ContC-SomMotB,0.685571,False
ContC-TempPar,1.060932,False
ContC-VisCent,0.758691,False
ContC-VisPeri,0.202916,False
DefaultA-ContA,0.097382,False
DefaultA-ContB,2.897933,False
DefaultA-ContC,19.771749,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,9.82632,False
DefaultA-DefaultC,2.018245,False
DefaultA-DorsAttnA,5.312726,False
DefaultA-DorsAttnB,0.154359,False
DefaultA-LimbicA,1.240799,False
DefaultA-LimbicB,25.50589,False
DefaultA-SalVentAttnA,2.750335,False
DefaultA-SalVentAttnB,5.727719,False
DefaultA-SomMotA,0.207013,False
DefaultA-SomMotB,0.125363,False
DefaultA-TempPar,4.780158,False
DefaultA-VisCent,1.102578,False
DefaultA-VisPeri,0.71807,False
DefaultB-ContA,1.116599,False
DefaultB-ContB,2.675523,False
DefaultB-ContC,5.328622,False
DefaultB-DefaultA,4.847402,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.151938,False
DefaultB-DorsAttnA,6.902125,False
DefaultB-DorsAttnB,1.983935,False
DefaultB-LimbicA,4.918308,False
DefaultB-LimbicB,2.033148,False
DefaultB-SalVentAttnA,0.590184,False
DefaultB-SalVentAttnB,3.379654,False
DefaultB-SomMotA,2.237646,False
