network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,6.132648,False
ContA-ContC,1.659546,False
ContA-DefaultA,1.68541,False
ContA-DefaultB,9.96668,False
ContA-DefaultC,3.273918,False
ContA-DorsAttnA,0.767068,False
ContA-DorsAttnB,3.057563,False
ContA-LimbicA,39.718802,False
ContA-LimbicB,1.554654,False
ContA-SalVentAttnA,0.701908,False
ContA-SalVentAttnB,2.597814,False
ContA-SomMotA,8.817141,False
ContA-SomMotB,1.13361,False
ContA-TempPar,0.047442,False
ContA-VisCent,1.404476,False
ContA-VisPeri,11.158755,False
ContB-ContA,14.507314,False
ContB-ContB,0.0,True
ContB-ContC,2.509243,False
ContB-DefaultA,2.074416,False
ContB-DefaultB,9.617772,False
ContB-DefaultC,3.225944,False
ContB-DorsAttnA,0.279014,False
ContB-DorsAttnB,4.499298,False
ContB-LimbicA,21.656249,False
ContB-LimbicB,1.742455,False
ContB-SalVentAttnA,4.416415,False
ContB-SalVentAttnB,0.412837,False
ContB-SomMotA,10.292598,False
ContB-SomMotB,4.264362,False
ContB-TempPar,0.111906,False
ContB-VisCent,0.938025,False
ContB-VisPeri,6.645051,False
ContC-ContA,3.564159,False
ContC-ContB,4.447702,False
ContC-ContC,0.0,True
ContC-DefaultA,17.170046,False
ContC-DefaultB,6.124308,False
ContC-DefaultC,0.475618,False
ContC-DorsAttnA,2.261526,False
ContC-DorsAttnB,0.214241,False
ContC-LimbicA,1.388352,False
ContC-LimbicB,0.570592,False
ContC-SalVentAttnA,2.692992,False
ContC-SalVentAttnB,0.997638,False
ContC-SomMotA,3.298705,False
ContC-SomMotB,0.811473,False
ContC-TempPar,0.678825,False
ContC-VisCent,0.215431,False
ContC-VisPeri,0.91287,False
DefaultA-ContA,1.714634,False
DefaultA-ContB,4.407421,False
DefaultA-ContC,8.985969,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,5.88389,False
DefaultA-DefaultC,2.684607,False
DefaultA-DorsAttnA,3.873683,False
DefaultA-DorsAttnB,0.350618,False
DefaultA-LimbicA,5.251457,False
DefaultA-LimbicB,9.651086,False
DefaultA-SalVentAttnA,0.40547,False
DefaultA-SalVentAttnB,2.852388,False
DefaultA-SomMotA,4.857436,False
DefaultA-SomMotB,0.37122,False
DefaultA-TempPar,0.782105,False
DefaultA-VisCent,2.466004,False
DefaultA-VisPeri,7.725027,False
DefaultB-ContA,1.47439,False
DefaultB-ContB,4.755539,False
DefaultB-ContC,3.570998,False
DefaultB-DefaultA,9.149408,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,5.799484,False
DefaultB-DorsAttnA,1.249657,False
DefaultB-DorsAttnB,0.276556,False
DefaultB-LimbicA,5.085093,False
DefaultB-LimbicB,9.72674,False
DefaultB-SalVentAttnA,0.297609,False
DefaultB-SalVentAttnB,2.690633,False
DefaultB-SomMotA,2.167367,False
DefaultB-SomMotB,0.103699,False
DefaultB-TempPar,0.778172,False
DefaultB-VisCent,1.096701,False
DefaultB-VisPeri,1.638199,False
DefaultC-ContA,0.501106,False
DefaultC-ContB,0.815408,False
DefaultC-ContC,1.791007,False
DefaultC-DefaultA,0.616838,False
DefaultC-DefaultB,6.25496,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.867643,False
DefaultC-DorsAttnB,0.158637,False
DefaultC-LimbicA,1.736441,False
DefaultC-LimbicB,2.668801,False
DefaultC-SalVentAttnA,0.089792,False
DefaultC-SalVentAttnB,0.615307,False
DefaultC-SomMotA,2.056753,False
DefaultC-SomMotB,1.88101,False
DefaultC-TempPar,1.56777,False
DefaultC-VisCent,0.274972,False
DefaultC-VisPeri,1.804233,False
DorsAttnA-ContA,0.046556,False
DorsAttnA-ContB,0.533806,False
DorsAttnA-ContC,1.545328,False
DorsAttnA-DefaultA,2.214941,False
DorsAttnA-DefaultB,5.793825,False
DorsAttnA-DefaultC,10.323979,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,3.615588,False
DorsAttnA-LimbicA,0.380759,False
DorsAttnA-LimbicB,1.16139,False
DorsAttnA-SalVentAttnA,3.704957,False
DorsAttnA-SalVentAttnB,1.002834,False
DorsAttnA-SomMotA,1.190317,False
