network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,13.520169,False
ContA-ContC,2.690165,False
ContA-DefaultA,4.237038,False
ContA-DefaultB,4.278292,False
ContA-DefaultC,3.11262,False
ContA-DorsAttnA,9.772376,False
ContA-DorsAttnB,1.842872,False
ContA-LimbicA,23.921815,False
ContA-LimbicB,11.235953,False
ContA-SalVentAttnA,0.349733,False
ContA-SalVentAttnB,2.750339,False
ContA-SomMotA,8.802836,False
ContA-SomMotB,7.086631,False
ContA-TempPar,0.327071,False
ContA-VisCent,1.180379,False
ContA-VisPeri,3.847439,False
ContB-ContA,1.501951,False
ContB-ContB,0.0,True
ContB-ContC,9.925111,False
ContB-DefaultA,6.496609,False
ContB-DefaultB,2.222628,False
ContB-DefaultC,4.269986,False
ContB-DorsAttnA,11.643917,False
ContB-DorsAttnB,2.000065,False
ContB-LimbicA,2.588712,False
ContB-LimbicB,9.420474,False
ContB-SalVentAttnA,0.182734,False
ContB-SalVentAttnB,1.678719,False
ContB-SomMotA,10.129005,False
ContB-SomMotB,5.136807,False
ContB-TempPar,5.35643,False
ContB-VisCent,0.001173,False
ContB-VisPeri,3.439152,False
ContC-ContA,1.254438,False
ContC-ContB,5.554819,False
ContC-ContC,0.0,True
ContC-DefaultA,11.162285,False
ContC-DefaultB,9.392623,False
ContC-DefaultC,6.422569,False
ContC-DorsAttnA,8.58672,False
ContC-DorsAttnB,1.850519,False
ContC-LimbicA,3.134431,False
ContC-LimbicB,12.647792,False
ContC-SalVentAttnA,0.929109,False
ContC-SalVentAttnB,1.897695,False
ContC-SomMotA,2.916746,False
ContC-SomMotB,0.852596,False
ContC-TempPar,3.871211,False
ContC-VisCent,5.121402,False
ContC-VisPeri,1.150409,False
DefaultA-ContA,1.238706,False
DefaultA-ContB,4.099935,False
DefaultA-ContC,28.717131,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,4.648466,False
DefaultA-DefaultC,4.708572,False
DefaultA-DorsAttnA,12.626838,False
DefaultA-DorsAttnB,1.259532,False
DefaultA-LimbicA,8.669407,False
DefaultA-LimbicB,7.627531,False
DefaultA-SalVentAttnA,1.063439,False
DefaultA-SalVentAttnB,1.275953,False
DefaultA-SomMotA,4.388892,False
DefaultA-SomMotB,3.942858,False
DefaultA-TempPar,3.18403,False
DefaultA-VisCent,1.278641,False
DefaultA-VisPeri,1.011576,False
DefaultB-ContA,2.189728,False
DefaultB-ContB,10.744603,False
