network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,16.520652,False
ContA-ContC,3.30606,False
ContA-DefaultA,5.794191,False
ContA-DefaultB,4.013025,False
ContA-DefaultC,2.607482,False
ContA-DorsAttnA,14.1032,False
ContA-DorsAttnB,3.28841,False
ContA-LimbicA,4.161987,False
ContA-LimbicB,3.064569,False
ContA-SalVentAttnA,2.456144,False
ContA-SalVentAttnB,2.397682,False
ContA-SomMotA,0.727331,False
ContA-SomMotB,8.831511,False
ContA-TempPar,0.34731,False
ContA-VisCent,2.334727,False
ContA-VisPeri,0.855624,False
ContB-ContA,2.5278,False
ContB-ContB,0.0,True
ContB-ContC,4.234082,False
ContB-DefaultA,3.87899,False
ContB-DefaultB,5.366355,False
ContB-DefaultC,3.475773,False
ContB-DorsAttnA,0.943484,False
ContB-DorsAttnB,0.660996,False
ContB-LimbicA,2.684807,False
ContB-LimbicB,0.860462,False
ContB-SalVentAttnA,0.695717,False
ContB-SalVentAttnB,4.195645,False
ContB-SomMotA,0.22278,False
ContB-SomMotB,2.577669,False
ContB-TempPar,0.342983,False
ContB-VisCent,0.168234,False
ContB-VisPeri,0.867968,False
ContC-ContA,2.765862,False
ContC-ContB,1.379772,False
ContC-ContC,0.0,True
ContC-DefaultA,22.037006,False
ContC-DefaultB,17.78751,False
ContC-DefaultC,0.778597,False
ContC-DorsAttnA,7.962786,False
ContC-DorsAttnB,11.348283,False
ContC-LimbicA,15.344572,False
ContC-LimbicB,18.245658,False
ContC-SalVentAttnA,31.673975,False
ContC-SalVentAttnB,6.310023,False
ContC-SomMotA,10.425014,False
ContC-SomMotB,23.422471,False
ContC-TempPar,16.837497,False
ContC-VisCent,9.292615,False
ContC-VisPeri,5.776305,False
DefaultA-ContA,4.034741,False
DefaultA-ContB,2.131225,False
DefaultA-ContC,26.020055,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,21.340797,False
DefaultA-DefaultC,0.528525,False
DefaultA-DorsAttnA,11.245596,False
DefaultA-DorsAttnB,14.302637,False
DefaultA-LimbicA,18.293287,False
DefaultA-LimbicB,22.25045,False
DefaultA-SalVentAttnA,40.493325,False
DefaultA-SalVentAttnB,12.261625,False
DefaultA-SomMotA,7.696827,False
DefaultA-SomMotB,37.695093,False
DefaultA-TempPar,19.526586,False
DefaultA-VisCent,15.735929,False
DefaultA-VisPeri,9.159044,False
DefaultB-ContA,0.311644,False
DefaultB-ContB,0.155867,False
DefaultB-ContC,2.590913,False
DefaultB-DefaultA,8.746241,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.713299,False
DefaultB-DorsAttnA,5.396131,False
DefaultB-DorsAttnB,1.752833,False
DefaultB-LimbicA,5.516787,False
DefaultB-LimbicB,1.757543,False
DefaultB-SalVentAttnA,6.256534,False
DefaultB-SalVentAttnB,3.388089,False
DefaultB-SomMotA,0.735093,False
DefaultB-SomMotB,4.422292,False
DefaultB-TempPar,2.372989,False
DefaultB-VisCent,2.562641,False
DefaultB-VisPeri,1.84479,False
DefaultC-ContA,0.530077,False
DefaultC-ContB,1.459164,False
DefaultC-ContC,1.614789,False
DefaultC-DefaultA,3.938441,False
DefaultC-DefaultB,2.016471,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,7.190207,False
DefaultC-DorsAttnB,0.970925,False
DefaultC-LimbicA,3.423513,False
DefaultC-LimbicB,4.141786,False
DefaultC-SalVentAttnA,1.39445,False
DefaultC-SalVentAttnB,7.648549,False
DefaultC-SomMotA,3.294249,False
DefaultC-SomMotB,1.782452,False
DefaultC-TempPar,0.312944,False
DefaultC-VisCent,2.603293,False
