network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,20.918556,False
ContA-ContC,5.254403,False
ContA-DefaultA,5.603352,False
ContA-DefaultB,7.489006,False
ContA-DefaultC,4.29172,False
ContA-DorsAttnA,0.856422,False
ContA-DorsAttnB,1.189277,False
ContA-LimbicA,46.691416,False
ContA-LimbicB,11.779822,False
ContA-SalVentAttnA,5.546678,False
ContA-SalVentAttnB,7.482141,False
ContA-SomMotA,7.454786,False
ContA-SomMotB,6.235427,False
ContA-TempPar,5.442448,False
ContA-VisCent,4.333074,False
ContA-VisPeri,4.092749,False
ContB-ContA,4.479187,False
ContB-ContB,0.0,True
ContB-ContC,10.691875,False
ContB-DefaultA,1.652504,False
ContB-DefaultB,11.32109,False
ContB-DefaultC,1.517669,False
ContB-DorsAttnA,0.147407,False
ContB-DorsAttnB,0.749389,False
ContB-LimbicA,6.126764,False
ContB-LimbicB,10.591639,False
ContB-SalVentAttnA,2.555837,False
ContB-SalVentAttnB,1.583357,False
ContB-SomMotA,7.50612,False
ContB-SomMotB,4.954474,False
ContB-TempPar,2.161038,False
ContB-VisCent,9.088195,False
ContB-VisPeri,6.444675,False
ContC-ContA,6.062309,False
ContC-ContB,5.956349,False
ContC-ContC,0.0,True
ContC-DefaultA,4.760782,False
ContC-DefaultB,3.894409,False
ContC-DefaultC,6.379848,False
ContC-DorsAttnA,0.913826,False
ContC-DorsAttnB,0.340826,False
ContC-LimbicA,4.825977,False
ContC-LimbicB,8.618176,False
ContC-SalVentAttnA,1.098358,False
ContC-SalVentAttnB,1.017027,False
ContC-SomMotA,1.259973,False
ContC-SomMotB,1.40332,False
ContC-TempPar,5.101111,False
ContC-VisCent,3.48132,False
ContC-VisPeri,3.213569,False
DefaultA-ContA,18.633433,False
DefaultA-ContB,14.767199,False
DefaultA-ContC,41.977131,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,21.768497,False
DefaultA-DefaultC,5.11497,False
DefaultA-DorsAttnA,2.185157,False
DefaultA-DorsAttnB,1.11301,False
DefaultA-LimbicA,19.203763,False
DefaultA-LimbicB,21.403235,False
DefaultA-SalVentAttnA,2.124596,False
DefaultA-SalVentAttnB,3.341026,False
DefaultA-SomMotA,3.6166,False
DefaultA-SomMotB,6.789209,False
DefaultA-TempPar,4.377661,False
DefaultA-VisCent,4.889431,False
DefaultA-VisPeri,4.258228,False
DefaultB-ContA,11.471671,False
DefaultB-ContB,7.207585,False
DefaultB-ContC,14.587192,False
DefaultB-DefaultA,10.482336,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.134827,False
DefaultB-DorsAttnA,1.168404,False
DefaultB-DorsAttnB,0.298754,False
DefaultB-LimbicA,9.390537,False
DefaultB-LimbicB,15.883946,False
DefaultB-SalVentAttnA,1.880603,False
DefaultB-SalVentAttnB,5.770609,False
DefaultB-SomMotA,3.947466,False
DefaultB-SomMotB,9.213932,False
DefaultB-TempPar,6.612681,False
DefaultB-VisCent,2.091511,False
DefaultB-VisPeri,2.779867,False
DefaultC-ContA,27.075363,False
DefaultC-ContB,25.48444,False
DefaultC-ContC,12.313062,False
DefaultC-DefaultA,17.792656,False
DefaultC-DefaultB,12.497985,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,4.388232,False
DefaultC-DorsAttnB,12.549532,False
DefaultC-LimbicA,14.83534,False
DefaultC-LimbicB,0.076977,False
DefaultC-SalVentAttnA,4.621132,False
DefaultC-SalVentAttnB,0.765888,False
DefaultC-SomMotA,4.092414,False
DefaultC-SomMotB,4.256352,False
DefaultC-TempPar,10.576657,False
DefaultC-VisCent,6.977072,False
DefaultC-VisPeri,4.864011,False
DorsAttnA-ContA,4.002751,False
DorsAttnA-ContB,2.225521,False
DorsAttnA-ContC,4.152024,False
DorsAttnA-DefaultA,4.944279,False
DorsAttnA-DefaultB,2.82708,False
DorsAttnA-DefaultC,5.69567,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,22.9229,False
DorsAttnA-LimbicA,0.827263,False
DorsAttnA-LimbicB,0.875955,False
DorsAttnA-SalVentAttnA,4.237279,False
DorsAttnA-SalVentAttnB,0.3966,False
DorsAttnA-SomMotA,0.012198,False
DorsAttnA-SomMotB,1.118715,False
DorsAttnA-TempPar,0.375622,False
DorsAttnA-VisCent,0.025826,False
DorsAttnA-VisPeri,0.412295,False
DorsAttnB-ContA,8.92171,False
DorsAttnB-ContB,7.827254,False
DorsAttnB-ContC,2.667083,False
DorsAttnB-DefaultA,1.301297,False
DorsAttnB-DefaultB,0.601986,False
DorsAttnB-DefaultC,3.005631,False
DorsAttnB-DorsAttnA,4.268068,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,5.186039,False
DorsAttnB-LimbicB,2.575089,False
DorsAttnB-SalVentAttnA,5.795315,False
DorsAttnB-SalVentAttnB,2.487905,False
DorsAttnB-SomMotA,0.447142,False
DorsAttnB-SomMotB,3.4401,False
DorsAttnB-TempPar,3.478621,False
DorsAttnB-VisCent,4.273542,False
DorsAttnB-VisPeri,1.086398,False
LimbicA-ContA,5.113112,False
LimbicA-ContB,5.965665,False
LimbicA-ContC,4.924825,False
LimbicA-DefaultA,6.015459,False
LimbicA-DefaultB,4.556041,False
LimbicA-DefaultC,4.603797,False
LimbicA-DorsAttnA,1.027623,False
LimbicA-DorsAttnB,2.58494,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,22.443494,False
LimbicA-SalVentAttnA,11.544688,False
LimbicA-SalVentAttnB,8.91862,False
LimbicA-SomMotA,7.274224,False
LimbicA-SomMotB,2.412609,False
LimbicA-TempPar,6.028392,False
LimbicA-VisCent,4.446226,False
LimbicA-VisPeri,7.03457,False
LimbicB-ContA,1.155384,False
LimbicB-ContB,3.015428,False
LimbicB-ContC,2.333151,False
LimbicB-DefaultA,10.046856,False
LimbicB-DefaultB,6.062285,False
LimbicB-DefaultC,2.030105,False
LimbicB-DorsAttnA,1.700422,False
LimbicB-DorsAttnB,2.779528,False
LimbicB-LimbicA,7.432278,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,20.928086,False
LimbicB-SalVentAttnB,8.523324,False
LimbicB-SomMotA,0.497423,False
LimbicB-SomMotB,5.315478,False
LimbicB-TempPar,0.428158,False
LimbicB-VisCent,4.053338,False
LimbicB-VisPeri,1.502625,False
SalVentAttnA-ContA,0.593009,False
SalVentAttnA-ContB,0.151359,False
SalVentAttnA-ContC,1.669017,False
SalVentAttnA-DefaultA,1.776973,False
SalVentAttnA-DefaultB,2.338312,False
SalVentAttnA-DefaultC,0.175682,False
SalVentAttnA-DorsAttnA,2.577511,False
SalVentAttnA-DorsAttnB,5.071186,False
SalVentAttnA-LimbicA,5.500316,False
SalVentAttnA-LimbicB,1.886924,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.001749,False
SalVentAttnA-SomMotA,3.287141,False
SalVentAttnA-SomMotB,1.399351,False
SalVentAttnA-TempPar,3.732077,False
SalVentAttnA-VisCent,1.305566,False
SalVentAttnA-VisPeri,4.241854,False
SalVentAttnB-ContA,8.207654,False
SalVentAttnB-ContB,2.984533,False
SalVentAttnB-ContC,7.665864,False
SalVentAttnB-DefaultA,10.470428,False
SalVentAttnB-DefaultB,12.640456,False
SalVentAttnB-DefaultC,2.966872,False
SalVentAttnB-DorsAttnA,3.921368,False
SalVentAttnB-DorsAttnB,3.593717,False
SalVentAttnB-LimbicA,17.043045,False
SalVentAttnB-LimbicB,32.729335,False
SalVentAttnB-SalVentAttnA,32.890745,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,3.409642,False
SalVentAttnB-SomMotB,5.527716,False
SalVentAttnB-TempPar,6.126244,False
SalVentAttnB-VisCent,8.075917,False
SalVentAttnB-VisPeri,2.867341,False
SomMotA-ContA,0.011608,False
SomMotA-ContB,1.324686,False
SomMotA-ContC,0.610282,False
SomMotA-DefaultA,1.29416,False
SomMotA-DefaultB,1.820887,False
SomMotA-DefaultC,2.651707,False
SomMotA-DorsAttnA,2.417925,False
SomMotA-DorsAttnB,5.30492,False
SomMotA-LimbicA,0.784133,False
SomMotA-LimbicB,5.410224,False
SomMotA-SalVentAttnA,9.898614,False
SomMotA-SalVentAttnB,5.161975,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,4.556162,False
SomMotA-TempPar,3.106459,False
SomMotA-VisCent,14.134928,False
SomMotA-VisPeri,8.286045,False
SomMotB-ContA,4.393896,False
SomMotB-ContB,6.180779,False
SomMotB-ContC,6.49243,False
SomMotB-DefaultA,3.538861,False
SomMotB-DefaultB,12.927584,False
SomMotB-DefaultC,4.392649,False
SomMotB-DorsAttnA,3.156141,False
SomMotB-DorsAttnB,0.830549,False
SomMotB-LimbicA,3.03877,False
SomMotB-LimbicB,5.170198,False
SomMotB-SalVentAttnA,2.961165,False
SomMotB-SalVentAttnB,1.455486,False
SomMotB-SomMotA,4.028766,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,1.108745,False
SomMotB-VisCent,0.862646,False
SomMotB-VisPeri,1.076997,False
TempPar-ContA,21.775492,False
TempPar-ContB,17.558585,False
TempPar-ContC,7.665879,False
TempPar-DefaultA,25.405221,False
TempPar-DefaultB,12.817844,False
TempPar-DefaultC,7.617796,False
TempPar-DorsAttnA,1.533787,False
TempPar-DorsAttnB,5.597155,False
TempPar-LimbicA,21.780356,False
TempPar-LimbicB,4.954498,False
TempPar-SalVentAttnA,0.617451,False
TempPar-SalVentAttnB,6.128049,False
TempPar-SomMotA,0.44568,False
TempPar-SomMotB,1.801811,False
TempPar-TempPar,0.0,True
TempPar-VisCent,1.748749,False
TempPar-VisPeri,0.256683,False
VisCent-ContA,2.497131,False
VisCent-ContB,7.127262,False
VisCent-ContC,8.478591,False
VisCent-DefaultA,1.740147,False
VisCent-DefaultB,2.800728,False
VisCent-DefaultC,3.190776,False
VisCent-DorsAttnA,2.627084,False
VisCent-DorsAttnB,2.227865,False
VisCent-LimbicA,1.380371,False
VisCent-LimbicB,0.750437,False
VisCent-SalVentAttnA,5.299789,False
VisCent-SalVentAttnB,3.683561,False
VisCent-SomMotA,1.255618,False
VisCent-SomMotB,2.656261,False
VisCent-TempPar,3.037193,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,1.369569,False
VisPeri-ContA,0.238684,False
VisPeri-ContB,4.485232,False
VisPeri-ContC,2.474777,False
VisPeri-DefaultA,0.957563,False
VisPeri-DefaultB,2.093301,False
VisPeri-DefaultC,0.970193,False
VisPeri-DorsAttnA,9.782374,False
VisPeri-DorsAttnB,3.910948,False
VisPeri-LimbicA,2.121467,False
VisPeri-LimbicB,2.530333,False
VisPeri-SalVentAttnA,14.296088,False
VisPeri-SalVentAttnB,5.22311,False
VisPeri-SomMotA,13.91636,False
VisPeri-SomMotB,3.648754,False
VisPeri-TempPar,2.333568,False
VisPeri-VisCent,24.99963,False
VisPeri-VisPeri,0.0,True
