network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,5.304799,False
ContA-ContC,2.573922,False
ContA-DefaultA,9.076951,False
ContA-DefaultB,9.562761,False
ContA-DefaultC,0.669843,False
ContA-DorsAttnA,6.899658,False
ContA-DorsAttnB,0.241109,False
ContA-LimbicA,17.445773,False
ContA-LimbicB,16.356673,False
ContA-SalVentAttnA,2.066784,False
ContA-SalVentAttnB,8.334546,False
ContA-SomMotA,4.354453,False
ContA-SomMotB,1.33615,False
ContA-TempPar,1.37692,False
ContA-VisCent,2.392506,False
ContA-VisPeri,5.740292,False
ContB-ContA,20.549633,False
ContB-ContB,0.0,True
ContB-ContC,2.318416,False
ContB-DefaultA,2.978248,False
ContB-DefaultB,7.57695,False
ContB-DefaultC,1.52868,False
ContB-DorsAttnA,4.03122,False
ContB-DorsAttnB,0.760199,False
ContB-LimbicA,9.810645,False
ContB-LimbicB,8.095272,False
ContB-SalVentAttnA,2.734523,False
ContB-SalVentAttnB,2.821757,False
ContB-SomMotA,16.649959,False
ContB-SomMotB,1.347093,False
ContB-TempPar,1.376696,False
ContB-VisCent,0.189925,False
ContB-VisPeri,7.151496,False
ContC-ContA,1.115282,False
ContC-ContB,0.076373,False
ContC-ContC,0.0,True
ContC-DefaultA,3.532345,False
ContC-DefaultB,4.250904,False
ContC-DefaultC,3.950741,False
ContC-DorsAttnA,0.468894,False
ContC-DorsAttnB,2.417908,False
ContC-LimbicA,0.347848,False
ContC-LimbicB,0.393803,False
ContC-SalVentAttnA,2.881502,False
ContC-SalVentAttnB,0.11136,False
ContC-SomMotA,1.04155,False
ContC-SomMotB,5.576186,False
ContC-TempPar,5.069114,False
ContC-VisCent,4.582759,False
ContC-VisPeri,1.729656,False
DefaultA-ContA,3.694936,False
DefaultA-ContB,3.605819,False
DefaultA-ContC,12.367428,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,6.37864,False
DefaultA-DefaultC,5.518008,False
DefaultA-DorsAttnA,1.291447,False
DefaultA-DorsAttnB,1.320614,False
DefaultA-LimbicA,2.508951,False
DefaultA-LimbicB,3.160139,False
