network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,8.634833,False
ContA-ContC,0.685603,False
ContA-DefaultA,1.019286,False
ContA-DefaultB,3.084193,False
ContA-DefaultC,2.151842,False
ContA-DorsAttnA,3.242234,False
ContA-DorsAttnB,2.866575,False
ContA-LimbicA,24.3648,False
ContA-LimbicB,15.779673,False
ContA-SalVentAttnA,0.472221,False
ContA-SalVentAttnB,9.347193,False
ContA-SomMotA,9.975994,False
ContA-SomMotB,0.856796,False
ContA-TempPar,7.099452,False
ContA-VisCent,1.509739,False
ContA-VisPeri,1.956743,False
ContB-ContA,2.178334,False
ContB-ContB,0.0,True
ContB-ContC,10.282679,False
ContB-DefaultA,3.632297,False
ContB-DefaultB,5.356467,False
ContB-DefaultC,0.982963,False
ContB-DorsAttnA,0.017471,False
ContB-DorsAttnB,2.921101,False
ContB-LimbicA,9.695884,False
ContB-LimbicB,3.461154,False
ContB-SalVentAttnA,0.964514,False
ContB-SalVentAttnB,7.366117,False
ContB-SomMotA,14.340493,False
ContB-SomMotB,4.492431,False
ContB-TempPar,5.979568,False
ContB-VisCent,2.569159,False
ContB-VisPeri,7.388066,False
ContC-ContA,1.126544,False
ContC-ContB,0.950693,False
ContC-ContC,0.0,True
ContC-DefaultA,13.922454,False
ContC-DefaultB,3.996988,False
ContC-DefaultC,0.231463,False
ContC-DorsAttnA,1.179317,False
ContC-DorsAttnB,1.456738,False
ContC-LimbicA,2.981755,False
ContC-LimbicB,4.198156,False
ContC-SalVentAttnA,1.362316,False
ContC-SalVentAttnB,4.79826,False
ContC-SomMotA,1.864817,False
ContC-SomMotB,4.760507,False
ContC-TempPar,2.062891,False
ContC-VisCent,13.042301,False
ContC-VisPeri,1.671874,False
DefaultA-ContA,1.325387,False
DefaultA-ContB,2.028417,False
DefaultA-ContC,10.224087,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,11.885561,False
DefaultA-DefaultC,4.74296,False
DefaultA-DorsAttnA,1.043694,False
DefaultA-DorsAttnB,0.26382,False
DefaultA-LimbicA,5.098734,False
DefaultA-LimbicB,3.664286,False
DefaultA-SalVentAttnA,1.460783,False
DefaultA-SalVentAttnB,5.14895,False
DefaultA-SomMotA,5.954984,False
DefaultA-SomMotB,5.830182,False
DefaultA-TempPar,2.098991,False
DefaultA-VisCent,7.979295,False
DefaultA-VisPeri,5.749712,False
DefaultB-ContA,0.21769,False
DefaultB-ContB,2.303655,False
DefaultB-ContC,0.784188,False
DefaultB-DefaultA,4.595795,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,8.445579,False
DefaultB-DorsAttnA,6.838851,False
DefaultB-DorsAttnB,0.356488,False
DefaultB-LimbicA,0.561646,False
