network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.749469,False
ContA-ContC,2.881114,False
ContA-DefaultA,0.541933,False
ContA-DefaultB,0.847763,False
ContA-DefaultC,0.611011,False
ContA-DorsAttnA,3.56734,False
ContA-DorsAttnB,1.192505,False
ContA-LimbicA,24.936107,False
ContA-LimbicB,9.886455,False
ContA-SalVentAttnA,2.666657,False
ContA-SalVentAttnB,23.629379,False
ContA-SomMotA,2.173443,False
ContA-SomMotB,0.414475,False
ContA-TempPar,0.141815,False
ContA-VisCent,1.024223,False
ContA-VisPeri,4.288488,False
ContB-ContA,5.289664,False
ContB-ContB,0.0,True
ContB-ContC,0.724052,False
ContB-DefaultA,2.385859,False
ContB-DefaultB,2.331045,False
ContB-DefaultC,1.044688,False
ContB-DorsAttnA,1.515524,False
ContB-DorsAttnB,4.45022,False
ContB-LimbicA,4.561385,False
ContB-LimbicB,1.03133,False
ContB-SalVentAttnA,4.122388,False
ContB-SalVentAttnB,0.534793,False
ContB-SomMotA,1.241559,False
ContB-SomMotB,2.817101,False
ContB-TempPar,5.148015,False
ContB-VisCent,0.520891,False
ContB-VisPeri,0.118589,False
ContC-ContA,0.447308,False
ContC-ContB,0.977099,False
ContC-ContC,0.0,True
ContC-DefaultA,3.55796,False
ContC-DefaultB,3.337291,False
ContC-DefaultC,2.529543,False
ContC-DorsAttnA,3.531166,False
ContC-DorsAttnB,0.430313,False
ContC-LimbicA,1.661228,False
ContC-LimbicB,1.237809,False
ContC-SalVentAttnA,1.524879,False
ContC-SalVentAttnB,1.937573,False
ContC-SomMotA,1.697585,False
ContC-SomMotB,2.173652,False
ContC-TempPar,0.165938,False
ContC-VisCent,2.086599,False
ContC-VisPeri,0.332472,False
DefaultA-ContA,0.553893,False
DefaultA-ContB,2.216189,False
DefaultA-ContC,8.070236,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,11.810856,False
DefaultA-DefaultC,0.806221,False
DefaultA-DorsAttnA,8.21076,False
DefaultA-DorsAttnB,2.792407,False
DefaultA-LimbicA,4.468959,False
DefaultA-LimbicB,9.426871,False
DefaultA-SalVentAttnA,0.383897,False
DefaultA-SalVentAttnB,6.496239,False
DefaultA-SomMotA,5.36697,False
DefaultA-SomMotB,2.404143,False
DefaultA-TempPar,6.799859,False
DefaultA-VisCent,2.716685,False
DefaultA-VisPeri,3.362272,False
DefaultB-ContA,6.177361,False
DefaultB-ContB,0.68851,False
DefaultB-ContC,8.159503,False
DefaultB-DefaultA,4.506531,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.244571,False
DefaultB-DorsAttnA,11.580641,False
DefaultB-DorsAttnB,3.137809,False
DefaultB-LimbicA,15.602632,False
DefaultB-LimbicB,20.823391,False
DefaultB-SalVentAttnA,2.838174,False
DefaultB-SalVentAttnB,10.369158,False
DefaultB-SomMotA,13.184587,False
DefaultB-SomMotB,0.504484,False
DefaultB-TempPar,8.428965,False
DefaultB-VisCent,6.226289,False
DefaultB-VisPeri,13.793407,False
DefaultC-ContA,7.764972,False
DefaultC-ContB,0.990937,False
DefaultC-ContC,8.363817,False
DefaultC-DefaultA,3.220743,False
DefaultC-DefaultB,6.404041,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,7.195955,False
DefaultC-DorsAttnB,5.063065,False
DefaultC-LimbicA,15.793032,False
DefaultC-LimbicB,10.582429,False
DefaultC-SalVentAttnA,4.678232,False
DefaultC-SalVentAttnB,2.211947,False
DefaultC-SomMotA,26.600899,False
DefaultC-SomMotB,1.830491,False
