network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.617077,False
ContA-ContC,5.264734,False
ContA-DefaultA,1.91686,False
ContA-DefaultB,2.760694,False
ContA-DefaultC,0.401991,False
ContA-DorsAttnA,4.100066,False
ContA-DorsAttnB,0.937051,False
ContA-LimbicA,27.89686,False
ContA-LimbicB,5.715634,False
ContA-SalVentAttnA,2.440229,False
ContA-SalVentAttnB,6.023723,False
ContA-SomMotA,8.483599,False
ContA-SomMotB,6.289103,False
ContA-TempPar,0.287845,False
ContA-VisCent,1.712628,False
ContA-VisPeri,4.78958,False
ContB-ContA,7.499248,False
ContB-ContB,0.0,True
ContB-ContC,7.135549,False
ContB-DefaultA,3.509403,False
ContB-DefaultB,12.329033,False
ContB-DefaultC,7.213725,False
ContB-DorsAttnA,3.998062,False
ContB-DorsAttnB,0.343453,False
ContB-LimbicA,5.927759,False
ContB-LimbicB,3.323188,False
ContB-SalVentAttnA,0.987835,False
ContB-SalVentAttnB,0.482991,False
ContB-SomMotA,4.480329,False
ContB-SomMotB,2.606427,False
ContB-TempPar,1.754915,False
ContB-VisCent,4.207098,False
ContB-VisPeri,2.907243,False
ContC-ContA,2.010047,False
ContC-ContB,5.215415,False
ContC-ContC,0.0,True
ContC-DefaultA,21.517268,False
ContC-DefaultB,4.578056,False
ContC-DefaultC,0.49155,False
ContC-DorsAttnA,4.901627,False
ContC-DorsAttnB,0.054682,False
ContC-LimbicA,0.895627,False
ContC-LimbicB,4.003688,False
ContC-SalVentAttnA,2.156719,False
ContC-SalVentAttnB,2.670127,False
ContC-SomMotA,9.761323,False
ContC-SomMotB,3.734198,False
ContC-TempPar,0.479338,False
ContC-VisCent,2.627782,False
ContC-VisPeri,3.199108,False
DefaultA-ContA,4.733448,False
DefaultA-ContB,9.808643,False
DefaultA-ContC,42.68787,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,18.519559,False
DefaultA-DefaultC,0.54682,False
DefaultA-DorsAttnA,15.01305,False
DefaultA-DorsAttnB,1.405672,False
DefaultA-LimbicA,5.816479,False
DefaultA-LimbicB,18.145862,False
DefaultA-SalVentAttnA,3.035278,False
DefaultA-SalVentAttnB,4.134803,False
DefaultA-SomMotA,15.20161,False
DefaultA-SomMotB,8.223903,False
DefaultA-TempPar,3.487779,False
DefaultA-VisCent,1.758276,False
DefaultA-VisPeri,15.037125,False
DefaultB-ContA,2.594054,False
DefaultB-ContB,8.671408,False
DefaultB-ContC,16.005243,False
DefaultB-DefaultA,8.557311,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,11.063223,False
DefaultB-DorsAttnA,8.073183,False
DefaultB-DorsAttnB,0.072411,False
DefaultB-LimbicA,0.703494,False
DefaultB-LimbicB,4.617689,False
DefaultB-SalVentAttnA,6.719341,False
DefaultB-SalVentAttnB,0.532373,False
DefaultB-SomMotA,4.175132,False
DefaultB-SomMotB,10.603914,False
DefaultB-TempPar,2.789459,False
DefaultB-VisCent,0.021429,False
DefaultB-VisPeri,3.415588,False
DefaultC-ContA,0.108449,False
DefaultC-ContB,3.670661,False
DefaultC-ContC,0.166569,False
DefaultC-DefaultA,0.458116,False
DefaultC-DefaultB,5.113228,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.943009,False
DefaultC-DorsAttnB,1.755434,False
DefaultC-LimbicA,0.022669,False
DefaultC-LimbicB,0.890985,False
DefaultC-SalVentAttnA,5.167184,False
DefaultC-SalVentAttnB,0.015872,False
DefaultC-SomMotA,0.205231,False
DefaultC-SomMotB,1.01735,False
DefaultC-TempPar,4.451364,False
DefaultC-VisCent,1.514145,False
DefaultC-VisPeri,0.283948,False
DorsAttnA-ContA,4.662948,False
DorsAttnA-ContB,2.327619,False
DorsAttnA-ContC,10.336787,False
DorsAttnA-DefaultA,5.775936,False
DorsAttnA-DefaultB,17.757153,False
DorsAttnA-DefaultC,6.479377,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,7.996735,False
DorsAttnA-LimbicA,4.314553,False
DorsAttnA-LimbicB,7.047439,False
DorsAttnA-SalVentAttnA,19.35418,False
DorsAttnA-SalVentAttnB,5.415968,False
DorsAttnA-SomMotA,3.358624,False
DorsAttnA-SomMotB,2.282648,False
DorsAttnA-TempPar,14.403991,False
DorsAttnA-VisCent,1.379849,False
DorsAttnA-VisPeri,0.534669,False
DorsAttnB-ContA,2.914583,False
DorsAttnB-ContB,1.685838,False
DorsAttnB-ContC,1.432184,False
DorsAttnB-DefaultA,0.041681,False
DorsAttnB-DefaultB,1.326938,False
DorsAttnB-DefaultC,1.049455,False
DorsAttnB-DorsAttnA,1.132023,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,3.724028,False
DorsAttnB-LimbicB,1.786102,False
DorsAttnB-SalVentAttnA,4.327019,False
DorsAttnB-SalVentAttnB,3.418334,False
DorsAttnB-SomMotA,0.500338,False
DorsAttnB-SomMotB,0.760178,False
DorsAttnB-TempPar,1.801919,False
DorsAttnB-VisCent,0.896732,False
