network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.760239,False
ContA-ContC,0.663094,False
ContA-DefaultA,1.56696,False
ContA-DefaultB,0.177245,False
ContA-DefaultC,0.822837,False
ContA-DorsAttnA,0.417269,False
ContA-DorsAttnB,2.140223,False
ContA-LimbicA,8.278249,False
ContA-LimbicB,9.009781,False
ContA-SalVentAttnA,5.463236,False
ContA-SalVentAttnB,4.929555,False
ContA-SomMotA,3.705567,False
ContA-SomMotB,0.474737,False
ContA-TempPar,0.245865,False
ContA-VisCent,1.935366,False
ContA-VisPeri,1.24717,False
ContB-ContA,0.84374,False
ContB-ContB,0.0,True
ContB-ContC,0.019682,False
ContB-DefaultA,3.294184,False
ContB-DefaultB,0.630196,False
ContB-DefaultC,3.135293,False
ContB-DorsAttnA,1.225338,False
ContB-DorsAttnB,1.101525,False
ContB-LimbicA,1.42101,False
ContB-LimbicB,0.690548,False
ContB-SalVentAttnA,0.713987,False
ContB-SalVentAttnB,0.167146,False
ContB-SomMotA,3.491038,False
ContB-SomMotB,0.018929,False
ContB-TempPar,2.790706,False
ContB-VisCent,0.824805,False
ContB-VisPeri,0.323722,False
ContC-ContA,6.578783,False
ContC-ContB,2.609167,False
ContC-ContC,0.0,True
ContC-DefaultA,0.477949,False
ContC-DefaultB,2.528069,False
ContC-DefaultC,2.426108,False
ContC-DorsAttnA,0.673065,False
ContC-DorsAttnB,1.61289,False
ContC-LimbicA,6.8724,False
ContC-LimbicB,5.636755,False
ContC-SalVentAttnA,4.261679,False
ContC-SalVentAttnB,3.448002,False
ContC-SomMotA,5.475273,False
ContC-SomMotB,0.734732,False
ContC-TempPar,2.685985,False
ContC-VisCent,0.704084,False
ContC-VisPeri,5.049296,False
DefaultA-ContA,13.386443,False
DefaultA-ContB,2.482935,False
DefaultA-ContC,32.67946,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,6.640582,False
DefaultA-DefaultC,2.714554,False
DefaultA-DorsAttnA,0.192698,False
DefaultA-DorsAttnB,0.411426,False
DefaultA-LimbicA,13.808818,False
DefaultA-LimbicB,12.945246,False
DefaultA-SalVentAttnA,3.523663,False
DefaultA-SalVentAttnB,7.962144,False
DefaultA-SomMotA,5.544647,False
DefaultA-SomMotB,0.892986,False
DefaultA-TempPar,7.947077,False
DefaultA-VisCent,0.231887,False
DefaultA-VisPeri,4.13132,False
DefaultB-ContA,4.391625,False
DefaultB-ContB,7.166337,False
DefaultB-ContC,12.07734,False
DefaultB-DefaultA,0.314488,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,8.400971,False
DefaultB-DorsAttnA,1.460701,False
DefaultB-DorsAttnB,0.566978,False
DefaultB-LimbicA,4.405014,False
DefaultB-LimbicB,6.575929,False
DefaultB-SalVentAttnA,1.394648,False
DefaultB-SalVentAttnB,6.97424,False
DefaultB-SomMotA,5.801032,False
DefaultB-SomMotB,2.43832,False
DefaultB-TempPar,1.075655,False
DefaultB-VisCent,1.857941,False
DefaultB-VisPeri,4.390809,False
DefaultC-ContA,3.962052,False
DefaultC-ContB,11.183342,False
DefaultC-ContC,1.283805,False
DefaultC-DefaultA,5.097682,False
DefaultC-DefaultB,0.534534,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.94995,False
DefaultC-DorsAttnB,0.397844,False
DefaultC-LimbicA,3.59549,False
DefaultC-LimbicB,3.601978,False
DefaultC-SalVentAttnA,0.017463,False
DefaultC-SalVentAttnB,2.297015,False
DefaultC-SomMotA,3.89022,False
DefaultC-SomMotB,1.216897,False
DefaultC-TempPar,6.65676,False
DefaultC-VisCent,0.838014,False
DefaultC-VisPeri,0.21431,False
DorsAttnA-ContA,0.339928,False
DorsAttnA-ContB,0.086117,False
DorsAttnA-ContC,7.071627,False
DorsAttnA-DefaultA,1.248227,False
DorsAttnA-DefaultB,1.421256,False
DorsAttnA-DefaultC,0.8485,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,3.080478,False
DorsAttnA-LimbicA,1.060696,False
DorsAttnA-LimbicB,0.25681,False
DorsAttnA-SalVentAttnA,4.302331,False
DorsAttnA-SalVentAttnB,0.76297,False
DorsAttnA-SomMotA,0.552613,False
DorsAttnA-SomMotB,2.720177,False
DorsAttnA-TempPar,1.96261,False
DorsAttnA-VisCent,1.753811,False
DorsAttnA-VisPeri,1.312307,False
DorsAttnB-ContA,0.88038,False
DorsAttnB-ContB,2.760393,False
DorsAttnB-ContC,2.197565,False
DorsAttnB-DefaultA,0.553001,False
DorsAttnB-DefaultB,0.487666,False
DorsAttnB-DefaultC,2.547771,False
DorsAttnB-DorsAttnA,3.106841,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.861664,False
DorsAttnB-LimbicB,2.524759,False
DorsAttnB-SalVentAttnA,2.92562,False
DorsAttnB-SalVentAttnB,0.297275,False
DorsAttnB-SomMotA,2.740221,False
DorsAttnB-SomMotB,0.196503,False
DorsAttnB-TempPar,1.054304,False
DorsAttnB-VisCent,0.695418,False
DorsAttnB-VisPeri,1.87871,False
LimbicA-ContA,17.482548,False
LimbicA-ContB,5.211568,False
LimbicA-ContC,3.258951,False
LimbicA-DefaultA,1.050176,False
LimbicA-DefaultB,1.037771,False
LimbicA-DefaultC,0.200361,False
LimbicA-DorsAttnA,0.066053,False
LimbicA-DorsAttnB,3.276015,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,20.097124,False
LimbicA-SalVentAttnA,10.212444,False
LimbicA-SalVentAttnB,9.79596,False
LimbicA-SomMotA,3.569012,False
LimbicA-SomMotB,0.840091,False
LimbicA-TempPar,0.279463,False
LimbicA-VisCent,0.718625,False
LimbicA-VisPeri,2.354896,False
LimbicB-ContA,20.524553,False
LimbicB-ContB,5.630939,False
LimbicB-ContC,6.12008,False
LimbicB-DefaultA,0.792611,False
LimbicB-DefaultB,0.46117,False
LimbicB-DefaultC,0.8284,False
LimbicB-DorsAttnA,0.417766,False
LimbicB-DorsAttnB,2.361167,False
