network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,9.231467,False
ContA-ContC,0.24788,False
ContA-DefaultA,0.671276,False
ContA-DefaultB,2.035768,False
ContA-DefaultC,0.026679,False
ContA-DorsAttnA,1.317709,False
ContA-DorsAttnB,3.674787,False
ContA-LimbicA,13.61483,False
ContA-LimbicB,4.976901,False
ContA-SalVentAttnA,2.768007,False
ContA-SalVentAttnB,1.799819,False
ContA-SomMotA,6.757246,False
ContA-SomMotB,7.836763,False
ContA-TempPar,0.08711,False
ContA-VisCent,0.381123,False
ContA-VisPeri,6.624692,False
ContB-ContA,2.493519,False
ContB-ContB,0.0,True
ContB-ContC,3.461375,False
ContB-DefaultA,2.117026,False
ContB-DefaultB,2.598067,False
ContB-DefaultC,0.087112,False
ContB-DorsAttnA,2.044851,False
ContB-DorsAttnB,2.223247,False
ContB-LimbicA,4.320048,False
ContB-LimbicB,3.731726,False
ContB-SalVentAttnA,0.496383,False
ContB-SalVentAttnB,2.29986,False
ContB-SomMotA,10.918417,False
ContB-SomMotB,8.876501,False
ContB-TempPar,3.517558,False
ContB-VisCent,0.614692,False
ContB-VisPeri,5.267422,False
ContC-ContA,0.883748,False
ContC-ContB,0.034055,False
ContC-ContC,0.0,True
ContC-DefaultA,12.108192,False
ContC-DefaultB,12.575404,False
ContC-DefaultC,3.281746,False
ContC-DorsAttnA,1.177789,False
ContC-DorsAttnB,0.019331,False
ContC-LimbicA,3.548748,False
ContC-LimbicB,6.568937,False
ContC-SalVentAttnA,0.079537,False
ContC-SalVentAttnB,1.17486,False
ContC-SomMotA,3.303213,False
ContC-SomMotB,4.017583,False
ContC-TempPar,2.082307,False
ContC-VisCent,5.294757,False
ContC-VisPeri,2.343338,False
DefaultA-ContA,3.682996,False
DefaultA-ContB,0.656759,False
DefaultA-ContC,10.423156,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,26.879265,False
DefaultA-DefaultC,1.818866,False
DefaultA-DorsAttnA,1.922005,False
DefaultA-DorsAttnB,0.583213,False
DefaultA-LimbicA,8.425617,False
DefaultA-LimbicB,6.775216,False
DefaultA-SalVentAttnA,0.148854,False
DefaultA-SalVentAttnB,0.506231,False
DefaultA-SomMotA,4.409198,False
DefaultA-SomMotB,7.517307,False
DefaultA-TempPar,0.925064,False
DefaultA-VisCent,3.664417,False
DefaultA-VisPeri,2.032167,False
DefaultB-ContA,0.973213,False
DefaultB-ContB,0.665037,False
DefaultB-ContC,1.930795,False
DefaultB-DefaultA,2.36379,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.307004,False
DefaultB-DorsAttnA,3.797302,False
DefaultB-DorsAttnB,0.455786,False
DefaultB-LimbicA,2.933727,False
DefaultB-LimbicB,3.815624,False
DefaultB-SalVentAttnA,0.113823,False
DefaultB-SalVentAttnB,0.438948,False
DefaultB-SomMotA,0.836073,False
DefaultB-SomMotB,3.842021,False
DefaultB-TempPar,0.739524,False
DefaultB-VisCent,2.381944,False
DefaultB-VisPeri,1.147918,False
DefaultC-ContA,0.526976,False
DefaultC-ContB,0.777096,False
DefaultC-ContC,0.454544,False
DefaultC-DefaultA,0.136267,False
DefaultC-DefaultB,1.239459,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.771046,False
DefaultC-DorsAttnB,0.483049,False
DefaultC-LimbicA,0.16169,False
DefaultC-LimbicB,0.394362,False
DefaultC-SalVentAttnA,0.682218,False
DefaultC-SalVentAttnB,1.484202,False
DefaultC-SomMotA,5.681741,False
DefaultC-SomMotB,5.230677,False
DefaultC-TempPar,1.587618,False
DefaultC-VisCent,4.12117,False
DefaultC-VisPeri,3.784265,False
DorsAttnA-ContA,0.88173,False
DorsAttnA-ContB,3.642909,False
