network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,1.823587,False
ContA-ContC,2.983619,False
ContA-DefaultA,9.429313,False
ContA-DefaultB,8.506724,False
ContA-DefaultC,0.150552,False
ContA-DorsAttnA,1.187067,False
ContA-DorsAttnB,2.821497,False
ContA-LimbicA,25.975051,False
ContA-LimbicB,14.249897,False
ContA-SalVentAttnA,2.823906,False
ContA-SalVentAttnB,3.590271,False
ContA-SomMotA,1.654867,False
ContA-SomMotB,1.238585,False
ContA-TempPar,0.571333,False
ContA-VisCent,0.688676,False
ContA-VisPeri,0.592604,False
ContB-ContA,8.64407,False
ContB-ContB,0.0,True
ContB-ContC,4.905056,False
ContB-DefaultA,5.644875,False
ContB-DefaultB,4.460074,False
ContB-DefaultC,0.258017,False
ContB-DorsAttnA,1.277963,False
ContB-DorsAttnB,0.913451,False
ContB-LimbicA,9.854855,False
ContB-LimbicB,6.503427,False
ContB-SalVentAttnA,2.390649,False
ContB-SalVentAttnB,0.126193,False
ContB-SomMotA,3.526754,False
ContB-SomMotB,0.48698,False
ContB-TempPar,3.65008,False
ContB-VisCent,0.451043,False
ContB-VisPeri,1.227698,False
ContC-ContA,0.590271,False
ContC-ContB,0.652547,False
ContC-ContC,0.0,True
ContC-DefaultA,2.43783,False
ContC-DefaultB,6.468084,False
ContC-DefaultC,0.031659,False
ContC-DorsAttnA,3.128626,False
ContC-DorsAttnB,6.518472,False
ContC-LimbicA,0.265125,False
ContC-LimbicB,9.312526,False
ContC-SalVentAttnA,4.109862,False
ContC-SalVentAttnB,0.743957,False
ContC-SomMotA,1.628525,False
ContC-SomMotB,2.21852,False
ContC-TempPar,0.457596,False
ContC-VisCent,3.020498,False
ContC-VisPeri,0.683553,False
DefaultA-ContA,4.170419,False
DefaultA-ContB,0.150253,False
DefaultA-ContC,11.589175,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,18.339003,False
DefaultA-DefaultC,0.090702,False
DefaultA-DorsAttnA,10.195955,False
DefaultA-DorsAttnB,6.78962,False
DefaultA-LimbicA,2.764524,False
DefaultA-LimbicB,8.485725,False
DefaultA-SalVentAttnA,9.086961,False
DefaultA-SalVentAttnB,6.632615,False
DefaultA-SomMotA,2.310475,False
DefaultA-SomMotB,2.161939,False
DefaultA-TempPar,0.387105,False
DefaultA-VisCent,1.913042,False
DefaultA-VisPeri,0.258702,False
DefaultB-ContA,0.232551,False
DefaultB-ContB,0.620355,False
DefaultB-ContC,3.863557,False
DefaultB-DefaultA,4.418207,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.37988,False
DefaultB-DorsAttnA,8.151579,False
DefaultB-DorsAttnB,4.974669,False
DefaultB-LimbicA,0.38897,False
DefaultB-LimbicB,6.690452,False
DefaultB-SalVentAttnA,6.380751,False
DefaultB-SalVentAttnB,5.6306,False
DefaultB-SomMotA,4.578271,False
DefaultB-SomMotB,1.441129,False
DefaultB-TempPar,1.726736,False
DefaultB-VisCent,0.187912,False
DefaultB-VisPeri,0.357668,False
DefaultC-ContA,1.182962,False
DefaultC-ContB,2.072702,False
DefaultC-ContC,1.561395,False
DefaultC-DefaultA,2.021709,False
DefaultC-DefaultB,9.682422,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,7.388496,False
DefaultC-DorsAttnB,1.466543,False
DefaultC-LimbicA,1.38671,False
DefaultC-LimbicB,1.265527,False
DefaultC-SalVentAttnA,0.470372,False
DefaultC-SalVentAttnB,3.154204,False
DefaultC-SomMotA,2.2559,False
DefaultC-SomMotB,0.88825,False
DefaultC-TempPar,12.416267,False
DefaultC-VisCent,0.634433,False
DefaultC-VisPeri,0.090919,False
DorsAttnA-ContA,0.265068,False
DorsAttnA-ContB,1.98573,False
DorsAttnA-ContC,1.16662,False
DorsAttnA-DefaultA,0.888431,False
DorsAttnA-DefaultB,10.175651,False
DorsAttnA-DefaultC,7.036722,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,3.852666,False
DorsAttnA-LimbicA,0.908681,False
DorsAttnA-LimbicB,1.097207,False
DorsAttnA-SalVentAttnA,4.599229,False
DorsAttnA-SalVentAttnB,1.54946,False
DorsAttnA-SomMotA,3.864981,False
DorsAttnA-SomMotB,0.9111,False
DorsAttnA-TempPar,7.739641,False
DorsAttnA-VisCent,2.656662,False
DorsAttnA-VisPeri,4.932774,False
DorsAttnB-ContA,1.264495,False
DorsAttnB-ContB,1.334527,False
DorsAttnB-ContC,0.308443,False
DorsAttnB-DefaultA,1.918896,False
DorsAttnB-DefaultB,4.308908,False
DorsAttnB-DefaultC,0.710742,False
DorsAttnB-DorsAttnA,3.764754,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,1.002166,False
DorsAttnB-LimbicB,0.109785,False
DorsAttnB-SalVentAttnA,7.378497,False
DorsAttnB-SalVentAttnB,3.666641,False
DorsAttnB-SomMotA,2.549385,False
DorsAttnB-SomMotB,6.379199,False
DorsAttnB-TempPar,0.122655,False
DorsAttnB-VisCent,0.011442,False
DorsAttnB-VisPeri,0.369806,False
LimbicA-ContA,11.196352,False
LimbicA-ContB,2.483867,False
LimbicA-ContC,1.105026,False
LimbicA-DefaultA,4.266605,False
LimbicA-DefaultB,5.250581,False
LimbicA-DefaultC,0.747624,False
LimbicA-DorsAttnA,0.063222,False
LimbicA-DorsAttnB,1.001888,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,13.950082,False
LimbicA-SalVentAttnA,0.28167,False
LimbicA-SalVentAttnB,12.054096,False
LimbicA-SomMotA,6.108402,False
LimbicA-SomMotB,0.361674,False
LimbicA-TempPar,0.386652,False
LimbicA-VisCent,2.510082,False
LimbicA-VisPeri,0.358842,False
LimbicB-ContA,1.868326,False
LimbicB-ContB,1.244916,False
LimbicB-ContC,4.345857,False
LimbicB-DefaultA,3.79714,False
LimbicB-DefaultB,4.561816,False
LimbicB-DefaultC,2.788256,False
LimbicB-DorsAttnA,1.231141,False
LimbicB-DorsAttnB,2.143109,False
LimbicB-LimbicA,5.240564,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,3.07102,False
LimbicB-SalVentAttnB,4.073812,False
LimbicB-SomMotA,3.746352,False
LimbicB-SomMotB,1.242286,False
LimbicB-TempPar,0.646875,False
LimbicB-VisCent,0.476062,False
LimbicB-VisPeri,0.440007,False
SalVentAttnA-ContA,0.609749,False
SalVentAttnA-ContB,0.456012,False
SalVentAttnA-ContC,3.609403,False
SalVentAttnA-DefaultA,1.206716,False
SalVentAttnA-DefaultB,1.71138,False
SalVentAttnA-DefaultC,0.318241,False
SalVentAttnA-DorsAttnA,1.168088,False
SalVentAttnA-DorsAttnB,1.620502,False
SalVentAttnA-LimbicA,0.283572,False
SalVentAttnA-LimbicB,0.519887,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,6.542716,False
SalVentAttnA-SomMotA,0.777966,False
SalVentAttnA-SomMotB,0.16969,False
SalVentAttnA-TempPar,0.06987,False
SalVentAttnA-VisCent,0.977774,False
SalVentAttnA-VisPeri,0.387898,False
SalVentAttnB-ContA,2.874683,False
SalVentAttnB-ContB,0.89878,False
SalVentAttnB-ContC,1.708892,False
SalVentAttnB-DefaultA,3.721142,False
SalVentAttnB-DefaultB,2.27632,False
SalVentAttnB-DefaultC,0.921494,False
SalVentAttnB-DorsAttnA,0.497737,False
SalVentAttnB-DorsAttnB,0.199816,False
SalVentAttnB-LimbicA,9.11677,False
SalVentAttnB-LimbicB,9.928521,False
SalVentAttnB-SalVentAttnA,3.476199,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,3.236637,False
SalVentAttnB-SomMotB,0.021166,False
SalVentAttnB-TempPar,0.259836,False
SalVentAttnB-VisCent,1.265798,False
SalVentAttnB-VisPeri,1.216257,False
SomMotA-ContA,6.20248,False
SomMotA-ContB,8.83617,False
SomMotA-ContC,4.999098,False
SomMotA-DefaultA,3.621415,False
SomMotA-DefaultB,2.512942,False
SomMotA-DefaultC,0.577041,False
SomMotA-DorsAttnA,0.251985,False
SomMotA-DorsAttnB,0.135412,False
SomMotA-LimbicA,11.814484,False
SomMotA-LimbicB,6.396032,False
SomMotA-SalVentAttnA,1.328825,False
SomMotA-SalVentAttnB,12.900293,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,1.22703,False
SomMotA-TempPar,0.087441,False
SomMotA-VisCent,4.400106,False
SomMotA-VisPeri,1.912813,False
SomMotB-ContA,0.359931,False
SomMotB-ContB,0.876968,False
SomMotB-ContC,3.179753,False
SomMotB-DefaultA,0.751233,False
SomMotB-DefaultB,0.001735,False
SomMotB-DefaultC,2.976813,False
SomMotB-DorsAttnA,0.006252,False
SomMotB-DorsAttnB,5.102986,False
SomMotB-LimbicA,0.085405,False
SomMotB-LimbicB,0.674852,False
SomMotB-SalVentAttnA,0.66026,False
SomMotB-SalVentAttnB,3.747079,False
SomMotB-SomMotA,3.53216,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,1.171616,False
SomMotB-VisCent,2.894926,False
SomMotB-VisPeri,1.083046,False
TempPar-ContA,0.608597,False
TempPar-ContB,1.100009,False
TempPar-ContC,3.013258,False
TempPar-DefaultA,1.829362,False
TempPar-DefaultB,4.638831,False
TempPar-DefaultC,2.512964,False
TempPar-DorsAttnA,12.831727,False
TempPar-DorsAttnB,3.157477,False
TempPar-LimbicA,0.750233,False
TempPar-LimbicB,0.956542,False
TempPar-SalVentAttnA,0.576955,False
TempPar-SalVentAttnB,0.001885,False
TempPar-SomMotA,1.611006,False
TempPar-SomMotB,0.373363,False
TempPar-TempPar,0.0,True
TempPar-VisCent,1.233219,False
TempPar-VisPeri,2.230204,False
VisCent-ContA,5.757755,False
VisCent-ContB,2.977584,False
VisCent-ContC,0.221977,False
VisCent-DefaultA,2.917411,False
VisCent-DefaultB,0.290784,False
VisCent-DefaultC,0.180623,False
VisCent-DorsAttnA,2.480295,False
VisCent-DorsAttnB,0.486961,False
VisCent-LimbicA,5.455058,False
VisCent-LimbicB,0.332443,False
VisCent-SalVentAttnA,0.757945,False
VisCent-SalVentAttnB,2.387152,False
VisCent-SomMotA,2.889819,False
VisCent-SomMotB,2.34916,False
VisCent-TempPar,0.383694,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,2.101742,False
VisPeri-ContA,11.074616,False
VisPeri-ContB,11.349402,False
VisPeri-ContC,0.302235,False
VisPeri-DefaultA,1.406506,False
VisPeri-DefaultB,0.736329,False
VisPeri-DefaultC,0.909044,False
VisPeri-DorsAttnA,3.024504,False
VisPeri-DorsAttnB,0.374713,False
VisPeri-LimbicA,7.783327,False
VisPeri-LimbicB,2.015485,False
VisPeri-SalVentAttnA,0.115762,False
VisPeri-SalVentAttnB,1.501972,False
VisPeri-SomMotA,6.197555,False
VisPeri-SomMotB,2.094715,False
VisPeri-TempPar,1.839082,False
VisPeri-VisCent,3.463398,False
VisPeri-VisPeri,0.0,True
