network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,5.197381,False
ContA-ContC,0.139086,False
ContA-DefaultA,3.525399,False
ContA-DefaultB,6.809287,False
ContA-DefaultC,1.030048,False
ContA-DorsAttnA,1.912403,False
ContA-DorsAttnB,1.200669,False
ContA-LimbicA,23.737926,False
ContA-LimbicB,18.833227,False
ContA-SalVentAttnA,0.315301,False
ContA-SalVentAttnB,11.973843,False
ContA-SomMotA,2.648404,False
ContA-SomMotB,4.119873,False
ContA-TempPar,1.764629,False
ContA-VisCent,0.338521,False
ContA-VisPeri,2.17776,False
ContB-ContA,4.229081,False
ContB-ContB,0.0,True
ContB-ContC,0.834927,False
ContB-DefaultA,3.669263,False
ContB-DefaultB,18.780762,False
ContB-DefaultC,10.709422,False
ContB-DorsAttnA,1.64761,False
ContB-DorsAttnB,0.194183,False
ContB-LimbicA,4.142586,False
ContB-LimbicB,12.899295,False
ContB-SalVentAttnA,3.884362,False
ContB-SalVentAttnB,2.876089,False
ContB-SomMotA,7.727233,False
ContB-SomMotB,10.845516,False
ContB-TempPar,0.90829,False
ContB-VisCent,0.52093,False
ContB-VisPeri,11.930341,False
ContC-ContA,0.349499,False
ContC-ContB,0.788804,False
ContC-ContC,0.0,True
ContC-DefaultA,10.102163,False
ContC-DefaultB,1.005143,False
ContC-DefaultC,1.431486,False
ContC-DorsAttnA,0.817964,False
ContC-DorsAttnB,0.036136,False
ContC-LimbicA,0.243045,False
ContC-LimbicB,2.268138,False
ContC-SalVentAttnA,1.472064,False
ContC-SalVentAttnB,2.924911,False
ContC-SomMotA,0.136012,False
ContC-SomMotB,0.935612,False
ContC-TempPar,0.031961,False
ContC-VisCent,0.032412,False
ContC-VisPeri,0.10699,False
DefaultA-ContA,1.935872,False
DefaultA-ContB,0.023206,False
DefaultA-ContC,22.937295,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,1.751881,False
DefaultA-DefaultC,0.015053,False
DefaultA-DorsAttnA,0.257159,False
DefaultA-DorsAttnB,0.993713,False
DefaultA-LimbicA,0.572738,False
DefaultA-LimbicB,3.92463,False
DefaultA-SalVentAttnA,0.221559,False
DefaultA-SalVentAttnB,2.725607,False
DefaultA-SomMotA,1.179491,False
DefaultA-SomMotB,0.776472,False
DefaultA-TempPar,0.031749,False
DefaultA-VisCent,4.371722,False
DefaultA-VisPeri,0.708952,False
DefaultB-ContA,1.796673,False
DefaultB-ContB,9.620727,False
DefaultB-ContC,0.159503,False
DefaultB-DefaultA,1.791365,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,8.251711,False
DefaultB-DorsAttnA,2.01654,False
DefaultB-DorsAttnB,0.145058,False
DefaultB-LimbicA,0.864766,False
DefaultB-LimbicB,3.060776,False
DefaultB-SalVentAttnA,3.268931,False
DefaultB-SalVentAttnB,0.306759,False
DefaultB-SomMotA,4.108356,False
DefaultB-SomMotB,3.793764,False
DefaultB-TempPar,1.944657,False
DefaultB-VisCent,0.873077,False
DefaultB-VisPeri,4.46334,False
DefaultC-ContA,1.281819,False
DefaultC-ContB,11.389684,False
DefaultC-ContC,1.210581,False
DefaultC-DefaultA,0.56474,False
DefaultC-DefaultB,34.068082,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,5.891706,False
DefaultC-DorsAttnB,0.919931,False
DefaultC-LimbicA,0.895259,False
DefaultC-LimbicB,5.760897,False
DefaultC-SalVentAttnA,5.056818,False
DefaultC-SalVentAttnB,0.053751,False
DefaultC-SomMotA,8.045243,False
DefaultC-SomMotB,4.85355,False
DefaultC-TempPar,3.838356,False
DefaultC-VisCent,0.379329,False
DefaultC-VisPeri,7.267319,False
DorsAttnA-ContA,0.779015,False
DorsAttnA-ContB,0.453256,False
DorsAttnA-ContC,1.359976,False
DorsAttnA-DefaultA,1.463667,False
DorsAttnA-DefaultB,3.634331,False
DorsAttnA-DefaultC,0.544355,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,7.333631,False
DorsAttnA-LimbicA,0.218631,False
DorsAttnA-LimbicB,1.031305,False
DorsAttnA-SalVentAttnA,0.123891,False
DorsAttnA-SalVentAttnB,0.275381,False
DorsAttnA-SomMotA,1.285885,False
DorsAttnA-SomMotB,3.382589,False
DorsAttnA-TempPar,2.033567,False
DorsAttnA-VisCent,1.118669,False
DorsAttnA-VisPeri,5.084328,False
DorsAttnB-ContA,0.010814,False
DorsAttnB-ContB,2.98638,False
DorsAttnB-ContC,4.072412,False
DorsAttnB-DefaultA,3.28268,False
DorsAttnB-DefaultB,4.562498,False
DorsAttnB-DefaultC,2.013415,False
DorsAttnB-DorsAttnA,3.425148,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.086283,False
DorsAttnB-LimbicB,2.318441,False
DorsAttnB-SalVentAttnA,2.490314,False
DorsAttnB-SalVentAttnB,0.5678,False
DorsAttnB-SomMotA,3.238367,False
DorsAttnB-SomMotB,4.166271,False
DorsAttnB-TempPar,1.248362,False
DorsAttnB-VisCent,1.683748,False
DorsAttnB-VisPeri,2.949426,False
LimbicA-ContA,17.565645,False
LimbicA-ContB,6.159905,False
LimbicA-ContC,0.440404,False
LimbicA-DefaultA,2.403744,False
LimbicA-DefaultB,10.242978,False
LimbicA-DefaultC,3.398606,False
LimbicA-DorsAttnA,0.317263,False
LimbicA-DorsAttnB,1.043518,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,26.646342,False
LimbicA-SalVentAttnA,0.719971,False
LimbicA-SalVentAttnB,12.805491,False
LimbicA-SomMotA,10.596205,False
LimbicA-SomMotB,2.184204,False
LimbicA-TempPar,3.381772,False
LimbicA-VisCent,0.851442,False
LimbicA-VisPeri,5.246988,False
LimbicB-ContA,6.957103,False
LimbicB-ContB,1.543084,False
LimbicB-ContC,2.430381,False
LimbicB-DefaultA,2.682377,False
LimbicB-DefaultB,9.369793,False
LimbicB-DefaultC,2.271297,False
LimbicB-DorsAttnA,0.134003,False
LimbicB-DorsAttnB,1.474294,False
LimbicB-LimbicA,3.200021,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,0.397957,False
LimbicB-SalVentAttnB,9.783772,False
LimbicB-SomMotA,4.340119,False
LimbicB-SomMotB,5.610587,False
LimbicB-TempPar,5.653002,False
LimbicB-VisCent,3.902608,False
LimbicB-VisPeri,1.222587,False
SalVentAttnA-ContA,1.456979,False
SalVentAttnA-ContB,0.572936,False
SalVentAttnA-ContC,1.476169,False
SalVentAttnA-DefaultA,1.538979,False
SalVentAttnA-DefaultB,0.862964,False
SalVentAttnA-DefaultC,0.903289,False
SalVentAttnA-DorsAttnA,0.886476,False
SalVentAttnA-DorsAttnB,1.56982,False
SalVentAttnA-LimbicA,0.131275,False
SalVentAttnA-LimbicB,1.792021,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.825074,False
SalVentAttnA-SomMotA,1.162849,False
SalVentAttnA-SomMotB,2.135001,False
SalVentAttnA-TempPar,0.52178,False
SalVentAttnA-VisCent,2.994929,False
SalVentAttnA-VisPeri,0.053369,False
