network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,12.62909,False
ContA-ContC,2.226369,False
ContA-DefaultA,0.147817,False
ContA-DefaultB,0.416385,False
ContA-DefaultC,6.48163,False
ContA-DorsAttnA,1.44085,False
ContA-DorsAttnB,4.068767,False
ContA-LimbicA,10.389382,False
ContA-LimbicB,6.044382,False
ContA-SalVentAttnA,1.218621,False
ContA-SalVentAttnB,4.784513,False
ContA-SomMotA,0.807639,False
ContA-SomMotB,0.022422,False
ContA-TempPar,2.570524,False
ContA-VisCent,2.986637,False
ContA-VisPeri,3.278122,False
ContB-ContA,0.654254,False
ContB-ContB,0.0,True
ContB-ContC,3.890485,False
ContB-DefaultA,0.326508,False
ContB-DefaultB,0.028773,False
ContB-DefaultC,9.506611,False
ContB-DorsAttnA,2.224076,False
ContB-DorsAttnB,5.84515,False
ContB-LimbicA,9.137959,False
ContB-LimbicB,8.618913,False
ContB-SalVentAttnA,0.02853,False
ContB-SalVentAttnB,8.52945,False
ContB-SomMotA,1.255871,False
ContB-SomMotB,0.408826,False
ContB-TempPar,3.741657,False
ContB-VisCent,0.30067,False
ContB-VisPeri,0.838063,False
ContC-ContA,0.670222,False
ContC-ContB,2.515871,False
ContC-ContC,0.0,True
ContC-DefaultA,7.337481,False
ContC-DefaultB,9.20885,False
ContC-DefaultC,0.813278,False
ContC-DorsAttnA,2.144444,False
ContC-DorsAttnB,3.775005,False
ContC-LimbicA,7.337265,False
ContC-LimbicB,8.645592,False
ContC-SalVentAttnA,0.169745,False
ContC-SalVentAttnB,0.845293,False
ContC-SomMotA,0.186142,False
ContC-SomMotB,4.662916,False
ContC-TempPar,0.22423,False
ContC-VisCent,5.893286,False
ContC-VisPeri,0.012569,False
DefaultA-ContA,0.434862,False
DefaultA-ContB,5.396164,False
DefaultA-ContC,19.997822,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,19.644282,False
DefaultA-DefaultC,0.209947,False
DefaultA-DorsAttnA,1.682761,False
DefaultA-DorsAttnB,7.414325,False
DefaultA-LimbicA,7.974465,False
DefaultA-LimbicB,13.200105,False
DefaultA-SalVentAttnA,1.090151,False
DefaultA-SalVentAttnB,1.681406,False
DefaultA-SomMotA,2.134801,False
DefaultA-SomMotB,4.70607,False
DefaultA-TempPar,0.688563,False
DefaultA-VisCent,3.239408,False
DefaultA-VisPeri,0.860862,False
DefaultB-ContA,1.202375,False
DefaultB-ContB,2.821975,False
DefaultB-ContC,5.485759,False
DefaultB-DefaultA,1.666658,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.539097,False
DefaultB-DorsAttnA,4.56809,False
DefaultB-DorsAttnB,4.923002,False
DefaultB-LimbicA,7.416356,False
DefaultB-LimbicB,10.57213,False
DefaultB-SalVentAttnA,0.833597,False
DefaultB-SalVentAttnB,5.504679,False
DefaultB-SomMotA,2.432515,False
DefaultB-SomMotB,4.445236,False
DefaultB-TempPar,4.068959,False
DefaultB-VisCent,0.131289,False
DefaultB-VisPeri,2.273836,False
DefaultC-ContA,5.089008,False
DefaultC-ContB,7.098133,False
DefaultC-ContC,0.995606,False
DefaultC-DefaultA,7.358509,False
DefaultC-DefaultB,1.670169,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,12.054394,False
DefaultC-DorsAttnB,0.809592,False
DefaultC-LimbicA,0.096386,False
DefaultC-LimbicB,1.197248,False
DefaultC-SalVentAttnA,0.003887,False
DefaultC-SalVentAttnB,4.980802,False
DefaultC-SomMotA,1.276653,False
DefaultC-SomMotB,5.019713,False
DefaultC-TempPar,1.809478,False
DefaultC-VisCent,3.176423,False
DefaultC-VisPeri,1.489636,False
DorsAttnA-ContA,9.286307,False
DorsAttnA-ContB,5.196069,False
DorsAttnA-ContC,1.432897,False
DorsAttnA-DefaultA,14.375695,False
DorsAttnA-DefaultB,10.821001,False
DorsAttnA-DefaultC,13.276309,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,0.601178,False
DorsAttnA-LimbicA,3.339356,False
DorsAttnA-LimbicB,0.581745,False
DorsAttnA-SalVentAttnA,9.582446,False
DorsAttnA-SalVentAttnB,2.935329,False
DorsAttnA-SomMotA,0.294,False
DorsAttnA-SomMotB,6.135514,False
DorsAttnA-TempPar,3.171264,False
DorsAttnA-VisCent,5.118505,False
DorsAttnA-VisPeri,2.182756,False
DorsAttnB-ContA,1.412373,False
DorsAttnB-ContB,7.501628,False
DorsAttnB-ContC,5.522603,False
DorsAttnB-DefaultA,3.424926,False
DorsAttnB-DefaultB,4.184912,False
DorsAttnB-DefaultC,0.14985,False
DorsAttnB-DorsAttnA,4.174646,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.113154,False
DorsAttnB-LimbicB,0.122484,False
DorsAttnB-SalVentAttnA,2.129312,False
DorsAttnB-SalVentAttnB,1.682684,False
DorsAttnB-SomMotA,2.398885,False
