network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.03067,False
ContA-ContC,1.570259,False
ContA-DefaultA,0.182326,False
ContA-DefaultB,10.908935,False
ContA-DefaultC,12.150851,False
ContA-DorsAttnA,0.10012,False
ContA-DorsAttnB,0.507679,False
ContA-LimbicA,18.462222,False
ContA-LimbicB,9.309297,False
ContA-SalVentAttnA,1.76831,False
ContA-SalVentAttnB,4.230537,False
ContA-SomMotA,3.600417,False
ContA-SomMotB,15.272911,False
ContA-TempPar,7.870956,False
ContA-VisCent,11.18503,False
ContA-VisPeri,3.04285,False
ContB-ContA,0.973343,False
ContB-ContB,0.0,True
ContB-ContC,6.681821,False
ContB-DefaultA,0.048518,False
ContB-DefaultB,4.706103,False
ContB-DefaultC,16.887103,False
ContB-DorsAttnA,0.943769,False
ContB-DorsAttnB,5.153211,False
ContB-LimbicA,0.380876,False
ContB-LimbicB,1.582104,False
ContB-SalVentAttnA,0.088554,False
ContB-SalVentAttnB,0.240073,False
ContB-SomMotA,1.591324,False
ContB-SomMotB,2.182547,False
ContB-TempPar,3.467601,False
ContB-VisCent,1.890959,False
ContB-VisPeri,1.095496,False
ContC-ContA,3.220431,False
ContC-ContB,7.002992,False
ContC-ContC,0.0,True
ContC-DefaultA,1.354601,False
ContC-DefaultB,1.974513,False
ContC-DefaultC,14.175794,False
ContC-DorsAttnA,0.439327,False
ContC-DorsAttnB,0.341381,False
ContC-LimbicA,0.442025,False
ContC-LimbicB,2.823741,False
ContC-SalVentAttnA,3.326511,False
ContC-SalVentAttnB,0.378148,False
ContC-SomMotA,1.306773,False
ContC-SomMotB,0.282666,False
ContC-TempPar,2.625475,False
ContC-VisCent,1.902297,False
ContC-VisPeri,2.463143,False
DefaultA-ContA,1.865578,False
DefaultA-ContB,2.639828,False
DefaultA-ContC,8.365272,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,3.396918,False
DefaultA-DefaultC,18.388833,False
DefaultA-DorsAttnA,4.089455,False
DefaultA-DorsAttnB,2.566927,False
DefaultA-LimbicA,0.204182,False
DefaultA-LimbicB,7.87882,False
DefaultA-SalVentAttnA,2.408505,False
DefaultA-SalVentAttnB,1.296393,False
DefaultA-SomMotA,2.543702,False
DefaultA-SomMotB,2.290176,False
DefaultA-TempPar,2.909392,False
DefaultA-VisCent,3.200454,False
DefaultA-VisPeri,3.312497,False
DefaultB-ContA,0.699024,False
DefaultB-ContB,1.902382,False
DefaultB-ContC,4.495434,False
DefaultB-DefaultA,2.591726,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.994359,False
DefaultB-DorsAttnA,11.844363,False
DefaultB-DorsAttnB,10.604681,False
DefaultB-LimbicA,0.251312,False
DefaultB-LimbicB,5.765253,False
DefaultB-SalVentAttnA,6.179706,False
DefaultB-SalVentAttnB,0.850581,False
DefaultB-SomMotA,1.061934,False
DefaultB-SomMotB,4.001527,False
DefaultB-TempPar,4.738661,False
DefaultB-VisCent,1.683111,False
DefaultB-VisPeri,1.046405,False
