network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,5.59467,False
ContA-ContC,2.247141,False
ContA-DefaultA,3.012262,False
ContA-DefaultB,3.304423,False
ContA-DefaultC,1.592874,False
ContA-DorsAttnA,0.054213,False
ContA-DorsAttnB,0.090297,False
ContA-LimbicA,28.835846,False
ContA-LimbicB,3.291588,False
ContA-SalVentAttnA,0.963539,False
ContA-SalVentAttnB,2.299927,False
ContA-SomMotA,5.710249,False
ContA-SomMotB,2.764676,False
ContA-TempPar,3.889199,False
ContA-VisCent,3.727396,False
ContA-VisPeri,3.856853,False
ContB-ContA,2.821244,False
ContB-ContB,0.0,True
ContB-ContC,3.207441,False
ContB-DefaultA,0.9992,False
ContB-DefaultB,0.21161,False
ContB-DefaultC,0.091585,False
ContB-DorsAttnA,0.427578,False
ContB-DorsAttnB,1.16899,False
ContB-LimbicA,7.876533,False
ContB-LimbicB,2.430552,False
ContB-SalVentAttnA,0.160794,False
ContB-SalVentAttnB,0.161797,False
ContB-SomMotA,4.523533,False
ContB-SomMotB,0.923611,False
ContB-TempPar,4.997305,False
ContB-VisCent,4.989744,False
ContB-VisPeri,2.105904,False
ContC-ContA,3.219225,False
ContC-ContB,1.123854,False
ContC-ContC,0.0,True
ContC-DefaultA,3.630467,False
ContC-DefaultB,2.004709,False
ContC-DefaultC,0.9348,False
ContC-DorsAttnA,1.218709,False
ContC-DorsAttnB,1.95252,False
ContC-LimbicA,0.398392,False
ContC-LimbicB,7.204378,False
ContC-SalVentAttnA,1.578868,False
ContC-SalVentAttnB,0.784113,False
ContC-SomMotA,2.316641,False
ContC-SomMotB,3.248238,False
ContC-TempPar,4.560276,False
ContC-VisCent,0.591706,False
ContC-VisPeri,0.269044,False
DefaultA-ContA,0.133699,False
DefaultA-ContB,0.694546,False
DefaultA-ContC,10.494833,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,2.251627,False
DefaultA-DefaultC,1.031139,False
DefaultA-DorsAttnA,1.630058,False
DefaultA-DorsAttnB,1.638264,False
DefaultA-LimbicA,6.51598,False
DefaultA-LimbicB,23.634562,False
DefaultA-SalVentAttnA,0.608297,False
DefaultA-SalVentAttnB,11.529687,False
DefaultA-SomMotA,1.110886,False
DefaultA-SomMotB,0.250645,False
DefaultA-TempPar,6.403831,False
DefaultA-VisCent,1.757275,False
DefaultA-VisPeri,0.581951,False
DefaultB-ContA,1.588085,False
DefaultB-ContB,1.829806,False
DefaultB-ContC,4.818972,False
DefaultB-DefaultA,9.77921,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.088905,False
DefaultB-DorsAttnA,2.86205,False
DefaultB-DorsAttnB,1.765108,False
DefaultB-LimbicA,17.009399,False
DefaultB-LimbicB,14.717043,False
DefaultB-SalVentAttnA,0.298254,False
DefaultB-SalVentAttnB,6.959692,False
DefaultB-SomMotA,2.452436,False
DefaultB-SomMotB,0.101733,False
DefaultB-TempPar,7.85488,False
DefaultB-VisCent,6.490878,False
DefaultB-VisPeri,1.55633,False
DefaultC-ContA,0.783363,False
DefaultC-ContB,6.184916,False
DefaultC-ContC,3.207614,False
DefaultC-DefaultA,2.623085,False
DefaultC-DefaultB,4.612731,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.152156,False
DefaultC-DorsAttnB,3.183934,False
DefaultC-LimbicA,8.461235,False
DefaultC-LimbicB,3.880987,False
DefaultC-SalVentAttnA,0.312618,False
DefaultC-SalVentAttnB,0.407522,False
DefaultC-SomMotA,1.818878,False
DefaultC-SomMotB,1.765931,False
DefaultC-TempPar,7.02155,False
DefaultC-VisCent,8.099135,False
DefaultC-VisPeri,2.751938,False
DorsAttnA-ContA,0.747299,False
DorsAttnA-ContB,0.778851,False
DorsAttnA-ContC,3.996126,False
DorsAttnA-DefaultA,5.057358,False
DorsAttnA-DefaultB,4.458547,False
DorsAttnA-DefaultC,0.86931,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,2.622366,False
DorsAttnA-LimbicA,1.768302,False
DorsAttnA-LimbicB,13.411338,False
DorsAttnA-SalVentAttnA,7.570206,False
DorsAttnA-SalVentAttnB,3.625015,False
DorsAttnA-SomMotA,4.220857,False
DorsAttnA-SomMotB,0.246188,False
DorsAttnA-TempPar,3.80956,False
DorsAttnA-VisCent,1.866124,False
DorsAttnA-VisPeri,0.411288,False
DorsAttnB-ContA,0.759584,False
DorsAttnB-ContB,1.848595,False
DorsAttnB-ContC,0.581075,False
