network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,6.502616,False
ContA-ContC,2.682044,False
ContA-DefaultA,9.833925,False
ContA-DefaultB,4.328391,False
ContA-DefaultC,1.603418,False
ContA-DorsAttnA,3.196781,False
ContA-DorsAttnB,4.323248,False
ContA-LimbicA,23.965889,False
ContA-LimbicB,5.744846,False
ContA-SalVentAttnA,3.234376,False
ContA-SalVentAttnB,6.238115,False
ContA-SomMotA,3.18711,False
ContA-SomMotB,5.803611,False
ContA-TempPar,1.534147,False
ContA-VisCent,4.986431,False
ContA-VisPeri,4.327536,False
ContB-ContA,6.028357,False
ContB-ContB,0.0,True
ContB-ContC,7.049499,False
ContB-DefaultA,4.080782,False
ContB-DefaultB,4.291219,False
ContB-DefaultC,1.072906,False
ContB-DorsAttnA,6.285208,False
ContB-DorsAttnB,2.603627,False
ContB-LimbicA,10.671288,False
ContB-LimbicB,7.042072,False
ContB-SalVentAttnA,4.258509,False
ContB-SalVentAttnB,4.254755,False
ContB-SomMotA,10.523954,False
ContB-SomMotB,7.307434,False
ContB-TempPar,1.681296,False
ContB-VisCent,5.636216,False
ContB-VisPeri,5.384495,False
ContC-ContA,2.132853,False
ContC-ContB,0.160451,False
ContC-ContC,0.0,True
ContC-DefaultA,1.802479,False
ContC-DefaultB,2.568657,False
ContC-DefaultC,0.033019,False
ContC-DorsAttnA,0.597705,False
ContC-DorsAttnB,0.931853,False
ContC-LimbicA,0.372608,False
ContC-LimbicB,5.184268,False
ContC-SalVentAttnA,1.903017,False
ContC-SalVentAttnB,0.616017,False
ContC-SomMotA,2.838823,False
ContC-SomMotB,1.303748,False
ContC-TempPar,0.334324,False
ContC-VisCent,1.393893,False
ContC-VisPeri,0.857269,False
DefaultA-ContA,2.768927,False
DefaultA-ContB,0.458726,False
DefaultA-ContC,9.471063,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,6.067157,False
DefaultA-DefaultC,1.50969,False
DefaultA-DorsAttnA,2.026788,False
DefaultA-DorsAttnB,0.617555,False
DefaultA-LimbicA,1.095014,False
DefaultA-LimbicB,1.121007,False
DefaultA-SalVentAttnA,5.599193,False
DefaultA-SalVentAttnB,0.191159,False
DefaultA-SomMotA,0.517266,False
DefaultA-SomMotB,0.607428,False
DefaultA-TempPar,2.752078,False
DefaultA-VisCent,2.746255,False
DefaultA-VisPeri,2.675598,False
DefaultB-ContA,0.656786,False
DefaultB-ContB,0.561799,False
DefaultB-ContC,4.992371,False
DefaultB-DefaultA,5.678616,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.841048,False
DefaultB-DorsAttnA,0.252705,False
DefaultB-DorsAttnB,1.006687,False
DefaultB-LimbicA,0.041627,False
DefaultB-LimbicB,2.112138,False
DefaultB-SalVentAttnA,3.218566,False
DefaultB-SalVentAttnB,0.260752,False
DefaultB-SomMotA,1.24598,False
DefaultB-SomMotB,0.730904,False
DefaultB-TempPar,0.301586,False
DefaultB-VisCent,0.877778,False
DefaultB-VisPeri,0.352617,False
DefaultC-ContA,1.303004,False
DefaultC-ContB,0.077837,False
DefaultC-ContC,1.024976,False
DefaultC-DefaultA,1.898862,False
DefaultC-DefaultB,19.855989,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,4.885678,False
DefaultC-DorsAttnB,0.293304,False
DefaultC-LimbicA,1.426103,False
DefaultC-LimbicB,4.285654,False
DefaultC-SalVentAttnA,2.493873,False
DefaultC-SalVentAttnB,0.266551,False
DefaultC-SomMotA,1.308824,False
DefaultC-SomMotB,0.01531,False
DefaultC-TempPar,7.629133,False
DefaultC-VisCent,1.357787,False
DefaultC-VisPeri,0.419993,False
DorsAttnA-ContA,1.066144,False
DorsAttnA-ContB,2.686416,False
DorsAttnA-ContC,1.464696,False
DorsAttnA-DefaultA,1.281251,False
DorsAttnA-DefaultB,6.39789,False
DorsAttnA-DefaultC,0.061992,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,4.536724,False
DorsAttnA-LimbicA,0.205255,False
DorsAttnA-LimbicB,0.326059,False
DorsAttnA-SalVentAttnA,3.049984,False
DorsAttnA-SalVentAttnB,2.938587,False
DorsAttnA-SomMotA,4.292944,False
DorsAttnA-SomMotB,1.101898,False
DorsAttnA-TempPar,6.658962,False
