network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,1.449703,False
ContA-ContC,1.762572,False
ContA-DefaultA,0.735135,False
ContA-DefaultB,4.164261,False
ContA-DefaultC,6.757621,False
ContA-DorsAttnA,0.885833,False
ContA-DorsAttnB,1.746521,False
ContA-LimbicA,20.872109,False
ContA-LimbicB,0.740219,False
ContA-SalVentAttnA,5.529037,False
ContA-SalVentAttnB,1.796211,False
ContA-SomMotA,2.079141,False
ContA-SomMotB,1.888973,False
ContA-TempPar,11.678967,False
ContA-VisCent,0.01332,False
ContA-VisPeri,3.294458,False
ContB-ContA,1.424894,False
ContB-ContB,0.0,True
ContB-ContC,0.63839,False
ContB-DefaultA,0.070964,False
ContB-DefaultB,0.353695,False
ContB-DefaultC,3.419305,False
ContB-DorsAttnA,3.920733,False
ContB-DorsAttnB,10.238314,False
ContB-LimbicA,1.542508,False
ContB-LimbicB,1.030194,False
ContB-SalVentAttnA,2.146739,False
ContB-SalVentAttnB,0.032847,False
ContB-SomMotA,1.553835,False
ContB-SomMotB,1.475209,False
ContB-TempPar,7.821225,False
ContB-VisCent,2.244917,False
ContB-VisPeri,1.209599,False
ContC-ContA,1.61983,False
ContC-ContB,1.656636,False
ContC-ContC,0.0,True
ContC-DefaultA,5.947662,False
ContC-DefaultB,4.529432,False
ContC-DefaultC,14.758007,False
ContC-DorsAttnA,3.788998,False
ContC-DorsAttnB,2.756143,False
ContC-LimbicA,0.530222,False
ContC-LimbicB,0.608618,False
ContC-SalVentAttnA,1.011581,False
ContC-SalVentAttnB,0.210822,False
ContC-SomMotA,5.227016,False
ContC-SomMotB,1.6374,False
ContC-TempPar,9.755782,False
ContC-VisCent,1.62683,False
ContC-VisPeri,4.420428,False
DefaultA-ContA,2.178805,False
DefaultA-ContB,0.551125,False
DefaultA-ContC,18.754012,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,6.57757,False
DefaultA-DefaultC,5.216347,False
DefaultA-DorsAttnA,4.81179,False
DefaultA-DorsAttnB,0.800176,False
DefaultA-LimbicA,4.920068,False
DefaultA-LimbicB,0.106583,False
DefaultA-SalVentAttnA,3.301343,False
DefaultA-SalVentAttnB,1.757392,False
DefaultA-SomMotA,5.166855,False
DefaultA-SomMotB,0.444632,False
DefaultA-TempPar,5.868295,False
DefaultA-VisCent,0.093279,False
DefaultA-VisPeri,1.028453,False
DefaultB-ContA,0.410193,False
DefaultB-ContB,3.234146,False
DefaultB-ContC,5.539566,False
DefaultB-DefaultA,3.406186,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.68563,False
DefaultB-DorsAttnA,2.894273,False
DefaultB-DorsAttnB,1.149529,False
DefaultB-LimbicA,2.529635,False
DefaultB-LimbicB,0.920881,False
DefaultB-SalVentAttnA,8.658525,False
DefaultB-SalVentAttnB,0.808172,False
DefaultB-SomMotA,1.463061,False
DefaultB-SomMotB,1.027477,False
DefaultB-TempPar,0.165674,False
DefaultB-VisCent,1.323269,False
DefaultB-VisPeri,4.604037,False
DefaultC-ContA,1.415463,False
DefaultC-ContB,2.803315,False
DefaultC-ContC,5.735534,False
DefaultC-DefaultA,1.09891,False
DefaultC-DefaultB,0.891126,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,5.750903,False
DefaultC-DorsAttnB,0.143484,False
DefaultC-LimbicA,0.536606,False
DefaultC-LimbicB,1.33163,False
DefaultC-SalVentAttnA,2.089143,False
DefaultC-SalVentAttnB,1.865772,False
DefaultC-SomMotA,0.805982,False
DefaultC-SomMotB,0.414372,False
DefaultC-TempPar,0.844066,False
DefaultC-VisCent,0.862609,False
DefaultC-VisPeri,1.168489,False
DorsAttnA-ContA,0.212564,False
DorsAttnA-ContB,1.985199,False
DorsAttnA-ContC,9.509043,False
DorsAttnA-DefaultA,2.546341,False
DorsAttnA-DefaultB,0.147439,False
DorsAttnA-DefaultC,0.597703,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,1.18248,False
DorsAttnA-LimbicA,0.080208,False
DorsAttnA-LimbicB,0.322576,False
DorsAttnA-SalVentAttnA,4.489222,False
DorsAttnA-SalVentAttnB,0.616514,False
DorsAttnA-SomMotA,4.360048,False
DorsAttnA-SomMotB,1.786315,False
DorsAttnA-TempPar,1.394657,False
DorsAttnA-VisCent,0.335199,False
DorsAttnA-VisPeri,3.043553,False
DorsAttnB-ContA,1.076868,False
DorsAttnB-ContB,3.768987,False
DorsAttnB-ContC,0.728101,False
DorsAttnB-DefaultA,2.662114,False
DorsAttnB-DefaultB,0.760193,False
DorsAttnB-DefaultC,0.880043,False
DorsAttnB-DorsAttnA,2.055716,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.351194,False
DorsAttnB-LimbicB,0.835975,False
DorsAttnB-SalVentAttnA,0.477023,False
DorsAttnB-SalVentAttnB,0.211482,False
DorsAttnB-SomMotA,1.288609,False
DorsAttnB-SomMotB,1.216594,False
DorsAttnB-TempPar,0.803525,False
DorsAttnB-VisCent,2.328179,False
DorsAttnB-VisPeri,0.615344,False
LimbicA-ContA,6.898392,False
LimbicA-ContB,0.630477,False
LimbicA-ContC,0.941778,False
LimbicA-DefaultA,1.570466,False
LimbicA-DefaultB,0.445221,False
LimbicA-DefaultC,0.822418,False
LimbicA-DorsAttnA,1.661657,False
LimbicA-DorsAttnB,1.982069,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,0.244092,False
LimbicA-SalVentAttnA,1.386991,False
