network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,19.872152,False
ContA-ContC,4.66813,False
ContA-DefaultA,3.630994,False
ContA-DefaultB,6.857048,False
ContA-DefaultC,13.012016,False
ContA-DorsAttnA,4.758846,False
ContA-DorsAttnB,1.088978,False
ContA-LimbicA,27.925139,False
ContA-LimbicB,16.51144,False
ContA-SalVentAttnA,0.092234,False
ContA-SalVentAttnB,10.94804,False
ContA-SomMotA,13.229419,False
ContA-SomMotB,2.747585,False
ContA-TempPar,10.473846,False
ContA-VisCent,1.162055,False
ContA-VisPeri,7.707993,False
ContB-ContA,17.509313,False
ContB-ContB,0.0,True
ContB-ContC,4.53427,False
ContB-DefaultA,1.727617,False
ContB-DefaultB,4.34954,False
ContB-DefaultC,10.524365,False
ContB-DorsAttnA,4.725968,False
ContB-DorsAttnB,0.794672,False
ContB-LimbicA,13.805027,False
ContB-LimbicB,12.942951,False
ContB-SalVentAttnA,1.367773,False
ContB-SalVentAttnB,6.170735,False
ContB-SomMotA,11.952971,False
ContB-SomMotB,2.890427,False
ContB-TempPar,5.126593,False
ContB-VisCent,0.400445,False
ContB-VisPeri,7.949559,False
ContC-ContA,4.002789,False
ContC-ContB,3.76337,False
ContC-ContC,0.0,True
ContC-DefaultA,2.320509,False
ContC-DefaultB,6.396614,False
ContC-DefaultC,6.855052,False
ContC-DorsAttnA,1.949179,False
ContC-DorsAttnB,0.070167,False
ContC-LimbicA,3.131048,False
ContC-LimbicB,9.659253,False
ContC-SalVentAttnA,3.134779,False
ContC-SalVentAttnB,2.075702,False
ContC-SomMotA,4.189633,False
ContC-SomMotB,5.563607,False
ContC-TempPar,8.122512,False
ContC-VisCent,2.125813,False
ContC-VisPeri,2.953426,False
DefaultA-ContA,9.007824,False
DefaultA-ContB,6.582702,False
DefaultA-ContC,29.149782,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,23.857638,False
DefaultA-DefaultC,9.417276,False
DefaultA-DorsAttnA,5.661888,False
DefaultA-DorsAttnB,0.541285,False
DefaultA-LimbicA,12.562092,False
DefaultA-LimbicB,21.847351,False
DefaultA-SalVentAttnA,3.522831,False
DefaultA-SalVentAttnB,6.115351,False
DefaultA-SomMotA,8.078882,False
DefaultA-SomMotB,4.179831,False
DefaultA-TempPar,14.351159,False
DefaultA-VisCent,1.137149,False
DefaultA-VisPeri,7.393787,False
DefaultB-ContA,9.083175,False
DefaultB-ContB,11.165196,False
DefaultB-ContC,10.10887,False
DefaultB-DefaultA,8.854389,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,14.219928,False
DefaultB-DorsAttnA,6.03985,False
DefaultB-DorsAttnB,0.653971,False
DefaultB-LimbicA,11.335883,False
DefaultB-LimbicB,20.843088,False
DefaultB-SalVentAttnA,1.846914,False
DefaultB-SalVentAttnB,6.557139,False
DefaultB-SomMotA,12.813619,False
DefaultB-SomMotB,6.347131,False
DefaultB-TempPar,18.892949,False
DefaultB-VisCent,1.240549,False
DefaultB-VisPeri,4.977648,False
DefaultC-ContA,5.606039,False
DefaultC-ContB,2.792661,False
DefaultC-ContC,5.691161,False
DefaultC-DefaultA,5.188087,False
DefaultC-DefaultB,2.565604,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.483366,False
DefaultC-DorsAttnB,0.910455,False
DefaultC-LimbicA,3.988567,False
DefaultC-LimbicB,1.880702,False
DefaultC-SalVentAttnA,2.646311,False
DefaultC-SalVentAttnB,2.064043,False
DefaultC-SomMotA,1.109323,False
DefaultC-SomMotB,1.997371,False
DefaultC-TempPar,5.376127,False
DefaultC-VisCent,2.100113,False
DefaultC-VisPeri,0.97656,False
DorsAttnA-ContA,12.686847,False
DorsAttnA-ContB,10.218695,False
DorsAttnA-ContC,11.336705,False
DorsAttnA-DefaultA,14.487678,False
DorsAttnA-DefaultB,18.822745,False
DorsAttnA-DefaultC,14.930597,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,1.521399,False
DorsAttnA-LimbicA,11.057972,False
DorsAttnA-LimbicB,12.498264,False
DorsAttnA-SalVentAttnA,2.540407,False
DorsAttnA-SalVentAttnB,9.873754,False
DorsAttnA-SomMotA,5.325498,False
DorsAttnA-SomMotB,5.286094,False
DorsAttnA-TempPar,24.197039,False
DorsAttnA-VisCent,0.433313,False
DorsAttnA-VisPeri,4.786549,False
DorsAttnB-ContA,0.143184,False
DorsAttnB-ContB,2.020946,False
DorsAttnB-ContC,3.55553,False
DorsAttnB-DefaultA,2.108578,False
DorsAttnB-DefaultB,0.282116,False
DorsAttnB-DefaultC,1.017741,False
DorsAttnB-DorsAttnA,0.726905,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.419315,False
DorsAttnB-LimbicB,0.200539,False
DorsAttnB-SalVentAttnA,7.095958,False
DorsAttnB-SalVentAttnB,0.793533,False
DorsAttnB-SomMotA,0.233352,False
DorsAttnB-SomMotB,1.525953,False
DorsAttnB-TempPar,4.380439,False
DorsAttnB-VisCent,1.966297,False
DorsAttnB-VisPeri,2.427297,False
LimbicA-ContA,12.286818,False
LimbicA-ContB,12.728391,False
LimbicA-ContC,3.492434,False
LimbicA-DefaultA,1.462717,False
LimbicA-DefaultB,2.727357,False
LimbicA-DefaultC,10.798215,False
LimbicA-DorsAttnA,4.642846,False
LimbicA-DorsAttnB,0.181414,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,18.780701,False
LimbicA-SalVentAttnA,3.799223,False
LimbicA-SalVentAttnB,6.585047,False
LimbicA-SomMotA,8.235863,False
LimbicA-SomMotB,0.816969,False
LimbicA-TempPar,7.077972,False
LimbicA-VisCent,2.883336,False
LimbicA-VisPeri,7.594524,False
LimbicB-ContA,4.287657,False
LimbicB-ContB,12.141285,False
LimbicB-ContC,1.478074,False
LimbicB-DefaultA,1.696021,False
LimbicB-DefaultB,5.436046,False
LimbicB-DefaultC,17.506204,False
LimbicB-DorsAttnA,0.363102,False
LimbicB-DorsAttnB,2.29342,False
LimbicB-LimbicA,9.053507,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,1.894029,False
LimbicB-SalVentAttnB,9.606422,False
LimbicB-SomMotA,7.215497,False
LimbicB-SomMotB,1.98081,False
LimbicB-TempPar,13.563668,False
LimbicB-VisCent,1.180887,False
LimbicB-VisPeri,13.305203,False
SalVentAttnA-ContA,1.020528,False
SalVentAttnA-ContB,0.491232,False
SalVentAttnA-ContC,6.961137,False
SalVentAttnA-DefaultA,4.652157,False
SalVentAttnA-DefaultB,0.995315,False
SalVentAttnA-DefaultC,0.173937,False
SalVentAttnA-DorsAttnA,1.174329,False
SalVentAttnA-DorsAttnB,2.493271,False
SalVentAttnA-LimbicA,0.399741,False
SalVentAttnA-LimbicB,0.788435,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.121462,False
SalVentAttnA-SomMotA,0.212427,False
SalVentAttnA-SomMotB,0.534948,False
SalVentAttnA-TempPar,1.099997,False
SalVentAttnA-VisCent,1.182387,False
SalVentAttnA-VisPeri,1.520153,False
SalVentAttnB-ContA,3.927197,False
SalVentAttnB-ContB,8.582874,False
SalVentAttnB-ContC,0.716307,False
SalVentAttnB-DefaultA,1.771309,False
SalVentAttnB-DefaultB,3.653459,False
SalVentAttnB-DefaultC,13.930354,False
SalVentAttnB-DorsAttnA,2.443039,False
SalVentAttnB-DorsAttnB,5.912518,False
SalVentAttnB-LimbicA,12.583865,False
SalVentAttnB-LimbicB,26.444953,False
SalVentAttnB-SalVentAttnA,2.912212,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,7.474522,False
SalVentAttnB-SomMotB,0.673518,False
SalVentAttnB-TempPar,9.544675,False
SalVentAttnB-VisCent,1.470164,False
SalVentAttnB-VisPeri,10.860386,False
SomMotA-ContA,18.196335,False
SomMotA-ContB,20.676732,False
SomMotA-ContC,3.793998,False
SomMotA-DefaultA,1.303493,False
SomMotA-DefaultB,12.762844,False
SomMotA-DefaultC,23.074194,False
SomMotA-DorsAttnA,0.152674,False
SomMotA-DorsAttnB,2.286152,False
SomMotA-LimbicA,16.803739,False
SomMotA-LimbicB,19.011822,False
SomMotA-SalVentAttnA,1.681812,False
SomMotA-SalVentAttnB,14.750199,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,1.77031,False
SomMotA-TempPar,15.260495,False
SomMotA-VisCent,0.973977,False
SomMotA-VisPeri,13.04456,False
SomMotB-ContA,3.569326,False
SomMotB-ContB,3.970596,False
SomMotB-ContC,3.389334,False
SomMotB-DefaultA,3.278298,False
SomMotB-DefaultB,5.013157,False
SomMotB-DefaultC,9.52918,False
SomMotB-DorsAttnA,0.525985,False
SomMotB-DorsAttnB,1.133279,False
SomMotB-LimbicA,7.015159,False
SomMotB-LimbicB,12.587188,False
SomMotB-SalVentAttnA,1.154644,False
SomMotB-SalVentAttnB,7.32981,False
SomMotB-SomMotA,2.508647,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,13.589757,False
SomMotB-VisCent,4.783969,False
SomMotB-VisPeri,3.219768,False
TempPar-ContA,4.770834,False
TempPar-ContB,1.321821,False
TempPar-ContC,5.299181,False
TempPar-DefaultA,1.715649,False
TempPar-DefaultB,0.631843,False
TempPar-DefaultC,4.865488,False
TempPar-DorsAttnA,1.17182,False
TempPar-DorsAttnB,1.510711,False
TempPar-LimbicA,3.298379,False
TempPar-LimbicB,1.50683,False
TempPar-SalVentAttnA,2.265829,False
TempPar-SalVentAttnB,2.515991,False
TempPar-SomMotA,2.269098,False
TempPar-SomMotB,2.014455,False
TempPar-TempPar,0.0,True
TempPar-VisCent,3.407966,False
TempPar-VisPeri,1.015767,False
VisCent-ContA,3.770098,False
VisCent-ContB,0.517755,False
VisCent-ContC,2.67206,False
VisCent-DefaultA,5.689735,False
VisCent-DefaultB,2.266785,False
VisCent-DefaultC,1.728207,False
VisCent-DorsAttnA,1.50134,False
VisCent-DorsAttnB,0.59674,False
VisCent-LimbicA,0.624528,False
VisCent-LimbicB,3.389359,False
VisCent-SalVentAttnA,5.93435,False
VisCent-SalVentAttnB,1.214064,False
VisCent-SomMotA,0.702222,False
VisCent-SomMotB,4.068916,False
VisCent-TempPar,2.295529,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,0.088388,False
VisPeri-ContA,6.900574,False
VisPeri-ContB,14.385453,False
VisPeri-ContC,1.327919,False
VisPeri-DefaultA,0.007124,False
VisPeri-DefaultB,6.496403,False
VisPeri-DefaultC,6.681282,False
VisPeri-DorsAttnA,1.514409,False
VisPeri-DorsAttnB,1.743632,False
VisPeri-LimbicA,5.880407,False
VisPeri-LimbicB,2.379659,False
VisPeri-SalVentAttnA,0.960542,False
VisPeri-SalVentAttnB,3.18421,False
VisPeri-SomMotA,10.253513,False
VisPeri-SomMotB,0.648482,False
VisPeri-TempPar,4.715267,False
VisPeri-VisCent,0.443965,False
VisPeri-VisPeri,0.0,True
