network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,1.14168,False
ContA-ContC,14.707053,False
ContA-DefaultA,5.965491,False
ContA-DefaultB,0.916425,False
ContA-DefaultC,0.448367,False
ContA-DorsAttnA,3.551708,False
ContA-DorsAttnB,1.151301,False
ContA-LimbicA,24.559759,False
ContA-LimbicB,10.628581,False
ContA-SalVentAttnA,0.368008,False
ContA-SalVentAttnB,1.838613,False
ContA-SomMotA,0.664212,False
ContA-SomMotB,2.465898,False
ContA-TempPar,2.559142,False
ContA-VisCent,5.543495,False
ContA-VisPeri,2.16553,False
ContB-ContA,0.507492,False
ContB-ContB,0.0,True
ContB-ContC,4.288916,False
ContB-DefaultA,1.077566,False
ContB-DefaultB,0.3336,False
ContB-DefaultC,0.386794,False
ContB-DorsAttnA,0.51332,False
ContB-DorsAttnB,3.227419,False
ContB-LimbicA,9.969736,False
ContB-LimbicB,6.688546,False
ContB-SalVentAttnA,1.154034,False
ContB-SalVentAttnB,0.509096,False
ContB-SomMotA,0.519582,False
ContB-SomMotB,0.492538,False
ContB-TempPar,6.833306,False
ContB-VisCent,0.118822,False
ContB-VisPeri,1.375114,False
ContC-ContA,5.895933,False
ContC-ContB,2.251593,False
ContC-ContC,0.0,True
ContC-DefaultA,5.236613,False
ContC-DefaultB,4.581641,False
ContC-DefaultC,2.055376,False
ContC-DorsAttnA,0.33695,False
ContC-DorsAttnB,0.65932,False
ContC-LimbicA,4.464925,False
ContC-LimbicB,8.819356,False
ContC-SalVentAttnA,0.487576,False
ContC-SalVentAttnB,4.702415,False
ContC-SomMotA,5.383921,False
ContC-SomMotB,3.533999,False
ContC-TempPar,0.49456,False
ContC-VisCent,0.49351,False
ContC-VisPeri,0.584476,False
DefaultA-ContA,7.570247,False
DefaultA-ContB,1.489455,False
DefaultA-ContC,28.034958,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,11.267772,False
DefaultA-DefaultC,0.636876,False
DefaultA-DorsAttnA,0.101156,False
DefaultA-DorsAttnB,0.643512,False
DefaultA-LimbicA,14.493602,False
DefaultA-LimbicB,34.476783,False
DefaultA-SalVentAttnA,3.399805,False
DefaultA-SalVentAttnB,16.791936,False
DefaultA-SomMotA,3.253361,False
DefaultA-SomMotB,3.097955,False
DefaultA-TempPar,1.464327,False
DefaultA-VisCent,0.778914,False
DefaultA-VisPeri,2.209518,False
DefaultB-ContA,0.232994,False
DefaultB-ContB,1.591019,False
DefaultB-ContC,12.238475,False
DefaultB-DefaultA,7.165763,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,6.214867,False
DefaultB-DorsAttnA,4.483287,False
DefaultB-DorsAttnB,0.264079,False
DefaultB-LimbicA,1.222957,False
DefaultB-LimbicB,8.867946,False
DefaultB-SalVentAttnA,1.65038,False
DefaultB-SalVentAttnB,0.766169,False
DefaultB-SomMotA,3.555976,False
DefaultB-SomMotB,3.130782,False
DefaultB-TempPar,2.607852,False
DefaultB-VisCent,7.597829,False
DefaultB-VisPeri,2.600692,False
DefaultC-ContA,0.257651,False
DefaultC-ContB,1.015866,False
DefaultC-ContC,0.955334,False
DefaultC-DefaultA,2.303062,False
DefaultC-DefaultB,6.876118,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,7.704417,False
DefaultC-DorsAttnB,2.299531,False
DefaultC-LimbicA,2.169096,False
DefaultC-LimbicB,3.286177,False
DefaultC-SalVentAttnA,5.156146,False
DefaultC-SalVentAttnB,1.672311,False
DefaultC-SomMotA,3.964982,False
DefaultC-SomMotB,1.742542,False
DefaultC-TempPar,3.078272,False
DefaultC-VisCent,0.387671,False
DefaultC-VisPeri,2.874759,False
DorsAttnA-ContA,0.029787,False
DorsAttnA-ContB,0.206029,False
DorsAttnA-ContC,0.870295,False
DorsAttnA-DefaultA,0.152292,False
DorsAttnA-DefaultB,0.882349,False
DorsAttnA-DefaultC,1.685497,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,11.801366,False
DorsAttnA-LimbicA,0.030132,False
DorsAttnA-LimbicB,1.817986,False
DorsAttnA-SalVentAttnA,3.406931,False
DorsAttnA-SalVentAttnB,3.038391,False
DorsAttnA-SomMotA,4.741427,False
DorsAttnA-SomMotB,4.131806,False
DorsAttnA-TempPar,1.529264,False
DorsAttnA-VisCent,0.147137,False
DorsAttnA-VisPeri,0.400299,False
DorsAttnB-ContA,2.013097,False
DorsAttnB-ContB,0.069041,False
DorsAttnB-ContC,0.356986,False
DorsAttnB-DefaultA,1.220559,False
DorsAttnB-DefaultB,0.101611,False
DorsAttnB-DefaultC,0.196679,False
DorsAttnB-DorsAttnA,1.033651,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,3.13112,False
DorsAttnB-LimbicB,2.4257,False
DorsAttnB-SalVentAttnA,2.5204,False
DorsAttnB-SalVentAttnB,2.016909,False
DorsAttnB-SomMotA,0.142044,False
DorsAttnB-SomMotB,0.707821,False
DorsAttnB-TempPar,3.468289,False
DorsAttnB-VisCent,6.612734,False
DorsAttnB-VisPeri,0.325124,False
LimbicA-ContA,5.73748,False
LimbicA-ContB,0.707589,False
LimbicA-ContC,6.408798,False
LimbicA-DefaultA,1.84132,False
LimbicA-DefaultB,0.067149,False
LimbicA-DefaultC,0.396393,False
LimbicA-DorsAttnA,0.14589,False
LimbicA-DorsAttnB,1.276946,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,12.877205,False
LimbicA-SalVentAttnA,1.999823,False
LimbicA-SalVentAttnB,4.882592,False
LimbicA-SomMotA,1.232302,False
LimbicA-SomMotB,2.141115,False
LimbicA-TempPar,0.976017,False
LimbicA-VisCent,1.408521,False
LimbicA-VisPeri,1.823741,False
LimbicB-ContA,6.39354,False
LimbicB-ContB,0.454565,False
LimbicB-ContC,8.342934,False
LimbicB-DefaultA,2.391211,False
LimbicB-DefaultB,3.688716,False
LimbicB-DefaultC,8.193139,False
LimbicB-DorsAttnA,4.179929,False
LimbicB-DorsAttnB,0.670062,False
LimbicB-LimbicA,2.181218,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,7.808039,False
LimbicB-SalVentAttnB,9.902934,False
LimbicB-SomMotA,0.541661,False
LimbicB-SomMotB,3.307267,False
LimbicB-TempPar,2.305993,False
LimbicB-VisCent,0.186555,False
LimbicB-VisPeri,0.348594,False
SalVentAttnA-ContA,0.00464,False
SalVentAttnA-ContB,0.024328,False
SalVentAttnA-ContC,0.126023,False
SalVentAttnA-DefaultA,0.911223,False
SalVentAttnA-DefaultB,1.963603,False
SalVentAttnA-DefaultC,2.147853,False
SalVentAttnA-DorsAttnA,1.5595,False
SalVentAttnA-DorsAttnB,0.194329,False
SalVentAttnA-LimbicA,0.59999,False
SalVentAttnA-LimbicB,1.193541,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,2.669826,False
SalVentAttnA-SomMotA,0.770265,False
SalVentAttnA-SomMotB,7.325344,False
SalVentAttnA-TempPar,2.04737,False
SalVentAttnA-VisCent,0.992921,False
SalVentAttnA-VisPeri,0.50219,False
SalVentAttnB-ContA,4.762595,False
SalVentAttnB-ContB,0.916474,False
SalVentAttnB-ContC,2.319533,False
SalVentAttnB-DefaultA,0.681125,False
SalVentAttnB-DefaultB,3.558951,False
SalVentAttnB-DefaultC,9.015487,False
SalVentAttnB-DorsAttnA,5.474223,False
SalVentAttnB-DorsAttnB,2.966508,False
SalVentAttnB-LimbicA,5.373933,False
SalVentAttnB-LimbicB,27.488805,False
SalVentAttnB-SalVentAttnA,11.396195,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,5.519876,False
SalVentAttnB-SomMotB,3.70501,False
SalVentAttnB-TempPar,2.16289,False
SalVentAttnB-VisCent,0.172515,False
SalVentAttnB-VisPeri,3.053514,False
SomMotA-ContA,0.822877,False
SomMotA-ContB,0.925602,False
SomMotA-ContC,1.608973,False
SomMotA-DefaultA,1.881664,False
SomMotA-DefaultB,2.602755,False
SomMotA-DefaultC,2.790695,False
SomMotA-DorsAttnA,3.233546,False
SomMotA-DorsAttnB,1.247288,False
SomMotA-LimbicA,4.232284,False
SomMotA-LimbicB,6.225441,False
SomMotA-SalVentAttnA,0.755019,False
SomMotA-SalVentAttnB,2.967818,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,4.941524,False
SomMotA-TempPar,0.583856,False
SomMotA-VisCent,0.497065,False
SomMotA-VisPeri,3.7975,False
SomMotB-ContA,0.182813,False
SomMotB-ContB,5.049706,False
SomMotB-ContC,0.587666,False
SomMotB-DefaultA,1.381726,False
SomMotB-DefaultB,0.849999,False
SomMotB-DefaultC,4.820536,False
SomMotB-DorsAttnA,0.021456,False
SomMotB-DorsAttnB,0.533583,False
SomMotB-LimbicA,0.065287,False
SomMotB-LimbicB,0.686897,False
SomMotB-SalVentAttnA,10.62885,False
SomMotB-SalVentAttnB,0.852228,False
SomMotB-SomMotA,0.877773,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,6.07833,False
SomMotB-VisCent,1.119825,False
SomMotB-VisPeri,1.200144,False
TempPar-ContA,0.745524,False
TempPar-ContB,0.728723,False
TempPar-ContC,0.864201,False
TempPar-DefaultA,1.130635,False
TempPar-DefaultB,1.429482,False
TempPar-DefaultC,1.692561,False
TempPar-DorsAttnA,0.982768,False
TempPar-DorsAttnB,1.308551,False
TempPar-LimbicA,0.497682,False
TempPar-LimbicB,0.688533,False
TempPar-SalVentAttnA,5.234887,False
TempPar-SalVentAttnB,7.717025,False
TempPar-SomMotA,0.549439,False
TempPar-SomMotB,8.899729,False
TempPar-TempPar,0.0,True
TempPar-VisCent,0.578745,False
TempPar-VisPeri,0.244169,False
VisCent-ContA,0.158766,False
VisCent-ContB,0.023894,False
VisCent-ContC,0.444788,False
VisCent-DefaultA,1.409538,False
VisCent-DefaultB,0.74494,False
VisCent-DefaultC,1.025544,False
VisCent-DorsAttnA,0.508452,False
VisCent-DorsAttnB,1.205227,False
VisCent-LimbicA,2.210567,False
VisCent-LimbicB,3.474196,False
VisCent-SalVentAttnA,0.788514,False
VisCent-SalVentAttnB,3.239244,False
VisCent-SomMotA,0.973261,False
VisCent-SomMotB,0.716696,False
VisCent-TempPar,0.603909,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,0.21274,False
VisPeri-ContA,2.106025,False
VisPeri-ContB,3.01338,False
VisPeri-ContC,2.470599,False
VisPeri-DefaultA,1.701262,False
VisPeri-DefaultB,2.226494,False
VisPeri-DefaultC,1.555807,False
VisPeri-DorsAttnA,1.925062,False
VisPeri-DorsAttnB,1.211361,False
VisPeri-LimbicA,3.468175,False
VisPeri-LimbicB,1.535172,False
VisPeri-SalVentAttnA,1.974839,False
VisPeri-SalVentAttnB,0.008669,False
VisPeri-SomMotA,6.018941,False
VisPeri-SomMotB,1.171543,False
VisPeri-TempPar,0.416132,False
VisPeri-VisCent,0.685324,False
VisPeri-VisPeri,0.0,True
