network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,16.550479,False
ContA-ContC,2.0365,False
ContA-DefaultA,2.50797,False
ContA-DefaultB,7.838529,False
ContA-DefaultC,5.1831,False
ContA-DorsAttnA,0.772437,False
ContA-DorsAttnB,1.253371,False
ContA-LimbicA,18.862528,False
ContA-LimbicB,17.41106,False
ContA-SalVentAttnA,0.177081,False
ContA-SalVentAttnB,9.569399,False
ContA-SomMotA,12.492358,False
ContA-SomMotB,1.295962,False
ContA-TempPar,1.379256,False
ContA-VisCent,0.636292,False
ContA-VisPeri,3.510175,False
ContB-ContA,2.947357,False
ContB-ContB,0.0,True
ContB-ContC,4.552667,False
ContB-DefaultA,2.151882,False
ContB-DefaultB,12.140408,False
ContB-DefaultC,1.300597,False
ContB-DorsAttnA,1.017982,False
ContB-DorsAttnB,0.627874,False
ContB-LimbicA,4.148491,False
ContB-LimbicB,8.383415,False
ContB-SalVentAttnA,2.192451,False
ContB-SalVentAttnB,0.752218,False
ContB-SomMotA,5.010544,False
ContB-SomMotB,2.705308,False
ContB-TempPar,0.301293,False
ContB-VisCent,0.005276,False
ContB-VisPeri,5.101198,False
ContC-ContA,0.174883,False
ContC-ContB,0.522604,False
ContC-ContC,0.0,True
ContC-DefaultA,5.005229,False
ContC-DefaultB,1.033534,False
ContC-DefaultC,0.942125,False
ContC-DorsAttnA,0.057631,False
ContC-DorsAttnB,0.367521,False
ContC-LimbicA,0.937716,False
ContC-LimbicB,0.515053,False
ContC-SalVentAttnA,0.173965,False
ContC-SalVentAttnB,1.531457,False
ContC-SomMotA,0.12174,False
ContC-SomMotB,0.934306,False
ContC-TempPar,0.038297,False
ContC-VisCent,0.062465,False
ContC-VisPeri,1.302526,False
DefaultA-ContA,0.094717,False
DefaultA-ContB,0.798951,False
DefaultA-ContC,7.891106,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,5.63883,False
DefaultA-DefaultC,1.624786,False
DefaultA-DorsAttnA,7.406641,False
DefaultA-DorsAttnB,1.408343,False
DefaultA-LimbicA,2.920056,False
DefaultA-LimbicB,1.003062,False
DefaultA-SalVentAttnA,1.239479,False
DefaultA-SalVentAttnB,0.288407,False
DefaultA-SomMotA,0.195641,False
DefaultA-SomMotB,1.778186,False
DefaultA-TempPar,1.558049,False
DefaultA-VisCent,2.676129,False
DefaultA-VisPeri,0.560179,False
DefaultB-ContA,0.371117,False
DefaultB-ContB,0.339828,False
DefaultB-ContC,0.711551,False
DefaultB-DefaultA,0.335778,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,5.192691,False
DefaultB-DorsAttnA,0.368688,False
DefaultB-DorsAttnB,1.87817,False
DefaultB-LimbicA,2.040143,False
DefaultB-LimbicB,3.683075,False
DefaultB-SalVentAttnA,2.390223,False
DefaultB-SalVentAttnB,2.044866,False
DefaultB-SomMotA,0.226679,False
DefaultB-SomMotB,0.791064,False
DefaultB-TempPar,0.806436,False
DefaultB-VisCent,3.016804,False
DefaultB-VisPeri,1.792538,False
DefaultC-ContA,1.268231,False
DefaultC-ContB,1.664578,False
DefaultC-ContC,0.210581,False
DefaultC-DefaultA,1.197257,False
DefaultC-DefaultB,16.836123,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,4.732463,False
DefaultC-DorsAttnB,1.155695,False
DefaultC-LimbicA,2.396367,False
DefaultC-LimbicB,4.636311,False
DefaultC-SalVentAttnA,0.240551,False
DefaultC-SalVentAttnB,0.707618,False
DefaultC-SomMotA,7.476929,False
DefaultC-SomMotB,6.85703,False
DefaultC-TempPar,3.481852,False
DefaultC-VisCent,0.89081,False
DefaultC-VisPeri,10.216821,False
DorsAttnA-ContA,0.293792,False
DorsAttnA-ContB,0.282981,False
DorsAttnA-ContC,4.366237,False
DorsAttnA-DefaultA,3.748813,False
DorsAttnA-DefaultB,4.446464,False
DorsAttnA-DefaultC,4.657013,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,10.676744,False
DorsAttnA-LimbicA,0.495952,False
DorsAttnA-LimbicB,0.307196,False
DorsAttnA-SalVentAttnA,4.071887,False
DorsAttnA-SalVentAttnB,0.378249,False
DorsAttnA-SomMotA,4.098816,False
DorsAttnA-SomMotB,2.867707,False
DorsAttnA-TempPar,0.609018,False
DorsAttnA-VisCent,2.135851,False
DorsAttnA-VisPeri,2.062041,False
DorsAttnB-ContA,0.2136,False
DorsAttnB-ContB,0.325828,False
DorsAttnB-ContC,2.075363,False
DorsAttnB-DefaultA,1.726647,False
DorsAttnB-DefaultB,0.01323,False
DorsAttnB-DefaultC,0.585805,False
DorsAttnB-DorsAttnA,0.968614,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.246303,False
DorsAttnB-LimbicB,1.221365,False
DorsAttnB-SalVentAttnA,3.950191,False
DorsAttnB-SalVentAttnB,1.454912,False
DorsAttnB-SomMotA,1.800879,False
DorsAttnB-SomMotB,2.486776,False
DorsAttnB-TempPar,0.50902,False
DorsAttnB-VisCent,0.736506,False
DorsAttnB-VisPeri,0.323791,False
LimbicA-ContA,14.108356,False
LimbicA-ContB,8.017716,False
LimbicA-ContC,0.916612,False
LimbicA-DefaultA,3.52615,False
LimbicA-DefaultB,5.352,False
LimbicA-DefaultC,4.3327,False
LimbicA-DorsAttnA,0.812006,False
LimbicA-DorsAttnB,1.997138,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,22.121085,False
LimbicA-SalVentAttnA,3.399424,False
LimbicA-SalVentAttnB,14.425932,False
LimbicA-SomMotA,10.7845,False
LimbicA-SomMotB,1.088071,False
LimbicA-TempPar,2.835432,False
LimbicA-VisCent,0.761151,False
LimbicA-VisPeri,3.954636,False
LimbicB-ContA,3.429604,False
LimbicB-ContB,5.736911,False
LimbicB-ContC,0.812345,False
LimbicB-DefaultA,0.992142,False
LimbicB-DefaultB,9.903782,False
LimbicB-DefaultC,7.76799,False
LimbicB-DorsAttnA,1.688972,False
LimbicB-DorsAttnB,1.128325,False
LimbicB-LimbicA,1.9062,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,3.434031,False
LimbicB-SalVentAttnB,7.156522,False
LimbicB-SomMotA,2.880406,False
LimbicB-SomMotB,0.325582,False
LimbicB-TempPar,3.071392,False
LimbicB-VisCent,0.706838,False
LimbicB-VisPeri,0.995745,False
SalVentAttnA-ContA,0.664009,False
SalVentAttnA-ContB,1.188024,False
SalVentAttnA-ContC,2.380752,False
SalVentAttnA-DefaultA,1.017058,False
SalVentAttnA-DefaultB,0.649771,False
SalVentAttnA-DefaultC,5.82588,False
SalVentAttnA-DorsAttnA,1.143709,False
SalVentAttnA-DorsAttnB,1.32413,False
SalVentAttnA-LimbicA,0.477066,False
SalVentAttnA-LimbicB,0.846068,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,2.923353,False
SalVentAttnA-SomMotA,2.65524,False
SalVentAttnA-SomMotB,0.930539,False
SalVentAttnA-TempPar,6.940806,False
SalVentAttnA-VisCent,0.339479,False
SalVentAttnA-VisPeri,1.774149,False
SalVentAttnB-ContA,3.117684,False
SalVentAttnB-ContB,3.532318,False
SalVentAttnB-ContC,0.091757,False
SalVentAttnB-DefaultA,0.093101,False
SalVentAttnB-DefaultB,8.46662,False
SalVentAttnB-DefaultC,6.701541,False
SalVentAttnB-DorsAttnA,1.211084,False
SalVentAttnB-DorsAttnB,0.36469,False
SalVentAttnB-LimbicA,5.272278,False
SalVentAttnB-LimbicB,39.974832,False
SalVentAttnB-SalVentAttnA,10.11145,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,7.642858,False
SalVentAttnB-SomMotB,1.407613,False
SalVentAttnB-TempPar,1.363949,False
SalVentAttnB-VisCent,0.018756,False
SalVentAttnB-VisPeri,3.905292,False
SomMotA-ContA,1.743292,False
SomMotA-ContB,4.645691,False
SomMotA-ContC,1.252529,False
SomMotA-DefaultA,0.097755,False
SomMotA-DefaultB,10.767337,False
SomMotA-DefaultC,6.590632,False
SomMotA-DorsAttnA,0.106409,False
SomMotA-DorsAttnB,2.708558,False
SomMotA-LimbicA,0.918459,False
SomMotA-LimbicB,11.383889,False
SomMotA-SalVentAttnA,5.125549,False
SomMotA-SalVentAttnB,12.896129,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,4.92217,False
SomMotA-TempPar,6.019717,False
SomMotA-VisCent,1.513021,False
SomMotA-VisPeri,1.64706,False
SomMotB-ContA,0.075755,False
SomMotB-ContB,0.783769,False
SomMotB-ContC,2.392442,False
SomMotB-DefaultA,0.742083,False
SomMotB-DefaultB,3.456918,False
SomMotB-DefaultC,0.539486,False
SomMotB-DorsAttnA,1.494277,False
SomMotB-DorsAttnB,4.916365,False
SomMotB-LimbicA,0.857668,False
SomMotB-LimbicB,0.147087,False
SomMotB-SalVentAttnA,0.016193,False
SomMotB-SalVentAttnB,0.367227,False
SomMotB-SomMotA,2.375828,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,0.116193,False
SomMotB-VisCent,0.68381,False
SomMotB-VisPeri,0.410817,False
TempPar-ContA,1.084472,False
TempPar-ContB,0.20177,False
TempPar-ContC,1.259244,False
TempPar-DefaultA,4.661071,False
TempPar-DefaultB,2.579044,False
TempPar-DefaultC,0.662626,False
TempPar-DorsAttnA,3.30489,False
TempPar-DorsAttnB,1.957773,False
TempPar-LimbicA,1.001857,False
TempPar-LimbicB,1.810399,False
TempPar-SalVentAttnA,0.943034,False
TempPar-SalVentAttnB,0.040695,False
TempPar-SomMotA,3.621875,False
TempPar-SomMotB,5.403597,False
TempPar-TempPar,0.0,True
TempPar-VisCent,0.712671,False
TempPar-VisPeri,7.645766,False
VisCent-ContA,0.024852,False
VisCent-ContB,1.584073,False
VisCent-ContC,0.241882,False
VisCent-DefaultA,1.628487,False
VisCent-DefaultB,0.774672,False
VisCent-DefaultC,7.101955,False
VisCent-DorsAttnA,1.04325,False
VisCent-DorsAttnB,1.862631,False
VisCent-LimbicA,0.399067,False
VisCent-LimbicB,0.637837,False
VisCent-SalVentAttnA,2.51157,False
VisCent-SalVentAttnB,1.792636,False
VisCent-SomMotA,4.500905,False
VisCent-SomMotB,5.878575,False
VisCent-TempPar,3.389407,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,1.193487,False
VisPeri-ContA,2.068939,False
VisPeri-ContB,2.781466,False
VisPeri-ContC,2.236221,False
VisPeri-DefaultA,1.508151,False
VisPeri-DefaultB,7.032257,False
VisPeri-DefaultC,3.488092,False
VisPeri-DorsAttnA,2.322827,False
VisPeri-DorsAttnB,6.334388,False
VisPeri-LimbicA,4.290747,False
VisPeri-LimbicB,11.364113,False
VisPeri-SalVentAttnA,3.496791,False
VisPeri-SalVentAttnB,8.723579,False
VisPeri-SomMotA,13.16777,False
VisPeri-SomMotB,1.888851,False
VisPeri-TempPar,1.721999,False
VisPeri-VisCent,3.952977,False
VisPeri-VisPeri,0.0,True
