network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.391769,False
ContA-ContC,7.191077,False
ContA-DefaultA,10.632027,False
ContA-DefaultB,3.725939,False
ContA-DefaultC,7.819156,False
ContA-DorsAttnA,0.50684,False
ContA-DorsAttnB,0.855297,False
ContA-LimbicA,41.171934,False
ContA-LimbicB,8.268529,False
ContA-SalVentAttnA,1.010373,False
ContA-SalVentAttnB,4.894149,False
ContA-SomMotA,0.679694,False
ContA-SomMotB,0.327732,False
ContA-TempPar,1.079983,False
ContA-VisCent,2.002009,False
ContA-VisPeri,1.181894,False
ContB-ContA,7.361577,False
ContB-ContB,0.0,True
ContB-ContC,4.80439,False
ContB-DefaultA,2.715317,False
ContB-DefaultB,1.736256,False
ContB-DefaultC,2.26651,False
ContB-DorsAttnA,0.976804,False
ContB-DorsAttnB,12.030833,False
ContB-LimbicA,6.526326,False
ContB-LimbicB,4.502212,False
ContB-SalVentAttnA,2.529161,False
ContB-SalVentAttnB,0.629846,False
ContB-SomMotA,2.251308,False
ContB-SomMotB,3.740216,False
ContB-TempPar,2.608184,False
ContB-VisCent,3.993026,False
ContB-VisPeri,1.077396,False
ContC-ContA,1.678904,False
ContC-ContB,0.774563,False
ContC-ContC,0.0,True
ContC-DefaultA,8.263456,False
ContC-DefaultB,2.382028,False
ContC-DefaultC,0.46717,False
ContC-DorsAttnA,1.326564,False
ContC-DorsAttnB,7.136004,False
ContC-LimbicA,5.309037,False
ContC-LimbicB,4.579628,False
ContC-SalVentAttnA,1.765146,False
ContC-SalVentAttnB,3.16573,False
ContC-SomMotA,0.742055,False
ContC-SomMotB,0.289727,False
ContC-TempPar,5.119758,False
ContC-VisCent,1.768063,False
ContC-VisPeri,0.206654,False
DefaultA-ContA,3.383849,False
DefaultA-ContB,0.144762,False
DefaultA-ContC,15.25427,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,5.912444,False
DefaultA-DefaultC,3.472065,False
DefaultA-DorsAttnA,2.282427,False
DefaultA-DorsAttnB,2.388674,False
DefaultA-LimbicA,9.482094,False
DefaultA-LimbicB,10.323046,False
DefaultA-SalVentAttnA,3.795979,False
DefaultA-SalVentAttnB,8.517796,False
DefaultA-SomMotA,3.938272,False
DefaultA-SomMotB,3.58873,False
DefaultA-TempPar,5.877934,False
DefaultA-VisCent,0.593891,False
DefaultA-VisPeri,0.543823,False
DefaultB-ContA,1.221004,False
DefaultB-ContB,0.454529,False
DefaultB-ContC,6.396464,False
DefaultB-DefaultA,11.093656,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.267206,False
DefaultB-DorsAttnA,5.158664,False
DefaultB-DorsAttnB,0.660817,False
DefaultB-LimbicA,0.62503,False
DefaultB-LimbicB,1.289011,False
DefaultB-SalVentAttnA,1.045739,False
DefaultB-SalVentAttnB,1.351098,False
DefaultB-SomMotA,0.317441,False
DefaultB-SomMotB,2.295556,False
DefaultB-TempPar,3.183434,False
DefaultB-VisCent,0.804503,False
DefaultB-VisPeri,0.330788,False
DefaultC-ContA,1.640532,False
DefaultC-ContB,4.696817,False
DefaultC-ContC,0.859646,False
DefaultC-DefaultA,4.722107,False
DefaultC-DefaultB,3.933159,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,5.436769,False
DefaultC-DorsAttnB,5.787881,False
