network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,12.570547,False
ContA-ContC,1.188828,False
ContA-DefaultA,4.831141,False
ContA-DefaultB,2.690136,False
ContA-DefaultC,1.515358,False
ContA-DorsAttnA,0.282244,False
ContA-DorsAttnB,2.577858,False
ContA-LimbicA,38.415862,False
ContA-LimbicB,10.699023,False
ContA-SalVentAttnA,0.028171,False
ContA-SalVentAttnB,7.729365,False
ContA-SomMotA,4.511395,False
ContA-SomMotB,0.844601,False
ContA-TempPar,0.365777,False
ContA-VisCent,0.859968,False
ContA-VisPeri,3.575588,False
ContB-ContA,1.728517,False
ContB-ContB,0.0,True
ContB-ContC,2.434465,False
ContB-DefaultA,1.077741,False
ContB-DefaultB,7.160043,False
ContB-DefaultC,8.793923,False
ContB-DorsAttnA,0.778228,False
ContB-DorsAttnB,0.276489,False
ContB-LimbicA,7.694031,False
ContB-LimbicB,3.595519,False
ContB-SalVentAttnA,8.255711,False
ContB-SalVentAttnB,2.05318,False
ContB-SomMotA,6.503655,False
ContB-SomMotB,0.017172,False
ContB-TempPar,2.280233,False
ContB-VisCent,2.600834,False
ContB-VisPeri,3.107278,False
ContC-ContA,0.840937,False
ContC-ContB,0.522853,False
ContC-ContC,0.0,True
ContC-DefaultA,1.481556,False
ContC-DefaultB,1.887242,False
ContC-DefaultC,2.372782,False
ContC-DorsAttnA,0.628786,False
ContC-DorsAttnB,0.891292,False
ContC-LimbicA,6.099382,False
ContC-LimbicB,1.49352,False
ContC-SalVentAttnA,1.254466,False
ContC-SalVentAttnB,0.899835,False
ContC-SomMotA,0.230979,False
ContC-SomMotB,0.58687,False
ContC-TempPar,0.420565,False
ContC-VisCent,0.346602,False
ContC-VisPeri,0.373672,False
DefaultA-ContA,5.087152,False
DefaultA-ContB,0.336345,False
DefaultA-ContC,6.284203,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,2.389028,False
DefaultA-DefaultC,2.284913,False
DefaultA-DorsAttnA,0.972542,False
DefaultA-DorsAttnB,1.006924,False
DefaultA-LimbicA,5.744819,False
DefaultA-LimbicB,10.932674,False
DefaultA-SalVentAttnA,2.60423,False
DefaultA-SalVentAttnB,0.962542,False
DefaultA-SomMotA,0.563561,False
DefaultA-SomMotB,0.07711,False
DefaultA-TempPar,3.541677,False
DefaultA-VisCent,0.379158,False
DefaultA-VisPeri,0.913498,False
DefaultB-ContA,0.36183,False
DefaultB-ContB,1.478246,False
DefaultB-ContC,1.764726,False
DefaultB-DefaultA,3.570693,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,5.607691,False
DefaultB-DorsAttnA,5.129041,False
DefaultB-DorsAttnB,2.613735,False
DefaultB-LimbicA,0.564026,False
DefaultB-LimbicB,2.297665,False
DefaultB-SalVentAttnA,0.451785,False
DefaultB-SalVentAttnB,1.169375,False
DefaultB-SomMotA,0.733476,False
DefaultB-SomMotB,0.373647,False
DefaultB-TempPar,1.713882,False
DefaultB-VisCent,0.457236,False
DefaultB-VisPeri,0.14621,False
DefaultC-ContA,0.165012,False
DefaultC-ContB,0.031015,False
DefaultC-ContC,2.078467,False
DefaultC-DefaultA,5.089693,False
DefaultC-DefaultB,32.303625,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.146914,False
DefaultC-DorsAttnB,3.239732,False
DefaultC-LimbicA,1.997424,False
DefaultC-LimbicB,1.108472,False
DefaultC-SalVentAttnA,1.989086,False
DefaultC-SalVentAttnB,0.210196,False
DefaultC-SomMotA,2.820036,False
DefaultC-SomMotB,0.012015,False
DefaultC-TempPar,4.570497,False
DefaultC-VisCent,0.916699,False
DefaultC-VisPeri,0.1395,False
DorsAttnA-ContA,0.242859,False
DorsAttnA-ContB,0.638308,False
DorsAttnA-ContC,1.869588,False
DorsAttnA-DefaultA,0.646692,False
DorsAttnA-DefaultB,10.258673,False
DorsAttnA-DefaultC,6.111624,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,1.354818,False
DorsAttnA-LimbicA,0.874019,False
DorsAttnA-LimbicB,0.617775,False
DorsAttnA-SalVentAttnA,0.297608,False
DorsAttnA-SalVentAttnB,0.339206,False
DorsAttnA-SomMotA,0.200594,False
DorsAttnA-SomMotB,0.087802,False
DorsAttnA-TempPar,5.793447,False
DorsAttnA-VisCent,0.022516,False
DorsAttnA-VisPeri,1.600669,False
DorsAttnB-ContA,8.916332,False
DorsAttnB-ContB,5.743646,False
DorsAttnB-ContC,1.301895,False
DorsAttnB-DefaultA,4.397604,False
DorsAttnB-DefaultB,2.220454,False
DorsAttnB-DefaultC,4.841611,False
DorsAttnB-DorsAttnA,0.57357,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,10.768536,False
DorsAttnB-LimbicB,5.743007,False
DorsAttnB-SalVentAttnA,0.350335,False
DorsAttnB-SalVentAttnB,1.522751,False
DorsAttnB-SomMotA,5.463867,False
DorsAttnB-SomMotB,0.984316,False
DorsAttnB-TempPar,0.379002,False
DorsAttnB-VisCent,0.656545,False
DorsAttnB-VisPeri,4.863142,False
LimbicA-ContA,19.291461,False
LimbicA-ContB,6.104344,False
LimbicA-ContC,1.551042,False
LimbicA-DefaultA,1.840729,False
LimbicA-DefaultB,2.159778,False
LimbicA-DefaultC,1.902484,False
LimbicA-DorsAttnA,0.550925,False
LimbicA-DorsAttnB,7.327092,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,11.80383,False
LimbicA-SalVentAttnA,1.682988,False
LimbicA-SalVentAttnB,6.916039,False
LimbicA-SomMotA,5.094425,False
LimbicA-SomMotB,0.023598,False
LimbicA-TempPar,6.224609,False
LimbicA-VisCent,1.468389,False
LimbicA-VisPeri,2.420536,False
LimbicB-ContA,18.088983,False
LimbicB-ContB,0.389829,False
LimbicB-ContC,0.706892,False
LimbicB-DefaultA,13.1412,False
LimbicB-DefaultB,3.061901,False
LimbicB-DefaultC,0.696702,False
LimbicB-DorsAttnA,1.59092,False
LimbicB-DorsAttnB,0.880967,False
LimbicB-LimbicA,20.571281,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,4.279816,False
LimbicB-SalVentAttnB,4.566449,False
LimbicB-SomMotA,2.135962,False
LimbicB-SomMotB,2.812442,False
LimbicB-TempPar,1.773213,False
LimbicB-VisCent,0.850212,False
LimbicB-VisPeri,2.045353,False
SalVentAttnA-ContA,0.337005,False
SalVentAttnA-ContB,1.757628,False
SalVentAttnA-ContC,1.630136,False
SalVentAttnA-DefaultA,0.579345,False
SalVentAttnA-DefaultB,5.201379,False
SalVentAttnA-DefaultC,0.537288,False
SalVentAttnA-DorsAttnA,0.304063,False
SalVentAttnA-DorsAttnB,0.211306,False
SalVentAttnA-LimbicA,0.212324,False
SalVentAttnA-LimbicB,1.353959,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,1.546311,False
SalVentAttnA-SomMotA,0.448737,False
SalVentAttnA-SomMotB,0.138384,False
SalVentAttnA-TempPar,0.825966,False
SalVentAttnA-VisCent,1.449954,False
SalVentAttnA-VisPeri,2.567784,False
SalVentAttnB-ContA,22.765678,False
SalVentAttnB-ContB,2.252363,False
SalVentAttnB-ContC,2.619925,False
SalVentAttnB-DefaultA,15.270624,False
SalVentAttnB-DefaultB,0.758111,False
SalVentAttnB-DefaultC,1.331565,False
SalVentAttnB-DorsAttnA,1.422548,False
SalVentAttnB-DorsAttnB,4.616244,False
