network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,1.765298,False
ContA-ContC,0.472889,False
ContA-DefaultA,1.132738,False
ContA-DefaultB,0.86724,False
ContA-DefaultC,2.6136,False
ContA-DorsAttnA,1.325596,False
ContA-DorsAttnB,2.313219,False
ContA-LimbicA,8.30048,False
ContA-LimbicB,2.405557,False
ContA-SalVentAttnA,1.273607,False
ContA-SalVentAttnB,1.090854,False
ContA-SomMotA,9.639866,False
ContA-SomMotB,1.115341,False
ContA-TempPar,3.062145,False
ContA-VisCent,3.559832,False
ContA-VisPeri,6.260079,False
ContB-ContA,0.976964,False
ContB-ContB,0.0,True
ContB-ContC,4.666897,False
ContB-DefaultA,5.644027,False
ContB-DefaultB,5.795138,False
ContB-DefaultC,5.030069,False
ContB-DorsAttnA,1.092946,False
ContB-DorsAttnB,2.75183,False
ContB-LimbicA,2.921543,False
ContB-LimbicB,3.610186,False
ContB-SalVentAttnA,0.013919,False
ContB-SalVentAttnB,1.319853,False
ContB-SomMotA,7.308914,False
ContB-SomMotB,6.060582,False
ContB-TempPar,5.29777,False
ContB-VisCent,0.315819,False
ContB-VisPeri,0.755041,False
ContC-ContA,1.559126,False
ContC-ContB,7.299334,False
ContC-ContC,0.0,True
ContC-DefaultA,18.325353,False
ContC-DefaultB,7.178711,False
ContC-DefaultC,4.305118,False
ContC-DorsAttnA,3.764795,False
ContC-DorsAttnB,2.269519,False
ContC-LimbicA,8.054931,False
ContC-LimbicB,5.648504,False
ContC-SalVentAttnA,2.250998,False
ContC-SalVentAttnB,7.385273,False
ContC-SomMotA,1.773851,False
ContC-SomMotB,0.248731,False
ContC-TempPar,1.186284,False
ContC-VisCent,0.722959,False
ContC-VisPeri,3.141775,False
DefaultA-ContA,5.245322,False
DefaultA-ContB,8.043998,False
DefaultA-ContC,8.304248,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,9.438219,False
DefaultA-DefaultC,9.154579,False
DefaultA-DorsAttnA,4.01618,False
DefaultA-DorsAttnB,1.594057,False
DefaultA-LimbicA,5.3599,False
DefaultA-LimbicB,9.916012,False
DefaultA-SalVentAttnA,3.620315,False
DefaultA-SalVentAttnB,8.961903,False
DefaultA-SomMotA,2.452548,False
DefaultA-SomMotB,1.964337,False
DefaultA-TempPar,6.620044,False
DefaultA-VisCent,4.326366,False
DefaultA-VisPeri,7.859265,False
DefaultB-ContA,0.350277,False
DefaultB-ContB,6.956376,False
DefaultB-ContC,5.838946,False
DefaultB-DefaultA,3.572505,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,12.437013,False
DefaultB-DorsAttnA,4.20677,False
DefaultB-DorsAttnB,0.118964,False
DefaultB-LimbicA,0.43485,False
DefaultB-LimbicB,2.788596,False
DefaultB-SalVentAttnA,0.176935,False
DefaultB-SalVentAttnB,2.523899,False
DefaultB-SomMotA,1.235822,False
DefaultB-SomMotB,3.163865,False
DefaultB-TempPar,5.518996,False
DefaultB-VisCent,0.691905,False
DefaultB-VisPeri,3.609799,False
DefaultC-ContA,2.290351,False
DefaultC-ContB,1.18648,False
DefaultC-ContC,1.388445,False
DefaultC-DefaultA,2.73586,False
DefaultC-DefaultB,5.865917,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.557737,False
DefaultC-DorsAttnB,1.289146,False
DefaultC-LimbicA,5.068685,False
DefaultC-LimbicB,0.851572,False
DefaultC-SalVentAttnA,1.897045,False
DefaultC-SalVentAttnB,1.449027,False
DefaultC-SomMotA,0.645344,False
DefaultC-SomMotB,0.279376,False
DefaultC-TempPar,11.351604,False
DefaultC-VisCent,0.789679,False
DefaultC-VisPeri,0.500399,False
DorsAttnA-ContA,0.056119,False
DorsAttnA-ContB,0.328466,False
DorsAttnA-ContC,2.504696,False
DorsAttnA-DefaultA,6.207784,False
DorsAttnA-DefaultB,3.831852,False
DorsAttnA-DefaultC,9.406688,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,6.732693,False
DorsAttnA-LimbicA,0.13271,False
DorsAttnA-LimbicB,1.313999,False
DorsAttnA-SalVentAttnA,0.380621,False
DorsAttnA-SalVentAttnB,1.618646,False
DorsAttnA-SomMotA,0.836986,False
DorsAttnA-SomMotB,1.83187,False
DorsAttnA-TempPar,5.23035,False
DorsAttnA-VisCent,0.150466,False
DorsAttnA-VisPeri,0.35304,False
DorsAttnB-ContA,6.011586,False
DorsAttnB-ContB,3.164854,False
DorsAttnB-ContC,0.106766,False
DorsAttnB-DefaultA,1.0102,False
DorsAttnB-DefaultB,0.456225,False
DorsAttnB-DefaultC,1.703585,False
DorsAttnB-DorsAttnA,0.317811,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,5.172154,False
DorsAttnB-LimbicB,0.837382,False
DorsAttnB-SalVentAttnA,2.361107,False
DorsAttnB-SalVentAttnB,3.163466,False
DorsAttnB-SomMotA,2.393882,False
DorsAttnB-SomMotB,4.769067,False
DorsAttnB-TempPar,0.26376,False
DorsAttnB-VisCent,0.81374,False
DorsAttnB-VisPeri,0.58736,False
LimbicA-ContA,9.848425,False
LimbicA-ContB,1.547771,False
LimbicA-ContC,0.319858,False
LimbicA-DefaultA,0.152983,False
LimbicA-DefaultB,0.219265,False
LimbicA-DefaultC,1.589383,False
LimbicA-DorsAttnA,0.604511,False
LimbicA-DorsAttnB,0.20182,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,3.063227,False
LimbicA-SalVentAttnA,4.141129,False
LimbicA-SalVentAttnB,1.983752,False
LimbicA-SomMotA,7.829158,False
LimbicA-SomMotB,0.731903,False
LimbicA-TempPar,1.988126,False
LimbicA-VisCent,3.65472,False
LimbicA-VisPeri,8.556642,False
LimbicB-ContA,5.917607,False
LimbicB-ContB,3.184646,False
LimbicB-ContC,1.647438,False
LimbicB-DefaultA,5.474352,False
LimbicB-DefaultB,2.764326,False
LimbicB-DefaultC,2.899076,False
LimbicB-DorsAttnA,4.358262,False
LimbicB-DorsAttnB,0.556725,False
LimbicB-LimbicA,7.616216,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,8.395806,False
LimbicB-SalVentAttnB,10.424651,False
LimbicB-SomMotA,5.606096,False
LimbicB-SomMotB,0.51692,False
LimbicB-TempPar,0.103881,False
LimbicB-VisCent,1.957155,False
LimbicB-VisPeri,6.691488,False
SalVentAttnA-ContA,0.178303,False
SalVentAttnA-ContB,2.161083,False
SalVentAttnA-ContC,0.455233,False
SalVentAttnA-DefaultA,0.682765,False
SalVentAttnA-DefaultB,0.01815,False
SalVentAttnA-DefaultC,0.251418,False
SalVentAttnA-DorsAttnA,2.840991,False
SalVentAttnA-DorsAttnB,0.901206,False
SalVentAttnA-LimbicA,3.812308,False
SalVentAttnA-LimbicB,2.851803,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.34949,False
SalVentAttnA-SomMotA,2.751918,False
SalVentAttnA-SomMotB,0.070581,False
SalVentAttnA-TempPar,0.036009,False
SalVentAttnA-VisCent,0.619712,False
SalVentAttnA-VisPeri,2.859453,False
SalVentAttnB-ContA,8.266764,False
SalVentAttnB-ContB,3.089466,False
SalVentAttnB-ContC,4.737351,False
SalVentAttnB-DefaultA,3.28951,False
SalVentAttnB-DefaultB,0.968278,False
SalVentAttnB-DefaultC,2.549851,False
SalVentAttnB-DorsAttnA,3.507663,False
SalVentAttnB-DorsAttnB,1.136457,False
SalVentAttnB-LimbicA,10.528086,False
SalVentAttnB-LimbicB,30.494201,False
SalVentAttnB-SalVentAttnA,12.31236,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,5.864587,False
SalVentAttnB-SomMotB,1.529811,False
SalVentAttnB-TempPar,0.750205,False
SalVentAttnB-VisCent,1.681622,False
SalVentAttnB-VisPeri,3.874545,False
SomMotA-ContA,2.055379,False
SomMotA-ContB,0.978118,False
SomMotA-ContC,1.196065,False
SomMotA-DefaultA,6.624792,False
SomMotA-DefaultB,2.425143,False
SomMotA-DefaultC,16.110183,False
SomMotA-DorsAttnA,3.696651,False
SomMotA-DorsAttnB,2.904951,False
SomMotA-LimbicA,1.149853,False
SomMotA-LimbicB,1.653822,False
SomMotA-SalVentAttnA,3.690968,False
SomMotA-SalVentAttnB,2.070162,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,7.129,False
SomMotA-TempPar,1.963949,False
SomMotA-VisCent,15.034109,False
SomMotA-VisPeri,5.380215,False
SomMotB-ContA,0.029332,False
SomMotB-ContB,2.510541,False
SomMotB-ContC,7.581122,False
SomMotB-DefaultA,4.170463,False
SomMotB-DefaultB,3.849072,False
SomMotB-DefaultC,4.298488,False
SomMotB-DorsAttnA,0.31891,False
SomMotB-DorsAttnB,4.921066,False
SomMotB-LimbicA,4.325973,False
SomMotB-LimbicB,4.760218,False
SomMotB-SalVentAttnA,2.626293,False
SomMotB-SalVentAttnB,3.172633,False
SomMotB-SomMotA,0.388705,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,3.073659,False
SomMotB-VisCent,0.053192,False
SomMotB-VisPeri,1.75046,False
TempPar-ContA,0.693348,False
TempPar-ContB,1.173856,False
TempPar-ContC,0.665445,False
TempPar-DefaultA,0.432266,False
TempPar-DefaultB,0.409257,False
TempPar-DefaultC,8.189303,False
TempPar-DorsAttnA,1.329929,False
TempPar-DorsAttnB,0.092999,False
