network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,8.367847,False
ContA-ContC,1.146452,False
ContA-DefaultA,1.788192,False
ContA-DefaultB,4.49706,False
ContA-DefaultC,1.200194,False
ContA-DorsAttnA,1.532983,False
ContA-DorsAttnB,3.480171,False
ContA-LimbicA,32.985397,False
ContA-LimbicB,11.614518,False
ContA-SalVentAttnA,1.321702,False
ContA-SalVentAttnB,7.531919,False
ContA-SomMotA,9.090242,False
ContA-SomMotB,5.760506,False
ContA-TempPar,0.14005,False
ContA-VisCent,11.899895,False
ContA-VisPeri,8.292213,False
ContB-ContA,5.342185,False
ContB-ContB,0.0,True
ContB-ContC,1.143507,False
ContB-DefaultA,0.41778,False
ContB-DefaultB,1.924774,False
ContB-DefaultC,4.310081,False
ContB-DorsAttnA,0.3861,False
ContB-DorsAttnB,1.449361,False
ContB-LimbicA,9.011196,False
ContB-LimbicB,0.993232,False
ContB-SalVentAttnA,0.264463,False
ContB-SalVentAttnB,2.544383,False
ContB-SomMotA,7.989723,False
ContB-SomMotB,4.362682,False
ContB-TempPar,1.082615,False
ContB-VisCent,3.022354,False
ContB-VisPeri,5.329272,False
ContC-ContA,0.460729,False
ContC-ContB,0.632413,False
ContC-ContC,0.0,True
ContC-DefaultA,2.501171,False
ContC-DefaultB,1.274958,False
ContC-DefaultC,2.759709,False
ContC-DorsAttnA,0.431042,False
ContC-DorsAttnB,3.220043,False
ContC-LimbicA,2.190471,False
ContC-LimbicB,0.990658,False
ContC-SalVentAttnA,0.097479,False
ContC-SalVentAttnB,0.698487,False
ContC-SomMotA,2.129658,False
ContC-SomMotB,0.77556,False
ContC-TempPar,1.724811,False
ContC-VisCent,3.781567,False
ContC-VisPeri,1.484817,False
DefaultA-ContA,1.333804,False
DefaultA-ContB,0.237876,False
DefaultA-ContC,31.676333,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,4.684128,False
DefaultA-DefaultC,1.139171,False
DefaultA-DorsAttnA,1.511182,False
DefaultA-DorsAttnB,0.497433,False
DefaultA-LimbicA,2.9089,False
DefaultA-LimbicB,4.004876,False
DefaultA-SalVentAttnA,2.107533,False
DefaultA-SalVentAttnB,1.101722,False
DefaultA-SomMotA,7.880805,False
DefaultA-SomMotB,1.491647,False
DefaultA-TempPar,0.703169,False
DefaultA-VisCent,3.782712,False
DefaultA-VisPeri,2.202979,False
DefaultB-ContA,2.340926,False
DefaultB-ContB,1.107366,False
DefaultB-ContC,3.746793,False
DefaultB-DefaultA,5.148645,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.900937,False
DefaultB-DorsAttnA,1.760508,False
DefaultB-DorsAttnB,0.309243,False
DefaultB-LimbicA,6.144039,False
DefaultB-LimbicB,5.928302,False
DefaultB-SalVentAttnA,0.648123,False
DefaultB-SalVentAttnB,2.96039,False
DefaultB-SomMotA,2.68698,False
DefaultB-SomMotB,1.563237,False
DefaultB-TempPar,3.036341,False
DefaultB-VisCent,1.460789,False
DefaultB-VisPeri,1.896956,False
