network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.358762,False
ContA-ContC,15.443681,False
ContA-DefaultA,7.584257,False
ContA-DefaultB,0.791162,False
ContA-DefaultC,1.558368,False
ContA-DorsAttnA,3.797397,False
ContA-DorsAttnB,2.30018,False
ContA-LimbicA,33.643749,False
ContA-LimbicB,17.499072,False
ContA-SalVentAttnA,3.084604,False
ContA-SalVentAttnB,6.30702,False
ContA-SomMotA,13.054365,False
ContA-SomMotB,5.652402,False
ContA-TempPar,8.109414,False
ContA-VisCent,2.107168,False
ContA-VisPeri,2.462925,False
ContB-ContA,0.037547,False
ContB-ContB,0.0,True
ContB-ContC,0.06818,False
ContB-DefaultA,1.275139,False
ContB-DefaultB,1.47539,False
ContB-DefaultC,2.286848,False
ContB-DorsAttnA,3.309462,False
ContB-DorsAttnB,0.261538,False
ContB-LimbicA,1.277514,False
ContB-LimbicB,0.633697,False
ContB-SalVentAttnA,3.803173,False
ContB-SalVentAttnB,1.609219,False
ContB-SomMotA,2.025479,False
ContB-SomMotB,0.674235,False
ContB-TempPar,0.309682,False
ContB-VisCent,3.522949,False
ContB-VisPeri,0.715316,False
ContC-ContA,0.242701,False
ContC-ContB,0.164529,False
ContC-ContC,0.0,True
ContC-DefaultA,1.395134,False
ContC-DefaultB,1.900662,False
ContC-DefaultC,2.288955,False
ContC-DorsAttnA,3.650271,False
ContC-DorsAttnB,1.353882,False
ContC-LimbicA,0.564577,False
ContC-LimbicB,6.385443,False
ContC-SalVentAttnA,1.189564,False
ContC-SalVentAttnB,0.449685,False
ContC-SomMotA,4.047391,False
ContC-SomMotB,1.469943,False
ContC-TempPar,1.789012,False
ContC-VisCent,1.290293,False
ContC-VisPeri,2.077254,False
DefaultA-ContA,4.385248,False
DefaultA-ContB,0.24092,False
DefaultA-ContC,44.034903,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,7.350372,False
DefaultA-DefaultC,1.370709,False
DefaultA-DorsAttnA,5.332892,False
DefaultA-DorsAttnB,1.841841,False
DefaultA-LimbicA,5.667799,False
DefaultA-LimbicB,30.616474,False
DefaultA-SalVentAttnA,3.897172,False
DefaultA-SalVentAttnB,6.766697,False
DefaultA-SomMotA,1.041615,False
DefaultA-SomMotB,0.671236,False
DefaultA-TempPar,4.992844,False
DefaultA-VisCent,3.962138,False
DefaultA-VisPeri,0.841394,False
DefaultB-ContA,1.752738,False
DefaultB-ContB,2.329736,False
DefaultB-ContC,13.731101,False
DefaultB-DefaultA,3.836168,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,4.680862,False
DefaultB-DorsAttnA,3.690327,False
DefaultB-DorsAttnB,2.251652,False
DefaultB-LimbicA,0.299525,False
DefaultB-LimbicB,2.496014,False
DefaultB-SalVentAttnA,1.457689,False
DefaultB-SalVentAttnB,2.033967,False
DefaultB-SomMotA,0.161678,False
DefaultB-SomMotB,2.103696,False
DefaultB-TempPar,3.934739,False
DefaultB-VisCent,2.064575,False
DefaultB-VisPeri,1.432782,False
DefaultC-ContA,5.059135,False
DefaultC-ContB,3.794619,False
DefaultC-ContC,8.188079,False
DefaultC-DefaultA,4.517081,False
DefaultC-DefaultB,13.97969,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.672593,False
DefaultC-DorsAttnB,3.007112,False
DefaultC-LimbicA,3.206794,False
DefaultC-LimbicB,4.362546,False
DefaultC-SalVentAttnA,3.838248,False
DefaultC-SalVentAttnB,3.008788,False
DefaultC-SomMotA,2.136037,False
DefaultC-SomMotB,3.597712,False
DefaultC-TempPar,0.594848,False
DefaultC-VisCent,1.064751,False
DefaultC-VisPeri,3.161574,False
DorsAttnA-ContA,4.78471,False
DorsAttnA-ContB,6.931226,False
DorsAttnA-ContC,0.555067,False
DorsAttnA-DefaultA,2.295535,False
DorsAttnA-DefaultB,13.072894,False
DorsAttnA-DefaultC,16.66464,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,18.349606,False
DorsAttnA-LimbicA,5.548395,False
DorsAttnA-LimbicB,3.078809,False
DorsAttnA-SalVentAttnA,8.962469,False
DorsAttnA-SalVentAttnB,4.505962,False
DorsAttnA-SomMotA,2.836328,False
DorsAttnA-SomMotB,10.31476,False
DorsAttnA-TempPar,9.877438,False
DorsAttnA-VisCent,0.647037,False
DorsAttnA-VisPeri,0.392357,False
DorsAttnB-ContA,0.074185,False
DorsAttnB-ContB,0.624978,False
DorsAttnB-ContC,6.839746,False
DorsAttnB-DefaultA,0.731077,False
DorsAttnB-DefaultB,0.157888,False
DorsAttnB-DefaultC,0.334399,False
DorsAttnB-DorsAttnA,1.921092,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.254719,False
DorsAttnB-LimbicB,3.442406,False
DorsAttnB-SalVentAttnA,7.650142,False
DorsAttnB-SalVentAttnB,0.244617,False
DorsAttnB-SomMotA,2.876472,False
DorsAttnB-SomMotB,13.185251,False
DorsAttnB-TempPar,0.802104,False
DorsAttnB-VisCent,5.387871,False
DorsAttnB-VisPeri,0.549764,False
LimbicA-ContA,13.646073,False
LimbicA-ContB,3.415328,False
LimbicA-ContC,16.503109,False
LimbicA-DefaultA,5.811348,False
LimbicA-DefaultB,0.674019,False
LimbicA-DefaultC,3.522554,False
LimbicA-DorsAttnA,3.861711,False
LimbicA-DorsAttnB,2.318723,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,26.573083,False
LimbicA-SalVentAttnA,4.669172,False
LimbicA-SalVentAttnB,6.289005,False
LimbicA-SomMotA,5.187475,False
LimbicA-SomMotB,1.927271,False
LimbicA-TempPar,6.495832,False
LimbicA-VisCent,2.387758,False
LimbicA-VisPeri,2.290935,False
LimbicB-ContA,8.989251,False
LimbicB-ContB,0.81863,False
LimbicB-ContC,20.578844,False
LimbicB-DefaultA,13.042724,False
LimbicB-DefaultB,0.79859,False
LimbicB-DefaultC,0.311648,False
LimbicB-DorsAttnA,1.776131,False
LimbicB-DorsAttnB,1.303924,False
LimbicB-LimbicA,13.042659,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,7.278006,False
LimbicB-SalVentAttnB,11.745035,False
LimbicB-SomMotA,0.970628,False
LimbicB-SomMotB,1.750173,False
LimbicB-TempPar,2.866359,False
LimbicB-VisCent,2.558269,False
LimbicB-VisPeri,0.510046,False
SalVentAttnA-ContA,0.022787,False
SalVentAttnA-ContB,0.151788,False
SalVentAttnA-ContC,4.025553,False
SalVentAttnA-DefaultA,0.002995,False
SalVentAttnA-DefaultB,2.310163,False
SalVentAttnA-DefaultC,1.33111,False
SalVentAttnA-DorsAttnA,0.244194,False
SalVentAttnA-DorsAttnB,0.243022,False
SalVentAttnA-LimbicA,2.030481,False
SalVentAttnA-LimbicB,1.462717,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.419126,False
SalVentAttnA-SomMotA,6.758792,False
SalVentAttnA-SomMotB,5.586519,False
SalVentAttnA-TempPar,0.27118,False
SalVentAttnA-VisCent,4.649135,False
SalVentAttnA-VisPeri,5.503327,False
SalVentAttnB-ContA,3.410708,False
SalVentAttnB-ContB,1.530866,False
SalVentAttnB-ContC,14.208192,False
SalVentAttnB-DefaultA,4.407026,False
SalVentAttnB-DefaultB,0.433525,False
SalVentAttnB-DefaultC,2.785635,False
SalVentAttnB-DorsAttnA,4.353994,False
SalVentAttnB-DorsAttnB,1.434747,False
SalVentAttnB-LimbicA,11.517856,False
SalVentAttnB-LimbicB,65.445895,False
SalVentAttnB-SalVentAttnA,12.821487,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,5.92095,False
SalVentAttnB-SomMotB,1.555657,False
SalVentAttnB-TempPar,3.92425,False
SalVentAttnB-VisCent,8.198707,False
SalVentAttnB-VisPeri,4.325025,False
SomMotA-ContA,1.53823,False
SomMotA-ContB,8.939761,False
SomMotA-ContC,0.955883,False
SomMotA-DefaultA,1.379081,False
SomMotA-DefaultB,1.64595,False
SomMotA-DefaultC,1.934443,False
SomMotA-DorsAttnA,0.79492,False
SomMotA-DorsAttnB,6.440199,False
SomMotA-LimbicA,4.54307,False
SomMotA-LimbicB,6.095075,False
SomMotA-SalVentAttnA,0.525876,False
SomMotA-SalVentAttnB,7.483929,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,7.297567,False
SomMotA-TempPar,0.339048,False
SomMotA-VisCent,16.597855,False
SomMotA-VisPeri,2.958186,False
SomMotB-ContA,1.522274,False
SomMotB-ContB,1.419931,False
SomMotB-ContC,4.503179,False
SomMotB-DefaultA,3.217322,False
SomMotB-DefaultB,2.027577,False
SomMotB-DefaultC,2.316247,False
SomMotB-DorsAttnA,2.054285,False
SomMotB-DorsAttnB,11.906309,False
SomMotB-LimbicA,1.384124,False
SomMotB-LimbicB,5.848489,False
SomMotB-SalVentAttnA,1.185526,False
SomMotB-SalVentAttnB,3.182539,False
SomMotB-SomMotA,4.701871,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,1.082277,False
SomMotB-VisCent,2.965645,False
SomMotB-VisPeri,0.476553,False
TempPar-ContA,4.998165,False
TempPar-ContB,3.204856,False
TempPar-ContC,7.944727,False
TempPar-DefaultA,1.345684,False
TempPar-DefaultB,4.110779,False
TempPar-DefaultC,1.697162,False
TempPar-DorsAttnA,4.934154,False
TempPar-DorsAttnB,2.974672,False
TempPar-LimbicA,3.536948,False
TempPar-LimbicB,4.779387,False
TempPar-SalVentAttnA,7.015286,False
TempPar-SalVentAttnB,2.196016,False
TempPar-SomMotA,0.962296,False
TempPar-SomMotB,0.401644,False
TempPar-TempPar,0.0,True
TempPar-VisCent,3.94743,False
TempPar-VisPeri,0.154793,False
VisCent-ContA,4.009626,False
VisCent-ContB,2.215446,False
VisCent-ContC,1.281126,False
VisCent-DefaultA,0.773521,False
VisCent-DefaultB,3.080355,False
VisCent-DefaultC,1.471815,False
VisCent-DorsAttnA,0.23458,False
VisCent-DorsAttnB,0.213709,False
VisCent-LimbicA,5.892505,False
VisCent-LimbicB,1.379741,False
VisCent-SalVentAttnA,0.558936,False
VisCent-SalVentAttnB,7.909265,False
VisCent-SomMotA,4.019262,False
VisCent-SomMotB,2.240817,False
VisCent-TempPar,0.903626,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,3.153338,False
VisPeri-ContA,1.693189,False
VisPeri-ContB,6.107436,False
VisPeri-ContC,1.233128,False
VisPeri-DefaultA,0.518755,False
VisPeri-DefaultB,1.164824,False
VisPeri-DefaultC,2.564306,False
VisPeri-DorsAttnA,0.584475,False
VisPeri-DorsAttnB,3.629768,False
VisPeri-LimbicA,6.299704,False
VisPeri-LimbicB,6.405943,False
VisPeri-SalVentAttnA,1.231822,False
VisPeri-SalVentAttnB,10.028524,False
VisPeri-SomMotA,9.952327,False
VisPeri-SomMotB,1.228974,False
VisPeri-TempPar,0.610148,False
VisPeri-VisCent,24.012966,False
VisPeri-VisPeri,0.0,True
