network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,7.48694,False
ContA-ContC,1.858318,False
ContA-DefaultA,0.622412,False
ContA-DefaultB,2.786387,False
ContA-DefaultC,0.356771,False
ContA-DorsAttnA,0.433247,False
ContA-DorsAttnB,0.221168,False
ContA-LimbicA,14.185302,False
ContA-LimbicB,8.067041,False
ContA-SalVentAttnA,0.344444,False
ContA-SalVentAttnB,0.590258,False
ContA-SomMotA,2.650324,False
ContA-SomMotB,1.964052,False
ContA-TempPar,5.034488,False
ContA-VisCent,0.904778,False
ContA-VisPeri,0.701837,False
ContB-ContA,7.715718,False
ContB-ContB,0.0,True
ContB-ContC,6.265229,False
ContB-DefaultA,2.243107,False
ContB-DefaultB,8.513097,False
ContB-DefaultC,8.233536,False
ContB-DorsAttnA,4.995635,False
ContB-DorsAttnB,1.32234,False
ContB-LimbicA,4.419441,False
ContB-LimbicB,5.966946,False
ContB-SalVentAttnA,3.244544,False
ContB-SalVentAttnB,5.757973,False
ContB-SomMotA,10.039358,False
ContB-SomMotB,2.50111,False
ContB-TempPar,6.412583,False
ContB-VisCent,0.091026,False
ContB-VisPeri,5.056092,False
ContC-ContA,2.274456,False
ContC-ContB,4.777788,False
ContC-ContC,0.0,True
ContC-DefaultA,16.504866,False
ContC-DefaultB,5.179002,False
ContC-DefaultC,4.887856,False
ContC-DorsAttnA,2.179999,False
ContC-DorsAttnB,0.610287,False
ContC-LimbicA,0.032438,False
ContC-LimbicB,17.230927,False
ContC-SalVentAttnA,1.170919,False
ContC-SalVentAttnB,2.193022,False
ContC-SomMotA,3.487817,False
ContC-SomMotB,0.783258,False
ContC-TempPar,0.005671,False
ContC-VisCent,1.036528,False
ContC-VisPeri,1.125352,False
DefaultA-ContA,3.560911,False
DefaultA-ContB,4.217905,False
DefaultA-ContC,14.856051,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,6.377802,False
DefaultA-DefaultC,6.433879,False
DefaultA-DorsAttnA,2.73091,False
DefaultA-DorsAttnB,1.73023,False
DefaultA-LimbicA,2.448584,False
DefaultA-LimbicB,11.536393,False
DefaultA-SalVentAttnA,2.751973,False
DefaultA-SalVentAttnB,3.140485,False
DefaultA-SomMotA,9.255337,False
DefaultA-SomMotB,1.416717,False
DefaultA-TempPar,3.945198,False
DefaultA-VisCent,1.071856,False
DefaultA-VisPeri,0.509154,False
DefaultB-ContA,1.98322,False
DefaultB-ContB,7.808295,False
DefaultB-ContC,7.774857,False
DefaultB-DefaultA,13.149638,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,10.882632,False
DefaultB-DorsAttnA,7.978995,False
DefaultB-DorsAttnB,0.972785,False
DefaultB-LimbicA,1.408753,False
DefaultB-LimbicB,10.253962,False
DefaultB-SalVentAttnA,0.4678,False
DefaultB-SalVentAttnB,1.526068,False
DefaultB-SomMotA,5.478747,False
DefaultB-SomMotB,2.209199,False
DefaultB-TempPar,1.148906,False
DefaultB-VisCent,0.05458,False
DefaultB-VisPeri,0.36357,False
DefaultC-ContA,0.543122,False
DefaultC-ContB,8.768226,False
DefaultC-ContC,4.272461,False
DefaultC-DefaultA,9.328421,False
DefaultC-DefaultB,33.730998,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,13.207911,False
DefaultC-DorsAttnB,1.430555,False
DefaultC-LimbicA,0.051038,False
DefaultC-LimbicB,6.910267,False
DefaultC-SalVentAttnA,0.841917,False
DefaultC-SalVentAttnB,1.370986,False
DefaultC-SomMotA,4.420133,False
DefaultC-SomMotB,6.090097,False
DefaultC-TempPar,1.293835,False
DefaultC-VisCent,0.240723,False
DefaultC-VisPeri,2.485579,False
DorsAttnA-ContA,3.067502,False
DorsAttnA-ContB,4.222281,False
DorsAttnA-ContC,4.921301,False
DorsAttnA-DefaultA,9.674306,False
DorsAttnA-DefaultB,15.118676,False
DorsAttnA-DefaultC,16.57249,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,6.46729,False
DorsAttnA-LimbicA,2.101374,False
DorsAttnA-LimbicB,0.115459,False
DorsAttnA-SalVentAttnA,2.44965,False
DorsAttnA-SalVentAttnB,3.226098,False
DorsAttnA-SomMotA,2.756269,False
DorsAttnA-SomMotB,0.99669,False
DorsAttnA-TempPar,14.011515,False
DorsAttnA-VisCent,1.325582,False
DorsAttnA-VisPeri,7.425727,False
