network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,7.474856,False
ContA-ContC,6.405986,False
ContA-DefaultA,0.666527,False
ContA-DefaultB,3.603794,False
ContA-DefaultC,13.729752,False
ContA-DorsAttnA,0.693389,False
ContA-DorsAttnB,0.693077,False
ContA-LimbicA,13.018095,False
ContA-LimbicB,0.351844,False
ContA-SalVentAttnA,4.616799,False
ContA-SalVentAttnB,1.494819,False
ContA-SomMotA,4.068997,False
ContA-SomMotB,1.504674,False
ContA-TempPar,9.006627,False
ContA-VisCent,19.278447,False
ContA-VisPeri,4.340677,False
ContB-ContA,2.586727,False
ContB-ContB,0.0,True
ContB-ContC,5.539106,False
ContB-DefaultA,2.223486,False
ContB-DefaultB,1.099223,False
ContB-DefaultC,5.747268,False
ContB-DorsAttnA,2.262122,False
ContB-DorsAttnB,0.00428,False
ContB-LimbicA,5.760803,False
ContB-LimbicB,2.148218,False
ContB-SalVentAttnA,3.450792,False
ContB-SalVentAttnB,0.390647,False
ContB-SomMotA,2.602958,False
ContB-SomMotB,6.356668,False
ContB-TempPar,3.770477,False
ContB-VisCent,17.656993,False
ContB-VisPeri,2.505477,False
ContC-ContA,0.38765,False
ContC-ContB,1.031866,False
ContC-ContC,0.0,True
ContC-DefaultA,2.166513,False
ContC-DefaultB,4.199564,False
ContC-DefaultC,7.325749,False
ContC-DorsAttnA,2.426063,False
ContC-DorsAttnB,0.36058,False
ContC-LimbicA,8.676144,False
ContC-LimbicB,0.361041,False
ContC-SalVentAttnA,1.097238,False
ContC-SalVentAttnB,0.048892,False
ContC-SomMotA,3.901516,False
ContC-SomMotB,0.668546,False
ContC-TempPar,1.343721,False
ContC-VisCent,2.259224,False
ContC-VisPeri,2.421643,False
DefaultA-ContA,5.547745,False
DefaultA-ContB,7.720813,False
DefaultA-ContC,20.168209,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,6.236209,False
DefaultA-DefaultC,0.344822,False
DefaultA-DorsAttnA,2.794381,False
DefaultA-DorsAttnB,3.330343,False
DefaultA-LimbicA,6.557434,False
DefaultA-LimbicB,12.234689,False
DefaultA-SalVentAttnA,1.027588,False
DefaultA-SalVentAttnB,6.412815,False
DefaultA-SomMotA,3.951471,False
DefaultA-SomMotB,3.940892,False
DefaultA-TempPar,3.919005,False
DefaultA-VisCent,2.016944,False
DefaultA-VisPeri,1.619486,False
DefaultB-ContA,3.047852,False
DefaultB-ContB,5.275641,False
DefaultB-ContC,0.424505,False
DefaultB-DefaultA,0.125882,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.979373,False
DefaultB-DorsAttnA,0.898912,False
DefaultB-DorsAttnB,1.172843,False
DefaultB-LimbicA,0.499356,False
DefaultB-LimbicB,0.40242,False
DefaultB-SalVentAttnA,3.287818,False
DefaultB-SalVentAttnB,0.202831,False
DefaultB-SomMotA,0.017477,False
DefaultB-SomMotB,0.47934,False
DefaultB-TempPar,0.294566,False
DefaultB-VisCent,1.147373,False
DefaultB-VisPeri,0.85819,False
DefaultC-ContA,2.030038,False
DefaultC-ContB,3.801367,False
DefaultC-ContC,3.45782,False
DefaultC-DefaultA,2.765566,False
DefaultC-DefaultB,2.203817,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,5.050988,False
DefaultC-DorsAttnB,0.04632,False
DefaultC-LimbicA,2.281617,False
DefaultC-LimbicB,1.147616,False
DefaultC-SalVentAttnA,7.127693,False
DefaultC-SalVentAttnB,3.651231,False
DefaultC-SomMotA,0.198619,False
DefaultC-SomMotB,4.321393,False
DefaultC-TempPar,1.859173,False
DefaultC-VisCent,0.70628,False
DefaultC-VisPeri,2.13656,False
DorsAttnA-ContA,1.257108,False
DorsAttnA-ContB,0.84759,False
DorsAttnA-ContC,2.329545,False
DorsAttnA-DefaultA,5.277255,False
DorsAttnA-DefaultB,5.99412,False
DorsAttnA-DefaultC,4.120002,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,6.918138,False
DorsAttnA-LimbicA,4.889623,False
DorsAttnA-LimbicB,2.2405,False
DorsAttnA-SalVentAttnA,1.544969,False
