network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.488304,False
ContA-ContC,7.053784,False
ContA-DefaultA,11.930732,False
ContA-DefaultB,0.114938,False
ContA-DefaultC,0.030921,False
ContA-DorsAttnA,6.001847,False
ContA-DorsAttnB,0.795365,False
ContA-LimbicA,5.726843,False
ContA-LimbicB,4.360988,False
ContA-SalVentAttnA,0.284513,False
ContA-SalVentAttnB,1.964981,False
ContA-SomMotA,0.207658,False
ContA-SomMotB,0.968514,False
ContA-TempPar,1.685029,False
ContA-VisCent,2.702511,False
ContA-VisPeri,0.816592,False
ContB-ContA,1.882296,False
ContB-ContB,0.0,True
ContB-ContC,0.460789,False
ContB-DefaultA,7.497629,False
ContB-DefaultB,2.079373,False
ContB-DefaultC,0.663778,False
ContB-DorsAttnA,3.634017,False
ContB-DorsAttnB,1.323382,False
ContB-LimbicA,1.122311,False
ContB-LimbicB,3.424726,False
ContB-SalVentAttnA,1.174677,False
ContB-SalVentAttnB,6.739512,False
ContB-SomMotA,6.964274,False
ContB-SomMotB,8.195887,False
ContB-TempPar,9.399752,False
ContB-VisCent,12.215521,False
ContB-VisPeri,4.810998,False
ContC-ContA,0.556086,False
ContC-ContB,0.592529,False
ContC-ContC,0.0,True
ContC-DefaultA,0.758318,False
ContC-DefaultB,4.080113,False
ContC-DefaultC,0.25297,False
ContC-DorsAttnA,2.182329,False
ContC-DorsAttnB,0.779846,False
ContC-LimbicA,0.416533,False
ContC-LimbicB,3.379956,False
ContC-SalVentAttnA,2.419896,False
ContC-SalVentAttnB,0.091697,False
ContC-SomMotA,1.881772,False
ContC-SomMotB,0.46004,False
ContC-TempPar,0.122087,False
ContC-VisCent,0.746475,False
ContC-VisPeri,1.849644,False
DefaultA-ContA,0.003137,False
DefaultA-ContB,0.488654,False
DefaultA-ContC,5.705878,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,0.253061,False
DefaultA-DefaultC,2.20361,False
DefaultA-DorsAttnA,2.825318,False
DefaultA-DorsAttnB,0.222511,False
DefaultA-LimbicA,1.462456,False
DefaultA-LimbicB,3.45733,False
DefaultA-SalVentAttnA,1.91049,False
DefaultA-SalVentAttnB,0.360021,False
DefaultA-SomMotA,1.377146,False
DefaultA-SomMotB,0.873703,False
DefaultA-TempPar,4.138256,False
DefaultA-VisCent,1.899817,False
DefaultA-VisPeri,2.263957,False
DefaultB-ContA,4.262058,False
DefaultB-ContB,10.060798,False
DefaultB-ContC,1.437124,False
DefaultB-DefaultA,6.735158,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,10.854918,False
DefaultB-DorsAttnA,9.656021,False
DefaultB-DorsAttnB,0.364193,False
DefaultB-LimbicA,1.56816,False
DefaultB-LimbicB,8.63501,False
DefaultB-SalVentAttnA,3.911087,False
DefaultB-SalVentAttnB,7.709673,False
DefaultB-SomMotA,4.159361,False
DefaultB-SomMotB,11.585915,False
DefaultB-TempPar,9.261579,False
DefaultB-VisCent,9.067533,False
DefaultB-VisPeri,4.650397,False
DefaultC-ContA,4.797024,False
DefaultC-ContB,7.555126,False
DefaultC-ContC,0.426976,False
DefaultC-DefaultA,3.222873,False
DefaultC-DefaultB,27.323055,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,10.328545,False
DefaultC-DorsAttnB,0.417459,False
DefaultC-LimbicA,3.479554,False
DefaultC-LimbicB,7.201952,False
DefaultC-SalVentAttnA,2.250742,False
DefaultC-SalVentAttnB,7.544046,False
DefaultC-SomMotA,18.663643,False
DefaultC-SomMotB,22.338173,False
DefaultC-TempPar,12.381619,False
DefaultC-VisCent,23.878609,False
DefaultC-VisPeri,10.749749,False
DorsAttnA-ContA,0.832059,False
DorsAttnA-ContB,1.984742,False
DorsAttnA-ContC,1.299463,False
DorsAttnA-DefaultA,3.391608,False
DorsAttnA-DefaultB,8.206286,False
DorsAttnA-DefaultC,8.745032,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,4.175509,False
DorsAttnA-LimbicA,2.224815,False
DorsAttnA-LimbicB,16.153236,False
DorsAttnA-SalVentAttnA,0.273455,False
DorsAttnA-SalVentAttnB,1.307062,False
DorsAttnA-SomMotA,1.621484,False
DorsAttnA-SomMotB,0.799674,False
DorsAttnA-TempPar,5.208057,False
DorsAttnA-VisCent,0.270556,False
DorsAttnA-VisPeri,3.142101,False
DorsAttnB-ContA,1.473145,False
DorsAttnB-ContB,3.571035,False
DorsAttnB-ContC,1.69394,False
DorsAttnB-DefaultA,3.051815,False
DorsAttnB-DefaultB,2.987907,False
DorsAttnB-DefaultC,1.165242,False
DorsAttnB-DorsAttnA,1.630844,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,4.433512,False
DorsAttnB-LimbicB,5.092567,False
DorsAttnB-SalVentAttnA,0.208475,False
DorsAttnB-SalVentAttnB,9.146928,False
DorsAttnB-SomMotA,0.718489,False
DorsAttnB-SomMotB,2.048004,False
DorsAttnB-TempPar,3.199924,False
DorsAttnB-VisCent,0.215048,False
DorsAttnB-VisPeri,1.286378,False
LimbicA-ContA,6.104768,False
LimbicA-ContB,2.0772,False
LimbicA-ContC,13.560539,False
LimbicA-DefaultA,13.692759,False
LimbicA-DefaultB,0.31614,False
LimbicA-DefaultC,0.056647,False
LimbicA-DorsAttnA,0.298551,False
LimbicA-DorsAttnB,1.549356,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,2.284826,False
LimbicA-SalVentAttnA,2.09611,False
LimbicA-SalVentAttnB,0.557892,False
LimbicA-SomMotA,0.056201,False
LimbicA-SomMotB,0.52851,False
LimbicA-TempPar,0.611068,False
LimbicA-VisCent,0.022323,False
LimbicA-VisPeri,0.305093,False
LimbicB-ContA,2.077935,False
LimbicB-ContB,0.230704,False
LimbicB-ContC,2.592198,False
LimbicB-DefaultA,7.143956,False
LimbicB-DefaultB,0.88185,False
LimbicB-DefaultC,3.332466,False
LimbicB-DorsAttnA,0.812685,False
LimbicB-DorsAttnB,0.23766,False
LimbicB-LimbicA,4.351915,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,0.1161,False
LimbicB-SalVentAttnB,4.164599,False
LimbicB-SomMotA,2.055233,False
LimbicB-SomMotB,0.509848,False
LimbicB-TempPar,1.916894,False
LimbicB-VisCent,0.427441,False
LimbicB-VisPeri,1.590578,False
SalVentAttnA-ContA,0.577481,False
SalVentAttnA-ContB,1.93973,False
SalVentAttnA-ContC,1.571238,False
SalVentAttnA-DefaultA,1.278351,False
SalVentAttnA-DefaultB,0.716068,False
SalVentAttnA-DefaultC,3.807556,False
SalVentAttnA-DorsAttnA,1.826775,False
SalVentAttnA-DorsAttnB,0.16953,False
SalVentAttnA-LimbicA,1.591031,False
SalVentAttnA-LimbicB,0.483811,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,1.327963,False
SalVentAttnA-SomMotA,0.160726,False
SalVentAttnA-SomMotB,1.717705,False
SalVentAttnA-TempPar,2.037581,False
SalVentAttnA-VisCent,4.274558,False
SalVentAttnA-VisPeri,1.381722,False
SalVentAttnB-ContA,6.532338,False
SalVentAttnB-ContB,5.085322,False
SalVentAttnB-ContC,6.39426,False
SalVentAttnB-DefaultA,18.164909,False
SalVentAttnB-DefaultB,3.737935,False
SalVentAttnB-DefaultC,5.902099,False
SalVentAttnB-DorsAttnA,4.308216,False
SalVentAttnB-DorsAttnB,0.183205,False
SalVentAttnB-LimbicA,12.888316,False
SalVentAttnB-LimbicB,21.710647,False
SalVentAttnB-SalVentAttnA,2.089924,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,0.270772,False
SalVentAttnB-SomMotB,1.640748,False
SalVentAttnB-TempPar,4.983981,False
SalVentAttnB-VisCent,1.199322,False
SalVentAttnB-VisPeri,2.151282,False
SomMotA-ContA,0.294298,False
SomMotA-ContB,10.161139,False
SomMotA-ContC,2.461303,False
SomMotA-DefaultA,15.255559,False
SomMotA-DefaultB,14.793818,False
SomMotA-DefaultC,14.154675,False
SomMotA-DorsAttnA,3.322396,False
SomMotA-DorsAttnB,2.586464,False
SomMotA-LimbicA,3.767842,False
SomMotA-LimbicB,20.955282,False
SomMotA-SalVentAttnA,3.804169,False
SomMotA-SalVentAttnB,21.800384,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,21.567114,False
SomMotA-TempPar,21.576435,False
SomMotA-VisCent,9.73977,False
SomMotA-VisPeri,4.458534,False
SomMotB-ContA,2.443195,False
SomMotB-ContB,1.044798,False
SomMotB-ContC,2.957398,False
SomMotB-DefaultA,8.272262,False
SomMotB-DefaultB,5.012297,False
SomMotB-DefaultC,2.322559,False
SomMotB-DorsAttnA,2.360739,False
SomMotB-DorsAttnB,2.17794,False
SomMotB-LimbicA,2.173342,False
SomMotB-LimbicB,11.319766,False
SomMotB-SalVentAttnA,0.992588,False
SomMotB-SalVentAttnB,10.840266,False
SomMotB-SomMotA,3.900013,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,5.958121,False
SomMotB-VisCent,9.129671,False
SomMotB-VisPeri,1.009101,False
TempPar-ContA,2.942186,False
TempPar-ContB,1.310475,False
TempPar-ContC,1.195029,False
TempPar-DefaultA,4.358867,False
TempPar-DefaultB,7.197022,False
TempPar-DefaultC,1.554572,False
TempPar-DorsAttnA,11.378785,False
TempPar-DorsAttnB,0.931784,False
TempPar-LimbicA,1.549944,False
TempPar-LimbicB,4.662221,False
TempPar-SalVentAttnA,0.173948,False
TempPar-SalVentAttnB,4.786887,False
TempPar-SomMotA,9.774493,False
TempPar-SomMotB,13.727394,False
TempPar-TempPar,0.0,True
TempPar-VisCent,8.13879,False
TempPar-VisPeri,5.82253,False
VisCent-ContA,1.19875,False
VisCent-ContB,1.534421,False
VisCent-ContC,0.104621,False
VisCent-DefaultA,5.405456,False
VisCent-DefaultB,4.243344,False
VisCent-DefaultC,5.450355,False
VisCent-DorsAttnA,6.972994,False
VisCent-DorsAttnB,1.564468,False
VisCent-LimbicA,0.98752,False
VisCent-LimbicB,3.142361,False
VisCent-SalVentAttnA,0.264699,False
VisCent-SalVentAttnB,3.436246,False
VisCent-SomMotA,1.542858,False
VisCent-SomMotB,17.027125,False
VisCent-TempPar,12.606945,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,2.521481,False
VisPeri-ContA,1.459904,False
VisPeri-ContB,9.920786,False
VisPeri-ContC,1.860213,False
VisPeri-DefaultA,11.966026,False
VisPeri-DefaultB,6.646631,False
VisPeri-DefaultC,3.058758,False
VisPeri-DorsAttnA,1.477433,False
VisPeri-DorsAttnB,6.330013,False
VisPeri-LimbicA,3.138411,False
VisPeri-LimbicB,7.020309,False
VisPeri-SalVentAttnA,3.962771,False
VisPeri-SalVentAttnB,7.067759,False
VisPeri-SomMotA,7.031466,False
VisPeri-SomMotB,5.41522,False
VisPeri-TempPar,12.614517,False
VisPeri-VisCent,6.720583,False
VisPeri-VisPeri,0.0,True
