network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,3.867894,False
ContA-ContC,1.087953,False
ContA-DefaultA,1.973252,False
ContA-DefaultB,3.033194,False
ContA-DefaultC,0.727197,False
ContA-DorsAttnA,1.896586,False
ContA-DorsAttnB,3.001274,False
ContA-LimbicA,12.818039,False
ContA-LimbicB,0.896918,False
ContA-SalVentAttnA,0.088569,False
ContA-SalVentAttnB,3.401669,False
ContA-SomMotA,0.635108,False
ContA-SomMotB,0.155871,False
ContA-TempPar,1.15386,False
ContA-VisCent,1.292542,False
ContA-VisPeri,0.99145,False
ContB-ContA,1.542186,False
ContB-ContB,0.0,True
ContB-ContC,3.289324,False
ContB-DefaultA,2.743546,False
ContB-DefaultB,0.41233,False
ContB-DefaultC,3.813315,False
ContB-DorsAttnA,2.186728,False
ContB-DorsAttnB,9.261831,False
ContB-LimbicA,0.636252,False
ContB-LimbicB,1.206143,False
ContB-SalVentAttnA,0.257122,False
ContB-SalVentAttnB,2.741234,False
ContB-SomMotA,0.021661,False
ContB-SomMotB,0.924773,False
ContB-TempPar,5.001589,False
ContB-VisCent,0.298174,False
ContB-VisPeri,1.926085,False
ContC-ContA,1.008862,False
ContC-ContB,0.896958,False
ContC-ContC,0.0,True
ContC-DefaultA,5.224716,False
ContC-DefaultB,0.156334,False
ContC-DefaultC,2.694002,False
ContC-DorsAttnA,1.503338,False
ContC-DorsAttnB,0.354686,False
ContC-LimbicA,0.194195,False
ContC-LimbicB,2.377308,False
ContC-SalVentAttnA,0.909712,False
ContC-SalVentAttnB,1.834694,False
ContC-SomMotA,0.491889,False
ContC-SomMotB,2.843737,False
ContC-TempPar,1.034582,False
ContC-VisCent,1.504317,False
ContC-VisPeri,0.99527,False
DefaultA-ContA,0.150112,False
DefaultA-ContB,1.356882,False
DefaultA-ContC,13.708601,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,2.085425,False
DefaultA-DefaultC,3.978382,False
DefaultA-DorsAttnA,3.41721,False
DefaultA-DorsAttnB,0.411961,False
DefaultA-LimbicA,9.340729,False
DefaultA-LimbicB,1.977788,False
DefaultA-SalVentAttnA,0.182402,False
DefaultA-SalVentAttnB,4.156981,False
DefaultA-SomMotA,0.260122,False
DefaultA-SomMotB,3.187854,False
DefaultA-TempPar,0.423379,False
DefaultA-VisCent,1.721547,False
DefaultA-VisPeri,0.207452,False
DefaultB-ContA,1.432118,False
DefaultB-ContB,1.902907,False
DefaultB-ContC,1.342806,False
DefaultB-DefaultA,3.115577,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,5.649982,False
DefaultB-DorsAttnA,1.201986,False
DefaultB-DorsAttnB,0.169501,False
DefaultB-LimbicA,1.84059,False
DefaultB-LimbicB,0.093039,False
DefaultB-SalVentAttnA,1.001427,False
DefaultB-SalVentAttnB,4.518808,False
DefaultB-SomMotA,0.497473,False
DefaultB-SomMotB,0.978902,False
DefaultB-TempPar,10.127771,False
DefaultB-VisCent,3.954549,False
DefaultB-VisPeri,0.14547,False
DefaultC-ContA,3.1787,False
DefaultC-ContB,2.785626,False
DefaultC-ContC,2.748747,False
DefaultC-DefaultA,5.803719,False
DefaultC-DefaultB,25.506592,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.211644,False
DefaultC-DorsAttnB,1.096521,False
DefaultC-LimbicA,3.458372,False
DefaultC-LimbicB,3.113602,False
DefaultC-SalVentAttnA,2.774841,False
DefaultC-SalVentAttnB,9.271405,False
DefaultC-SomMotA,1.029247,False
DefaultC-SomMotB,0.362957,False
DefaultC-TempPar,23.517969,False
DefaultC-VisCent,5.281595,False
DefaultC-VisPeri,2.908577,False
DorsAttnA-ContA,0.355085,False
DorsAttnA-ContB,1.617415,False
DorsAttnA-ContC,1.056108,False
DorsAttnA-DefaultA,4.140629,False
DorsAttnA-DefaultB,0.242275,False
DorsAttnA-DefaultC,0.138304,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,11.094458,False
DorsAttnA-LimbicA,4.535474,False
DorsAttnA-LimbicB,2.329925,False
DorsAttnA-SalVentAttnA,10.188846,False
DorsAttnA-SalVentAttnB,5.938034,False
DorsAttnA-SomMotA,2.461739,False
DorsAttnA-SomMotB,2.040252,False
DorsAttnA-TempPar,2.476858,False
DorsAttnA-VisCent,5.41735,False
DorsAttnA-VisPeri,3.5178,False
DorsAttnB-ContA,0.797597,False
DorsAttnB-ContB,3.555187,False
DorsAttnB-ContC,0.137109,False
DorsAttnB-DefaultA,1.720761,False
DorsAttnB-DefaultB,0.186065,False
DorsAttnB-DefaultC,0.217327,False
DorsAttnB-DorsAttnA,2.859093,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,5.052784,False
DorsAttnB-LimbicB,4.662863,False
DorsAttnB-SalVentAttnA,0.242618,False
DorsAttnB-SalVentAttnB,3.366783,False
DorsAttnB-SomMotA,0.25138,False
DorsAttnB-SomMotB,0.295902,False
DorsAttnB-TempPar,0.658319,False
DorsAttnB-VisCent,2.59197,False
DorsAttnB-VisPeri,1.423966,False
LimbicA-ContA,9.872966,False
LimbicA-ContB,6.67852,False
LimbicA-ContC,2.076527,False
LimbicA-DefaultA,2.013006,False
LimbicA-DefaultB,0.723956,False
LimbicA-DefaultC,0.036609,False
LimbicA-DorsAttnA,5.66998,False
LimbicA-DorsAttnB,5.229199,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,3.67081,False
LimbicA-SalVentAttnA,0.010309,False
LimbicA-SalVentAttnB,8.900042,False
LimbicA-SomMotA,1.39667,False
LimbicA-SomMotB,0.472835,False
LimbicA-TempPar,1.248776,False
LimbicA-VisCent,2.817601,False
LimbicA-VisPeri,0.201913,False
LimbicB-ContA,7.039702,False
LimbicB-ContB,3.918594,False
LimbicB-ContC,2.258697,False
LimbicB-DefaultA,9.270627,False
LimbicB-DefaultB,0.783123,False
LimbicB-DefaultC,0.464219,False
LimbicB-DorsAttnA,1.593039,False
LimbicB-DorsAttnB,2.902812,False
LimbicB-LimbicA,20.256753,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,1.392135,False
LimbicB-SalVentAttnB,5.411378,False
LimbicB-SomMotA,1.706386,False
LimbicB-SomMotB,0.058671,False
LimbicB-TempPar,0.391874,False
LimbicB-VisCent,0.118149,False
LimbicB-VisPeri,2.246898,False
SalVentAttnA-ContA,0.979685,False
SalVentAttnA-ContB,1.047385,False
SalVentAttnA-ContC,4.049114,False
SalVentAttnA-DefaultA,9.251772,False
SalVentAttnA-DefaultB,1.774908,False
SalVentAttnA-DefaultC,0.050649,False
SalVentAttnA-DorsAttnA,0.320023,False
SalVentAttnA-DorsAttnB,2.54039,False
SalVentAttnA-LimbicA,7.647435,False
SalVentAttnA-LimbicB,11.865,False
SalVentAttnA-SalVentAttnA,0.0,True
