network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,6.173377,False
ContA-ContC,6.376001,False
ContA-DefaultA,1.095046,False
ContA-DefaultB,0.017494,False
ContA-DefaultC,0.636787,False
ContA-DorsAttnA,1.458312,False
ContA-DorsAttnB,0.637683,False
ContA-LimbicA,34.31757,False
ContA-LimbicB,5.157181,False
ContA-SalVentAttnA,1.263124,False
ContA-SalVentAttnB,7.024963,False
ContA-SomMotA,1.246425,False
ContA-SomMotB,10.404166,False
ContA-TempPar,5.748894,False
ContA-VisCent,0.161872,False
ContA-VisPeri,1.700684,False
ContB-ContA,10.246265,False
ContB-ContB,0.0,True
ContB-ContC,4.617836,False
ContB-DefaultA,1.677688,False
ContB-DefaultB,0.534626,False
ContB-DefaultC,0.463644,False
ContB-DorsAttnA,0.132811,False
ContB-DorsAttnB,1.204335,False
ContB-LimbicA,3.583807,False
ContB-LimbicB,0.289516,False
ContB-SalVentAttnA,3.872577,False
ContB-SalVentAttnB,1.169768,False
ContB-SomMotA,9.076002,False
ContB-SomMotB,12.240127,False
ContB-TempPar,3.759269,False
ContB-VisCent,2.74137,False
ContB-VisPeri,1.449943,False
ContC-ContA,5.692161,False
ContC-ContB,2.776978,False
ContC-ContC,0.0,True
ContC-DefaultA,5.180151,False
ContC-DefaultB,0.574091,False
ContC-DefaultC,1.081595,False
ContC-DorsAttnA,2.459989,False
ContC-DorsAttnB,0.657203,False
ContC-LimbicA,6.633444,False
ContC-LimbicB,6.992508,False
ContC-SalVentAttnA,0.91611,False
ContC-SalVentAttnB,1.775109,False
ContC-SomMotA,0.060379,False
ContC-SomMotB,4.632221,False
ContC-TempPar,1.875065,False
ContC-VisCent,2.203467,False
ContC-VisPeri,0.415592,False
DefaultA-ContA,6.993566,False
DefaultA-ContB,0.435719,False
DefaultA-ContC,17.656714,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,5.431812,False
DefaultA-DefaultC,2.099391,False
DefaultA-DorsAttnA,10.310338,False
DefaultA-DorsAttnB,0.942494,False
DefaultA-LimbicA,19.690734,False
DefaultA-LimbicB,23.452032,False
DefaultA-SalVentAttnA,1.291462,False
DefaultA-SalVentAttnB,13.155395,False
DefaultA-SomMotA,1.118219,False
DefaultA-SomMotB,10.94337,False
DefaultA-TempPar,3.304277,False
DefaultA-VisCent,3.795178,False
DefaultA-VisPeri,0.155626,False
DefaultB-ContA,3.689521,False
DefaultB-ContB,0.190605,False
DefaultB-ContC,1.454674,False
DefaultB-DefaultA,1.36827,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,5.551949,False
DefaultB-DorsAttnA,5.45446,False
DefaultB-DorsAttnB,6.664955,False
DefaultB-LimbicA,7.818103,False
DefaultB-LimbicB,15.107575,False
DefaultB-SalVentAttnA,1.184759,False
DefaultB-SalVentAttnB,5.966474,False
DefaultB-SomMotA,4.860774,False
DefaultB-SomMotB,12.372146,False
DefaultB-TempPar,3.329656,False
DefaultB-VisCent,1.417705,False
DefaultB-VisPeri,2.507669,False
DefaultC-ContA,5.125846,False
DefaultC-ContB,1.923012,False
DefaultC-ContC,3.282174,False
DefaultC-DefaultA,6.024446,False
DefaultC-DefaultB,2.309576,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,6.095476,False
DefaultC-DorsAttnB,11.020956,False
DefaultC-LimbicA,3.200499,False
DefaultC-LimbicB,1.266789,False
DefaultC-SalVentAttnA,1.146587,False
DefaultC-SalVentAttnB,1.964679,False
DefaultC-SomMotA,6.1538,False
DefaultC-SomMotB,0.1218,False
DefaultC-TempPar,0.030702,False
DefaultC-VisCent,4.579924,False
DefaultC-VisPeri,8.357962,False
DorsAttnA-ContA,6.970127,False
DorsAttnA-ContB,2.352479,False
DorsAttnA-ContC,1.542345,False
DorsAttnA-DefaultA,1.581007,False
DorsAttnA-DefaultB,5.055541,False
DorsAttnA-DefaultC,10.765399,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,3.038443,False
DorsAttnA-LimbicA,4.328866,False
DorsAttnA-LimbicB,3.3617,False
DorsAttnA-SalVentAttnA,7.901182,False
DorsAttnA-SalVentAttnB,0.573086,False
DorsAttnA-SomMotA,3.385658,False
DorsAttnA-SomMotB,0.899858,False
DorsAttnA-TempPar,2.110541,False
DorsAttnA-VisCent,0.563728,False
DorsAttnA-VisPeri,2.233034,False
DorsAttnB-ContA,3.273968,False
DorsAttnB-ContB,0.75036,False
DorsAttnB-ContC,1.034782,False
DorsAttnB-DefaultA,0.933855,False
DorsAttnB-DefaultB,0.094779,False
DorsAttnB-DefaultC,1.057049,False
DorsAttnB-DorsAttnA,7.32025,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.940701,False
DorsAttnB-LimbicB,0.71823,False
DorsAttnB-SalVentAttnA,0.866036,False
DorsAttnB-SalVentAttnB,0.302677,False
DorsAttnB-SomMotA,1.185939,False
DorsAttnB-SomMotB,1.642715,False
DorsAttnB-TempPar,0.828221,False
DorsAttnB-VisCent,1.564408,False
DorsAttnB-VisPeri,0.691406,False
LimbicA-ContA,4.28888,False
LimbicA-ContB,2.396626,False
LimbicA-ContC,8.526979,False
LimbicA-DefaultA,4.459293,False
LimbicA-DefaultB,0.184316,False
LimbicA-DefaultC,0.957553,False
LimbicA-DorsAttnA,0.527963,False
LimbicA-DorsAttnB,0.700809,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,5.384328,False
LimbicA-SalVentAttnA,0.168876,False
LimbicA-SalVentAttnB,2.915044,False
LimbicA-SomMotA,4.289425,False
LimbicA-SomMotB,6.146221,False
LimbicA-TempPar,3.81241,False
