network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,1.495844,False
ContA-ContC,0.054726,False
ContA-DefaultA,0.317093,False
ContA-DefaultB,0.007323,False
ContA-DefaultC,3.645858,False
ContA-DorsAttnA,0.634066,False
ContA-DorsAttnB,0.452086,False
ContA-LimbicA,14.076096,False
ContA-LimbicB,6.980877,False
ContA-SalVentAttnA,0.456897,False
ContA-SalVentAttnB,2.607153,False
ContA-SomMotA,4.422758,False
ContA-SomMotB,0.38858,False
ContA-TempPar,0.308355,False
ContA-VisCent,0.061887,False
ContA-VisPeri,1.476641,False
ContB-ContA,7.156644,False
ContB-ContB,0.0,True
ContB-ContC,0.3569,False
ContB-DefaultA,3.694152,False
ContB-DefaultB,3.702132,False
ContB-DefaultC,3.209174,False
ContB-DorsAttnA,0.258237,False
ContB-DorsAttnB,7.342377,False
ContB-LimbicA,3.073745,False
ContB-LimbicB,6.367006,False
ContB-SalVentAttnA,1.354174,False
ContB-SalVentAttnB,4.264894,False
ContB-SomMotA,4.144758,False
ContB-SomMotB,0.18989,False
ContB-TempPar,4.33148,False
ContB-VisCent,0.164351,False
ContB-VisPeri,4.60055,False
ContC-ContA,2.275265,False
ContC-ContB,0.166499,False
ContC-ContC,0.0,True
ContC-DefaultA,16.401025,False
ContC-DefaultB,3.162385,False
ContC-DefaultC,0.824734,False
ContC-DorsAttnA,5.507283,False
ContC-DorsAttnB,0.687758,False
ContC-LimbicA,1.710492,False
ContC-LimbicB,4.861064,False
ContC-SalVentAttnA,0.840872,False
ContC-SalVentAttnB,5.101525,False
ContC-SomMotA,3.100978,False
ContC-SomMotB,0.232846,False
ContC-TempPar,3.451881,False
ContC-VisCent,1.544444,False
ContC-VisPeri,2.374096,False
DefaultA-ContA,0.684196,False
DefaultA-ContB,0.165561,False
DefaultA-ContC,5.187351,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,7.999526,False
DefaultA-DefaultC,0.060253,False
DefaultA-DorsAttnA,0.422633,False
DefaultA-DorsAttnB,0.440971,False
DefaultA-LimbicA,2.538296,False
DefaultA-LimbicB,2.336195,False
DefaultA-SalVentAttnA,3.889003,False
DefaultA-SalVentAttnB,4.723272,False
DefaultA-SomMotA,2.128868,False
DefaultA-SomMotB,1.079514,False
DefaultA-TempPar,0.289718,False
DefaultA-VisCent,4.09326,False
DefaultA-VisPeri,5.465319,False
DefaultB-ContA,3.731585,False
DefaultB-ContB,0.548525,False
DefaultB-ContC,2.234803,False
DefaultB-DefaultA,1.272878,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.51267,False
DefaultB-DorsAttnA,0.37173,False
DefaultB-DorsAttnB,1.099568,False
DefaultB-LimbicA,1.184347,False
DefaultB-LimbicB,1.742651,False
DefaultB-SalVentAttnA,3.771974,False
DefaultB-SalVentAttnB,0.317907,False
DefaultB-SomMotA,1.817072,False
DefaultB-SomMotB,7.311112,False
DefaultB-TempPar,1.190758,False
DefaultB-VisCent,2.669681,False
DefaultB-VisPeri,9.544681,False
DefaultC-ContA,0.63,False
DefaultC-ContB,5.240867,False
DefaultC-ContC,0.272192,False
DefaultC-DefaultA,2.959102,False
DefaultC-DefaultB,25.790436,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.809092,False
DefaultC-DorsAttnB,4.57285,False
DefaultC-LimbicA,0.626417,False
DefaultC-LimbicB,2.292271,False
DefaultC-SalVentAttnA,1.559575,False
DefaultC-SalVentAttnB,1.663961,False
DefaultC-SomMotA,8.681155,False
DefaultC-SomMotB,4.642351,False
DefaultC-TempPar,7.587274,False
DefaultC-VisCent,4.131861,False
DefaultC-VisPeri,14.088078,False
DorsAttnA-ContA,0.058389,False
DorsAttnA-ContB,0.281814,False
DorsAttnA-ContC,2.002853,False
DorsAttnA-DefaultA,12.619638,False
DorsAttnA-DefaultB,12.503024,False
DorsAttnA-DefaultC,5.378992,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,0.674673,False
DorsAttnA-LimbicA,0.308612,False
DorsAttnA-LimbicB,0.534718,False
DorsAttnA-SalVentAttnA,1.813732,False
DorsAttnA-SalVentAttnB,1.264599,False
DorsAttnA-SomMotA,1.455861,False
DorsAttnA-SomMotB,5.741057,False
DorsAttnA-TempPar,5.574157,False
DorsAttnA-VisCent,0.564162,False
DorsAttnA-VisPeri,0.007953,False
DorsAttnB-ContA,5.024474,False
DorsAttnB-ContB,13.218845,False
DorsAttnB-ContC,0.429225,False
DorsAttnB-DefaultA,0.449922,False
DorsAttnB-DefaultB,0.594312,False
DorsAttnB-DefaultC,0.516626,False
DorsAttnB-DorsAttnA,0.644816,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,4.296127,False
DorsAttnB-LimbicB,5.516346,False
DorsAttnB-SalVentAttnA,1.763979,False
DorsAttnB-SalVentAttnB,2.487017,False
DorsAttnB-SomMotA,4.821151,False
DorsAttnB-SomMotB,1.171376,False
DorsAttnB-TempPar,2.620554,False
DorsAttnB-VisCent,0.125706,False
DorsAttnB-VisPeri,0.965167,False
LimbicA-ContA,23.160133,False
LimbicA-ContB,3.975505,False
LimbicA-ContC,2.438584,False
LimbicA-DefaultA,2.673789,False
LimbicA-DefaultB,0.296362,False
LimbicA-DefaultC,3.156024,False
LimbicA-DorsAttnA,0.51761,False
LimbicA-DorsAttnB,1.533946,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,9.949531,False
LimbicA-SalVentAttnA,2.01446,False
LimbicA-SalVentAttnB,7.234886,False
LimbicA-SomMotA,1.088578,False
LimbicA-SomMotB,0.653613,False
LimbicA-TempPar,0.163053,False
LimbicA-VisCent,0.005669,False
LimbicA-VisPeri,0.675396,False
LimbicB-ContA,5.816256,False
LimbicB-ContB,3.651323,False
LimbicB-ContC,2.263001,False
LimbicB-DefaultA,1.801208,False
LimbicB-DefaultB,2.199843,False
LimbicB-DefaultC,0.542004,False
LimbicB-DorsAttnA,0.35801,False
LimbicB-DorsAttnB,13.832737,False
LimbicB-LimbicA,10.692734,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,1.930106,False
LimbicB-SalVentAttnB,3.5291,False
LimbicB-SomMotA,1.456639,False
LimbicB-SomMotB,0.141856,False
LimbicB-TempPar,2.548377,False
LimbicB-VisCent,0.639551,False
LimbicB-VisPeri,1.947914,False
SalVentAttnA-ContA,0.943001,False
SalVentAttnA-ContB,0.621173,False
SalVentAttnA-ContC,0.016038,False
SalVentAttnA-DefaultA,4.517373,False
SalVentAttnA-DefaultB,0.160936,False
SalVentAttnA-DefaultC,0.349371,False
SalVentAttnA-DorsAttnA,0.452116,False
SalVentAttnA-DorsAttnB,1.470803,False
SalVentAttnA-LimbicA,0.432854,False
SalVentAttnA-LimbicB,0.170217,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.063003,False
SalVentAttnA-SomMotA,1.844712,False
SalVentAttnA-SomMotB,9.496693,False
SalVentAttnA-TempPar,1.935434,False
SalVentAttnA-VisCent,13.778021,False
SalVentAttnA-VisPeri,5.312014,False
SalVentAttnB-ContA,12.978978,False
SalVentAttnB-ContB,6.1678,False
SalVentAttnB-ContC,2.756849,False
SalVentAttnB-DefaultA,12.198875,False
SalVentAttnB-DefaultB,5.512262,False
SalVentAttnB-DefaultC,0.230301,False
SalVentAttnB-DorsAttnA,0.437622,False
SalVentAttnB-DorsAttnB,7.186515,False
SalVentAttnB-LimbicA,18.562774,False
SalVentAttnB-LimbicB,76.305125,False
SalVentAttnB-SalVentAttnA,1.433043,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,9.573697,False
SalVentAttnB-SomMotB,1.885875,False
SalVentAttnB-TempPar,1.056775,False
SalVentAttnB-VisCent,5.067256,False
SalVentAttnB-VisPeri,2.708798,False
SomMotA-ContA,24.07856,False
SomMotA-ContB,18.472724,False
SomMotA-ContC,2.548479,False
SomMotA-DefaultA,3.831222,False
SomMotA-DefaultB,15.524839,False
SomMotA-DefaultC,8.70886,False
SomMotA-DorsAttnA,0.230793,False
SomMotA-DorsAttnB,8.093431,False
SomMotA-LimbicA,16.736618,False
SomMotA-LimbicB,29.291298,False
SomMotA-SalVentAttnA,2.452012,False
SomMotA-SalVentAttnB,18.300787,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,9.398976,False
SomMotA-TempPar,4.837177,False
SomMotA-VisCent,21.96228,False
SomMotA-VisPeri,22.259141,False
SomMotB-ContA,0.038403,False
SomMotB-ContB,0.06931,False
SomMotB-ContC,0.168636,False
SomMotB-DefaultA,7.058972,False
SomMotB-DefaultB,8.748678,False
SomMotB-DefaultC,4.107516,False
SomMotB-DorsAttnA,7.388079,False
SomMotB-DorsAttnB,0.759043,False
SomMotB-LimbicA,1.597053,False
SomMotB-LimbicB,0.647211,False
SomMotB-SalVentAttnA,2.346529,False
SomMotB-SalVentAttnB,0.028539,False
SomMotB-SomMotA,2.512007,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,1.582657,False
SomMotB-VisCent,5.654511,False
SomMotB-VisPeri,2.830621,False
TempPar-ContA,0.508338,False
TempPar-ContB,5.453713,False
TempPar-ContC,3.021354,False
TempPar-DefaultA,2.56162,False
TempPar-DefaultB,9.759453,False
TempPar-DefaultC,11.046162,False
TempPar-DorsAttnA,6.894505,False
TempPar-DorsAttnB,2.841909,False
TempPar-LimbicA,4.363707,False
TempPar-LimbicB,2.701768,False
TempPar-SalVentAttnA,1.469655,False
TempPar-SalVentAttnB,4.988415,False
TempPar-SomMotA,1.273174,False
TempPar-SomMotB,2.882218,False
TempPar-TempPar,0.0,True
TempPar-VisCent,1.933385,False
TempPar-VisPeri,3.657072,False
VisCent-ContA,0.634494,False
VisCent-ContB,5.809153,False
VisCent-ContC,0.709533,False
VisCent-DefaultA,1.931836,False
VisCent-DefaultB,4.321126,False
VisCent-DefaultC,2.683385,False
VisCent-DorsAttnA,2.401548,False
VisCent-DorsAttnB,0.703751,False
VisCent-LimbicA,1.137183,False
VisCent-LimbicB,0.950686,False
VisCent-SalVentAttnA,4.817868,False
VisCent-SalVentAttnB,0.404028,False
VisCent-SomMotA,1.208974,False
VisCent-SomMotB,7.928191,False
VisCent-TempPar,0.594086,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,1.762206,False
VisPeri-ContA,10.008881,False
VisPeri-ContB,5.162672,False
VisPeri-ContC,3.010867,False
VisPeri-DefaultA,1.301435,False
VisPeri-DefaultB,2.952819,False
VisPeri-DefaultC,1.970928,False
VisPeri-DorsAttnA,1.699941,False
VisPeri-DorsAttnB,2.020517,False
VisPeri-LimbicA,9.382869,False
VisPeri-LimbicB,3.695509,False
VisPeri-SalVentAttnA,2.48258,False
VisPeri-SalVentAttnB,4.416443,False
VisPeri-SomMotA,1.769469,False
VisPeri-SomMotB,2.043435,False
VisPeri-TempPar,1.744434,False
VisPeri-VisCent,7.670652,False
VisPeri-VisPeri,0.0,True
