network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.692966,False
ContA-ContC,4.412378,False
ContA-DefaultA,6.745077,False
ContA-DefaultB,3.002155,False
ContA-DefaultC,1.03066,False
ContA-DorsAttnA,4.734951,False
ContA-DorsAttnB,5.433024,False
ContA-LimbicA,28.303372,False
ContA-LimbicB,29.009565,False
ContA-SalVentAttnA,0.603028,False
ContA-SalVentAttnB,18.450784,False
ContA-SomMotA,8.151824,False
ContA-SomMotB,4.252474,False
ContA-TempPar,5.022518,False
ContA-VisCent,1.853818,False
ContA-VisPeri,1.021377,False
ContB-ContA,2.092313,False
ContB-ContB,0.0,True
ContB-ContC,0.899104,False
ContB-DefaultA,0.555154,False
ContB-DefaultB,13.894997,False
ContB-DefaultC,4.80577,False
ContB-DorsAttnA,2.277121,False
ContB-DorsAttnB,1.773985,False
ContB-LimbicA,1.666104,False
ContB-LimbicB,4.724505,False
ContB-SalVentAttnA,0.431389,False
ContB-SalVentAttnB,0.581974,False
ContB-SomMotA,1.978916,False
ContB-SomMotB,4.204315,False
ContB-TempPar,0.876698,False
ContB-VisCent,0.22041,False
ContB-VisPeri,0.633632,False
ContC-ContA,0.594174,False
ContC-ContB,1.579817,False
ContC-ContC,0.0,True
ContC-DefaultA,10.464476,False
ContC-DefaultB,0.833477,False
ContC-DefaultC,4.67252,False
ContC-DorsAttnA,0.861591,False
ContC-DorsAttnB,0.733535,False
ContC-LimbicA,1.08574,False
ContC-LimbicB,3.735235,False
ContC-SalVentAttnA,4.29055,False
ContC-SalVentAttnB,0.121107,False
ContC-SomMotA,1.086872,False
ContC-SomMotB,2.62528,False
ContC-TempPar,0.534088,False
ContC-VisCent,0.306639,False
ContC-VisPeri,1.459355,False
DefaultA-ContA,5.986493,False
DefaultA-ContB,1.89994,False
DefaultA-ContC,28.575768,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,0.732505,False
DefaultA-DefaultC,7.613569,False
DefaultA-DorsAttnA,3.62427,False
DefaultA-DorsAttnB,2.213023,False
DefaultA-LimbicA,5.471401,False
DefaultA-LimbicB,17.066246,False
DefaultA-SalVentAttnA,5.349578,False
DefaultA-SalVentAttnB,11.037623,False
DefaultA-SomMotA,3.863398,False
DefaultA-SomMotB,0.422602,False
DefaultA-TempPar,1.944739,False
DefaultA-VisCent,0.059291,False
