network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,11.473384,False
ContA-ContC,3.516468,False
ContA-DefaultA,7.146273,False
ContA-DefaultB,5.043957,False
ContA-DefaultC,1.815046,False
ContA-DorsAttnA,8.664336,False
ContA-DorsAttnB,5.838318,False
ContA-LimbicA,37.565908,False
ContA-LimbicB,16.631177,False
ContA-SalVentAttnA,1.002786,False
ContA-SalVentAttnB,12.569211,False
ContA-SomMotA,16.43729,False
ContA-SomMotB,3.739012,False
ContA-TempPar,3.811865,False
ContA-VisCent,0.929892,False
ContA-VisPeri,11.231681,False
ContB-ContA,0.491075,False
ContB-ContB,0.0,True
ContB-ContC,8.097124,False
ContB-DefaultA,7.526798,False
ContB-DefaultB,5.981613,False
ContB-DefaultC,8.796267,False
ContB-DorsAttnA,2.225767,False
ContB-DorsAttnB,2.346721,False
ContB-LimbicA,1.903964,False
ContB-LimbicB,5.10933,False
ContB-SalVentAttnA,0.7683,False
ContB-SalVentAttnB,2.645297,False
ContB-SomMotA,10.788723,False
ContB-SomMotB,2.4842,False
ContB-TempPar,1.907434,False
ContB-VisCent,0.615876,False
ContB-VisPeri,5.746683,False
ContC-ContA,3.028976,False
ContC-ContB,1.545261,False
ContC-ContC,0.0,True
ContC-DefaultA,10.293823,False
ContC-DefaultB,3.52941,False
ContC-DefaultC,2.202357,False
ContC-DorsAttnA,0.201703,False
ContC-DorsAttnB,2.742114,False
ContC-LimbicA,3.744042,False
ContC-LimbicB,13.172192,False
ContC-SalVentAttnA,1.688737,False
ContC-SalVentAttnB,4.941005,False
ContC-SomMotA,6.685035,False
ContC-SomMotB,2.082134,False
ContC-TempPar,0.836162,False
ContC-VisCent,1.460991,False
ContC-VisPeri,5.27218,False
DefaultA-ContA,2.467135,False
DefaultA-ContB,1.099864,False
DefaultA-ContC,30.994313,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,17.576889,False
DefaultA-DefaultC,1.294064,False
DefaultA-DorsAttnA,7.325221,False
DefaultA-DorsAttnB,2.602954,False
DefaultA-LimbicA,2.67909,False
DefaultA-LimbicB,11.11147,False
DefaultA-SalVentAttnA,3.080079,False
DefaultA-SalVentAttnB,10.983931,False
DefaultA-SomMotA,8.417315,False
DefaultA-SomMotB,1.55942,False
DefaultA-TempPar,3.770303,False
DefaultA-VisCent,2.167445,False
DefaultA-VisPeri,8.032964,False
DefaultB-ContA,0.503963,False
DefaultB-ContB,0.627018,False
DefaultB-ContC,32.166249,False
DefaultB-DefaultA,24.527615,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.482839,False
DefaultB-DorsAttnA,3.477867,False
DefaultB-DorsAttnB,2.727192,False
DefaultB-LimbicA,0.96109,False
DefaultB-LimbicB,7.420205,False
DefaultB-SalVentAttnA,1.777696,False
DefaultB-SalVentAttnB,8.458592,False
DefaultB-SomMotA,5.382998,False
DefaultB-SomMotB,1.983648,False
DefaultB-TempPar,4.576815,False
DefaultB-VisCent,2.47677,False
DefaultB-VisPeri,6.709175,False
DefaultC-ContA,0.189528,False
DefaultC-ContB,3.852205,False
DefaultC-ContC,3.156612,False
DefaultC-DefaultA,1.542109,False
DefaultC-DefaultB,1.251887,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.277159,False
DefaultC-DorsAttnB,0.121686,False
DefaultC-LimbicA,0.093254,False
DefaultC-LimbicB,1.720448,False
DefaultC-SalVentAttnA,0.008223,False
DefaultC-SalVentAttnB,0.621359,False
DefaultC-SomMotA,2.675176,False
DefaultC-SomMotB,1.677244,False
DefaultC-TempPar,2.598515,False
DefaultC-VisCent,4.399318,False
DefaultC-VisPeri,4.583674,False
DorsAttnA-ContA,1.653203,False
