network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.829441,False
ContA-ContC,1.271616,False
ContA-DefaultA,0.717634,False
ContA-DefaultB,3.830051,False
ContA-DefaultC,0.542069,False
ContA-DorsAttnA,1.160976,False
ContA-DorsAttnB,2.021183,False
ContA-LimbicA,22.18065,False
ContA-LimbicB,6.655089,False
ContA-SalVentAttnA,1.017008,False
ContA-SalVentAttnB,3.490373,False
ContA-SomMotA,10.151637,False
ContA-SomMotB,1.709987,False
ContA-TempPar,2.014207,False
ContA-VisCent,0.521103,False
ContA-VisPeri,1.194855,False
ContB-ContA,9.008852,False
ContB-ContB,0.0,True
ContB-ContC,3.101895,False
ContB-DefaultA,6.876527,False
ContB-DefaultB,5.148274,False
ContB-DefaultC,0.911583,False
ContB-DorsAttnA,1.695265,False
ContB-DorsAttnB,0.831549,False
ContB-LimbicA,4.58915,False
ContB-LimbicB,3.581157,False
ContB-SalVentAttnA,4.701844,False
ContB-SalVentAttnB,1.600093,False
ContB-SomMotA,12.735539,False
ContB-SomMotB,11.094933,False
ContB-TempPar,2.3467,False
ContB-VisCent,2.50272,False
ContB-VisPeri,4.781764,False
ContC-ContA,0.710339,False
ContC-ContB,1.024301,False
ContC-ContC,0.0,True
ContC-DefaultA,7.467844,False
ContC-DefaultB,5.396765,False
ContC-DefaultC,0.151896,False
ContC-DorsAttnA,1.023264,False
ContC-DorsAttnB,0.096316,False
ContC-LimbicA,2.006074,False
ContC-LimbicB,4.876728,False
ContC-SalVentAttnA,2.155912,False
ContC-SalVentAttnB,4.977437,False
ContC-SomMotA,3.375699,False
ContC-SomMotB,5.666055,False
ContC-TempPar,0.510526,False
ContC-VisCent,0.452063,False
ContC-VisPeri,4.498731,False
DefaultA-ContA,0.247068,False
DefaultA-ContB,3.404131,False
DefaultA-ContC,10.706143,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,13.779658,False
DefaultA-DefaultC,1.270768,False
DefaultA-DorsAttnA,3.742069,False
DefaultA-DorsAttnB,2.310674,False
DefaultA-LimbicA,2.657149,False
DefaultA-LimbicB,8.001659,False
DefaultA-SalVentAttnA,2.168532,False
DefaultA-SalVentAttnB,5.378737,False
DefaultA-SomMotA,2.176542,False
DefaultA-SomMotB,2.368338,False
DefaultA-TempPar,0.47014,False
DefaultA-VisCent,1.470734,False
DefaultA-VisPeri,3.515016,False
DefaultB-ContA,0.71398,False
DefaultB-ContB,1.881882,False
DefaultB-ContC,4.312742,False
DefaultB-DefaultA,1.73916,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,5.12337,False
DefaultB-DorsAttnA,4.240424,False
DefaultB-DorsAttnB,5.099607,False
DefaultB-LimbicA,0.127904,False
DefaultB-LimbicB,2.408858,False
DefaultB-SalVentAttnA,2.166844,False
DefaultB-SalVentAttnB,0.004433,False
DefaultB-SomMotA,1.870286,False
DefaultB-SomMotB,1.92993,False
DefaultB-TempPar,0.429946,False
DefaultB-VisCent,0.543809,False
DefaultB-VisPeri,0.210971,False
DefaultC-ContA,0.013403,False
DefaultC-ContB,2.971491,False
DefaultC-ContC,0.584991,False
DefaultC-DefaultA,0.987561,False
DefaultC-DefaultB,13.875954,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,6.351559,False
DefaultC-DorsAttnB,11.541339,False
DefaultC-LimbicA,0.754149,False
DefaultC-LimbicB,0.365564,False
DefaultC-SalVentAttnA,1.064217,False
DefaultC-SalVentAttnB,0.267089,False
DefaultC-SomMotA,3.901333,False
DefaultC-SomMotB,6.613144,False
DefaultC-TempPar,5.139332,False
DefaultC-VisCent,5.227207,False
DefaultC-VisPeri,0.79691,False
DorsAttnA-ContA,0.548653,False
DorsAttnA-ContB,1.537701,False
DorsAttnA-ContC,0.580164,False
DorsAttnA-DefaultA,4.212488,False
DorsAttnA-DefaultB,2.974811,False
DorsAttnA-DefaultC,5.911619,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,6.380146,False
DorsAttnA-LimbicA,1.466528,False
DorsAttnA-LimbicB,4.990185,False
DorsAttnA-SalVentAttnA,0.195913,False
DorsAttnA-SalVentAttnB,1.042554,False
DorsAttnA-SomMotA,1.337438,False
DorsAttnA-SomMotB,1.573461,False
DorsAttnA-TempPar,2.237694,False
DorsAttnA-VisCent,1.054887,False
DorsAttnA-VisPeri,1.193733,False
DorsAttnB-ContA,5.114804,False
DorsAttnB-ContB,9.689286,False
DorsAttnB-ContC,6.710054,False
DorsAttnB-DefaultA,2.814029,False
DorsAttnB-DefaultB,0.201758,False
